result/tencentBlock.ns12103.oracleGeneral.zst LHD cache size      166, 1283191 req, miss ratio 0.1932, byte miss ratio 0.1932
result/tencentBlock.ns12103.oracleGeneral.zst LHD cache size      553, 1283191 req, miss ratio 0.1795, byte miss ratio 0.1795
result/tencentBlock.ns12103.oracleGeneral.zst LHD cache size     1660, 1283191 req, miss ratio 0.1667, byte miss ratio 0.1667
result/tencentBlock.ns12103.oracleGeneral.zst LHD cache size     5533, 1283191 req, miss ratio 0.1534, byte miss ratio 0.1534
result/tencentBlock.ns12103.oracleGeneral.zst LHD cache size    11066, 1283191 req, miss ratio 0.1424, byte miss ratio 0.1424
result/tencentBlock.ns12103.oracleGeneral.zst LHD cache size    22133, 1283191 req, miss ratio 0.0791, byte miss ratio 0.0791
result/tencentBlock.ns12103.oracleGeneral.zst LHD cache size    44267, 1283191 req, miss ratio 0.0481, byte miss ratio 0.0481
result/tencentBlock.ns12103.oracleGeneral.zst Cacheus cache size       55, 1283191 req, miss ratio 0.2803, byte miss ratio 0.2803
result/tencentBlock.ns12103.oracleGeneral.zst Cacheus cache size      166, 1283191 req, miss ratio 0.1918, byte miss ratio 0.1918
result/tencentBlock.ns12103.oracleGeneral.zst Cacheus cache size      553, 1283191 req, miss ratio 0.1764, byte miss ratio 0.1764
result/tencentBlock.ns12103.oracleGeneral.zst Cacheus cache size     1660, 1283191 req, miss ratio 0.1600, byte miss ratio 0.1600
result/tencentBlock.ns12103.oracleGeneral.zst Cacheus cache size     5533, 1283191 req, miss ratio 0.1526, byte miss ratio 0.1526
result/tencentBlock.ns12103.oracleGeneral.zst Cacheus cache size    11066, 1283191 req, miss ratio 0.1265, byte miss ratio 0.1265
result/tencentBlock.ns12103.oracleGeneral.zst Cacheus cache size    22133, 1283191 req, miss ratio 0.0733, byte miss ratio 0.0733
result/tencentBlock.ns12103.oracleGeneral.zst Cacheus cache size    44267, 1283191 req, miss ratio 0.0463, byte miss ratio 0.0463
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-1 cache size       55, 1283191 req, miss ratio 0.2802, byte miss ratio 0.2802
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-1 cache size      166, 1283191 req, miss ratio 0.1866, byte miss ratio 0.1866
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-1 cache size      553, 1283191 req, miss ratio 0.1732, byte miss ratio 0.1732
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-1 cache size     1660, 1283191 req, miss ratio 0.1566, byte miss ratio 0.1566
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-1 cache size     5533, 1283191 req, miss ratio 0.1471, byte miss ratio 0.1471
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-1 cache size    11066, 1283191 req, miss ratio 0.1316, byte miss ratio 0.1316
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-1 cache size    22133, 1283191 req, miss ratio 0.0742, byte miss ratio 0.0742
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-1 cache size    44267, 1283191 req, miss ratio 0.0448, byte miss ratio 0.0448
result/tencentBlock.ns12103.oracleGeneral.zst FIFO cache size       55, 1283191 req, miss ratio 0.3936, byte miss ratio 0.3936
result/tencentBlock.ns12103.oracleGeneral.zst FIFO cache size      166, 1283191 req, miss ratio 0.2638, byte miss ratio 0.2638
result/tencentBlock.ns12103.oracleGeneral.zst FIFO cache size      553, 1283191 req, miss ratio 0.2007, byte miss ratio 0.2007
result/tencentBlock.ns12103.oracleGeneral.zst FIFO cache size     1660, 1283191 req, miss ratio 0.1790, byte miss ratio 0.1790
result/tencentBlock.ns12103.oracleGeneral.zst FIFO cache size     5533, 1283191 req, miss ratio 0.1637, byte miss ratio 0.1637
result/tencentBlock.ns12103.oracleGeneral.zst FIFO cache size    11066, 1283191 req, miss ratio 0.1563, byte miss ratio 0.1563
result/tencentBlock.ns12103.oracleGeneral.zst FIFO cache size    22133, 1283191 req, miss ratio 0.0867, byte miss ratio 0.0867
result/tencentBlock.ns12103.oracleGeneral.zst FIFO cache size    44267, 1283191 req, miss ratio 0.0612, byte miss ratio 0.0612
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-d-1 cache size       55, 1283191 req, miss ratio 0.2740, byte miss ratio 0.2740
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-d-1 cache size      166, 1283191 req, miss ratio 0.1863, byte miss ratio 0.1863
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-d-1 cache size      553, 1283191 req, miss ratio 0.1733, byte miss ratio 0.1733
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-d-1 cache size     1660, 1283191 req, miss ratio 0.1566, byte miss ratio 0.1566
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-d-1 cache size     5533, 1283191 req, miss ratio 0.1471, byte miss ratio 0.1471
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-d-1 cache size    11066, 1283191 req, miss ratio 0.1301, byte miss ratio 0.1301
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-d-1 cache size    22133, 1283191 req, miss ratio 0.0744, byte miss ratio 0.0744
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-d-1 cache size    44267, 1283191 req, miss ratio 0.0448, byte miss ratio 0.0448
result/tencentBlock.ns12103.oracleGeneral.zst LRB cache size       55, 1283191 req, miss ratio 0.3689, byte miss ratio 0.3689
