result/cdn2_allcolo.ns2901.oracleGeneral.zst FIFO cache size    76507, 4389451 req, miss ratio 0.0927, byte miss ratio 0.0927
result/cdn2_allcolo.ns2901.oracleGeneral.zst FIFO cache size   153014, 4389451 req, miss ratio 0.0530, byte miss ratio 0.0530
result/cdn2_allcolo.ns2901.oracleGeneral.zst Cacheus cache size      191, 4389451 req, miss ratio 0.7886, byte miss ratio 0.7886
result/cdn2_allcolo.ns2901.oracleGeneral.zst Cacheus cache size      573, 4389451 req, miss ratio 0.6791, byte miss ratio 0.6791
result/cdn2_allcolo.ns2901.oracleGeneral.zst Cacheus cache size     1912, 4389451 req, miss ratio 0.4941, byte miss ratio 0.4941
result/cdn2_allcolo.ns2901.oracleGeneral.zst Cacheus cache size     5738, 4389451 req, miss ratio 0.3388, byte miss ratio 0.3388
result/cdn2_allcolo.ns2901.oracleGeneral.zst Cacheus cache size    19126, 4389451 req, miss ratio 0.1964, byte miss ratio 0.1964
result/cdn2_allcolo.ns2901.oracleGeneral.zst Cacheus cache size    38253, 4389451 req, miss ratio 0.1204, byte miss ratio 0.1204
result/cdn2_allcolo.ns2901.oracleGeneral.zst Cacheus cache size    76507, 4389451 req, miss ratio 0.0663, byte miss ratio 0.0663
result/cdn2_allcolo.ns2901.oracleGeneral.zst Cacheus cache size   153014, 4389451 req, miss ratio 0.0455, byte miss ratio 0.0455
result/cdn2_allcolo.ns2901.oracleGeneral.zst LHD cache size      191, 4389451 req, miss ratio 0.8032, byte miss ratio 0.8032
result/cdn2_allcolo.ns2901.oracleGeneral.zst LHD cache size      573, 4389451 req, miss ratio 0.7262, byte miss ratio 0.7262
result/cdn2_allcolo.ns2901.oracleGeneral.zst LHD cache size     1912, 4389451 req, miss ratio 0.5347, byte miss ratio 0.5347
result/cdn2_allcolo.ns2901.oracleGeneral.zst LHD cache size     5738, 4389451 req, miss ratio 0.3664, byte miss ratio 0.3664
result/cdn2_allcolo.ns2901.oracleGeneral.zst LHD cache size    19126, 4389451 req, miss ratio 0.1926, byte miss ratio 0.1926
result/cdn2_allcolo.ns2901.oracleGeneral.zst LHD cache size    38253, 4389451 req, miss ratio 0.1154, byte miss ratio 0.1154
result/cdn2_allcolo.ns2901.oracleGeneral.zst LHD cache size    76507, 4389451 req, miss ratio 0.0666, byte miss ratio 0.0666
result/cdn2_allcolo.ns2901.oracleGeneral.zst LHD cache size   153014, 4389451 req, miss ratio 0.0454, byte miss ratio 0.0454
result/cdn2_allcolo.ns2901.oracleGeneral.zst clock2 cache size      191, 4389451 req, miss ratio 0.8343, byte miss ratio 0.8343
result/cdn2_allcolo.ns2901.oracleGeneral.zst clock2 cache size      573, 4389451 req, miss ratio 0.7150, byte miss ratio 0.7150
result/cdn2_allcolo.ns2901.oracleGeneral.zst clock2 cache size     1912, 4389451 req, miss ratio 0.5524, byte miss ratio 0.5524
result/cdn2_allcolo.ns2901.oracleGeneral.zst clock2 cache size     5738, 4389451 req, miss ratio 0.3777, byte miss ratio 0.3777
result/cdn2_allcolo.ns2901.oracleGeneral.zst clock2 cache size    19126, 4389451 req, miss ratio 0.1946, byte miss ratio 0.1946
result/cdn2_allcolo.ns2901.oracleGeneral.zst clock2 cache size    38253, 4389451 req, miss ratio 0.1142, byte miss ratio 0.1142
result/cdn2_allcolo.ns2901.oracleGeneral.zst clock2 cache size    76507, 4389451 req, miss ratio 0.0646, byte miss ratio 0.0646
result/cdn2_allcolo.ns2901.oracleGeneral.zst clock2 cache size   153014, 4389451 req, miss ratio 0.0449, byte miss ratio 0.0449
result/cdn2_allcolo.ns2901.oracleGeneral.zst LRU cache size      191, 4389451 req, miss ratio 0.8521, byte miss ratio 0.8521
result/cdn2_allcolo.ns2901.oracleGeneral.zst LRU cache size      573, 4389451 req, miss ratio 0.7424, byte miss ratio 0.7424
result/cdn2_allcolo.ns2901.oracleGeneral.zst LRU cache size     1912, 4389451 req, miss ratio 0.5820, byte miss ratio 0.5820
result/cdn2_allcolo.ns2901.oracleGeneral.zst LRU cache size     5738, 4389451 req, miss ratio 0.4073, byte miss ratio 0.4073
result/cdn2_allcolo.ns2901.oracleGeneral.zst LRU cache size    19126, 4389451 req, miss ratio 0.2155, byte miss ratio 0.2155
result/cdn2_allcolo.ns2901.oracleGeneral.zst LRU cache size    38253, 4389451 req, miss ratio 0.1275, byte miss ratio 0.1275
result/cdn2_allcolo.ns2901.oracleGeneral.zst LRU cache size    76507, 4389451 req, miss ratio 0.0687, byte miss ratio 0.0687
result/cdn2_allcolo.ns2901.oracleGeneral.zst LRU cache size   153014, 4389451 req, miss ratio 0.0450, byte miss ratio 0.0450
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-d-1 cache size      191, 4389451 req, miss ratio 0.7408, byte miss ratio 0.7408
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-d-1 cache size      573, 4389451 req, miss ratio 0.6290, byte miss ratio 0.6290
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-d-1 cache size     1912, 4389451 req, miss ratio 0.4811, byte miss ratio 0.4811
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-d-1 cache size     5738, 4389451 req, miss ratio 0.3326, byte miss ratio 0.3326
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-d-1 cache size    19126, 4389451 req, miss ratio 0.1756, byte miss ratio 0.1756
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-d-1 cache size    38253, 4389451 req, miss ratio 0.1063, byte miss ratio 0.1063
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-d-1 cache size    76507, 4389451 req, miss ratio 0.0629, byte miss ratio 0.0629
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-d-1 cache size   153014, 4389451 req, miss ratio 0.0449, byte miss ratio 0.0449
result/cdn2_allcolo.ns2901.oracleGeneral.zst LRB cache size      191, 4389451 req, miss ratio 0.7336, byte miss ratio 0.7336
result/cdn2_allcolo.ns2901.oracleGeneral.zst LRB cache size      573, 4389451 req, miss ratio 0.6201, byte miss ratio 0.6201
result/cdn2_allcolo.ns2901.oracleGeneral.zst LRB cache size     1912, 4389451 req, miss ratio 0.4702, byte miss ratio 0.4702
result/cdn2_allcolo.ns2901.oracleGeneral.zst LRB cache size     5738, 4389451 req, miss ratio 0.3213, byte miss ratio 0.3213
result/cdn2_allcolo.ns2901.oracleGeneral.zst LRB cache size    19126, 4389451 req, miss ratio 0.1725, byte miss ratio 0.1725
