result/tencentBlock.ns8768.oracleGeneral.zst LHD cache size      451, 4079359 req, miss ratio 0.5326, byte miss ratio 0.5326
result/tencentBlock.ns8768.oracleGeneral.zst LHD cache size     1353, 4079359 req, miss ratio 0.4541, byte miss ratio 0.4541
result/tencentBlock.ns8768.oracleGeneral.zst LHD cache size     4510, 4079359 req, miss ratio 0.3798, byte miss ratio 0.3798
result/tencentBlock.ns8768.oracleGeneral.zst LHD cache size    13531, 4079359 req, miss ratio 0.3562, byte miss ratio 0.3562
result/tencentBlock.ns8768.oracleGeneral.zst LHD cache size    45103, 4079359 req, miss ratio 0.3099, byte miss ratio 0.3099
result/tencentBlock.ns8768.oracleGeneral.zst LHD cache size    90207, 4079359 req, miss ratio 0.2603, byte miss ratio 0.2603
result/tencentBlock.ns8768.oracleGeneral.zst LHD cache size   180415, 4079359 req, miss ratio 0.1626, byte miss ratio 0.1626
result/tencentBlock.ns8768.oracleGeneral.zst LHD cache size   360830, 4079359 req, miss ratio 0.1130, byte miss ratio 0.1130
result/tencentBlock.ns8768.oracleGeneral.zst S3FIFO-1 cache size      451, 4079359 req, miss ratio 0.5281, byte miss ratio 0.5281
result/tencentBlock.ns8768.oracleGeneral.zst S3FIFO-1 cache size     1353, 4079359 req, miss ratio 0.4133, byte miss ratio 0.4133
result/tencentBlock.ns8768.oracleGeneral.zst S3FIFO-1 cache size     4510, 4079359 req, miss ratio 0.3721, byte miss ratio 0.3721
result/tencentBlock.ns8768.oracleGeneral.zst S3FIFO-1 cache size    13531, 4079359 req, miss ratio 0.3503, byte miss ratio 0.3503
result/tencentBlock.ns8768.oracleGeneral.zst S3FIFO-1 cache size    45103, 4079359 req, miss ratio 0.3077, byte miss ratio 0.3077
result/tencentBlock.ns8768.oracleGeneral.zst S3FIFO-1 cache size    90207, 4079359 req, miss ratio 0.2671, byte miss ratio 0.2671
result/tencentBlock.ns8768.oracleGeneral.zst S3FIFO-1 cache size   180415, 4079359 req, miss ratio 0.1729, byte miss ratio 0.1729
result/tencentBlock.ns8768.oracleGeneral.zst S3FIFO-1 cache size   360830, 4079359 req, miss ratio 0.1151, byte miss ratio 0.1151
result/tencentBlock.ns8768.oracleGeneral.zst Clock cache size      451, 4079359 req, miss ratio 0.5359, byte miss ratio 0.5359
result/tencentBlock.ns8768.oracleGeneral.zst Clock cache size     1353, 4079359 req, miss ratio 0.4697, byte miss ratio 0.4697
result/tencentBlock.ns8768.oracleGeneral.zst Clock cache size     4510, 4079359 req, miss ratio 0.3906, byte miss ratio 0.3906
result/tencentBlock.ns8768.oracleGeneral.zst Clock cache size    13531, 4079359 req, miss ratio 0.3630, byte miss ratio 0.3630
result/tencentBlock.ns8768.oracleGeneral.zst Clock cache size    45103, 4079359 req, miss ratio 0.3203, byte miss ratio 0.3203
result/tencentBlock.ns8768.oracleGeneral.zst Clock cache size    90207, 4079359 req, miss ratio 0.2919, byte miss ratio 0.2919
result/tencentBlock.ns8768.oracleGeneral.zst Clock cache size   180415, 4079359 req, miss ratio 0.1794, byte miss ratio 0.1794
result/tencentBlock.ns8768.oracleGeneral.zst Clock cache size   360830, 4079359 req, miss ratio 0.1161, byte miss ratio 0.1161
result/tencentBlock.ns8768.oracleGeneral.zst LeCaR cache size      451, 4079359 req, miss ratio 0.5323, byte miss ratio 0.5323
result/tencentBlock.ns8768.oracleGeneral.zst LeCaR cache size     1353, 4079359 req, miss ratio 0.4698, byte miss ratio 0.4698
result/tencentBlock.ns8768.oracleGeneral.zst LeCaR cache size     4510, 4079359 req, miss ratio 0.3816, byte miss ratio 0.3816
result/tencentBlock.ns8768.oracleGeneral.zst LeCaR cache size    13531, 4079359 req, miss ratio 0.3613, byte miss ratio 0.3613
result/tencentBlock.ns8768.oracleGeneral.zst LeCaR cache size    45103, 4079359 req, miss ratio 0.3184, byte miss ratio 0.3184
result/tencentBlock.ns8768.oracleGeneral.zst LeCaR cache size    90207, 4079359 req, miss ratio 0.2904, byte miss ratio 0.2904
result/tencentBlock.ns8768.oracleGeneral.zst LeCaR cache size   180415, 4079359 req, miss ratio 0.1731, byte miss ratio 0.1731
result/tencentBlock.ns8768.oracleGeneral.zst LeCaR cache size   360830, 4079359 req, miss ratio 0.1116, byte miss ratio 0.1116
result/tencentBlock.ns8768.oracleGeneral.zst FIFO cache size      451, 4079359 req, miss ratio 0.6267, byte miss ratio 0.6267
result/tencentBlock.ns8768.oracleGeneral.zst FIFO cache size     1353, 4079359 req, miss ratio 0.5126, byte miss ratio 0.5126
result/tencentBlock.ns8768.oracleGeneral.zst FIFO cache size     4510, 4079359 req, miss ratio 0.4296, byte miss ratio 0.4296
result/tencentBlock.ns8768.oracleGeneral.zst FIFO cache size    13531, 4079359 req, miss ratio 0.3842, byte miss ratio 0.3842
result/tencentBlock.ns8768.oracleGeneral.zst FIFO cache size    45103, 4079359 req, miss ratio 0.3332, byte miss ratio 0.3332
result/tencentBlock.ns8768.oracleGeneral.zst FIFO cache size    90207, 4079359 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tencentBlock.ns8768.oracleGeneral.zst FIFO cache size   180415, 4079359 req, miss ratio 0.2042, byte miss ratio 0.2042
result/tencentBlock.ns8768.oracleGeneral.zst FIFO cache size   360830, 4079359 req, miss ratio 0.1279, byte miss ratio 0.1279
result/tencentBlock.ns8768.oracleGeneral.zst Cacheus cache size      451, 4079359 req, miss ratio 0.5176, byte miss ratio 0.5176
result/tencentBlock.ns8768.oracleGeneral.zst Cacheus cache size     1353, 4079359 req, miss ratio 0.4450, byte miss ratio 0.4450
result/tencentBlock.ns8768.oracleGeneral.zst Cacheus cache size     4510, 4079359 req, miss ratio 0.3726, byte miss ratio 0.3726
result/tencentBlock.ns8768.oracleGeneral.zst Cacheus cache size    13531, 4079359 req, miss ratio 0.3517, byte miss ratio 0.3517
result/tencentBlock.ns8768.oracleGeneral.zst Cacheus cache size    45103, 4079359 req, miss ratio 0.3106, byte miss ratio 0.3106
result/tencentBlock.ns8768.oracleGeneral.zst Cacheus cache size    90207, 4079359 req, miss ratio 0.2808, byte miss ratio 0.2808
result/tencentBlock.ns8768.oracleGeneral.zst Cacheus cache size   180415, 4079359 req, miss ratio 0.1734, byte miss ratio 0.1734
result/tencentBlock.ns8768.oracleGeneral.zst Cacheus cache size   360830, 4079359 req, miss ratio 0.1147, byte miss ratio 0.1147
result/tencentBlock.ns8768.oracleGeneral.zst ARC cache size      451, 4079359 req, miss ratio 0.5189, byte miss ratio 0.5189
result/tencentBlock.ns8768.oracleGeneral.zst ARC cache size     1353, 4079359 req, miss ratio 0.4297, byte miss ratio 0.4297
result/tencentBlock.ns8768.oracleGeneral.zst ARC cache size     4510, 4079359 req, miss ratio 0.3714, byte miss ratio 0.3714
result/tencentBlock.ns8768.oracleGeneral.zst ARC cache size    13531, 4079359 req, miss ratio 0.3512, byte miss ratio 0.3512
result/tencentBlock.ns8768.oracleGeneral.zst ARC cache size    45103, 4079359 req, miss ratio 0.3076, byte miss ratio 0.3076
result/tencentBlock.ns8768.oracleGeneral.zst ARC cache size    90207, 4079359 req, miss ratio 0.2675, byte miss ratio 0.2675
result/tencentBlock.ns8768.oracleGeneral.zst ARC cache size   180415, 4079359 req, miss ratio 0.1792, byte miss ratio 0.1792
result/tencentBlock.ns8768.oracleGeneral.zst ARC cache size   360830, 4079359 req, miss ratio 0.1148, byte miss ratio 0.1148
result/tencentBlock.ns8768.oracleGeneral.zst clock2 cache size      451, 4079359 req, miss ratio 0.5339, byte miss ratio 0.5339
result/tencentBlock.ns8768.oracleGeneral.zst clock2 cache size     1353, 4079359 req, miss ratio 0.4718, byte miss ratio 0.4718
result/tencentBlock.ns8768.oracleGeneral.zst clock2 cache size     4510, 4079359 req, miss ratio 0.3835, byte miss ratio 0.3835
result/tencentBlock.ns8768.oracleGeneral.zst clock2 cache size    13531, 4079359 req, miss ratio 0.3623, byte miss ratio 0.3623
result/tencentBlock.ns8768.oracleGeneral.zst clock2 cache size    45103, 4079359 req, miss ratio 0.3225, byte miss ratio 0.3225
result/tencentBlock.ns8768.oracleGeneral.zst clock2 cache size    90207, 4079359 req, miss ratio 0.2937, byte miss ratio 0.2937
result/tencentBlock.ns8768.oracleGeneral.zst clock2 cache size   180415, 4079359 req, miss ratio 0.1917, byte miss ratio 0.1917
result/tencentBlock.ns8768.oracleGeneral.zst clock2 cache size   360830, 4079359 req, miss ratio 0.1147, byte miss ratio 0.1147
result/tencentBlock.ns8768.oracleGeneral.zst LIRS cache size      451, 4079359 req, miss ratio 0.5460, byte miss ratio 0.5460
result/tencentBlock.ns8768.oracleGeneral.zst LIRS cache size     1353, 4079359 req, miss ratio 0.4367, byte miss ratio 0.4367
result/tencentBlock.ns8768.oracleGeneral.zst LIRS cache size     4510, 4079359 req, miss ratio 0.3797, byte miss ratio 0.3797
result/tencentBlock.ns8768.oracleGeneral.zst LIRS cache size    13531, 4079359 req, miss ratio 0.3533, byte miss ratio 0.3533
result/tencentBlock.ns8768.oracleGeneral.zst LIRS cache size    45103, 4079359 req, miss ratio 0.3100, byte miss ratio 0.3100
result/tencentBlock.ns8768.oracleGeneral.zst LIRS cache size    90207, 4079359 req, miss ratio 0.2486, byte miss ratio 0.2486
result/tencentBlock.ns8768.oracleGeneral.zst LIRS cache size   180415, 4079359 req, miss ratio 0.1651, byte miss ratio 0.1651
result/tencentBlock.ns8768.oracleGeneral.zst LIRS cache size   360830, 4079359 req, miss ratio 0.1137, byte miss ratio 0.1137
result/tencentBlock.ns8768.oracleGeneral.zst LRU cache size      451, 4079359 req, miss ratio 0.5426, byte miss ratio 0.5426
result/tencentBlock.ns8768.oracleGeneral.zst LRU cache size     1353, 4079359 req, miss ratio 0.4719, byte miss ratio 0.4719
