result/tencentBlock.ns5099.oracleGeneral.zst ARC cache size      237, 23783484 req, miss ratio 0.4269, byte miss ratio 0.4269
result/tencentBlock.ns5099.oracleGeneral.zst ARC cache size      713, 23783484 req, miss ratio 0.2469, byte miss ratio 0.2469
result/tencentBlock.ns5099.oracleGeneral.zst ARC cache size     2378, 23783484 req, miss ratio 0.0507, byte miss ratio 0.0507
result/tencentBlock.ns5099.oracleGeneral.zst ARC cache size     7134, 23783484 req, miss ratio 0.0431, byte miss ratio 0.0431
result/tencentBlock.ns5099.oracleGeneral.zst ARC cache size    23780, 23783484 req, miss ratio 0.0343, byte miss ratio 0.0343
result/tencentBlock.ns5099.oracleGeneral.zst ARC cache size    47561, 23783484 req, miss ratio 0.0312, byte miss ratio 0.0312
result/tencentBlock.ns5099.oracleGeneral.zst ARC cache size    95123, 23783484 req, miss ratio 0.0143, byte miss ratio 0.0143
result/tencentBlock.ns5099.oracleGeneral.zst ARC cache size   190247, 23783484 req, miss ratio 0.0101, byte miss ratio 0.0101
result/tencentBlock.ns5099.oracleGeneral.zst LIRS cache size      237, 23783484 req, miss ratio 0.4070, byte miss ratio 0.4070
result/tencentBlock.ns5099.oracleGeneral.zst LIRS cache size      713, 23783484 req, miss ratio 0.1625, byte miss ratio 0.1625
result/tencentBlock.ns5099.oracleGeneral.zst LIRS cache size     2378, 23783484 req, miss ratio 0.0509, byte miss ratio 0.0509
result/tencentBlock.ns5099.oracleGeneral.zst LIRS cache size     7134, 23783484 req, miss ratio 0.0430, byte miss ratio 0.0430
result/tencentBlock.ns5099.oracleGeneral.zst LIRS cache size    23780, 23783484 req, miss ratio 0.0343, byte miss ratio 0.0343
result/tencentBlock.ns5099.oracleGeneral.zst LIRS cache size    47561, 23783484 req, miss ratio 0.0274, byte miss ratio 0.0274
result/tencentBlock.ns5099.oracleGeneral.zst LIRS cache size    95123, 23783484 req, miss ratio 0.0139, byte miss ratio 0.0139
result/tencentBlock.ns5099.oracleGeneral.zst LIRS cache size   190247, 23783484 req, miss ratio 0.0102, byte miss ratio 0.0102
result/tencentBlock.ns5099.oracleGeneral.zst Cacheus cache size      237, 23783484 req, miss ratio 0.4393, byte miss ratio 0.4393
result/tencentBlock.ns5099.oracleGeneral.zst Cacheus cache size      713, 23783484 req, miss ratio 0.2845, byte miss ratio 0.2845
result/tencentBlock.ns5099.oracleGeneral.zst Cacheus cache size     2378, 23783484 req, miss ratio 0.0531, byte miss ratio 0.0531
result/tencentBlock.ns5099.oracleGeneral.zst Cacheus cache size     7134, 23783484 req, miss ratio 0.0439, byte miss ratio 0.0439
result/tencentBlock.ns5099.oracleGeneral.zst Cacheus cache size    23780, 23783484 req, miss ratio 0.0367, byte miss ratio 0.0367
result/tencentBlock.ns5099.oracleGeneral.zst Cacheus cache size    47561, 23783484 req, miss ratio 0.0331, byte miss ratio 0.0331
result/tencentBlock.ns5099.oracleGeneral.zst Cacheus cache size    95123, 23783484 req, miss ratio 0.0164, byte miss ratio 0.0164
result/tencentBlock.ns5099.oracleGeneral.zst Cacheus cache size   190247, 23783484 req, miss ratio 0.0101, byte miss ratio 0.0101
result/tencentBlock.ns5099.oracleGeneral.zst FIFO cache size      237, 23783484 req, miss ratio 0.4875, byte miss ratio 0.4875
result/tencentBlock.ns5099.oracleGeneral.zst FIFO cache size      713, 23783484 req, miss ratio 0.3144, byte miss ratio 0.3144
result/tencentBlock.ns5099.oracleGeneral.zst FIFO cache size     2378, 23783484 req, miss ratio 0.0827, byte miss ratio 0.0827
result/tencentBlock.ns5099.oracleGeneral.zst FIFO cache size     7134, 23783484 req, miss ratio 0.0571, byte miss ratio 0.0571
result/tencentBlock.ns5099.oracleGeneral.zst FIFO cache size    23780, 23783484 req, miss ratio 0.0430, byte miss ratio 0.0430
result/tencentBlock.ns5099.oracleGeneral.zst FIFO cache size    47561, 23783484 req, miss ratio 0.0361, byte miss ratio 0.0361
result/tencentBlock.ns5099.oracleGeneral.zst FIFO cache size    95123, 23783484 req, miss ratio 0.0209, byte miss ratio 0.0209
result/tencentBlock.ns5099.oracleGeneral.zst FIFO cache size   190247, 23783484 req, miss ratio 0.0113, byte miss ratio 0.0113
result/tencentBlock.ns5099.oracleGeneral.zst LeCaR cache size      237, 23783484 req, miss ratio 0.4284, byte miss ratio 0.4284
result/tencentBlock.ns5099.oracleGeneral.zst LeCaR cache size      713, 23783484 req, miss ratio 0.1698, byte miss ratio 0.1698
result/tencentBlock.ns5099.oracleGeneral.zst LeCaR cache size     2378, 23783484 req, miss ratio 0.0531, byte miss ratio 0.0531
result/tencentBlock.ns5099.oracleGeneral.zst LeCaR cache size     7134, 23783484 req, miss ratio 0.0489, byte miss ratio 0.0489
result/tencentBlock.ns5099.oracleGeneral.zst LeCaR cache size    23780, 23783484 req, miss ratio 0.0385, byte miss ratio 0.0385
result/tencentBlock.ns5099.oracleGeneral.zst LeCaR cache size    47561, 23783484 req, miss ratio 0.0319, byte miss ratio 0.0319
result/tencentBlock.ns5099.oracleGeneral.zst LeCaR cache size    95123, 23783484 req, miss ratio 0.0154, byte miss ratio 0.0154
result/tencentBlock.ns5099.oracleGeneral.zst LeCaR cache size   190247, 23783484 req, miss ratio 0.0101, byte miss ratio 0.0101
result/tencentBlock.ns5099.oracleGeneral.zst Clock cache size      237, 23783484 req, miss ratio 0.4571, byte miss ratio 0.4571
result/tencentBlock.ns5099.oracleGeneral.zst Clock cache size      713, 23783484 req, miss ratio 0.2756, byte miss ratio 0.2756
result/tencentBlock.ns5099.oracleGeneral.zst Clock cache size     2378, 23783484 req, miss ratio 0.0548, byte miss ratio 0.0548
