result/cdn1_sjc.ns626.oracleGeneral.bin.zst FIFO cache size    31337, 1736230 req, miss ratio 0.1384, byte miss ratio 0.1384
result/cdn1_sjc.ns626.oracleGeneral.bin.zst FIFO cache size    62675, 1736230 req, miss ratio 0.1080, byte miss ratio 0.1080
result/cdn1_sjc.ns626.oracleGeneral.bin.zst FIFO cache size   125350, 1736230 req, miss ratio 0.0930, byte miss ratio 0.0930
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LRU cache size      156, 1736230 req, miss ratio 0.8582, byte miss ratio 0.8582
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LRU cache size      470, 1736230 req, miss ratio 0.8005, byte miss ratio 0.8005
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LRU cache size     1566, 1736230 req, miss ratio 0.6415, byte miss ratio 0.6415
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LRU cache size     4700, 1736230 req, miss ratio 0.3790, byte miss ratio 0.3790
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LRU cache size    15668, 1736230 req, miss ratio 0.1460, byte miss ratio 0.1460
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LRU cache size    31337, 1736230 req, miss ratio 0.1103, byte miss ratio 0.1103
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LRU cache size    62675, 1736230 req, miss ratio 0.0942, byte miss ratio 0.0942
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LRU cache size   125350, 1736230 req, miss ratio 0.0903, byte miss ratio 0.0903
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LIRS cache size      156, 1736230 req, miss ratio 0.8586, byte miss ratio 0.8586
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LIRS cache size      470, 1736230 req, miss ratio 0.7613, byte miss ratio 0.7613
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LIRS cache size     1566, 1736230 req, miss ratio 0.5598, byte miss ratio 0.5598
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LIRS cache size     4700, 1736230 req, miss ratio 0.2937, byte miss ratio 0.2937
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LIRS cache size    15668, 1736230 req, miss ratio 0.1271, byte miss ratio 0.1271
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LIRS cache size    31337, 1736230 req, miss ratio 0.1069, byte miss ratio 0.1069
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LIRS cache size    62675, 1736230 req, miss ratio 0.0993, byte miss ratio 0.0993
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LIRS cache size   125350, 1736230 req, miss ratio 0.0915, byte miss ratio 0.0915
result/cdn1_sjc.ns626.oracleGeneral.bin.zst Clock cache size      156, 1736230 req, miss ratio 0.8581, byte miss ratio 0.8581
result/cdn1_sjc.ns626.oracleGeneral.bin.zst Clock cache size      470, 1736230 req, miss ratio 0.7994, byte miss ratio 0.7994
result/cdn1_sjc.ns626.oracleGeneral.bin.zst Clock cache size     1566, 1736230 req, miss ratio 0.6301, byte miss ratio 0.6301
result/cdn1_sjc.ns626.oracleGeneral.bin.zst Clock cache size     4700, 1736230 req, miss ratio 0.3595, byte miss ratio 0.3595
result/cdn1_sjc.ns626.oracleGeneral.bin.zst Clock cache size    15668, 1736230 req, miss ratio 0.1397, byte miss ratio 0.1397
result/cdn1_sjc.ns626.oracleGeneral.bin.zst Clock cache size    31337, 1736230 req, miss ratio 0.1065, byte miss ratio 0.1065
result/cdn1_sjc.ns626.oracleGeneral.bin.zst Clock cache size    62675, 1736230 req, miss ratio 0.0933, byte miss ratio 0.0933
