result/tencentBlock.ns12690.oracleGeneral.zst clock2 cache size       89, 2983217 req, miss ratio 0.4132, byte miss ratio 0.4132
result/tencentBlock.ns12690.oracleGeneral.zst clock2 cache size      267, 2983217 req, miss ratio 0.2338, byte miss ratio 0.2338
result/tencentBlock.ns12690.oracleGeneral.zst clock2 cache size      892, 2983217 req, miss ratio 0.1592, byte miss ratio 0.1592
result/tencentBlock.ns12690.oracleGeneral.zst clock2 cache size     2676, 2983217 req, miss ratio 0.1481, byte miss ratio 0.1481
result/tencentBlock.ns12690.oracleGeneral.zst clock2 cache size     8921, 2983217 req, miss ratio 0.1333, byte miss ratio 0.1333
result/tencentBlock.ns12690.oracleGeneral.zst clock2 cache size    17842, 2983217 req, miss ratio 0.0879, byte miss ratio 0.0879
result/tencentBlock.ns12690.oracleGeneral.zst clock2 cache size    35684, 2983217 req, miss ratio 0.0402, byte miss ratio 0.0402
result/tencentBlock.ns12690.oracleGeneral.zst clock2 cache size    71368, 2983217 req, miss ratio 0.0304, byte miss ratio 0.0304
result/tencentBlock.ns12690.oracleGeneral.zst FIFO cache size       89, 2983217 req, miss ratio 0.4933, byte miss ratio 0.4933
result/tencentBlock.ns12690.oracleGeneral.zst FIFO cache size      267, 2983217 req, miss ratio 0.2866, byte miss ratio 0.2866
result/tencentBlock.ns12690.oracleGeneral.zst FIFO cache size      892, 2983217 req, miss ratio 0.1846, byte miss ratio 0.1846
result/tencentBlock.ns12690.oracleGeneral.zst FIFO cache size     2676, 2983217 req, miss ratio 0.1592, byte miss ratio 0.1592
result/tencentBlock.ns12690.oracleGeneral.zst FIFO cache size     8921, 2983217 req, miss ratio 0.1291, byte miss ratio 0.1291
result/tencentBlock.ns12690.oracleGeneral.zst FIFO cache size    17842, 2983217 req, miss ratio 0.0929, byte miss ratio 0.0929
result/tencentBlock.ns12690.oracleGeneral.zst FIFO cache size    35684, 2983217 req, miss ratio 0.0491, byte miss ratio 0.0491
result/tencentBlock.ns12690.oracleGeneral.zst FIFO cache size    71368, 2983217 req, miss ratio 0.0380, byte miss ratio 0.0380
result/tencentBlock.ns12690.oracleGeneral.zst ARC cache size       89, 2983217 req, miss ratio 0.3040, byte miss ratio 0.3040
result/tencentBlock.ns12690.oracleGeneral.zst ARC cache size      267, 2983217 req, miss ratio 0.1948, byte miss ratio 0.1948
result/tencentBlock.ns12690.oracleGeneral.zst ARC cache size      892, 2983217 req, miss ratio 0.1542, byte miss ratio 0.1542
result/tencentBlock.ns12690.oracleGeneral.zst ARC cache size     2676, 2983217 req, miss ratio 0.1395, byte miss ratio 0.1395
result/tencentBlock.ns12690.oracleGeneral.zst ARC cache size     8921, 2983217 req, miss ratio 0.1145, byte miss ratio 0.1145
result/tencentBlock.ns12690.oracleGeneral.zst ARC cache size    17842, 2983217 req, miss ratio 0.0805, byte miss ratio 0.0805
result/tencentBlock.ns12690.oracleGeneral.zst ARC cache size    35684, 2983217 req, miss ratio 0.0357, byte miss ratio 0.0357
result/tencentBlock.ns12690.oracleGeneral.zst ARC cache size    71368, 2983217 req, miss ratio 0.0304, byte miss ratio 0.0304
result/tencentBlock.ns12690.oracleGeneral.zst LeCaR cache size       89, 2983217 req, miss ratio 0.3781, byte miss ratio 0.3781
result/tencentBlock.ns12690.oracleGeneral.zst LeCaR cache size      267, 2983217 req, miss ratio 0.2110, byte miss ratio 0.2110
result/tencentBlock.ns12690.oracleGeneral.zst LeCaR cache size      892, 2983217 req, miss ratio 0.1587, byte miss ratio 0.1587
result/tencentBlock.ns12690.oracleGeneral.zst LeCaR cache size     2676, 2983217 req, miss ratio 0.1456, byte miss ratio 0.1456
result/tencentBlock.ns12690.oracleGeneral.zst LeCaR cache size     8921, 2983217 req, miss ratio 0.1217, byte miss ratio 0.1217
result/tencentBlock.ns12690.oracleGeneral.zst LeCaR cache size    17842, 2983217 req, miss ratio 0.0810, byte miss ratio 0.0810
result/tencentBlock.ns12690.oracleGeneral.zst LeCaR cache size    35684, 2983217 req, miss ratio 0.0365, byte miss ratio 0.0365
result/tencentBlock.ns12690.oracleGeneral.zst LeCaR cache size    71368, 2983217 req, miss ratio 0.0308, byte miss ratio 0.0308
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-d-1 cache size       89, 2983217 req, miss ratio 0.3066, byte miss ratio 0.3066
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-d-1 cache size      267, 2983217 req, miss ratio 0.1966, byte miss ratio 0.1966
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-d-1 cache size      892, 2983217 req, miss ratio 0.1530, byte miss ratio 0.1530
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-d-1 cache size     2676, 2983217 req, miss ratio 0.1374, byte miss ratio 0.1374
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-d-1 cache size     8921, 2983217 req, miss ratio 0.1091, byte miss ratio 0.1091
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-d-1 cache size    17842, 2983217 req, miss ratio 0.0822, byte miss ratio 0.0822
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-d-1 cache size    35684, 2983217 req, miss ratio 0.0375, byte miss ratio 0.0375
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-d-1 cache size    71368, 2983217 req, miss ratio 0.0304, byte miss ratio 0.0304
result/tencentBlock.ns12690.oracleGeneral.zst LRB cache size       89, 2983217 req, miss ratio 0.3778, byte miss ratio 0.3778
result/tencentBlock.ns12690.oracleGeneral.zst LRB cache size      267, 2983217 req, miss ratio 0.2124, byte miss ratio 0.2124
result/tencentBlock.ns12690.oracleGeneral.zst LRB cache size      892, 2983217 req, miss ratio 0.1592, byte miss ratio 0.1592
result/tencentBlock.ns12690.oracleGeneral.zst LRB cache size     2676, 2983217 req, miss ratio 0.1314, byte miss ratio 0.1314
result/tencentBlock.ns12690.oracleGeneral.zst LRB cache size     8921, 2983217 req, miss ratio 0.1028, byte miss ratio 0.1028
result/tencentBlock.ns12690.oracleGeneral.zst LRB cache size    17842, 2983217 req, miss ratio 0.0654, byte miss ratio 0.0654
result/tencentBlock.ns12690.oracleGeneral.zst LRB cache size    35684, 2983217 req, miss ratio 0.0425, byte miss ratio 0.0425
result/tencentBlock.ns12690.oracleGeneral.zst LRB cache size    71368, 2983217 req, miss ratio 0.0320, byte miss ratio 0.0320
result/tencentBlock.ns12690.oracleGeneral.zst B-LRU cache size       89, 2983217 req, miss ratio 0.4354, byte miss ratio 0.4354
result/tencentBlock.ns12690.oracleGeneral.zst B-LRU cache size      267, 2983217 req, miss ratio 0.2368, byte miss ratio 0.2368
result/tencentBlock.ns12690.oracleGeneral.zst B-LRU cache size      892, 2983217 req, miss ratio 0.1700, byte miss ratio 0.1700
result/tencentBlock.ns12690.oracleGeneral.zst B-LRU cache size     2676, 2983217 req, miss ratio 0.1595, byte miss ratio 0.1595
result/tencentBlock.ns12690.oracleGeneral.zst B-LRU cache size     8921, 2983217 req, miss ratio 0.1278, byte miss ratio 0.1278
result/tencentBlock.ns12690.oracleGeneral.zst B-LRU cache size    17842, 2983217 req, miss ratio 0.0913, byte miss ratio 0.0913
result/tencentBlock.ns12690.oracleGeneral.zst B-LRU cache size    35684, 2983217 req, miss ratio 0.0525, byte miss ratio 0.0525
result/tencentBlock.ns12690.oracleGeneral.zst B-LRU cache size    71368, 2983217 req, miss ratio 0.0497, byte miss ratio 0.0497
result/tencentBlock.ns12690.oracleGeneral.zst S4LRU(25:25:25:25) cache size       89, 2983217 req, miss ratio 0.3585, byte miss ratio 0.3585
result/tencentBlock.ns12690.oracleGeneral.zst S4LRU(25:25:25:25) cache size      267, 2983217 req, miss ratio 0.2268, byte miss ratio 0.2268
result/tencentBlock.ns12690.oracleGeneral.zst S4LRU(25:25:25:25) cache size      892, 2983217 req, miss ratio 0.1568, byte miss ratio 0.1568
result/tencentBlock.ns12690.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2676, 2983217 req, miss ratio 0.1448, byte miss ratio 0.1448
result/tencentBlock.ns12690.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8921, 2983217 req, miss ratio 0.1225, byte miss ratio 0.1225
result/tencentBlock.ns12690.oracleGeneral.zst S4LRU(25:25:25:25) cache size    17842, 2983217 req, miss ratio 0.0982, byte miss ratio 0.0982
