result/io_traces.ns44.oracleGeneral.zst FIFO cache size     3792, 3200000 req, miss ratio 0.5718, byte miss ratio 0.5718
result/io_traces.ns44.oracleGeneral.zst FIFO cache size    11378, 3200000 req, miss ratio 0.5368, byte miss ratio 0.5368
result/io_traces.ns44.oracleGeneral.zst FIFO cache size    37927, 3200000 req, miss ratio 0.4676, byte miss ratio 0.4676
result/io_traces.ns44.oracleGeneral.zst FIFO cache size    75855, 3200000 req, miss ratio 0.2805, byte miss ratio 0.2805
result/io_traces.ns44.oracleGeneral.zst FIFO cache size   151710, 3200000 req, miss ratio 0.1887, byte miss ratio 0.1887
result/io_traces.ns44.oracleGeneral.zst FIFO cache size   303421, 3200000 req, miss ratio 0.1359, byte miss ratio 0.1359
result/io_traces.ns44.oracleGeneral.zst Clock cache size      379, 3200000 req, miss ratio 0.6238, byte miss ratio 0.6238
result/io_traces.ns44.oracleGeneral.zst Clock cache size     1137, 3200000 req, miss ratio 0.5900, byte miss ratio 0.5900
result/io_traces.ns44.oracleGeneral.zst Clock cache size     3792, 3200000 req, miss ratio 0.5604, byte miss ratio 0.5604
result/io_traces.ns44.oracleGeneral.zst Clock cache size    11378, 3200000 req, miss ratio 0.5295, byte miss ratio 0.5295
result/io_traces.ns44.oracleGeneral.zst Clock cache size    37927, 3200000 req, miss ratio 0.4546, byte miss ratio 0.4546
result/io_traces.ns44.oracleGeneral.zst Clock cache size    75855, 3200000 req, miss ratio 0.2062, byte miss ratio 0.2062
result/io_traces.ns44.oracleGeneral.zst Clock cache size   151710, 3200000 req, miss ratio 0.1516, byte miss ratio 0.1516
result/io_traces.ns44.oracleGeneral.zst Clock cache size   303421, 3200000 req, miss ratio 0.1198, byte miss ratio 0.1198
result/io_traces.ns44.oracleGeneral.zst Cacheus cache size      379, 3200000 req, miss ratio 0.6085, byte miss ratio 0.6085
result/io_traces.ns44.oracleGeneral.zst Cacheus cache size     1137, 3200000 req, miss ratio 0.5757, byte miss ratio 0.5757
result/io_traces.ns44.oracleGeneral.zst Cacheus cache size     3792, 3200000 req, miss ratio 0.5525, byte miss ratio 0.5525
result/io_traces.ns44.oracleGeneral.zst Cacheus cache size    11378, 3200000 req, miss ratio 0.4888, byte miss ratio 0.4888
result/io_traces.ns44.oracleGeneral.zst Cacheus cache size    37927, 3200000 req, miss ratio 0.4519, byte miss ratio 0.4519
result/io_traces.ns44.oracleGeneral.zst Cacheus cache size    75855, 3200000 req, miss ratio 0.1970, byte miss ratio 0.1970
result/io_traces.ns44.oracleGeneral.zst Cacheus cache size   151710, 3200000 req, miss ratio 0.1466, byte miss ratio 0.1466
result/io_traces.ns44.oracleGeneral.zst Cacheus cache size   303421, 3200000 req, miss ratio 0.1199, byte miss ratio 0.1199
result/io_traces.ns44.oracleGeneral.zst ARC cache size      379, 3200000 req, miss ratio 0.6031, byte miss ratio 0.6031
result/io_traces.ns44.oracleGeneral.zst ARC cache size     1137, 3200000 req, miss ratio 0.5754, byte miss ratio 0.5754
result/io_traces.ns44.oracleGeneral.zst ARC cache size     3792, 3200000 req, miss ratio 0.5526, byte miss ratio 0.5526
result/io_traces.ns44.oracleGeneral.zst ARC cache size    11378, 3200000 req, miss ratio 0.4736, byte miss ratio 0.4736
result/io_traces.ns44.oracleGeneral.zst ARC cache size    37927, 3200000 req, miss ratio 0.3161, byte miss ratio 0.3161
result/io_traces.ns44.oracleGeneral.zst ARC cache size    75855, 3200000 req, miss ratio 0.1901, byte miss ratio 0.1901
result/io_traces.ns44.oracleGeneral.zst ARC cache size   151710, 3200000 req, miss ratio 0.1426, byte miss ratio 0.1426
result/io_traces.ns44.oracleGeneral.zst ARC cache size   303421, 3200000 req, miss ratio 0.1198, byte miss ratio 0.1198
result/io_traces.ns44.oracleGeneral.zst S3FIFO-d-1 cache size      379, 3200000 req, miss ratio 0.6009, byte miss ratio 0.6009
result/io_traces.ns44.oracleGeneral.zst S3FIFO-d-1 cache size     1137, 3200000 req, miss ratio 0.5733, byte miss ratio 0.5733
result/io_traces.ns44.oracleGeneral.zst S3FIFO-d-1 cache size     3792, 3200000 req, miss ratio 0.5422, byte miss ratio 0.5422
result/io_traces.ns44.oracleGeneral.zst S3FIFO-d-1 cache size    11378, 3200000 req, miss ratio 0.4697, byte miss ratio 0.4697
result/io_traces.ns44.oracleGeneral.zst S3FIFO-d-1 cache size    37927, 3200000 req, miss ratio 0.3114, byte miss ratio 0.3114
result/io_traces.ns44.oracleGeneral.zst S3FIFO-d-1 cache size    75855, 3200000 req, miss ratio 0.1887, byte miss ratio 0.1887
result/io_traces.ns44.oracleGeneral.zst S3FIFO-d-1 cache size   151710, 3200000 req, miss ratio 0.1410, byte miss ratio 0.1410
result/io_traces.ns44.oracleGeneral.zst S3FIFO-d-1 cache size   303421, 3200000 req, miss ratio 0.1198, byte miss ratio 0.1198
result/io_traces.ns44.oracleGeneral.zst LRB cache size      379, 3200000 req, miss ratio 0.6152, byte miss ratio 0.6152
result/io_traces.ns44.oracleGeneral.zst LRB cache size     1137, 3200000 req, miss ratio 0.5726, byte miss ratio 0.5726
result/io_traces.ns44.oracleGeneral.zst LRB cache size     3792, 3200000 req, miss ratio 0.5210, byte miss ratio 0.5210
result/io_traces.ns44.oracleGeneral.zst LRB cache size    11378, 3200000 req, miss ratio 0.4569, byte miss ratio 0.4569
result/io_traces.ns44.oracleGeneral.zst LRB cache size    37927, 3200000 req, miss ratio 0.2974, byte miss ratio 0.2974
result/io_traces.ns44.oracleGeneral.zst LRB cache size    75855, 3200000 req, miss ratio 0.2071, byte miss ratio 0.2071
result/io_traces.ns44.oracleGeneral.zst LRB cache size   151710, 3200000 req, miss ratio 0.1442, byte miss ratio 0.1442
result/io_traces.ns44.oracleGeneral.zst LRB cache size   303421, 3200000 req, miss ratio 0.1217, byte miss ratio 0.1217
result/io_traces.ns44.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      379, 3200000 req, miss ratio 0.6295, byte miss ratio 0.6295
result/io_traces.ns44.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1137, 3200000 req, miss ratio 0.5945, byte miss ratio 0.5945
result/io_traces.ns44.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3792, 3200000 req, miss ratio 0.5651, byte miss ratio 0.5651
result/io_traces.ns44.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11378, 3200000 req, miss ratio 0.5259, byte miss ratio 0.5259
result/io_traces.ns44.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    37927, 3200000 req, miss ratio 0.3998, byte miss ratio 0.3998
