result/tencentBlock.ns8673.oracleGeneral.zst Cacheus cache size      268, 16815371 req, miss ratio 0.4760, byte miss ratio 0.4760
result/tencentBlock.ns8673.oracleGeneral.zst Cacheus cache size      804, 16815371 req, miss ratio 0.4377, byte miss ratio 0.4377
result/tencentBlock.ns8673.oracleGeneral.zst Cacheus cache size     2682, 16815371 req, miss ratio 0.4135, byte miss ratio 0.4135
result/tencentBlock.ns8673.oracleGeneral.zst Cacheus cache size     8048, 16815371 req, miss ratio 0.2935, byte miss ratio 0.2935
result/tencentBlock.ns8673.oracleGeneral.zst Cacheus cache size    26827, 16815371 req, miss ratio 0.1360, byte miss ratio 0.1360
result/tencentBlock.ns8673.oracleGeneral.zst Cacheus cache size    53654, 16815371 req, miss ratio 0.0518, byte miss ratio 0.0518
result/tencentBlock.ns8673.oracleGeneral.zst Cacheus cache size   107308, 16815371 req, miss ratio 0.0235, byte miss ratio 0.0235
result/tencentBlock.ns8673.oracleGeneral.zst Cacheus cache size   214616, 16815371 req, miss ratio 0.0160, byte miss ratio 0.0160
result/tencentBlock.ns8673.oracleGeneral.zst LIRS cache size      268, 16815371 req, miss ratio 0.4668, byte miss ratio 0.4668
result/tencentBlock.ns8673.oracleGeneral.zst LIRS cache size      804, 16815371 req, miss ratio 0.4353, byte miss ratio 0.4353
result/tencentBlock.ns8673.oracleGeneral.zst LIRS cache size     2682, 16815371 req, miss ratio 0.4050, byte miss ratio 0.4050
result/tencentBlock.ns8673.oracleGeneral.zst LIRS cache size     8048, 16815371 req, miss ratio 0.2633, byte miss ratio 0.2633
result/tencentBlock.ns8673.oracleGeneral.zst LIRS cache size    26827, 16815371 req, miss ratio 0.0787, byte miss ratio 0.0787
result/tencentBlock.ns8673.oracleGeneral.zst LIRS cache size    53654, 16815371 req, miss ratio 0.0481, byte miss ratio 0.0481
result/tencentBlock.ns8673.oracleGeneral.zst LIRS cache size   107308, 16815371 req, miss ratio 0.0229, byte miss ratio 0.0229
result/tencentBlock.ns8673.oracleGeneral.zst LIRS cache size   214616, 16815371 req, miss ratio 0.0164, byte miss ratio 0.0164
result/tencentBlock.ns8673.oracleGeneral.zst LRU cache size      268, 16815371 req, miss ratio 0.5182, byte miss ratio 0.5182
result/tencentBlock.ns8673.oracleGeneral.zst LRU cache size      804, 16815371 req, miss ratio 0.4593, byte miss ratio 0.4593
result/tencentBlock.ns8673.oracleGeneral.zst LRU cache size     2682, 16815371 req, miss ratio 0.4389, byte miss ratio 0.4389
result/tencentBlock.ns8673.oracleGeneral.zst LRU cache size     8048, 16815371 req, miss ratio 0.3495, byte miss ratio 0.3495
result/tencentBlock.ns8673.oracleGeneral.zst LRU cache size    26827, 16815371 req, miss ratio 0.1844, byte miss ratio 0.1844
result/tencentBlock.ns8673.oracleGeneral.zst LRU cache size    53654, 16815371 req, miss ratio 0.0577, byte miss ratio 0.0577
result/tencentBlock.ns8673.oracleGeneral.zst LRU cache size   107308, 16815371 req, miss ratio 0.0288, byte miss ratio 0.0288
result/tencentBlock.ns8673.oracleGeneral.zst LRU cache size   214616, 16815371 req, miss ratio 0.0160, byte miss ratio 0.0160
result/tencentBlock.ns8673.oracleGeneral.zst clock2 cache size      268, 16815371 req, miss ratio 0.5086, byte miss ratio 0.5086
result/tencentBlock.ns8673.oracleGeneral.zst clock2 cache size      804, 16815371 req, miss ratio 0.4560, byte miss ratio 0.4560
result/tencentBlock.ns8673.oracleGeneral.zst clock2 cache size     2682, 16815371 req, miss ratio 0.4355, byte miss ratio 0.4355
result/tencentBlock.ns8673.oracleGeneral.zst clock2 cache size     8048, 16815371 req, miss ratio 0.3484, byte miss ratio 0.3484
result/tencentBlock.ns8673.oracleGeneral.zst clock2 cache size    26827, 16815371 req, miss ratio 0.2023, byte miss ratio 0.2023
result/tencentBlock.ns8673.oracleGeneral.zst clock2 cache size    53654, 16815371 req, miss ratio 0.0547, byte miss ratio 0.0547
result/tencentBlock.ns8673.oracleGeneral.zst clock2 cache size   107308, 16815371 req, miss ratio 0.0291, byte miss ratio 0.0291
result/tencentBlock.ns8673.oracleGeneral.zst clock2 cache size   214616, 16815371 req, miss ratio 0.0160, byte miss ratio 0.0160
result/tencentBlock.ns8673.oracleGeneral.zst FIFO cache size      268, 16815371 req, miss ratio 0.5969, byte miss ratio 0.5969
result/tencentBlock.ns8673.oracleGeneral.zst FIFO cache size      804, 16815371 req, miss ratio 0.4900, byte miss ratio 0.4900
result/tencentBlock.ns8673.oracleGeneral.zst FIFO cache size     2682, 16815371 req, miss ratio 0.4500, byte miss ratio 0.4500
result/tencentBlock.ns8673.oracleGeneral.zst FIFO cache size     8048, 16815371 req, miss ratio 0.3538, byte miss ratio 0.3538
result/tencentBlock.ns8673.oracleGeneral.zst FIFO cache size    26827, 16815371 req, miss ratio 0.2448, byte miss ratio 0.2448
result/tencentBlock.ns8673.oracleGeneral.zst FIFO cache size    53654, 16815371 req, miss ratio 0.0987, byte miss ratio 0.0987
result/tencentBlock.ns8673.oracleGeneral.zst FIFO cache size   107308, 16815371 req, miss ratio 0.0410, byte miss ratio 0.0410
result/tencentBlock.ns8673.oracleGeneral.zst FIFO cache size   214616, 16815371 req, miss ratio 0.0195, byte miss ratio 0.0195
result/tencentBlock.ns8673.oracleGeneral.zst ARC cache size      268, 16815371 req, miss ratio 0.4689, byte miss ratio 0.4689
result/tencentBlock.ns8673.oracleGeneral.zst ARC cache size      804, 16815371 req, miss ratio 0.4325, byte miss ratio 0.4325
result/tencentBlock.ns8673.oracleGeneral.zst ARC cache size     2682, 16815371 req, miss ratio 0.4047, byte miss ratio 0.4047
result/tencentBlock.ns8673.oracleGeneral.zst ARC cache size     8048, 16815371 req, miss ratio 0.2634, byte miss ratio 0.2634
result/tencentBlock.ns8673.oracleGeneral.zst ARC cache size    26827, 16815371 req, miss ratio 0.0862, byte miss ratio 0.0862
result/tencentBlock.ns8673.oracleGeneral.zst ARC cache size    53654, 16815371 req, miss ratio 0.0527, byte miss ratio 0.0527
result/tencentBlock.ns8673.oracleGeneral.zst ARC cache size   107308, 16815371 req, miss ratio 0.0238, byte miss ratio 0.0238
result/tencentBlock.ns8673.oracleGeneral.zst ARC cache size   214616, 16815371 req, miss ratio 0.0160, byte miss ratio 0.0160
result/tencentBlock.ns8673.oracleGeneral.zst LHD cache size      268, 16815371 req, miss ratio 0.5073, byte miss ratio 0.5073
result/tencentBlock.ns8673.oracleGeneral.zst LHD cache size      804, 16815371 req, miss ratio 0.4512, byte miss ratio 0.4512
result/tencentBlock.ns8673.oracleGeneral.zst LHD cache size     2682, 16815371 req, miss ratio 0.4119, byte miss ratio 0.4119
result/tencentBlock.ns8673.oracleGeneral.zst LHD cache size     8048, 16815371 req, miss ratio 0.3156, byte miss ratio 0.3156
result/tencentBlock.ns8673.oracleGeneral.zst LHD cache size    26827, 16815371 req, miss ratio 0.0981, byte miss ratio 0.0981
result/tencentBlock.ns8673.oracleGeneral.zst LHD cache size    53654, 16815371 req, miss ratio 0.0526, byte miss ratio 0.0526
result/tencentBlock.ns8673.oracleGeneral.zst LHD cache size   107308, 16815371 req, miss ratio 0.0259, byte miss ratio 0.0259
result/tencentBlock.ns8673.oracleGeneral.zst LHD cache size   214616, 16815371 req, miss ratio 0.0161, byte miss ratio 0.0161
result/tencentBlock.ns8673.oracleGeneral.zst S3FIFO-1 cache size      268, 16815371 req, miss ratio 0.4719, byte miss ratio 0.4719
result/tencentBlock.ns8673.oracleGeneral.zst S3FIFO-1 cache size      804, 16815371 req, miss ratio 0.4319, byte miss ratio 0.4319
result/tencentBlock.ns8673.oracleGeneral.zst S3FIFO-1 cache size     2682, 16815371 req, miss ratio 0.4031, byte miss ratio 0.4031
result/tencentBlock.ns8673.oracleGeneral.zst S3FIFO-1 cache size     8048, 16815371 req, miss ratio 0.2704, byte miss ratio 0.2704
result/tencentBlock.ns8673.oracleGeneral.zst S3FIFO-1 cache size    26827, 16815371 req, miss ratio 0.0877, byte miss ratio 0.0877
result/tencentBlock.ns8673.oracleGeneral.zst S3FIFO-1 cache size    53654, 16815371 req, miss ratio 0.0518, byte miss ratio 0.0518
result/tencentBlock.ns8673.oracleGeneral.zst S3FIFO-1 cache size   107308, 16815371 req, miss ratio 0.0256, byte miss ratio 0.0256
result/tencentBlock.ns8673.oracleGeneral.zst S3FIFO-1 cache size   214616, 16815371 req, miss ratio 0.0160, byte miss ratio 0.0160
result/tencentBlock.ns8673.oracleGeneral.zst LeCaR cache size      268, 16815371 req, miss ratio 0.5075, byte miss ratio 0.5075
result/tencentBlock.ns8673.oracleGeneral.zst LeCaR cache size      804, 16815371 req, miss ratio 0.4528, byte miss ratio 0.4528
result/tencentBlock.ns8673.oracleGeneral.zst LeCaR cache size     2682, 16815371 req, miss ratio 0.4244, byte miss ratio 0.4244
result/tencentBlock.ns8673.oracleGeneral.zst LeCaR cache size     8048, 16815371 req, miss ratio 0.2996, byte miss ratio 0.2996
result/tencentBlock.ns8673.oracleGeneral.zst LeCaR cache size    26827, 16815371 req, miss ratio 0.1037, byte miss ratio 0.1037
result/tencentBlock.ns8673.oracleGeneral.zst LeCaR cache size    53654, 16815371 req, miss ratio 0.0549, byte miss ratio 0.0549
result/tencentBlock.ns8673.oracleGeneral.zst LeCaR cache size   107308, 16815371 req, miss ratio 0.0260, byte miss ratio 0.0260
result/tencentBlock.ns8673.oracleGeneral.zst LeCaR cache size   214616, 16815371 req, miss ratio 0.0160, byte miss ratio 0.0160
result/tencentBlock.ns8673.oracleGeneral.zst Clock cache size      268, 16815371 req, miss ratio 0.5121, byte miss ratio 0.5121
result/tencentBlock.ns8673.oracleGeneral.zst Clock cache size      804, 16815371 req, miss ratio 0.4576, byte miss ratio 0.4576
result/tencentBlock.ns8673.oracleGeneral.zst Clock cache size     2682, 16815371 req, miss ratio 0.4375, byte miss ratio 0.4375
result/tencentBlock.ns8673.oracleGeneral.zst Clock cache size     8048, 16815371 req, miss ratio 0.3528, byte miss ratio 0.3528
result/tencentBlock.ns8673.oracleGeneral.zst Clock cache size    26827, 16815371 req, miss ratio 0.1768, byte miss ratio 0.1768
result/tencentBlock.ns8673.oracleGeneral.zst Clock cache size    53654, 16815371 req, miss ratio 0.0561, byte miss ratio 0.0561
result/tencentBlock.ns8673.oracleGeneral.zst Clock cache size   107308, 16815371 req, miss ratio 0.0280, byte miss ratio 0.0280
result/tencentBlock.ns8673.oracleGeneral.zst Clock cache size   214616, 16815371 req, miss ratio 0.0160, byte miss ratio 0.0160
result/tencentBlock.ns8673.oracleGeneral.zst S3FIFO-d-1 cache size      268, 16815371 req, miss ratio 0.4784, byte miss ratio 0.4784
result/tencentBlock.ns8673.oracleGeneral.zst S3FIFO-d-1 cache size      804, 16815371 req, miss ratio 0.4318, byte miss ratio 0.4318
result/tencentBlock.ns8673.oracleGeneral.zst S3FIFO-d-1 cache size     2682, 16815371 req, miss ratio 0.4032, byte miss ratio 0.4032
result/tencentBlock.ns8673.oracleGeneral.zst S3FIFO-d-1 cache size     8048, 16815371 req, miss ratio 0.2641, byte miss ratio 0.2641
result/tencentBlock.ns8673.oracleGeneral.zst S3FIFO-d-1 cache size    26827, 16815371 req, miss ratio 0.0848, byte miss ratio 0.0848
result/tencentBlock.ns8673.oracleGeneral.zst S3FIFO-d-1 cache size    53654, 16815371 req, miss ratio 0.0510, byte miss ratio 0.0510
result/tencentBlock.ns8673.oracleGeneral.zst S3FIFO-d-1 cache size   107308, 16815371 req, miss ratio 0.0262, byte miss ratio 0.0262
result/tencentBlock.ns8673.oracleGeneral.zst S3FIFO-d-1 cache size   214616, 16815371 req, miss ratio 0.0160, byte miss ratio 0.0160
result/tencentBlock.ns8673.oracleGeneral.zst LRB cache size      268, 16815371 req, miss ratio 0.4807, byte miss ratio 0.4807
result/tencentBlock.ns8673.oracleGeneral.zst LRB cache size      804, 16815371 req, miss ratio 0.4362, byte miss ratio 0.4362
result/tencentBlock.ns8673.oracleGeneral.zst LRB cache size     2682, 16815371 req, miss ratio 0.3897, byte miss ratio 0.3897
result/tencentBlock.ns8673.oracleGeneral.zst LRB cache size     8048, 16815371 req, miss ratio 0.2644, byte miss ratio 0.2644
result/tencentBlock.ns8673.oracleGeneral.zst LRB cache size    26827, 16815371 req, miss ratio 0.0803, byte miss ratio 0.0803
result/tencentBlock.ns8673.oracleGeneral.zst LRB cache size    53654, 16815371 req, miss ratio 0.0475, byte miss ratio 0.0475
result/tencentBlock.ns8673.oracleGeneral.zst LRB cache size   107308, 16815371 req, miss ratio 0.0266, byte miss ratio 0.0266
result/tencentBlock.ns8673.oracleGeneral.zst LRB cache size   214616, 16815371 req, miss ratio 0.0176, byte miss ratio 0.0176
result/tencentBlock.ns8673.oracleGeneral.zst S4LRU(25:25:25:25) cache size      268, 16815371 req, miss ratio 0.4876, byte miss ratio 0.4876
result/tencentBlock.ns8673.oracleGeneral.zst S4LRU(25:25:25:25) cache size      804, 16815371 req, miss ratio 0.4397, byte miss ratio 0.4397
result/tencentBlock.ns8673.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2682, 16815371 req, miss ratio 0.4103, byte miss ratio 0.4103
result/tencentBlock.ns8673.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8048, 16815371 req, miss ratio 0.3717, byte miss ratio 0.3717
result/tencentBlock.ns8673.oracleGeneral.zst S4LRU(25:25:25:25) cache size    26827, 16815371 req, miss ratio 0.1249, byte miss ratio 0.1249
result/tencentBlock.ns8673.oracleGeneral.zst S4LRU(25:25:25:25) cache size    53654, 16815371 req, miss ratio 0.0526, byte miss ratio 0.0526
result/tencentBlock.ns8673.oracleGeneral.zst S4LRU(25:25:25:25) cache size   107308, 16815371 req, miss ratio 0.0276, byte miss ratio 0.0276
result/tencentBlock.ns8673.oracleGeneral.zst S4LRU(25:25:25:25) cache size   214616, 16815371 req, miss ratio 0.0160, byte miss ratio 0.0160
result/tencentBlock.ns8673.oracleGeneral.zst B-LRU cache size      268, 16815371 req, miss ratio 0.5157, byte miss ratio 0.5157
