result/cdn2_allcolo.ns238.oracleGeneral.zst LRU cache size      789, 1519690 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns238.oracleGeneral.zst LRU cache size     1579, 1519690 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns238.oracleGeneral.zst LIRS cache size        5, 1519690 req, miss ratio 0.6324, byte miss ratio 0.6324
result/cdn2_allcolo.ns238.oracleGeneral.zst LIRS cache size       19, 1519690 req, miss ratio 0.3406, byte miss ratio 0.3406
result/cdn2_allcolo.ns238.oracleGeneral.zst LIRS cache size       59, 1519690 req, miss ratio 0.0773, byte miss ratio 0.0773
result/cdn2_allcolo.ns238.oracleGeneral.zst LIRS cache size      197, 1519690 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn2_allcolo.ns238.oracleGeneral.zst LIRS cache size      394, 1519690 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns238.oracleGeneral.zst LIRS cache size      789, 1519690 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns238.oracleGeneral.zst LIRS cache size     1579, 1519690 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-1 cache size        5, 1519690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-1 cache size       19, 1519690 req, miss ratio 0.3314, byte miss ratio 0.3314
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-1 cache size       59, 1519690 req, miss ratio 0.0781, byte miss ratio 0.0781
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-1 cache size      197, 1519690 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-1 cache size      394, 1519690 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-1 cache size      789, 1519690 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-1 cache size     1579, 1519690 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns238.oracleGeneral.zst Cacheus cache size        5, 1519690 req, miss ratio 0.6940, byte miss ratio 0.6940
result/cdn2_allcolo.ns238.oracleGeneral.zst Cacheus cache size       19, 1519690 req, miss ratio 0.3935, byte miss ratio 0.3935
result/cdn2_allcolo.ns238.oracleGeneral.zst Cacheus cache size       59, 1519690 req, miss ratio 0.0979, byte miss ratio 0.0979
result/cdn2_allcolo.ns238.oracleGeneral.zst Cacheus cache size      197, 1519690 req, miss ratio 0.0098, byte miss ratio 0.0098
result/cdn2_allcolo.ns238.oracleGeneral.zst Cacheus cache size      394, 1519690 req, miss ratio 0.0023, byte miss ratio 0.0023
