result/io_traces.ns127.oracleGeneral.zst FIFO cache size     6448, 3800000 req, miss ratio 0.4441, byte miss ratio 0.4441
result/io_traces.ns127.oracleGeneral.zst FIFO cache size    21493, 3800000 req, miss ratio 0.3141, byte miss ratio 0.3141
result/io_traces.ns127.oracleGeneral.zst FIFO cache size    42987, 3800000 req, miss ratio 0.1996, byte miss ratio 0.1996
result/io_traces.ns127.oracleGeneral.zst FIFO cache size    85974, 3800000 req, miss ratio 0.0978, byte miss ratio 0.0978
result/io_traces.ns127.oracleGeneral.zst FIFO cache size   171948, 3800000 req, miss ratio 0.0708, byte miss ratio 0.0708
result/io_traces.ns127.oracleGeneral.zst LeCaR cache size      214, 3800000 req, miss ratio 0.4714, byte miss ratio 0.4714
result/io_traces.ns127.oracleGeneral.zst LeCaR cache size      644, 3800000 req, miss ratio 0.4648, byte miss ratio 0.4648
result/io_traces.ns127.oracleGeneral.zst LeCaR cache size     2149, 3800000 req, miss ratio 0.4536, byte miss ratio 0.4536
result/io_traces.ns127.oracleGeneral.zst LeCaR cache size     6448, 3800000 req, miss ratio 0.4309, byte miss ratio 0.4309
result/io_traces.ns127.oracleGeneral.zst LeCaR cache size    21493, 3800000 req, miss ratio 0.3006, byte miss ratio 0.3006
result/io_traces.ns127.oracleGeneral.zst LeCaR cache size    42987, 3800000 req, miss ratio 0.1444, byte miss ratio 0.1444
result/io_traces.ns127.oracleGeneral.zst LeCaR cache size    85974, 3800000 req, miss ratio 0.0684, byte miss ratio 0.0684
result/io_traces.ns127.oracleGeneral.zst LeCaR cache size   171948, 3800000 req, miss ratio 0.0591, byte miss ratio 0.0591
result/io_traces.ns127.oracleGeneral.zst S3FIFO-1 cache size      214, 3800000 req, miss ratio 0.4714, byte miss ratio 0.4714
result/io_traces.ns127.oracleGeneral.zst S3FIFO-1 cache size      644, 3800000 req, miss ratio 0.4609, byte miss ratio 0.4609
result/io_traces.ns127.oracleGeneral.zst S3FIFO-1 cache size     2149, 3800000 req, miss ratio 0.4315, byte miss ratio 0.4315
result/io_traces.ns127.oracleGeneral.zst S3FIFO-1 cache size     6448, 3800000 req, miss ratio 0.4123, byte miss ratio 0.4123
result/io_traces.ns127.oracleGeneral.zst S3FIFO-1 cache size    21493, 3800000 req, miss ratio 0.2899, byte miss ratio 0.2899
result/io_traces.ns127.oracleGeneral.zst S3FIFO-1 cache size    42987, 3800000 req, miss ratio 0.1289, byte miss ratio 0.1289
result/io_traces.ns127.oracleGeneral.zst S3FIFO-1 cache size    85974, 3800000 req, miss ratio 0.0703, byte miss ratio 0.0703
result/io_traces.ns127.oracleGeneral.zst S3FIFO-1 cache size   171948, 3800000 req, miss ratio 0.0577, byte miss ratio 0.0577
result/io_traces.ns127.oracleGeneral.zst Clock cache size      214, 3800000 req, miss ratio 0.4754, byte miss ratio 0.4754
result/io_traces.ns127.oracleGeneral.zst Clock cache size      644, 3800000 req, miss ratio 0.4656, byte miss ratio 0.4656
result/io_traces.ns127.oracleGeneral.zst Clock cache size     2149, 3800000 req, miss ratio 0.4553, byte miss ratio 0.4553
result/io_traces.ns127.oracleGeneral.zst Clock cache size     6448, 3800000 req, miss ratio 0.4327, byte miss ratio 0.4327
result/io_traces.ns127.oracleGeneral.zst Clock cache size    21493, 3800000 req, miss ratio 0.3119, byte miss ratio 0.3119
