result/tencentBlock.ns9365.oracleGeneral.zst Clock cache size      369, 1612912 req, miss ratio 0.7184, byte miss ratio 0.7184
result/tencentBlock.ns9365.oracleGeneral.zst Clock cache size     1108, 1612912 req, miss ratio 0.7105, byte miss ratio 0.7105
result/tencentBlock.ns9365.oracleGeneral.zst Clock cache size     3695, 1612912 req, miss ratio 0.7041, byte miss ratio 0.7041
result/tencentBlock.ns9365.oracleGeneral.zst Clock cache size    11087, 1612912 req, miss ratio 0.6999, byte miss ratio 0.6999
result/tencentBlock.ns9365.oracleGeneral.zst Clock cache size    36958, 1612912 req, miss ratio 0.6659, byte miss ratio 0.6659
result/tencentBlock.ns9365.oracleGeneral.zst Clock cache size    73916, 1612912 req, miss ratio 0.6247, byte miss ratio 0.6247
result/tencentBlock.ns9365.oracleGeneral.zst Clock cache size   147832, 1612912 req, miss ratio 0.4073, byte miss ratio 0.4073
result/tencentBlock.ns9365.oracleGeneral.zst Clock cache size   295665, 1612912 req, miss ratio 0.2330, byte miss ratio 0.2330
result/tencentBlock.ns9365.oracleGeneral.zst Cacheus cache size      369, 1612912 req, miss ratio 0.7110, byte miss ratio 0.7110
result/tencentBlock.ns9365.oracleGeneral.zst Cacheus cache size     1108, 1612912 req, miss ratio 0.7058, byte miss ratio 0.7058
result/tencentBlock.ns9365.oracleGeneral.zst Cacheus cache size     3695, 1612912 req, miss ratio 0.7021, byte miss ratio 0.7021
result/tencentBlock.ns9365.oracleGeneral.zst Cacheus cache size    11087, 1612912 req, miss ratio 0.6962, byte miss ratio 0.6962
result/tencentBlock.ns9365.oracleGeneral.zst Cacheus cache size    36958, 1612912 req, miss ratio 0.6389, byte miss ratio 0.6389
result/tencentBlock.ns9365.oracleGeneral.zst Cacheus cache size    73916, 1612912 req, miss ratio 0.5512, byte miss ratio 0.5512
result/tencentBlock.ns9365.oracleGeneral.zst Cacheus cache size   147832, 1612912 req, miss ratio 0.3903, byte miss ratio 0.3903
result/tencentBlock.ns9365.oracleGeneral.zst Cacheus cache size   295665, 1612912 req, miss ratio 0.2323, byte miss ratio 0.2323
result/tencentBlock.ns9365.oracleGeneral.zst LIRS cache size      369, 1612912 req, miss ratio 0.7587, byte miss ratio 0.7587
result/tencentBlock.ns9365.oracleGeneral.zst LIRS cache size     1108, 1612912 req, miss ratio 0.7390, byte miss ratio 0.7390
result/tencentBlock.ns9365.oracleGeneral.zst LIRS cache size     3695, 1612912 req, miss ratio 0.7109, byte miss ratio 0.7109
result/tencentBlock.ns9365.oracleGeneral.zst LIRS cache size    11087, 1612912 req, miss ratio 0.6936, byte miss ratio 0.6936
result/tencentBlock.ns9365.oracleGeneral.zst LIRS cache size    36958, 1612912 req, miss ratio 0.6072, byte miss ratio 0.6072
result/tencentBlock.ns9365.oracleGeneral.zst LIRS cache size    73916, 1612912 req, miss ratio 0.5074, byte miss ratio 0.5074
result/tencentBlock.ns9365.oracleGeneral.zst LIRS cache size   147832, 1612912 req, miss ratio 0.3411, byte miss ratio 0.3411
result/tencentBlock.ns9365.oracleGeneral.zst LIRS cache size   295665, 1612912 req, miss ratio 0.2338, byte miss ratio 0.2338
result/tencentBlock.ns9365.oracleGeneral.zst LRU cache size      369, 1612912 req, miss ratio 0.7208, byte miss ratio 0.7208
result/tencentBlock.ns9365.oracleGeneral.zst LRU cache size     1108, 1612912 req, miss ratio 0.7112, byte miss ratio 0.7112
result/tencentBlock.ns9365.oracleGeneral.zst LRU cache size     3695, 1612912 req, miss ratio 0.7045, byte miss ratio 0.7045
result/tencentBlock.ns9365.oracleGeneral.zst LRU cache size    11087, 1612912 req, miss ratio 0.7002, byte miss ratio 0.7002
result/tencentBlock.ns9365.oracleGeneral.zst LRU cache size    36958, 1612912 req, miss ratio 0.6640, byte miss ratio 0.6640
result/tencentBlock.ns9365.oracleGeneral.zst LRU cache size    73916, 1612912 req, miss ratio 0.6281, byte miss ratio 0.6281
result/tencentBlock.ns9365.oracleGeneral.zst LRU cache size   147832, 1612912 req, miss ratio 0.3773, byte miss ratio 0.3773
result/tencentBlock.ns9365.oracleGeneral.zst LRU cache size   295665, 1612912 req, miss ratio 0.2321, byte miss ratio 0.2321
result/tencentBlock.ns9365.oracleGeneral.zst LeCaR cache size      369, 1612912 req, miss ratio 0.7161, byte miss ratio 0.7161
result/tencentBlock.ns9365.oracleGeneral.zst LeCaR cache size     1108, 1612912 req, miss ratio 0.7093, byte miss ratio 0.7093
result/tencentBlock.ns9365.oracleGeneral.zst LeCaR cache size     3695, 1612912 req, miss ratio 0.7043, byte miss ratio 0.7043
result/tencentBlock.ns9365.oracleGeneral.zst LeCaR cache size    11087, 1612912 req, miss ratio 0.6997, byte miss ratio 0.6997
result/tencentBlock.ns9365.oracleGeneral.zst LeCaR cache size    36958, 1612912 req, miss ratio 0.6622, byte miss ratio 0.6622
result/tencentBlock.ns9365.oracleGeneral.zst LeCaR cache size    73916, 1612912 req, miss ratio 0.6265, byte miss ratio 0.6265
result/tencentBlock.ns9365.oracleGeneral.zst LeCaR cache size   147832, 1612912 req, miss ratio 0.3670, byte miss ratio 0.3670
result/tencentBlock.ns9365.oracleGeneral.zst LeCaR cache size   295665, 1612912 req, miss ratio 0.2320, byte miss ratio 0.2320
