result/tencentBlock.ns17709.oracleGeneral.zst FIFO cache size       97, 5755608 req, miss ratio 0.8574, byte miss ratio 0.8574
result/tencentBlock.ns17709.oracleGeneral.zst FIFO cache size      291, 5755608 req, miss ratio 0.5728, byte miss ratio 0.5728
result/tencentBlock.ns17709.oracleGeneral.zst FIFO cache size      971, 5755608 req, miss ratio 0.1253, byte miss ratio 0.1253
result/tencentBlock.ns17709.oracleGeneral.zst FIFO cache size     2915, 5755608 req, miss ratio 0.0970, byte miss ratio 0.0970
result/tencentBlock.ns17709.oracleGeneral.zst FIFO cache size     9718, 5755608 req, miss ratio 0.0892, byte miss ratio 0.0892
result/tencentBlock.ns17709.oracleGeneral.zst FIFO cache size    19437, 5755608 req, miss ratio 0.0851, byte miss ratio 0.0851
result/tencentBlock.ns17709.oracleGeneral.zst FIFO cache size    38875, 5755608 req, miss ratio 0.0572, byte miss ratio 0.0572
result/tencentBlock.ns17709.oracleGeneral.zst FIFO cache size    77751, 5755608 req, miss ratio 0.0266, byte miss ratio 0.0266
result/tencentBlock.ns17709.oracleGeneral.zst LeCaR cache size       97, 5755608 req, miss ratio 0.8059, byte miss ratio 0.8059
result/tencentBlock.ns17709.oracleGeneral.zst LeCaR cache size      291, 5755608 req, miss ratio 0.3733, byte miss ratio 0.3733
result/tencentBlock.ns17709.oracleGeneral.zst LeCaR cache size      971, 5755608 req, miss ratio 0.0941, byte miss ratio 0.0941
result/tencentBlock.ns17709.oracleGeneral.zst LeCaR cache size     2915, 5755608 req, miss ratio 0.0887, byte miss ratio 0.0887
result/tencentBlock.ns17709.oracleGeneral.zst LeCaR cache size     9718, 5755608 req, miss ratio 0.0861, byte miss ratio 0.0861
result/tencentBlock.ns17709.oracleGeneral.zst LeCaR cache size    19437, 5755608 req, miss ratio 0.0808, byte miss ratio 0.0808
result/tencentBlock.ns17709.oracleGeneral.zst LeCaR cache size    38875, 5755608 req, miss ratio 0.0611, byte miss ratio 0.0611
result/tencentBlock.ns17709.oracleGeneral.zst LeCaR cache size    77751, 5755608 req, miss ratio 0.0178, byte miss ratio 0.0178
result/tencentBlock.ns17709.oracleGeneral.zst LRU cache size       97, 5755608 req, miss ratio 0.8406, byte miss ratio 0.8406
result/tencentBlock.ns17709.oracleGeneral.zst LRU cache size      291, 5755608 req, miss ratio 0.5453, byte miss ratio 0.5453
result/tencentBlock.ns17709.oracleGeneral.zst LRU cache size      971, 5755608 req, miss ratio 0.0954, byte miss ratio 0.0954
result/tencentBlock.ns17709.oracleGeneral.zst LRU cache size     2915, 5755608 req, miss ratio 0.0891, byte miss ratio 0.0891
result/tencentBlock.ns17709.oracleGeneral.zst LRU cache size     9718, 5755608 req, miss ratio 0.0870, byte miss ratio 0.0870
