result/cdn2_allcolo.ns4644.oracleGeneral.zst Cacheus cache size     6060, 1073735 req, miss ratio 0.0203, byte miss ratio 0.0203
result/cdn2_allcolo.ns4644.oracleGeneral.zst Cacheus cache size    12120, 1073735 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns4644.oracleGeneral.zst LIRS cache size       15, 1073735 req, miss ratio 0.2555, byte miss ratio 0.2555
result/cdn2_allcolo.ns4644.oracleGeneral.zst LIRS cache size       45, 1073735 req, miss ratio 0.1833, byte miss ratio 0.1833
result/cdn2_allcolo.ns4644.oracleGeneral.zst LIRS cache size      151, 1073735 req, miss ratio 0.1248, byte miss ratio 0.1248
result/cdn2_allcolo.ns4644.oracleGeneral.zst LIRS cache size      454, 1073735 req, miss ratio 0.0712, byte miss ratio 0.0712
result/cdn2_allcolo.ns4644.oracleGeneral.zst LIRS cache size     1515, 1073735 req, miss ratio 0.0436, byte miss ratio 0.0436
result/cdn2_allcolo.ns4644.oracleGeneral.zst LIRS cache size     3030, 1073735 req, miss ratio 0.0303, byte miss ratio 0.0303
result/cdn2_allcolo.ns4644.oracleGeneral.zst LIRS cache size     6060, 1073735 req, miss ratio 0.0199, byte miss ratio 0.0199
result/cdn2_allcolo.ns4644.oracleGeneral.zst LIRS cache size    12120, 1073735 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns4644.oracleGeneral.zst clock2 cache size       15, 1073735 req, miss ratio 0.2829, byte miss ratio 0.2829
result/cdn2_allcolo.ns4644.oracleGeneral.zst clock2 cache size       45, 1073735 req, miss ratio 0.1942, byte miss ratio 0.1942
result/cdn2_allcolo.ns4644.oracleGeneral.zst clock2 cache size      151, 1073735 req, miss ratio 0.1361, byte miss ratio 0.1361
result/cdn2_allcolo.ns4644.oracleGeneral.zst clock2 cache size      454, 1073735 req, miss ratio 0.0714, byte miss ratio 0.0714
result/cdn2_allcolo.ns4644.oracleGeneral.zst clock2 cache size     1515, 1073735 req, miss ratio 0.0416, byte miss ratio 0.0416
result/cdn2_allcolo.ns4644.oracleGeneral.zst clock2 cache size     3030, 1073735 req, miss ratio 0.0300, byte miss ratio 0.0300
result/cdn2_allcolo.ns4644.oracleGeneral.zst clock2 cache size     6060, 1073735 req, miss ratio 0.0197, byte miss ratio 0.0197
result/cdn2_allcolo.ns4644.oracleGeneral.zst clock2 cache size    12120, 1073735 req, miss ratio 0.0146, byte miss ratio 0.0146
result/cdn2_allcolo.ns4644.oracleGeneral.zst ARC cache size       15, 1073735 req, miss ratio 0.2600, byte miss ratio 0.2600
result/cdn2_allcolo.ns4644.oracleGeneral.zst ARC cache size       45, 1073735 req, miss ratio 0.1814, byte miss ratio 0.1814
result/cdn2_allcolo.ns4644.oracleGeneral.zst ARC cache size      151, 1073735 req, miss ratio 0.1238, byte miss ratio 0.1238
result/cdn2_allcolo.ns4644.oracleGeneral.zst ARC cache size      454, 1073735 req, miss ratio 0.0699, byte miss ratio 0.0699
result/cdn2_allcolo.ns4644.oracleGeneral.zst ARC cache size     1515, 1073735 req, miss ratio 0.0425, byte miss ratio 0.0425
result/cdn2_allcolo.ns4644.oracleGeneral.zst ARC cache size     3030, 1073735 req, miss ratio 0.0296, byte miss ratio 0.0296
result/cdn2_allcolo.ns4644.oracleGeneral.zst ARC cache size     6060, 1073735 req, miss ratio 0.0199, byte miss ratio 0.0199
result/cdn2_allcolo.ns4644.oracleGeneral.zst ARC cache size    12120, 1073735 req, miss ratio 0.0146, byte miss ratio 0.0146
result/cdn2_allcolo.ns4644.oracleGeneral.zst FIFO cache size       15, 1073735 req, miss ratio 0.3917, byte miss ratio 0.3917
result/cdn2_allcolo.ns4644.oracleGeneral.zst FIFO cache size       45, 1073735 req, miss ratio 0.2505, byte miss ratio 0.2505
result/cdn2_allcolo.ns4644.oracleGeneral.zst FIFO cache size      151, 1073735 req, miss ratio 0.1667, byte miss ratio 0.1667
result/cdn2_allcolo.ns4644.oracleGeneral.zst FIFO cache size      454, 1073735 req, miss ratio 0.0989, byte miss ratio 0.0989
result/cdn2_allcolo.ns4644.oracleGeneral.zst FIFO cache size     1515, 1073735 req, miss ratio 0.0547, byte miss ratio 0.0547
result/cdn2_allcolo.ns4644.oracleGeneral.zst FIFO cache size     3030, 1073735 req, miss ratio 0.0390, byte miss ratio 0.0390
result/cdn2_allcolo.ns4644.oracleGeneral.zst FIFO cache size     6060, 1073735 req, miss ratio 0.0256, byte miss ratio 0.0256
result/cdn2_allcolo.ns4644.oracleGeneral.zst FIFO cache size    12120, 1073735 req, miss ratio 0.0166, byte miss ratio 0.0166
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-d-1 cache size       15, 1073735 req, miss ratio 0.2499, byte miss ratio 0.2499
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-d-1 cache size       45, 1073735 req, miss ratio 0.1777, byte miss ratio 0.1777
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-d-1 cache size      151, 1073735 req, miss ratio 0.1197, byte miss ratio 0.1197
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-d-1 cache size      454, 1073735 req, miss ratio 0.0670, byte miss ratio 0.0670
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-d-1 cache size     1515, 1073735 req, miss ratio 0.0387, byte miss ratio 0.0387
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-d-1 cache size     3030, 1073735 req, miss ratio 0.0279, byte miss ratio 0.0279
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-d-1 cache size     6060, 1073735 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-d-1 cache size    12120, 1073735 req, miss ratio 0.0146, byte miss ratio 0.0146
result/cdn2_allcolo.ns4644.oracleGeneral.zst LRB cache size       15, 1073735 req, miss ratio 0.2688, byte miss ratio 0.2688
result/cdn2_allcolo.ns4644.oracleGeneral.zst LRB cache size       45, 1073735 req, miss ratio 0.1806, byte miss ratio 0.1806
result/cdn2_allcolo.ns4644.oracleGeneral.zst LRB cache size      151, 1073735 req, miss ratio 0.1193, byte miss ratio 0.1193
result/cdn2_allcolo.ns4644.oracleGeneral.zst LRB cache size      454, 1073735 req, miss ratio 0.0666, byte miss ratio 0.0666
result/cdn2_allcolo.ns4644.oracleGeneral.zst LRB cache size     1515, 1073735 req, miss ratio 0.0398, byte miss ratio 0.0398
result/cdn2_allcolo.ns4644.oracleGeneral.zst LRB cache size     3030, 1073735 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns4644.oracleGeneral.zst LRB cache size     6060, 1073735 req, miss ratio 0.0199, byte miss ratio 0.0199
result/cdn2_allcolo.ns4644.oracleGeneral.zst LRB cache size    12120, 1073735 req, miss ratio 0.0146, byte miss ratio 0.0146
result/cdn2_allcolo.ns4644.oracleGeneral.zst TwoQ cache size       15, 1073735 req, miss ratio 0.2635, byte miss ratio 0.2635
result/cdn2_allcolo.ns4644.oracleGeneral.zst TwoQ cache size       45, 1073735 req, miss ratio 0.1817, byte miss ratio 0.1817
result/cdn2_allcolo.ns4644.oracleGeneral.zst TwoQ cache size      151, 1073735 req, miss ratio 0.1211, byte miss ratio 0.1211
result/cdn2_allcolo.ns4644.oracleGeneral.zst TwoQ cache size      454, 1073735 req, miss ratio 0.0680, byte miss ratio 0.0680
result/cdn2_allcolo.ns4644.oracleGeneral.zst TwoQ cache size     1515, 1073735 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn2_allcolo.ns4644.oracleGeneral.zst TwoQ cache size     3030, 1073735 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns4644.oracleGeneral.zst TwoQ cache size     6060, 1073735 req, miss ratio 0.0217, byte miss ratio 0.0217
result/cdn2_allcolo.ns4644.oracleGeneral.zst TwoQ cache size    12120, 1073735 req, miss ratio 0.0166, byte miss ratio 0.0166
result/cdn2_allcolo.ns4644.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       15, 1073735 req, miss ratio 0.3917, byte miss ratio 0.3917
result/cdn2_allcolo.ns4644.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       45, 1073735 req, miss ratio 0.2505, byte miss ratio 0.2505
result/cdn2_allcolo.ns4644.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      151, 1073735 req, miss ratio 0.1433, byte miss ratio 0.1433
result/cdn2_allcolo.ns4644.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      454, 1073735 req, miss ratio 0.0814, byte miss ratio 0.0814
result/cdn2_allcolo.ns4644.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1515, 1073735 req, miss ratio 0.0443, byte miss ratio 0.0443
result/cdn2_allcolo.ns4644.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3030, 1073735 req, miss ratio 0.0319, byte miss ratio 0.0319
result/cdn2_allcolo.ns4644.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6060, 1073735 req, miss ratio 0.0210, byte miss ratio 0.0210
result/cdn2_allcolo.ns4644.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    12120, 1073735 req, miss ratio 0.0157, byte miss ratio 0.0157
result/cdn2_allcolo.ns4644.oracleGeneral.zst S4LRU(25:25:25:25) cache size       15, 1073735 req, miss ratio 0.2742, byte miss ratio 0.2742
result/cdn2_allcolo.ns4644.oracleGeneral.zst S4LRU(25:25:25:25) cache size       45, 1073735 req, miss ratio 0.1815, byte miss ratio 0.1815
result/cdn2_allcolo.ns4644.oracleGeneral.zst S4LRU(25:25:25:25) cache size      151, 1073735 req, miss ratio 0.1236, byte miss ratio 0.1236
result/cdn2_allcolo.ns4644.oracleGeneral.zst S4LRU(25:25:25:25) cache size      454, 1073735 req, miss ratio 0.0686, byte miss ratio 0.0686
result/cdn2_allcolo.ns4644.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1515, 1073735 req, miss ratio 0.0399, byte miss ratio 0.0399
