result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    11812, 166503119 req, miss ratio 0.0009, byte miss ratio 0.0009
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    23625, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    47251, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    94503, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst ARC cache size      118, 166503119 req, miss ratio 0.2389, byte miss ratio 0.2389
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst ARC cache size      354, 166503119 req, miss ratio 0.0571, byte miss ratio 0.0571
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst ARC cache size     1181, 166503119 req, miss ratio 0.0078, byte miss ratio 0.0078
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst ARC cache size     3543, 166503119 req, miss ratio 0.0013, byte miss ratio 0.0013
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst ARC cache size    11812, 166503119 req, miss ratio 0.0009, byte miss ratio 0.0009
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst ARC cache size    23625, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst ARC cache size    47251, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst ARC cache size    94503, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LRU cache size      118, 166503119 req, miss ratio 0.2664, byte miss ratio 0.2664
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LRU cache size      354, 166503119 req, miss ratio 0.0599, byte miss ratio 0.0599
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LRU cache size     1181, 166503119 req, miss ratio 0.0076, byte miss ratio 0.0076
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LRU cache size     3543, 166503119 req, miss ratio 0.0013, byte miss ratio 0.0013
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LRU cache size    11812, 166503119 req, miss ratio 0.0009, byte miss ratio 0.0009
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LRU cache size    23625, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
