result/tencentBlock.ns8202.oracleGeneral.zst S3FIFO-1 cache size      168, 2926354 req, miss ratio 0.4235, byte miss ratio 0.4235
result/tencentBlock.ns8202.oracleGeneral.zst S3FIFO-1 cache size      505, 2926354 req, miss ratio 0.3261, byte miss ratio 0.3261
result/tencentBlock.ns8202.oracleGeneral.zst S3FIFO-1 cache size     1684, 2926354 req, miss ratio 0.3039, byte miss ratio 0.3039
result/tencentBlock.ns8202.oracleGeneral.zst S3FIFO-1 cache size     5054, 2926354 req, miss ratio 0.2734, byte miss ratio 0.2734
result/tencentBlock.ns8202.oracleGeneral.zst S3FIFO-1 cache size    16849, 2926354 req, miss ratio 0.2407, byte miss ratio 0.2407
result/tencentBlock.ns8202.oracleGeneral.zst S3FIFO-1 cache size    33699, 2926354 req, miss ratio 0.2016, byte miss ratio 0.2016
result/tencentBlock.ns8202.oracleGeneral.zst S3FIFO-1 cache size    67398, 2926354 req, miss ratio 0.1453, byte miss ratio 0.1453
result/tencentBlock.ns8202.oracleGeneral.zst S3FIFO-1 cache size   134796, 2926354 req, miss ratio 0.0594, byte miss ratio 0.0594
result/tencentBlock.ns8202.oracleGeneral.zst FIFO cache size      168, 2926354 req, miss ratio 0.5440, byte miss ratio 0.5440
result/tencentBlock.ns8202.oracleGeneral.zst FIFO cache size      505, 2926354 req, miss ratio 0.3853, byte miss ratio 0.3853
result/tencentBlock.ns8202.oracleGeneral.zst FIFO cache size     1684, 2926354 req, miss ratio 0.3346, byte miss ratio 0.3346
result/tencentBlock.ns8202.oracleGeneral.zst FIFO cache size     5054, 2926354 req, miss ratio 0.3052, byte miss ratio 0.3052
result/tencentBlock.ns8202.oracleGeneral.zst FIFO cache size    16849, 2926354 req, miss ratio 0.2693, byte miss ratio 0.2693
result/tencentBlock.ns8202.oracleGeneral.zst FIFO cache size    33699, 2926354 req, miss ratio 0.2477, byte miss ratio 0.2477
result/tencentBlock.ns8202.oracleGeneral.zst FIFO cache size    67398, 2926354 req, miss ratio 0.1637, byte miss ratio 0.1637
result/tencentBlock.ns8202.oracleGeneral.zst FIFO cache size   134796, 2926354 req, miss ratio 0.0780, byte miss ratio 0.0780
result/tencentBlock.ns8202.oracleGeneral.zst LIRS cache size      168, 2926354 req, miss ratio 0.4003, byte miss ratio 0.4003
result/tencentBlock.ns8202.oracleGeneral.zst LIRS cache size      505, 2926354 req, miss ratio 0.3317, byte miss ratio 0.3317
result/tencentBlock.ns8202.oracleGeneral.zst LIRS cache size     1684, 2926354 req, miss ratio 0.3109, byte miss ratio 0.3109
result/tencentBlock.ns8202.oracleGeneral.zst LIRS cache size     5054, 2926354 req, miss ratio 0.2776, byte miss ratio 0.2776
result/tencentBlock.ns8202.oracleGeneral.zst LIRS cache size    16849, 2926354 req, miss ratio 0.2400, byte miss ratio 0.2400
result/tencentBlock.ns8202.oracleGeneral.zst LIRS cache size    33699, 2926354 req, miss ratio 0.1968, byte miss ratio 0.1968
result/tencentBlock.ns8202.oracleGeneral.zst LIRS cache size    67398, 2926354 req, miss ratio 0.1209, byte miss ratio 0.1209
result/tencentBlock.ns8202.oracleGeneral.zst LIRS cache size   134796, 2926354 req, miss ratio 0.0603, byte miss ratio 0.0603
result/tencentBlock.ns8202.oracleGeneral.zst Clock cache size      168, 2926354 req, miss ratio 0.5029, byte miss ratio 0.5029
result/tencentBlock.ns8202.oracleGeneral.zst Clock cache size      505, 2926354 req, miss ratio 0.3373, byte miss ratio 0.3373
result/tencentBlock.ns8202.oracleGeneral.zst Clock cache size     1684, 2926354 req, miss ratio 0.3165, byte miss ratio 0.3165
result/tencentBlock.ns8202.oracleGeneral.zst Clock cache size     5054, 2926354 req, miss ratio 0.2898, byte miss ratio 0.2898
result/tencentBlock.ns8202.oracleGeneral.zst Clock cache size    16849, 2926354 req, miss ratio 0.2616, byte miss ratio 0.2616
result/tencentBlock.ns8202.oracleGeneral.zst Clock cache size    33699, 2926354 req, miss ratio 0.2390, byte miss ratio 0.2390
result/tencentBlock.ns8202.oracleGeneral.zst Clock cache size    67398, 2926354 req, miss ratio 0.1872, byte miss ratio 0.1872
result/tencentBlock.ns8202.oracleGeneral.zst Clock cache size   134796, 2926354 req, miss ratio 0.0599, byte miss ratio 0.0599
result/tencentBlock.ns8202.oracleGeneral.zst LRU cache size      168, 2926354 req, miss ratio 0.5080, byte miss ratio 0.5080
result/tencentBlock.ns8202.oracleGeneral.zst LRU cache size      505, 2926354 req, miss ratio 0.3394, byte miss ratio 0.3394
result/tencentBlock.ns8202.oracleGeneral.zst LRU cache size     1684, 2926354 req, miss ratio 0.3173, byte miss ratio 0.3173
result/tencentBlock.ns8202.oracleGeneral.zst LRU cache size     5054, 2926354 req, miss ratio 0.2913, byte miss ratio 0.2913
result/tencentBlock.ns8202.oracleGeneral.zst LRU cache size    16849, 2926354 req, miss ratio 0.2604, byte miss ratio 0.2604
