result/tencentBlock.ns10295.oracleGeneral.zst LIRS cache size      326, 3113246 req, miss ratio 0.6123, byte miss ratio 0.6123
result/tencentBlock.ns10295.oracleGeneral.zst LIRS cache size      979, 3113246 req, miss ratio 0.5591, byte miss ratio 0.5591
result/tencentBlock.ns10295.oracleGeneral.zst LIRS cache size     3265, 3113246 req, miss ratio 0.4731, byte miss ratio 0.4731
result/tencentBlock.ns10295.oracleGeneral.zst LIRS cache size     9796, 3113246 req, miss ratio 0.4103, byte miss ratio 0.4103
result/tencentBlock.ns10295.oracleGeneral.zst LIRS cache size    32653, 3113246 req, miss ratio 0.3147, byte miss ratio 0.3147
result/tencentBlock.ns10295.oracleGeneral.zst LIRS cache size    65307, 3113246 req, miss ratio 0.2498, byte miss ratio 0.2498
result/tencentBlock.ns10295.oracleGeneral.zst LIRS cache size   130614, 3113246 req, miss ratio 0.1468, byte miss ratio 0.1468
result/tencentBlock.ns10295.oracleGeneral.zst LIRS cache size   261228, 3113246 req, miss ratio 0.1096, byte miss ratio 0.1096
result/tencentBlock.ns10295.oracleGeneral.zst LHD cache size      326, 3113246 req, miss ratio 0.6161, byte miss ratio 0.6161
result/tencentBlock.ns10295.oracleGeneral.zst LHD cache size      979, 3113246 req, miss ratio 0.5781, byte miss ratio 0.5781
result/tencentBlock.ns10295.oracleGeneral.zst LHD cache size     3265, 3113246 req, miss ratio 0.5073, byte miss ratio 0.5073
result/tencentBlock.ns10295.oracleGeneral.zst LHD cache size     9796, 3113246 req, miss ratio 0.4384, byte miss ratio 0.4384
result/tencentBlock.ns10295.oracleGeneral.zst LHD cache size    32653, 3113246 req, miss ratio 0.3286, byte miss ratio 0.3286
result/tencentBlock.ns10295.oracleGeneral.zst LHD cache size    65307, 3113246 req, miss ratio 0.2555, byte miss ratio 0.2555
result/tencentBlock.ns10295.oracleGeneral.zst LHD cache size   130614, 3113246 req, miss ratio 0.1495, byte miss ratio 0.1495
result/tencentBlock.ns10295.oracleGeneral.zst LHD cache size   261228, 3113246 req, miss ratio 0.1072, byte miss ratio 0.1072
result/tencentBlock.ns10295.oracleGeneral.zst Clock cache size      326, 3113246 req, miss ratio 0.6263, byte miss ratio 0.6263
result/tencentBlock.ns10295.oracleGeneral.zst Clock cache size      979, 3113246 req, miss ratio 0.5820, byte miss ratio 0.5820
result/tencentBlock.ns10295.oracleGeneral.zst Clock cache size     3265, 3113246 req, miss ratio 0.5221, byte miss ratio 0.5221
result/tencentBlock.ns10295.oracleGeneral.zst Clock cache size     9796, 3113246 req, miss ratio 0.4565, byte miss ratio 0.4565
result/tencentBlock.ns10295.oracleGeneral.zst Clock cache size    32653, 3113246 req, miss ratio 0.3375, byte miss ratio 0.3375
result/tencentBlock.ns10295.oracleGeneral.zst Clock cache size    65307, 3113246 req, miss ratio 0.2719, byte miss ratio 0.2719
result/tencentBlock.ns10295.oracleGeneral.zst Clock cache size   130614, 3113246 req, miss ratio 0.1679, byte miss ratio 0.1679
result/tencentBlock.ns10295.oracleGeneral.zst Clock cache size   261228, 3113246 req, miss ratio 0.1059, byte miss ratio 0.1059
result/tencentBlock.ns10295.oracleGeneral.zst ARC cache size      326, 3113246 req, miss ratio 0.5983, byte miss ratio 0.5983
result/tencentBlock.ns10295.oracleGeneral.zst ARC cache size      979, 3113246 req, miss ratio 0.5521, byte miss ratio 0.5521
result/tencentBlock.ns10295.oracleGeneral.zst ARC cache size     3265, 3113246 req, miss ratio 0.4693, byte miss ratio 0.4693
result/tencentBlock.ns10295.oracleGeneral.zst ARC cache size     9796, 3113246 req, miss ratio 0.4113, byte miss ratio 0.4113
result/tencentBlock.ns10295.oracleGeneral.zst ARC cache size    32653, 3113246 req, miss ratio 0.3124, byte miss ratio 0.3124
result/tencentBlock.ns10295.oracleGeneral.zst ARC cache size    65307, 3113246 req, miss ratio 0.2665, byte miss ratio 0.2665
result/tencentBlock.ns10295.oracleGeneral.zst ARC cache size   130614, 3113246 req, miss ratio 0.1431, byte miss ratio 0.1431
result/tencentBlock.ns10295.oracleGeneral.zst ARC cache size   261228, 3113246 req, miss ratio 0.1059, byte miss ratio 0.1059
result/tencentBlock.ns10295.oracleGeneral.zst clock2 cache size      326, 3113246 req, miss ratio 0.6156, byte miss ratio 0.6156
result/tencentBlock.ns10295.oracleGeneral.zst clock2 cache size      979, 3113246 req, miss ratio 0.5806, byte miss ratio 0.5806
result/tencentBlock.ns10295.oracleGeneral.zst clock2 cache size     3265, 3113246 req, miss ratio 0.5176, byte miss ratio 0.5176
result/tencentBlock.ns10295.oracleGeneral.zst clock2 cache size     9796, 3113246 req, miss ratio 0.4483, byte miss ratio 0.4483
result/tencentBlock.ns10295.oracleGeneral.zst clock2 cache size    32653, 3113246 req, miss ratio 0.3332, byte miss ratio 0.3332
result/tencentBlock.ns10295.oracleGeneral.zst clock2 cache size    65307, 3113246 req, miss ratio 0.2707, byte miss ratio 0.2707
result/tencentBlock.ns10295.oracleGeneral.zst clock2 cache size   130614, 3113246 req, miss ratio 0.1665, byte miss ratio 0.1665
result/tencentBlock.ns10295.oracleGeneral.zst clock2 cache size   261228, 3113246 req, miss ratio 0.1059, byte miss ratio 0.1059
result/tencentBlock.ns10295.oracleGeneral.zst S3FIFO-1 cache size      326, 3113246 req, miss ratio 0.6033, byte miss ratio 0.6033
result/tencentBlock.ns10295.oracleGeneral.zst S3FIFO-1 cache size      979, 3113246 req, miss ratio 0.5487, byte miss ratio 0.5487
result/tencentBlock.ns10295.oracleGeneral.zst S3FIFO-1 cache size     3265, 3113246 req, miss ratio 0.4676, byte miss ratio 0.4676
result/tencentBlock.ns10295.oracleGeneral.zst S3FIFO-1 cache size     9796, 3113246 req, miss ratio 0.4086, byte miss ratio 0.4086
result/tencentBlock.ns10295.oracleGeneral.zst S3FIFO-1 cache size    32653, 3113246 req, miss ratio 0.3151, byte miss ratio 0.3151
result/tencentBlock.ns10295.oracleGeneral.zst S3FIFO-1 cache size    65307, 3113246 req, miss ratio 0.2603, byte miss ratio 0.2603
result/tencentBlock.ns10295.oracleGeneral.zst S3FIFO-1 cache size   130614, 3113246 req, miss ratio 0.1553, byte miss ratio 0.1553
result/tencentBlock.ns10295.oracleGeneral.zst S3FIFO-1 cache size   261228, 3113246 req, miss ratio 0.1059, byte miss ratio 0.1059
result/tencentBlock.ns10295.oracleGeneral.zst LRU cache size      326, 3113246 req, miss ratio 0.6395, byte miss ratio 0.6395
result/tencentBlock.ns10295.oracleGeneral.zst LRU cache size      979, 3113246 req, miss ratio 0.5837, byte miss ratio 0.5837
result/tencentBlock.ns10295.oracleGeneral.zst LRU cache size     3265, 3113246 req, miss ratio 0.5275, byte miss ratio 0.5275
result/tencentBlock.ns10295.oracleGeneral.zst LRU cache size     9796, 3113246 req, miss ratio 0.4620, byte miss ratio 0.4620
result/tencentBlock.ns10295.oracleGeneral.zst LRU cache size    32653, 3113246 req, miss ratio 0.3403, byte miss ratio 0.3403
result/tencentBlock.ns10295.oracleGeneral.zst LRU cache size    65307, 3113246 req, miss ratio 0.2750, byte miss ratio 0.2750
result/tencentBlock.ns10295.oracleGeneral.zst LRU cache size   130614, 3113246 req, miss ratio 0.1547, byte miss ratio 0.1547
result/tencentBlock.ns10295.oracleGeneral.zst LRU cache size   261228, 3113246 req, miss ratio 0.1060, byte miss ratio 0.1060
result/tencentBlock.ns10295.oracleGeneral.zst Cacheus cache size      326, 3113246 req, miss ratio 0.5985, byte miss ratio 0.5985
result/tencentBlock.ns10295.oracleGeneral.zst Cacheus cache size      979, 3113246 req, miss ratio 0.5609, byte miss ratio 0.5609
result/tencentBlock.ns10295.oracleGeneral.zst Cacheus cache size     3265, 3113246 req, miss ratio 0.4830, byte miss ratio 0.4830
result/tencentBlock.ns10295.oracleGeneral.zst Cacheus cache size     9796, 3113246 req, miss ratio 0.4235, byte miss ratio 0.4235
result/tencentBlock.ns10295.oracleGeneral.zst Cacheus cache size    32653, 3113246 req, miss ratio 0.3208, byte miss ratio 0.3208
result/tencentBlock.ns10295.oracleGeneral.zst Cacheus cache size    65307, 3113246 req, miss ratio 0.2689, byte miss ratio 0.2689
result/tencentBlock.ns10295.oracleGeneral.zst Cacheus cache size   130614, 3113246 req, miss ratio 0.1469, byte miss ratio 0.1469
result/tencentBlock.ns10295.oracleGeneral.zst Cacheus cache size   261228, 3113246 req, miss ratio 0.1060, byte miss ratio 0.1060
result/tencentBlock.ns10295.oracleGeneral.zst LeCaR cache size      326, 3113246 req, miss ratio 0.6168, byte miss ratio 0.6168
result/tencentBlock.ns10295.oracleGeneral.zst LeCaR cache size      979, 3113246 req, miss ratio 0.5826, byte miss ratio 0.5826
result/tencentBlock.ns10295.oracleGeneral.zst LeCaR cache size     3265, 3113246 req, miss ratio 0.5238, byte miss ratio 0.5238
result/tencentBlock.ns10295.oracleGeneral.zst LeCaR cache size     9796, 3113246 req, miss ratio 0.4554, byte miss ratio 0.4554
result/tencentBlock.ns10295.oracleGeneral.zst LeCaR cache size    32653, 3113246 req, miss ratio 0.3349, byte miss ratio 0.3349
result/tencentBlock.ns10295.oracleGeneral.zst LeCaR cache size    65307, 3113246 req, miss ratio 0.2695, byte miss ratio 0.2695
result/tencentBlock.ns10295.oracleGeneral.zst LeCaR cache size   130614, 3113246 req, miss ratio 0.1471, byte miss ratio 0.1471
result/tencentBlock.ns10295.oracleGeneral.zst LeCaR cache size   261228, 3113246 req, miss ratio 0.1060, byte miss ratio 0.1060
result/tencentBlock.ns10295.oracleGeneral.zst FIFO cache size      326, 3113246 req, miss ratio 0.7460, byte miss ratio 0.7460
result/tencentBlock.ns10295.oracleGeneral.zst FIFO cache size      979, 3113246 req, miss ratio 0.6326, byte miss ratio 0.6326
result/tencentBlock.ns10295.oracleGeneral.zst FIFO cache size     3265, 3113246 req, miss ratio 0.5531, byte miss ratio 0.5531
result/tencentBlock.ns10295.oracleGeneral.zst FIFO cache size     9796, 3113246 req, miss ratio 0.4882, byte miss ratio 0.4882
result/tencentBlock.ns10295.oracleGeneral.zst FIFO cache size    32653, 3113246 req, miss ratio 0.3715, byte miss ratio 0.3715
result/tencentBlock.ns10295.oracleGeneral.zst FIFO cache size    65307, 3113246 req, miss ratio 0.3053, byte miss ratio 0.3053
result/tencentBlock.ns10295.oracleGeneral.zst FIFO cache size   130614, 3113246 req, miss ratio 0.1884, byte miss ratio 0.1884
result/tencentBlock.ns10295.oracleGeneral.zst FIFO cache size   261228, 3113246 req, miss ratio 0.1180, byte miss ratio 0.1180
result/tencentBlock.ns10295.oracleGeneral.zst S3FIFO-d-1 cache size      326, 3113246 req, miss ratio 0.5966, byte miss ratio 0.5966
result/tencentBlock.ns10295.oracleGeneral.zst S3FIFO-d-1 cache size      979, 3113246 req, miss ratio 0.5485, byte miss ratio 0.5485
result/tencentBlock.ns10295.oracleGeneral.zst S3FIFO-d-1 cache size     3265, 3113246 req, miss ratio 0.4676, byte miss ratio 0.4676
result/tencentBlock.ns10295.oracleGeneral.zst S3FIFO-d-1 cache size     9796, 3113246 req, miss ratio 0.4083, byte miss ratio 0.4083
result/tencentBlock.ns10295.oracleGeneral.zst S3FIFO-d-1 cache size    32653, 3113246 req, miss ratio 0.3154, byte miss ratio 0.3154
result/tencentBlock.ns10295.oracleGeneral.zst S3FIFO-d-1 cache size    65307, 3113246 req, miss ratio 0.2603, byte miss ratio 0.2603
result/tencentBlock.ns10295.oracleGeneral.zst S3FIFO-d-1 cache size   130614, 3113246 req, miss ratio 0.1552, byte miss ratio 0.1552
result/tencentBlock.ns10295.oracleGeneral.zst S3FIFO-d-1 cache size   261228, 3113246 req, miss ratio 0.1059, byte miss ratio 0.1059
result/tencentBlock.ns10295.oracleGeneral.zst LRB cache size      326, 3113246 req, miss ratio 0.6185, byte miss ratio 0.6185
result/tencentBlock.ns10295.oracleGeneral.zst LRB cache size      979, 3113246 req, miss ratio 0.5476, byte miss ratio 0.5476
result/tencentBlock.ns10295.oracleGeneral.zst LRB cache size     3265, 3113246 req, miss ratio 0.4739, byte miss ratio 0.4739
result/tencentBlock.ns10295.oracleGeneral.zst LRB cache size     9796, 3113246 req, miss ratio 0.4146, byte miss ratio 0.4146
result/tencentBlock.ns10295.oracleGeneral.zst LRB cache size    32653, 3113246 req, miss ratio 0.3301, byte miss ratio 0.3301
result/tencentBlock.ns10295.oracleGeneral.zst LRB cache size    65307, 3113246 req, miss ratio 0.2481, byte miss ratio 0.2481
result/tencentBlock.ns10295.oracleGeneral.zst LRB cache size   130614, 3113246 req, miss ratio 0.1377, byte miss ratio 0.1377
result/tencentBlock.ns10295.oracleGeneral.zst LRB cache size   261228, 3113246 req, miss ratio 0.1060, byte miss ratio 0.1060
result/tencentBlock.ns10295.oracleGeneral.zst S4LRU(25:25:25:25) cache size      326, 3113246 req, miss ratio 0.6512, byte miss ratio 0.6512
result/tencentBlock.ns10295.oracleGeneral.zst S4LRU(25:25:25:25) cache size      979, 3113246 req, miss ratio 0.5648, byte miss ratio 0.5648
result/tencentBlock.ns10295.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3265, 3113246 req, miss ratio 0.4811, byte miss ratio 0.4811
result/tencentBlock.ns10295.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9796, 3113246 req, miss ratio 0.4405, byte miss ratio 0.4405
result/tencentBlock.ns10295.oracleGeneral.zst S4LRU(25:25:25:25) cache size    32653, 3113246 req, miss ratio 0.3651, byte miss ratio 0.3651
result/tencentBlock.ns10295.oracleGeneral.zst S4LRU(25:25:25:25) cache size    65307, 3113246 req, miss ratio 0.2558, byte miss ratio 0.2558
result/tencentBlock.ns10295.oracleGeneral.zst S4LRU(25:25:25:25) cache size   130614, 3113246 req, miss ratio 0.1674, byte miss ratio 0.1674
result/tencentBlock.ns10295.oracleGeneral.zst S4LRU(25:25:25:25) cache size   261228, 3113246 req, miss ratio 0.1059, byte miss ratio 0.1059
result/tencentBlock.ns10295.oracleGeneral.zst TwoQ cache size      326, 3113246 req, miss ratio 0.5985, byte miss ratio 0.5985
result/tencentBlock.ns10295.oracleGeneral.zst TwoQ cache size      979, 3113246 req, miss ratio 0.5473, byte miss ratio 0.5473
result/tencentBlock.ns10295.oracleGeneral.zst TwoQ cache size     3265, 3113246 req, miss ratio 0.4687, byte miss ratio 0.4687
result/tencentBlock.ns10295.oracleGeneral.zst TwoQ cache size     9796, 3113246 req, miss ratio 0.4113, byte miss ratio 0.4113
result/tencentBlock.ns10295.oracleGeneral.zst TwoQ cache size    32653, 3113246 req, miss ratio 0.3156, byte miss ratio 0.3156
result/tencentBlock.ns10295.oracleGeneral.zst TwoQ cache size    65307, 3113246 req, miss ratio 0.2533, byte miss ratio 0.2533
result/tencentBlock.ns10295.oracleGeneral.zst TwoQ cache size   130614, 3113246 req, miss ratio 0.1580, byte miss ratio 0.1580
