result/proj_2.IQI.bin.oracleGeneral.zst LRB cache size   161802, 29266482 req, miss ratio 0.9290, byte miss ratio 0.9290
result/proj_2.IQI.bin.oracleGeneral.zst LRB cache size   485407, 29266482 req, miss ratio 0.9072, byte miss ratio 0.9072
result/proj_2.IQI.bin.oracleGeneral.zst LRB cache size  1618024, 29266482 req, miss ratio 0.8798, byte miss ratio 0.8798
result/proj_2.IQI.bin.oracleGeneral.zst LRB cache size  3236048, 29266482 req, miss ratio 0.8295, byte miss ratio 0.8295
result/proj_2.IQI.bin.oracleGeneral.zst LRB cache size  6472096, 29266482 req, miss ratio 0.6982, byte miss ratio 0.6982
result/proj_2.IQI.bin.oracleGeneral.zst LRB cache size 12944193, 29266482 req, miss ratio 0.5569, byte miss ratio 0.5569
result/proj_2.IQI.bin.oracleGeneral.zst TwoQ cache size    16180, 29266482 req, miss ratio 0.9828, byte miss ratio 0.9828
result/proj_2.IQI.bin.oracleGeneral.zst TwoQ cache size    48540, 29266482 req, miss ratio 0.9650, byte miss ratio 0.9650
result/proj_2.IQI.bin.oracleGeneral.zst TwoQ cache size   161802, 29266482 req, miss ratio 0.9162, byte miss ratio 0.9162
result/proj_2.IQI.bin.oracleGeneral.zst TwoQ cache size   485407, 29266482 req, miss ratio 0.8805, byte miss ratio 0.8805
result/proj_2.IQI.bin.oracleGeneral.zst TwoQ cache size  1618024, 29266482 req, miss ratio 0.8385, byte miss ratio 0.8385
result/proj_2.IQI.bin.oracleGeneral.zst TwoQ cache size  3236048, 29266482 req, miss ratio 0.8038, byte miss ratio 0.8038
result/proj_2.IQI.bin.oracleGeneral.zst TwoQ cache size  6472096, 29266482 req, miss ratio 0.6833, byte miss ratio 0.6833
result/proj_2.IQI.bin.oracleGeneral.zst TwoQ cache size 12944193, 29266482 req, miss ratio 0.5604, byte miss ratio 0.5604
result/proj_2.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    16180, 29266482 req, miss ratio 0.9845, byte miss ratio 0.9845
result/proj_2.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    48540, 29266482 req, miss ratio 0.9683, byte miss ratio 0.9683
result/proj_2.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   161802, 29266482 req, miss ratio 0.9336, byte miss ratio 0.9336
result/proj_2.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   485407, 29266482 req, miss ratio 0.8998, byte miss ratio 0.8998
result/proj_2.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1618024, 29266482 req, miss ratio 0.8424, byte miss ratio 0.8424
