result/tencentBlock.ns12518.oracleGeneral.zst LHD cache size      403, 4164203 req, miss ratio 0.4338, byte miss ratio 0.4338
result/tencentBlock.ns12518.oracleGeneral.zst LHD cache size     1209, 4164203 req, miss ratio 0.3207, byte miss ratio 0.3207
result/tencentBlock.ns12518.oracleGeneral.zst LHD cache size     4031, 4164203 req, miss ratio 0.2287, byte miss ratio 0.2287
result/tencentBlock.ns12518.oracleGeneral.zst LHD cache size    12095, 4164203 req, miss ratio 0.1965, byte miss ratio 0.1965
result/tencentBlock.ns12518.oracleGeneral.zst LHD cache size    40317, 4164203 req, miss ratio 0.1489, byte miss ratio 0.1489
result/tencentBlock.ns12518.oracleGeneral.zst LHD cache size    80634, 4164203 req, miss ratio 0.1202, byte miss ratio 0.1202
result/tencentBlock.ns12518.oracleGeneral.zst LHD cache size   161268, 4164203 req, miss ratio 0.1043, byte miss ratio 0.1043
result/tencentBlock.ns12518.oracleGeneral.zst LHD cache size   322536, 4164203 req, miss ratio 0.0972, byte miss ratio 0.0972
result/tencentBlock.ns12518.oracleGeneral.zst Cacheus cache size      403, 4164203 req, miss ratio 0.4221, byte miss ratio 0.4221
result/tencentBlock.ns12518.oracleGeneral.zst Cacheus cache size     1209, 4164203 req, miss ratio 0.3148, byte miss ratio 0.3148
result/tencentBlock.ns12518.oracleGeneral.zst Cacheus cache size     4031, 4164203 req, miss ratio 0.2268, byte miss ratio 0.2268
result/tencentBlock.ns12518.oracleGeneral.zst Cacheus cache size    12095, 4164203 req, miss ratio 0.1974, byte miss ratio 0.1974
result/tencentBlock.ns12518.oracleGeneral.zst Cacheus cache size    40317, 4164203 req, miss ratio 0.1507, byte miss ratio 0.1507
result/tencentBlock.ns12518.oracleGeneral.zst Cacheus cache size    80634, 4164203 req, miss ratio 0.1289, byte miss ratio 0.1289
result/tencentBlock.ns12518.oracleGeneral.zst Cacheus cache size   161268, 4164203 req, miss ratio 0.1067, byte miss ratio 0.1067
result/tencentBlock.ns12518.oracleGeneral.zst Cacheus cache size   322536, 4164203 req, miss ratio 0.0981, byte miss ratio 0.0981
result/tencentBlock.ns12518.oracleGeneral.zst LRU cache size      403, 4164203 req, miss ratio 0.4615, byte miss ratio 0.4615
result/tencentBlock.ns12518.oracleGeneral.zst LRU cache size     1209, 4164203 req, miss ratio 0.3358, byte miss ratio 0.3358
result/tencentBlock.ns12518.oracleGeneral.zst LRU cache size     4031, 4164203 req, miss ratio 0.2392, byte miss ratio 0.2392
result/tencentBlock.ns12518.oracleGeneral.zst LRU cache size    12095, 4164203 req, miss ratio 0.2085, byte miss ratio 0.2085
result/tencentBlock.ns12518.oracleGeneral.zst LRU cache size    40317, 4164203 req, miss ratio 0.1518, byte miss ratio 0.1518
result/tencentBlock.ns12518.oracleGeneral.zst LRU cache size    80634, 4164203 req, miss ratio 0.1254, byte miss ratio 0.1254
result/tencentBlock.ns12518.oracleGeneral.zst LRU cache size   161268, 4164203 req, miss ratio 0.1028, byte miss ratio 0.1028
result/tencentBlock.ns12518.oracleGeneral.zst LRU cache size   322536, 4164203 req, miss ratio 0.0971, byte miss ratio 0.0971
result/tencentBlock.ns12518.oracleGeneral.zst clock2 cache size      403, 4164203 req, miss ratio 0.4542, byte miss ratio 0.4542
