result/cdn2_allcolo.ns4805.oracleGeneral.zst FIFO cache size      593, 1324035 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns4805.oracleGeneral.zst FIFO cache size     1186, 1324035 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns4805.oracleGeneral.zst FIFO cache size     2372, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst LRU cache size        8, 1324035 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns4805.oracleGeneral.zst LRU cache size       29, 1324035 req, miss ratio 0.0058, byte miss ratio 0.0058
result/cdn2_allcolo.ns4805.oracleGeneral.zst LRU cache size       88, 1324035 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_allcolo.ns4805.oracleGeneral.zst LRU cache size      296, 1324035 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns4805.oracleGeneral.zst LRU cache size      593, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst LRU cache size     1186, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst LRU cache size     2372, 1324035 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns4805.oracleGeneral.zst Clock cache size        8, 1324035 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns4805.oracleGeneral.zst Clock cache size       29, 1324035 req, miss ratio 0.0056, byte miss ratio 0.0056
result/cdn2_allcolo.ns4805.oracleGeneral.zst Clock cache size       88, 1324035 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns4805.oracleGeneral.zst Clock cache size      296, 1324035 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns4805.oracleGeneral.zst Clock cache size      593, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst Clock cache size     1186, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst Clock cache size     2372, 1324035 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns4805.oracleGeneral.zst clock2 cache size        8, 1324035 req, miss ratio 0.0100, byte miss ratio 0.0100
result/cdn2_allcolo.ns4805.oracleGeneral.zst clock2 cache size       29, 1324035 req, miss ratio 0.0053, byte miss ratio 0.0053
result/cdn2_allcolo.ns4805.oracleGeneral.zst clock2 cache size       88, 1324035 req, miss ratio 0.0028, byte miss ratio 0.0028
