result/tencentBlock.ns9289.oracleGeneral.zst LIRS cache size      375, 4160086 req, miss ratio 0.5213, byte miss ratio 0.5213
result/tencentBlock.ns9289.oracleGeneral.zst LIRS cache size     1127, 4160086 req, miss ratio 0.3312, byte miss ratio 0.3312
result/tencentBlock.ns9289.oracleGeneral.zst LIRS cache size     3759, 4160086 req, miss ratio 0.2451, byte miss ratio 0.2451
result/tencentBlock.ns9289.oracleGeneral.zst LIRS cache size    11277, 4160086 req, miss ratio 0.1983, byte miss ratio 0.1983
result/tencentBlock.ns9289.oracleGeneral.zst LIRS cache size    37590, 4160086 req, miss ratio 0.1550, byte miss ratio 0.1550
result/tencentBlock.ns9289.oracleGeneral.zst LIRS cache size    75180, 4160086 req, miss ratio 0.1239, byte miss ratio 0.1239
result/tencentBlock.ns9289.oracleGeneral.zst LIRS cache size   150360, 4160086 req, miss ratio 0.1032, byte miss ratio 0.1032
result/tencentBlock.ns9289.oracleGeneral.zst LIRS cache size   300720, 4160086 req, miss ratio 0.0938, byte miss ratio 0.0938
result/tencentBlock.ns9289.oracleGeneral.zst Clock cache size      375, 4160086 req, miss ratio 0.5263, byte miss ratio 0.5263
result/tencentBlock.ns9289.oracleGeneral.zst Clock cache size     1127, 4160086 req, miss ratio 0.3812, byte miss ratio 0.3812
result/tencentBlock.ns9289.oracleGeneral.zst Clock cache size     3759, 4160086 req, miss ratio 0.2389, byte miss ratio 0.2389
result/tencentBlock.ns9289.oracleGeneral.zst Clock cache size    11277, 4160086 req, miss ratio 0.2044, byte miss ratio 0.2044
result/tencentBlock.ns9289.oracleGeneral.zst Clock cache size    37590, 4160086 req, miss ratio 0.1392, byte miss ratio 0.1392
result/tencentBlock.ns9289.oracleGeneral.zst Clock cache size    75180, 4160086 req, miss ratio 0.1105, byte miss ratio 0.1105
result/tencentBlock.ns9289.oracleGeneral.zst Clock cache size   150360, 4160086 req, miss ratio 0.0933, byte miss ratio 0.0933
result/tencentBlock.ns9289.oracleGeneral.zst Clock cache size   300720, 4160086 req, miss ratio 0.0905, byte miss ratio 0.0905
result/tencentBlock.ns9289.oracleGeneral.zst S3FIFO-1 cache size      375, 4160086 req, miss ratio 0.5216, byte miss ratio 0.5216
result/tencentBlock.ns9289.oracleGeneral.zst S3FIFO-1 cache size     1127, 4160086 req, miss ratio 0.3072, byte miss ratio 0.3072
result/tencentBlock.ns9289.oracleGeneral.zst S3FIFO-1 cache size     3759, 4160086 req, miss ratio 0.2356, byte miss ratio 0.2356
result/tencentBlock.ns9289.oracleGeneral.zst S3FIFO-1 cache size    11277, 4160086 req, miss ratio 0.1954, byte miss ratio 0.1954
result/tencentBlock.ns9289.oracleGeneral.zst S3FIFO-1 cache size    37590, 4160086 req, miss ratio 0.1505, byte miss ratio 0.1505
result/tencentBlock.ns9289.oracleGeneral.zst S3FIFO-1 cache size    75180, 4160086 req, miss ratio 0.1109, byte miss ratio 0.1109
result/tencentBlock.ns9289.oracleGeneral.zst S3FIFO-1 cache size   150360, 4160086 req, miss ratio 0.0935, byte miss ratio 0.0935
result/tencentBlock.ns9289.oracleGeneral.zst S3FIFO-1 cache size   300720, 4160086 req, miss ratio 0.0905, byte miss ratio 0.0905
result/tencentBlock.ns9289.oracleGeneral.zst Cacheus cache size      375, 4160086 req, miss ratio 0.5094, byte miss ratio 0.5094
result/tencentBlock.ns9289.oracleGeneral.zst Cacheus cache size     1127, 4160086 req, miss ratio 0.3514, byte miss ratio 0.3514
result/tencentBlock.ns9289.oracleGeneral.zst Cacheus cache size     3759, 4160086 req, miss ratio 0.2336, byte miss ratio 0.2336
result/tencentBlock.ns9289.oracleGeneral.zst Cacheus cache size    11277, 4160086 req, miss ratio 0.1983, byte miss ratio 0.1983
result/tencentBlock.ns9289.oracleGeneral.zst Cacheus cache size    37590, 4160086 req, miss ratio 0.1360, byte miss ratio 0.1360
result/tencentBlock.ns9289.oracleGeneral.zst Cacheus cache size    75180, 4160086 req, miss ratio 0.1133, byte miss ratio 0.1133
result/tencentBlock.ns9289.oracleGeneral.zst Cacheus cache size   150360, 4160086 req, miss ratio 0.0925, byte miss ratio 0.0925
result/tencentBlock.ns9289.oracleGeneral.zst Cacheus cache size   300720, 4160086 req, miss ratio 0.0907, byte miss ratio 0.0907
result/tencentBlock.ns9289.oracleGeneral.zst ARC cache size      375, 4160086 req, miss ratio 0.5125, byte miss ratio 0.5125
result/tencentBlock.ns9289.oracleGeneral.zst ARC cache size     1127, 4160086 req, miss ratio 0.3232, byte miss ratio 0.3232
result/tencentBlock.ns9289.oracleGeneral.zst ARC cache size     3759, 4160086 req, miss ratio 0.2334, byte miss ratio 0.2334
result/tencentBlock.ns9289.oracleGeneral.zst ARC cache size    11277, 4160086 req, miss ratio 0.1965, byte miss ratio 0.1965
result/tencentBlock.ns9289.oracleGeneral.zst ARC cache size    37590, 4160086 req, miss ratio 0.1395, byte miss ratio 0.1395
result/tencentBlock.ns9289.oracleGeneral.zst ARC cache size    75180, 4160086 req, miss ratio 0.1107, byte miss ratio 0.1107
result/tencentBlock.ns9289.oracleGeneral.zst ARC cache size   150360, 4160086 req, miss ratio 0.0926, byte miss ratio 0.0926
result/tencentBlock.ns9289.oracleGeneral.zst ARC cache size   300720, 4160086 req, miss ratio 0.0905, byte miss ratio 0.0905
result/tencentBlock.ns9289.oracleGeneral.zst LeCaR cache size      375, 4160086 req, miss ratio 0.5258, byte miss ratio 0.5258
result/tencentBlock.ns9289.oracleGeneral.zst LeCaR cache size     1127, 4160086 req, miss ratio 0.3785, byte miss ratio 0.3785
result/tencentBlock.ns9289.oracleGeneral.zst LeCaR cache size     3759, 4160086 req, miss ratio 0.2371, byte miss ratio 0.2371
result/tencentBlock.ns9289.oracleGeneral.zst LeCaR cache size    11277, 4160086 req, miss ratio 0.2044, byte miss ratio 0.2044
result/tencentBlock.ns9289.oracleGeneral.zst LeCaR cache size    37590, 4160086 req, miss ratio 0.1343, byte miss ratio 0.1343
result/tencentBlock.ns9289.oracleGeneral.zst LeCaR cache size    75180, 4160086 req, miss ratio 0.1060, byte miss ratio 0.1060
result/tencentBlock.ns9289.oracleGeneral.zst LeCaR cache size   150360, 4160086 req, miss ratio 0.0916, byte miss ratio 0.0916
result/tencentBlock.ns9289.oracleGeneral.zst LeCaR cache size   300720, 4160086 req, miss ratio 0.0905, byte miss ratio 0.0905
result/tencentBlock.ns9289.oracleGeneral.zst LHD cache size      375, 4160086 req, miss ratio 0.5226, byte miss ratio 0.5226
result/tencentBlock.ns9289.oracleGeneral.zst LHD cache size     1127, 4160086 req, miss ratio 0.3581, byte miss ratio 0.3581
result/tencentBlock.ns9289.oracleGeneral.zst LHD cache size     3759, 4160086 req, miss ratio 0.2353, byte miss ratio 0.2353
result/tencentBlock.ns9289.oracleGeneral.zst LHD cache size    11277, 4160086 req, miss ratio 0.1963, byte miss ratio 0.1963
result/tencentBlock.ns9289.oracleGeneral.zst LHD cache size    37590, 4160086 req, miss ratio 0.1346, byte miss ratio 0.1346
result/tencentBlock.ns9289.oracleGeneral.zst LHD cache size    75180, 4160086 req, miss ratio 0.1023, byte miss ratio 0.1023
result/tencentBlock.ns9289.oracleGeneral.zst LHD cache size   150360, 4160086 req, miss ratio 0.0930, byte miss ratio 0.0930
result/tencentBlock.ns9289.oracleGeneral.zst LHD cache size   300720, 4160086 req, miss ratio 0.0905, byte miss ratio 0.0905
result/tencentBlock.ns9289.oracleGeneral.zst LRU cache size      375, 4160086 req, miss ratio 0.5308, byte miss ratio 0.5308
result/tencentBlock.ns9289.oracleGeneral.zst LRU cache size     1127, 4160086 req, miss ratio 0.3883, byte miss ratio 0.3883
result/tencentBlock.ns9289.oracleGeneral.zst LRU cache size     3759, 4160086 req, miss ratio 0.2418, byte miss ratio 0.2418
result/tencentBlock.ns9289.oracleGeneral.zst LRU cache size    11277, 4160086 req, miss ratio 0.2046, byte miss ratio 0.2046
result/tencentBlock.ns9289.oracleGeneral.zst LRU cache size    37590, 4160086 req, miss ratio 0.1348, byte miss ratio 0.1348
result/tencentBlock.ns9289.oracleGeneral.zst LRU cache size    75180, 4160086 req, miss ratio 0.1066, byte miss ratio 0.1066
result/tencentBlock.ns9289.oracleGeneral.zst LRU cache size   150360, 4160086 req, miss ratio 0.0919, byte miss ratio 0.0919
result/tencentBlock.ns9289.oracleGeneral.zst LRU cache size   300720, 4160086 req, miss ratio 0.0905, byte miss ratio 0.0905
result/tencentBlock.ns9289.oracleGeneral.zst FIFO cache size      375, 4160086 req, miss ratio 0.6041, byte miss ratio 0.6041
result/tencentBlock.ns9289.oracleGeneral.zst FIFO cache size     1127, 4160086 req, miss ratio 0.4322, byte miss ratio 0.4322
result/tencentBlock.ns9289.oracleGeneral.zst FIFO cache size     3759, 4160086 req, miss ratio 0.2945, byte miss ratio 0.2945
result/tencentBlock.ns9289.oracleGeneral.zst FIFO cache size    11277, 4160086 req, miss ratio 0.2253, byte miss ratio 0.2253
result/tencentBlock.ns9289.oracleGeneral.zst FIFO cache size    37590, 4160086 req, miss ratio 0.1448, byte miss ratio 0.1448
result/tencentBlock.ns9289.oracleGeneral.zst FIFO cache size    75180, 4160086 req, miss ratio 0.1155, byte miss ratio 0.1155
result/tencentBlock.ns9289.oracleGeneral.zst FIFO cache size   150360, 4160086 req, miss ratio 0.1020, byte miss ratio 0.1020
result/tencentBlock.ns9289.oracleGeneral.zst FIFO cache size   300720, 4160086 req, miss ratio 0.0941, byte miss ratio 0.0941
result/tencentBlock.ns9289.oracleGeneral.zst clock2 cache size      375, 4160086 req, miss ratio 0.5264, byte miss ratio 0.5264
result/tencentBlock.ns9289.oracleGeneral.zst clock2 cache size     1127, 4160086 req, miss ratio 0.3766, byte miss ratio 0.3766
result/tencentBlock.ns9289.oracleGeneral.zst clock2 cache size     3759, 4160086 req, miss ratio 0.2356, byte miss ratio 0.2356
