result/w73.oracleGeneral.bin.zst ARC cache size   120245, 6368815 req, miss ratio 0.3000, byte miss ratio 0.3000
result/w73.oracleGeneral.bin.zst ARC cache size   240490, 6368815 req, miss ratio 0.1646, byte miss ratio 0.1646
result/w73.oracleGeneral.bin.zst ARC cache size   480981, 6368815 req, miss ratio 0.0989, byte miss ratio 0.0989
result/w73.oracleGeneral.bin.zst Cacheus cache size      601, 6368815 req, miss ratio 0.7204, byte miss ratio 0.7204
result/w73.oracleGeneral.bin.zst Cacheus cache size     1803, 6368815 req, miss ratio 0.6993, byte miss ratio 0.6993
result/w73.oracleGeneral.bin.zst Cacheus cache size     6012, 6368815 req, miss ratio 0.6600, byte miss ratio 0.6600
result/w73.oracleGeneral.bin.zst Cacheus cache size    18036, 6368815 req, miss ratio 0.5676, byte miss ratio 0.5676
result/w73.oracleGeneral.bin.zst Cacheus cache size    60122, 6368815 req, miss ratio 0.4190, byte miss ratio 0.4190
result/w73.oracleGeneral.bin.zst Cacheus cache size   120245, 6368815 req, miss ratio 0.3125, byte miss ratio 0.3125
result/w73.oracleGeneral.bin.zst Cacheus cache size   240490, 6368815 req, miss ratio 0.1556, byte miss ratio 0.1556
result/w73.oracleGeneral.bin.zst Cacheus cache size   480981, 6368815 req, miss ratio 0.1034, byte miss ratio 0.1034
result/w73.oracleGeneral.bin.zst S3FIFO-1 cache size      601, 6368815 req, miss ratio 0.7158, byte miss ratio 0.7158
result/w73.oracleGeneral.bin.zst S3FIFO-1 cache size     1803, 6368815 req, miss ratio 0.6871, byte miss ratio 0.6871
result/w73.oracleGeneral.bin.zst S3FIFO-1 cache size     6012, 6368815 req, miss ratio 0.6442, byte miss ratio 0.6442
result/w73.oracleGeneral.bin.zst S3FIFO-1 cache size    18036, 6368815 req, miss ratio 0.5711, byte miss ratio 0.5711
result/w73.oracleGeneral.bin.zst S3FIFO-1 cache size    60122, 6368815 req, miss ratio 0.3801, byte miss ratio 0.3801
result/w73.oracleGeneral.bin.zst S3FIFO-1 cache size   120245, 6368815 req, miss ratio 0.2783, byte miss ratio 0.2783
result/w73.oracleGeneral.bin.zst S3FIFO-1 cache size   240490, 6368815 req, miss ratio 0.1638, byte miss ratio 0.1638
result/w73.oracleGeneral.bin.zst S3FIFO-1 cache size   480981, 6368815 req, miss ratio 0.0989, byte miss ratio 0.0989
result/w73.oracleGeneral.bin.zst LRU cache size      601, 6368815 req, miss ratio 0.7475, byte miss ratio 0.7475
result/w73.oracleGeneral.bin.zst LRU cache size     1803, 6368815 req, miss ratio 0.7262, byte miss ratio 0.7262
result/w73.oracleGeneral.bin.zst LRU cache size     6012, 6368815 req, miss ratio 0.7000, byte miss ratio 0.7000
result/w73.oracleGeneral.bin.zst LRU cache size    18036, 6368815 req, miss ratio 0.6492, byte miss ratio 0.6492
result/w73.oracleGeneral.bin.zst LRU cache size    60122, 6368815 req, miss ratio 0.4508, byte miss ratio 0.4508
result/w73.oracleGeneral.bin.zst LRU cache size   120245, 6368815 req, miss ratio 0.3356, byte miss ratio 0.3356
result/w73.oracleGeneral.bin.zst LRU cache size   240490, 6368815 req, miss ratio 0.1598, byte miss ratio 0.1598
result/w73.oracleGeneral.bin.zst LRU cache size   480981, 6368815 req, miss ratio 0.1157, byte miss ratio 0.1157
result/w73.oracleGeneral.bin.zst S3FIFO-d-1 cache size      601, 6368815 req, miss ratio 0.7161, byte miss ratio 0.7161
result/w73.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1803, 6368815 req, miss ratio 0.6873, byte miss ratio 0.6873
result/w73.oracleGeneral.bin.zst S3FIFO-d-1 cache size     6012, 6368815 req, miss ratio 0.6440, byte miss ratio 0.6440
result/w73.oracleGeneral.bin.zst S3FIFO-d-1 cache size    18036, 6368815 req, miss ratio 0.5678, byte miss ratio 0.5678
result/w73.oracleGeneral.bin.zst S3FIFO-d-1 cache size    60122, 6368815 req, miss ratio 0.4051, byte miss ratio 0.4051
result/w73.oracleGeneral.bin.zst S3FIFO-d-1 cache size   120245, 6368815 req, miss ratio 0.2785, byte miss ratio 0.2785
result/w73.oracleGeneral.bin.zst S3FIFO-d-1 cache size   240490, 6368815 req, miss ratio 0.1755, byte miss ratio 0.1755
result/w73.oracleGeneral.bin.zst S3FIFO-d-1 cache size   480981, 6368815 req, miss ratio 0.0989, byte miss ratio 0.0989
result/w73.oracleGeneral.bin.zst LRB cache size      601, 6368815 req, miss ratio 0.7590, byte miss ratio 0.7590
result/w73.oracleGeneral.bin.zst LRB cache size     1803, 6368815 req, miss ratio 0.7065, byte miss ratio 0.7065
result/w73.oracleGeneral.bin.zst LRB cache size     6012, 6368815 req, miss ratio 0.6629, byte miss ratio 0.6629
result/w73.oracleGeneral.bin.zst LRB cache size    18036, 6368815 req, miss ratio 0.5819, byte miss ratio 0.5819
result/w73.oracleGeneral.bin.zst LRB cache size    60122, 6368815 req, miss ratio 0.3879, byte miss ratio 0.3879
result/w73.oracleGeneral.bin.zst LRB cache size   120245, 6368815 req, miss ratio 0.2803, byte miss ratio 0.2803
result/w73.oracleGeneral.bin.zst LRB cache size   240490, 6368815 req, miss ratio 0.1490, byte miss ratio 0.1490
result/w73.oracleGeneral.bin.zst LRB cache size   480981, 6368815 req, miss ratio 0.1134, byte miss ratio 0.1134
result/w73.oracleGeneral.bin.zst TwoQ cache size      601, 6368815 req, miss ratio 0.7167, byte miss ratio 0.7167
result/w73.oracleGeneral.bin.zst TwoQ cache size     1803, 6368815 req, miss ratio 0.6890, byte miss ratio 0.6890
result/w73.oracleGeneral.bin.zst TwoQ cache size     6012, 6368815 req, miss ratio 0.6488, byte miss ratio 0.6488
result/w73.oracleGeneral.bin.zst TwoQ cache size    18036, 6368815 req, miss ratio 0.5743, byte miss ratio 0.5743
result/w73.oracleGeneral.bin.zst TwoQ cache size    60122, 6368815 req, miss ratio 0.3967, byte miss ratio 0.3967
result/w73.oracleGeneral.bin.zst TwoQ cache size   120245, 6368815 req, miss ratio 0.2736, byte miss ratio 0.2736
result/w73.oracleGeneral.bin.zst TwoQ cache size   240490, 6368815 req, miss ratio 0.1810, byte miss ratio 0.1810
result/w73.oracleGeneral.bin.zst TwoQ cache size   480981, 6368815 req, miss ratio 0.1282, byte miss ratio 0.1282
