result/io_traces.ns13.oracleGeneral.zst Clock cache size    87575, 14600000 req, miss ratio 0.8097, byte miss ratio 0.8097
result/io_traces.ns13.oracleGeneral.zst Clock cache size   262726, 14600000 req, miss ratio 0.7676, byte miss ratio 0.7676
result/io_traces.ns13.oracleGeneral.zst Clock cache size   875755, 14600000 req, miss ratio 0.7364, byte miss ratio 0.7364
result/io_traces.ns13.oracleGeneral.zst Clock cache size  1751511, 14600000 req, miss ratio 0.7202, byte miss ratio 0.7202
result/io_traces.ns13.oracleGeneral.zst Clock cache size  3503022, 14600000 req, miss ratio 0.6571, byte miss ratio 0.6571
result/io_traces.ns13.oracleGeneral.zst Clock cache size  7006044, 14600000 req, miss ratio 0.6063, byte miss ratio 0.6063
result/io_traces.ns13.oracleGeneral.zst LHD cache size     8757, 14600000 req, miss ratio 0.8307, byte miss ratio 0.8307
result/io_traces.ns13.oracleGeneral.zst LHD cache size    26272, 14600000 req, miss ratio 0.8183, byte miss ratio 0.8183
result/io_traces.ns13.oracleGeneral.zst LHD cache size    87575, 14600000 req, miss ratio 0.7675, byte miss ratio 0.7675
result/io_traces.ns13.oracleGeneral.zst LHD cache size   262726, 14600000 req, miss ratio 0.7391, byte miss ratio 0.7391
result/io_traces.ns13.oracleGeneral.zst LHD cache size   875755, 14600000 req, miss ratio 0.7202, byte miss ratio 0.7202
result/io_traces.ns13.oracleGeneral.zst LHD cache size  1751511, 14600000 req, miss ratio 0.6942, byte miss ratio 0.6942
result/io_traces.ns13.oracleGeneral.zst LHD cache size  3503022, 14600000 req, miss ratio 0.6520, byte miss ratio 0.6520
result/io_traces.ns13.oracleGeneral.zst LHD cache size  7006044, 14600000 req, miss ratio 0.6056, byte miss ratio 0.6056
result/io_traces.ns13.oracleGeneral.zst LeCaR cache size     8757, 14600000 req, miss ratio 0.8324, byte miss ratio 0.8324
result/io_traces.ns13.oracleGeneral.zst LeCaR cache size    26272, 14600000 req, miss ratio 0.8282, byte miss ratio 0.8282
result/io_traces.ns13.oracleGeneral.zst LeCaR cache size    87575, 14600000 req, miss ratio 0.8092, byte miss ratio 0.8092
result/io_traces.ns13.oracleGeneral.zst LeCaR cache size   262726, 14600000 req, miss ratio 0.7586, byte miss ratio 0.7586
result/io_traces.ns13.oracleGeneral.zst LeCaR cache size   875755, 14600000 req, miss ratio 0.7230, byte miss ratio 0.7230
result/io_traces.ns13.oracleGeneral.zst LeCaR cache size  1751511, 14600000 req, miss ratio 0.7210, byte miss ratio 0.7210
result/io_traces.ns13.oracleGeneral.zst LeCaR cache size  3503022, 14600000 req, miss ratio 0.6552, byte miss ratio 0.6552
result/io_traces.ns13.oracleGeneral.zst LeCaR cache size  7006044, 14600000 req, miss ratio 0.6060, byte miss ratio 0.6060
result/io_traces.ns13.oracleGeneral.zst LIRS cache size     8757, 14600000 req, miss ratio 0.8344, byte miss ratio 0.8344
result/io_traces.ns13.oracleGeneral.zst LIRS cache size    26272, 14600000 req, miss ratio 0.8284, byte miss ratio 0.8284
result/io_traces.ns13.oracleGeneral.zst LIRS cache size    87575, 14600000 req, miss ratio 0.7753, byte miss ratio 0.7753
result/io_traces.ns13.oracleGeneral.zst LIRS cache size   262726, 14600000 req, miss ratio 0.7374, byte miss ratio 0.7374
result/io_traces.ns13.oracleGeneral.zst LIRS cache size   875755, 14600000 req, miss ratio 0.7088, byte miss ratio 0.7088
result/io_traces.ns13.oracleGeneral.zst LIRS cache size  1751511, 14600000 req, miss ratio 0.6802, byte miss ratio 0.6802
result/io_traces.ns13.oracleGeneral.zst LIRS cache size  3503022, 14600000 req, miss ratio 0.6462, byte miss ratio 0.6462
result/io_traces.ns13.oracleGeneral.zst LIRS cache size  7006044, 14600000 req, miss ratio 0.6045, byte miss ratio 0.6045
result/io_traces.ns13.oracleGeneral.zst S3FIFO-d-1 cache size     8757, 14600000 req, miss ratio 0.8324, byte miss ratio 0.8324
result/io_traces.ns13.oracleGeneral.zst S3FIFO-d-1 cache size    26272, 14600000 req, miss ratio 0.8265, byte miss ratio 0.8265
result/io_traces.ns13.oracleGeneral.zst S3FIFO-d-1 cache size    87575, 14600000 req, miss ratio 0.7520, byte miss ratio 0.7520
result/io_traces.ns13.oracleGeneral.zst S3FIFO-d-1 cache size   262726, 14600000 req, miss ratio 0.7369, byte miss ratio 0.7369
result/io_traces.ns13.oracleGeneral.zst S3FIFO-d-1 cache size   875755, 14600000 req, miss ratio 0.7170, byte miss ratio 0.7170
result/io_traces.ns13.oracleGeneral.zst S3FIFO-d-1 cache size  1751511, 14600000 req, miss ratio 0.6994, byte miss ratio 0.6994
result/io_traces.ns13.oracleGeneral.zst S3FIFO-d-1 cache size  3503022, 14600000 req, miss ratio 0.6539, byte miss ratio 0.6539
result/io_traces.ns13.oracleGeneral.zst S3FIFO-d-1 cache size  7006044, 14600000 req, miss ratio 0.6063, byte miss ratio 0.6063
result/io_traces.ns13.oracleGeneral.zst LRB cache size     8757, 14600000 req, miss ratio 0.8239, byte miss ratio 0.8239
result/io_traces.ns13.oracleGeneral.zst LRB cache size    26272, 14600000 req, miss ratio 0.7751, byte miss ratio 0.7751
result/io_traces.ns13.oracleGeneral.zst LRB cache size    87575, 14600000 req, miss ratio 0.7452, byte miss ratio 0.7452
result/io_traces.ns13.oracleGeneral.zst LRB cache size   262726, 14600000 req, miss ratio 0.7298, byte miss ratio 0.7298
result/io_traces.ns13.oracleGeneral.zst LRB cache size   875755, 14600000 req, miss ratio 0.7085, byte miss ratio 0.7085
result/io_traces.ns13.oracleGeneral.zst LRB cache size  1751511, 14600000 req, miss ratio 0.6920, byte miss ratio 0.6920
result/io_traces.ns13.oracleGeneral.zst LRB cache size  3503022, 14600000 req, miss ratio 0.6511, byte miss ratio 0.6511
result/io_traces.ns13.oracleGeneral.zst LRB cache size  7006044, 14600000 req, miss ratio 0.6051, byte miss ratio 0.6051
result/io_traces.ns13.oracleGeneral.zst B-LRU cache size     8757, 14600000 req, miss ratio 0.9137, byte miss ratio 0.9137
result/io_traces.ns13.oracleGeneral.zst B-LRU cache size    26272, 14600000 req, miss ratio 0.8951, byte miss ratio 0.8951
result/io_traces.ns13.oracleGeneral.zst B-LRU cache size    87575, 14600000 req, miss ratio 0.8563, byte miss ratio 0.8563
result/io_traces.ns13.oracleGeneral.zst B-LRU cache size   262726, 14600000 req, miss ratio 0.8240, byte miss ratio 0.8240
result/io_traces.ns13.oracleGeneral.zst B-LRU cache size   875755, 14600000 req, miss ratio 0.7924, byte miss ratio 0.7924
result/io_traces.ns13.oracleGeneral.zst B-LRU cache size  1751511, 14600000 req, miss ratio 0.7808, byte miss ratio 0.7808
result/io_traces.ns13.oracleGeneral.zst B-LRU cache size  3503022, 14600000 req, miss ratio 0.7785, byte miss ratio 0.7785
result/io_traces.ns13.oracleGeneral.zst B-LRU cache size  7006044, 14600000 req, miss ratio 0.7785, byte miss ratio 0.7785
result/io_traces.ns13.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8757, 14600000 req, miss ratio 0.8326, byte miss ratio 0.8326
result/io_traces.ns13.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    26272, 14600000 req, miss ratio 0.8298, byte miss ratio 0.8298
result/io_traces.ns13.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    87575, 14600000 req, miss ratio 0.8101, byte miss ratio 0.8101
result/io_traces.ns13.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   262726, 14600000 req, miss ratio 0.7608, byte miss ratio 0.7608
result/io_traces.ns13.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   875755, 14600000 req, miss ratio 0.7273, byte miss ratio 0.7273
result/io_traces.ns13.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1751511, 14600000 req, miss ratio 0.7103, byte miss ratio 0.7103
result/io_traces.ns13.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  3503022, 14600000 req, miss ratio 0.6569, byte miss ratio 0.6569
result/io_traces.ns13.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  7006044, 14600000 req, miss ratio 0.6074, byte miss ratio 0.6074
result/io_traces.ns13.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8757, 14600000 req, miss ratio 0.8320, byte miss ratio 0.8320
result/io_traces.ns13.oracleGeneral.zst S4LRU(25:25:25:25) cache size    26272, 14600000 req, miss ratio 0.8199, byte miss ratio 0.8199
result/io_traces.ns13.oracleGeneral.zst S4LRU(25:25:25:25) cache size    87575, 14600000 req, miss ratio 0.7969, byte miss ratio 0.7969
result/io_traces.ns13.oracleGeneral.zst S4LRU(25:25:25:25) cache size   262726, 14600000 req, miss ratio 0.7375, byte miss ratio 0.7375
result/io_traces.ns13.oracleGeneral.zst S4LRU(25:25:25:25) cache size   875755, 14600000 req, miss ratio 0.7148, byte miss ratio 0.7148
result/io_traces.ns13.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1751511, 14600000 req, miss ratio 0.6919, byte miss ratio 0.6919
result/io_traces.ns13.oracleGeneral.zst S4LRU(25:25:25:25) cache size  3503022, 14600000 req, miss ratio 0.6604, byte miss ratio 0.6604
result/io_traces.ns13.oracleGeneral.zst S4LRU(25:25:25:25) cache size  7006044, 14600000 req, miss ratio 0.6068, byte miss ratio 0.6068
result/io_traces.ns13.oracleGeneral.zst TwoQ cache size     8757, 14600000 req, miss ratio 0.8314, byte miss ratio 0.8314
result/io_traces.ns13.oracleGeneral.zst TwoQ cache size    26272, 14600000 req, miss ratio 0.8008, byte miss ratio 0.8008
result/io_traces.ns13.oracleGeneral.zst TwoQ cache size    87575, 14600000 req, miss ratio 0.7505, byte miss ratio 0.7505
result/io_traces.ns13.oracleGeneral.zst TwoQ cache size   262726, 14600000 req, miss ratio 0.7409, byte miss ratio 0.7409
result/io_traces.ns13.oracleGeneral.zst TwoQ cache size   875755, 14600000 req, miss ratio 0.7380, byte miss ratio 0.7380
result/io_traces.ns13.oracleGeneral.zst TwoQ cache size  1751511, 14600000 req, miss ratio 0.7137, byte miss ratio 0.7137
result/io_traces.ns13.oracleGeneral.zst TwoQ cache size  3503022, 14600000 req, miss ratio 0.6573, byte miss ratio 0.6573
result/io_traces.ns13.oracleGeneral.zst TwoQ cache size  7006044, 14600000 req, miss ratio 0.6115, byte miss ratio 0.6115
result/io_traces.ns13.oracleGeneral.zst S3FIFO cache size     8757, 14600000 req, miss ratio 0.8313, byte miss ratio 0.8313
result/io_traces.ns13.oracleGeneral.zst S3FIFO cache size    26272, 14600000 req, miss ratio 0.7922, byte miss ratio 0.7922
result/io_traces.ns13.oracleGeneral.zst S3FIFO cache size    87575, 14600000 req, miss ratio 0.7411, byte miss ratio 0.7411
result/io_traces.ns13.oracleGeneral.zst S3FIFO cache size   262726, 14600000 req, miss ratio 0.7342, byte miss ratio 0.7342
result/io_traces.ns13.oracleGeneral.zst S3FIFO cache size   875755, 14600000 req, miss ratio 0.7312, byte miss ratio 0.7312
result/io_traces.ns13.oracleGeneral.zst S3FIFO cache size  1751511, 14600000 req, miss ratio 0.7094, byte miss ratio 0.7094
result/io_traces.ns13.oracleGeneral.zst S3FIFO cache size  3503022, 14600000 req, miss ratio 0.6533, byte miss ratio 0.6533
result/io_traces.ns13.oracleGeneral.zst S3FIFO cache size  7006044, 14600000 req, miss ratio 0.6063, byte miss ratio 0.6063
result/io_traces.ns13.oracleGeneral.zst S3FIFO-d cache size     8757, 14600000 req, miss ratio 0.8313, byte miss ratio 0.8313
result/io_traces.ns13.oracleGeneral.zst S3FIFO-d cache size    26272, 14600000 req, miss ratio 0.7921, byte miss ratio 0.7921
result/io_traces.ns13.oracleGeneral.zst S3FIFO-d cache size    87575, 14600000 req, miss ratio 0.7410, byte miss ratio 0.7410
result/io_traces.ns13.oracleGeneral.zst S3FIFO-d cache size   262726, 14600000 req, miss ratio 0.7342, byte miss ratio 0.7342
