result/tencentBlock.ns21078.oracleGeneral.zst LHD cache size      476, 4326535 req, miss ratio 0.5115, byte miss ratio 0.5115
result/tencentBlock.ns21078.oracleGeneral.zst LHD cache size     1429, 4326535 req, miss ratio 0.3911, byte miss ratio 0.3911
result/tencentBlock.ns21078.oracleGeneral.zst LHD cache size     4765, 4326535 req, miss ratio 0.3047, byte miss ratio 0.3047
result/tencentBlock.ns21078.oracleGeneral.zst LHD cache size    14296, 4326535 req, miss ratio 0.2702, byte miss ratio 0.2702
result/tencentBlock.ns21078.oracleGeneral.zst LHD cache size    47654, 4326535 req, miss ratio 0.2126, byte miss ratio 0.2126
result/tencentBlock.ns21078.oracleGeneral.zst LHD cache size    95309, 4326535 req, miss ratio 0.1569, byte miss ratio 0.1569
result/tencentBlock.ns21078.oracleGeneral.zst LHD cache size   190618, 4326535 req, miss ratio 0.1241, byte miss ratio 0.1241
result/tencentBlock.ns21078.oracleGeneral.zst LHD cache size   381236, 4326535 req, miss ratio 0.1112, byte miss ratio 0.1112
result/tencentBlock.ns21078.oracleGeneral.zst LeCaR cache size      476, 4326535 req, miss ratio 0.5109, byte miss ratio 0.5109
result/tencentBlock.ns21078.oracleGeneral.zst LeCaR cache size     1429, 4326535 req, miss ratio 0.4134, byte miss ratio 0.4134
result/tencentBlock.ns21078.oracleGeneral.zst LeCaR cache size     4765, 4326535 req, miss ratio 0.3055, byte miss ratio 0.3055
result/tencentBlock.ns21078.oracleGeneral.zst LeCaR cache size    14296, 4326535 req, miss ratio 0.2806, byte miss ratio 0.2806
result/tencentBlock.ns21078.oracleGeneral.zst LeCaR cache size    47654, 4326535 req, miss ratio 0.2147, byte miss ratio 0.2147
result/tencentBlock.ns21078.oracleGeneral.zst LeCaR cache size    95309, 4326535 req, miss ratio 0.1654, byte miss ratio 0.1654
result/tencentBlock.ns21078.oracleGeneral.zst LeCaR cache size   190618, 4326535 req, miss ratio 0.1232, byte miss ratio 0.1232
result/tencentBlock.ns21078.oracleGeneral.zst LeCaR cache size   381236, 4326535 req, miss ratio 0.1110, byte miss ratio 0.1110
result/tencentBlock.ns21078.oracleGeneral.zst Cacheus cache size      476, 4326535 req, miss ratio 0.5017, byte miss ratio 0.5017
result/tencentBlock.ns21078.oracleGeneral.zst Cacheus cache size     1429, 4326535 req, miss ratio 0.3851, byte miss ratio 0.3851
result/tencentBlock.ns21078.oracleGeneral.zst Cacheus cache size     4765, 4326535 req, miss ratio 0.3020, byte miss ratio 0.3020
result/tencentBlock.ns21078.oracleGeneral.zst Cacheus cache size    14296, 4326535 req, miss ratio 0.2742, byte miss ratio 0.2742
result/tencentBlock.ns21078.oracleGeneral.zst Cacheus cache size    47654, 4326535 req, miss ratio 0.2933, byte miss ratio 0.2933
result/tencentBlock.ns21078.oracleGeneral.zst Cacheus cache size    95309, 4326535 req, miss ratio 0.1619, byte miss ratio 0.1619
result/tencentBlock.ns21078.oracleGeneral.zst Cacheus cache size   190618, 4326535 req, miss ratio 0.1289, byte miss ratio 0.1289
