result/tencentBlock.ns19210.oracleGeneral.zst LeCaR cache size      587, 6147738 req, miss ratio 0.5840, byte miss ratio 0.5840
result/tencentBlock.ns19210.oracleGeneral.zst LeCaR cache size     1761, 6147738 req, miss ratio 0.4776, byte miss ratio 0.4776
result/tencentBlock.ns19210.oracleGeneral.zst LeCaR cache size     5871, 6147738 req, miss ratio 0.3218, byte miss ratio 0.3218
result/tencentBlock.ns19210.oracleGeneral.zst LeCaR cache size    17613, 6147738 req, miss ratio 0.2835, byte miss ratio 0.2835
result/tencentBlock.ns19210.oracleGeneral.zst LeCaR cache size    58712, 6147738 req, miss ratio 0.2054, byte miss ratio 0.2054
result/tencentBlock.ns19210.oracleGeneral.zst LeCaR cache size   117424, 6147738 req, miss ratio 0.1425, byte miss ratio 0.1425
result/tencentBlock.ns19210.oracleGeneral.zst LeCaR cache size   234849, 6147738 req, miss ratio 0.1013, byte miss ratio 0.1013
result/tencentBlock.ns19210.oracleGeneral.zst LeCaR cache size   469698, 6147738 req, miss ratio 0.0959, byte miss ratio 0.0959
result/tencentBlock.ns19210.oracleGeneral.zst clock2 cache size      587, 6147738 req, miss ratio 0.5822, byte miss ratio 0.5822
result/tencentBlock.ns19210.oracleGeneral.zst clock2 cache size     1761, 6147738 req, miss ratio 0.4763, byte miss ratio 0.4763
result/tencentBlock.ns19210.oracleGeneral.zst clock2 cache size     5871, 6147738 req, miss ratio 0.3212, byte miss ratio 0.3212
result/tencentBlock.ns19210.oracleGeneral.zst clock2 cache size    17613, 6147738 req, miss ratio 0.2858, byte miss ratio 0.2858
result/tencentBlock.ns19210.oracleGeneral.zst clock2 cache size    58712, 6147738 req, miss ratio 0.2154, byte miss ratio 0.2154
result/tencentBlock.ns19210.oracleGeneral.zst clock2 cache size   117424, 6147738 req, miss ratio 0.1590, byte miss ratio 0.1590
result/tencentBlock.ns19210.oracleGeneral.zst clock2 cache size   234849, 6147738 req, miss ratio 0.1040, byte miss ratio 0.1040
result/tencentBlock.ns19210.oracleGeneral.zst clock2 cache size   469698, 6147738 req, miss ratio 0.0958, byte miss ratio 0.0958
result/tencentBlock.ns19210.oracleGeneral.zst ARC cache size      587, 6147738 req, miss ratio 0.5607, byte miss ratio 0.5607
result/tencentBlock.ns19210.oracleGeneral.zst ARC cache size     1761, 6147738 req, miss ratio 0.4315, byte miss ratio 0.4315
result/tencentBlock.ns19210.oracleGeneral.zst ARC cache size     5871, 6147738 req, miss ratio 0.3096, byte miss ratio 0.3096
result/tencentBlock.ns19210.oracleGeneral.zst ARC cache size    17613, 6147738 req, miss ratio 0.2784, byte miss ratio 0.2784
result/tencentBlock.ns19210.oracleGeneral.zst ARC cache size    58712, 6147738 req, miss ratio 0.2075, byte miss ratio 0.2075
result/tencentBlock.ns19210.oracleGeneral.zst ARC cache size   117424, 6147738 req, miss ratio 0.1511, byte miss ratio 0.1511
result/tencentBlock.ns19210.oracleGeneral.zst ARC cache size   234849, 6147738 req, miss ratio 0.1014, byte miss ratio 0.1014
result/tencentBlock.ns19210.oracleGeneral.zst ARC cache size   469698, 6147738 req, miss ratio 0.0958, byte miss ratio 0.0958
result/tencentBlock.ns19210.oracleGeneral.zst FIFO cache size      587, 6147738 req, miss ratio 0.6745, byte miss ratio 0.6745
result/tencentBlock.ns19210.oracleGeneral.zst FIFO cache size     1761, 6147738 req, miss ratio 0.5266, byte miss ratio 0.5266
result/tencentBlock.ns19210.oracleGeneral.zst FIFO cache size     5871, 6147738 req, miss ratio 0.3951, byte miss ratio 0.3951
result/tencentBlock.ns19210.oracleGeneral.zst FIFO cache size    17613, 6147738 req, miss ratio 0.3137, byte miss ratio 0.3137
