result/cdn2_colo28.ns3538.oracleGeneral.zst FIFO cache size    47525, 1060216 req, miss ratio 0.1156, byte miss ratio 0.1156
result/cdn2_colo28.ns3538.oracleGeneral.zst FIFO cache size    95050, 1060216 req, miss ratio 0.1135, byte miss ratio 0.1135
result/cdn2_colo28.ns3538.oracleGeneral.zst LIRS cache size      118, 1060216 req, miss ratio 0.1753, byte miss ratio 0.1753
result/cdn2_colo28.ns3538.oracleGeneral.zst LIRS cache size      356, 1060216 req, miss ratio 0.1415, byte miss ratio 0.1415
result/cdn2_colo28.ns3538.oracleGeneral.zst LIRS cache size     1188, 1060216 req, miss ratio 0.1213, byte miss ratio 0.1213
result/cdn2_colo28.ns3538.oracleGeneral.zst LIRS cache size     3564, 1060216 req, miss ratio 0.1177, byte miss ratio 0.1177
result/cdn2_colo28.ns3538.oracleGeneral.zst LIRS cache size    11881, 1060216 req, miss ratio 0.1137, byte miss ratio 0.1137
result/cdn2_colo28.ns3538.oracleGeneral.zst LIRS cache size    23762, 1060216 req, miss ratio 0.1130, byte miss ratio 0.1130
result/cdn2_colo28.ns3538.oracleGeneral.zst LIRS cache size    47525, 1060216 req, miss ratio 0.1125, byte miss ratio 0.1125
result/cdn2_colo28.ns3538.oracleGeneral.zst LIRS cache size    95050, 1060216 req, miss ratio 0.1121, byte miss ratio 0.1121
result/cdn2_colo28.ns3538.oracleGeneral.zst Clock cache size      118, 1060216 req, miss ratio 0.2131, byte miss ratio 0.2131
result/cdn2_colo28.ns3538.oracleGeneral.zst Clock cache size      356, 1060216 req, miss ratio 0.1646, byte miss ratio 0.1646
result/cdn2_colo28.ns3538.oracleGeneral.zst Clock cache size     1188, 1060216 req, miss ratio 0.1391, byte miss ratio 0.1391
result/cdn2_colo28.ns3538.oracleGeneral.zst Clock cache size     3564, 1060216 req, miss ratio 0.1262, byte miss ratio 0.1262
result/cdn2_colo28.ns3538.oracleGeneral.zst Clock cache size    11881, 1060216 req, miss ratio 0.1164, byte miss ratio 0.1164
