result/tencentBlock.ns18627.oracleGeneral.zst clock2 cache size      616, 4705161 req, miss ratio 0.5954, byte miss ratio 0.5954
result/tencentBlock.ns18627.oracleGeneral.zst clock2 cache size     1850, 4705161 req, miss ratio 0.4270, byte miss ratio 0.4270
result/tencentBlock.ns18627.oracleGeneral.zst clock2 cache size     6167, 4705161 req, miss ratio 0.3458, byte miss ratio 0.3458
result/tencentBlock.ns18627.oracleGeneral.zst clock2 cache size    18501, 4705161 req, miss ratio 0.3079, byte miss ratio 0.3079
result/tencentBlock.ns18627.oracleGeneral.zst clock2 cache size    61672, 4705161 req, miss ratio 0.2506, byte miss ratio 0.2506
result/tencentBlock.ns18627.oracleGeneral.zst clock2 cache size   123344, 4705161 req, miss ratio 0.2120, byte miss ratio 0.2120
result/tencentBlock.ns18627.oracleGeneral.zst clock2 cache size   246688, 4705161 req, miss ratio 0.1541, byte miss ratio 0.1541
result/tencentBlock.ns18627.oracleGeneral.zst clock2 cache size   493376, 4705161 req, miss ratio 0.1323, byte miss ratio 0.1323
result/tencentBlock.ns18627.oracleGeneral.zst ARC cache size      616, 4705161 req, miss ratio 0.5662, byte miss ratio 0.5662
result/tencentBlock.ns18627.oracleGeneral.zst ARC cache size     1850, 4705161 req, miss ratio 0.3767, byte miss ratio 0.3767
result/tencentBlock.ns18627.oracleGeneral.zst ARC cache size     6167, 4705161 req, miss ratio 0.3414, byte miss ratio 0.3414
result/tencentBlock.ns18627.oracleGeneral.zst ARC cache size    18501, 4705161 req, miss ratio 0.2986, byte miss ratio 0.2986
result/tencentBlock.ns18627.oracleGeneral.zst ARC cache size    61672, 4705161 req, miss ratio 0.2491, byte miss ratio 0.2491
result/tencentBlock.ns18627.oracleGeneral.zst ARC cache size   123344, 4705161 req, miss ratio 0.1949, byte miss ratio 0.1949
result/tencentBlock.ns18627.oracleGeneral.zst ARC cache size   246688, 4705161 req, miss ratio 0.1501, byte miss ratio 0.1501
result/tencentBlock.ns18627.oracleGeneral.zst ARC cache size   493376, 4705161 req, miss ratio 0.1323, byte miss ratio 0.1323
result/tencentBlock.ns18627.oracleGeneral.zst Cacheus cache size      616, 4705161 req, miss ratio 0.5768, byte miss ratio 0.5768
result/tencentBlock.ns18627.oracleGeneral.zst Cacheus cache size     1850, 4705161 req, miss ratio 0.4061, byte miss ratio 0.4061
result/tencentBlock.ns18627.oracleGeneral.zst Cacheus cache size     6167, 4705161 req, miss ratio 0.3416, byte miss ratio 0.3416
result/tencentBlock.ns18627.oracleGeneral.zst Cacheus cache size    18501, 4705161 req, miss ratio 0.2975, byte miss ratio 0.2975
result/tencentBlock.ns18627.oracleGeneral.zst Cacheus cache size    61672, 4705161 req, miss ratio 0.3122, byte miss ratio 0.3122
result/tencentBlock.ns18627.oracleGeneral.zst Cacheus cache size   123344, 4705161 req, miss ratio 0.2058, byte miss ratio 0.2058
result/tencentBlock.ns18627.oracleGeneral.zst Cacheus cache size   246688, 4705161 req, miss ratio 0.1550, byte miss ratio 0.1550
result/tencentBlock.ns18627.oracleGeneral.zst Cacheus cache size   493376, 4705161 req, miss ratio 0.1325, byte miss ratio 0.1325
result/tencentBlock.ns18627.oracleGeneral.zst LIRS cache size      616, 4705161 req, miss ratio 0.5763, byte miss ratio 0.5763
result/tencentBlock.ns18627.oracleGeneral.zst LIRS cache size     1850, 4705161 req, miss ratio 0.3937, byte miss ratio 0.3937
result/tencentBlock.ns18627.oracleGeneral.zst LIRS cache size     6167, 4705161 req, miss ratio 0.3534, byte miss ratio 0.3534
result/tencentBlock.ns18627.oracleGeneral.zst LIRS cache size    18501, 4705161 req, miss ratio 0.3042, byte miss ratio 0.3042
result/tencentBlock.ns18627.oracleGeneral.zst LIRS cache size    61672, 4705161 req, miss ratio 0.2569, byte miss ratio 0.2569
result/tencentBlock.ns18627.oracleGeneral.zst LIRS cache size   123344, 4705161 req, miss ratio 0.2106, byte miss ratio 0.2106
result/tencentBlock.ns18627.oracleGeneral.zst LIRS cache size   246688, 4705161 req, miss ratio 0.1677, byte miss ratio 0.1677
result/tencentBlock.ns18627.oracleGeneral.zst LIRS cache size   493376, 4705161 req, miss ratio 0.1356, byte miss ratio 0.1356
