result/cdn2_colo28.ns16525.oracleGeneral.zst LeCaR cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst LIRS cache size        7, 21470614 req, miss ratio 0.5824, byte miss ratio 0.5824
result/cdn2_colo28.ns16525.oracleGeneral.zst LIRS cache size       22, 21470614 req, miss ratio 0.3371, byte miss ratio 0.3371
result/cdn2_colo28.ns16525.oracleGeneral.zst LIRS cache size       76, 21470614 req, miss ratio 0.0588, byte miss ratio 0.0588
result/cdn2_colo28.ns16525.oracleGeneral.zst LIRS cache size      228, 21470614 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_colo28.ns16525.oracleGeneral.zst LIRS cache size      762, 21470614 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns16525.oracleGeneral.zst LIRS cache size     1525, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst LIRS cache size     3051, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst LIRS cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst ARC cache size        7, 21470614 req, miss ratio 0.5940, byte miss ratio 0.5940
result/cdn2_colo28.ns16525.oracleGeneral.zst ARC cache size       22, 21470614 req, miss ratio 0.3963, byte miss ratio 0.3963
result/cdn2_colo28.ns16525.oracleGeneral.zst ARC cache size       76, 21470614 req, miss ratio 0.0683, byte miss ratio 0.0683
result/cdn2_colo28.ns16525.oracleGeneral.zst ARC cache size      228, 21470614 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_colo28.ns16525.oracleGeneral.zst ARC cache size      762, 21470614 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns16525.oracleGeneral.zst ARC cache size     1525, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst ARC cache size     3051, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst ARC cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst Cacheus cache size        7, 21470614 req, miss ratio 0.6100, byte miss ratio 0.6100
result/cdn2_colo28.ns16525.oracleGeneral.zst Cacheus cache size       22, 21470614 req, miss ratio 0.3318, byte miss ratio 0.3318
result/cdn2_colo28.ns16525.oracleGeneral.zst Cacheus cache size       76, 21470614 req, miss ratio 0.0568, byte miss ratio 0.0568
result/cdn2_colo28.ns16525.oracleGeneral.zst Cacheus cache size      228, 21470614 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_colo28.ns16525.oracleGeneral.zst Cacheus cache size      762, 21470614 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns16525.oracleGeneral.zst Cacheus cache size     1525, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst Cacheus cache size     3051, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst Cacheus cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst LHD cache size        7, 21470614 req, miss ratio 0.5682, byte miss ratio 0.5682
result/cdn2_colo28.ns16525.oracleGeneral.zst LHD cache size       22, 21470614 req, miss ratio 0.3445, byte miss ratio 0.3445
result/cdn2_colo28.ns16525.oracleGeneral.zst LHD cache size       76, 21470614 req, miss ratio 0.0703, byte miss ratio 0.0703
result/cdn2_colo28.ns16525.oracleGeneral.zst LHD cache size      228, 21470614 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_colo28.ns16525.oracleGeneral.zst LHD cache size      762, 21470614 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_colo28.ns16525.oracleGeneral.zst LHD cache size     1525, 21470614 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns16525.oracleGeneral.zst LHD cache size     3051, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst LHD cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-d-1 cache size        7, 21470614 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-d-1 cache size       22, 21470614 req, miss ratio 0.3258, byte miss ratio 0.3258
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-d-1 cache size       76, 21470614 req, miss ratio 0.0641, byte miss ratio 0.0641
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-d-1 cache size      228, 21470614 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-d-1 cache size      762, 21470614 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-d-1 cache size     1525, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-d-1 cache size     3051, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-d-1 cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst LRB cache size        7, 21470614 req, miss ratio 0.5409, byte miss ratio 0.5409
result/cdn2_colo28.ns16525.oracleGeneral.zst LRB cache size       22, 21470614 req, miss ratio 0.2885, byte miss ratio 0.2885
result/cdn2_colo28.ns16525.oracleGeneral.zst LRB cache size       76, 21470614 req, miss ratio 0.0503, byte miss ratio 0.0503
result/cdn2_colo28.ns16525.oracleGeneral.zst LRB cache size      228, 21470614 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns16525.oracleGeneral.zst LRB cache size      762, 21470614 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_colo28.ns16525.oracleGeneral.zst LRB cache size     1525, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst LRB cache size     3051, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst LRB cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst S4LRU(25:25:25:25) cache size        7, 21470614 req, miss ratio 0.5919, byte miss ratio 0.5919
result/cdn2_colo28.ns16525.oracleGeneral.zst S4LRU(25:25:25:25) cache size       22, 21470614 req, miss ratio 0.3644, byte miss ratio 0.3644
result/cdn2_colo28.ns16525.oracleGeneral.zst S4LRU(25:25:25:25) cache size       76, 21470614 req, miss ratio 0.0642, byte miss ratio 0.0642
result/cdn2_colo28.ns16525.oracleGeneral.zst S4LRU(25:25:25:25) cache size      228, 21470614 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_colo28.ns16525.oracleGeneral.zst S4LRU(25:25:25:25) cache size      762, 21470614 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns16525.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1525, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3051, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        7, 21470614 req, miss ratio 0.6166, byte miss ratio 0.6166
result/cdn2_colo28.ns16525.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       22, 21470614 req, miss ratio 0.4746, byte miss ratio 0.4746
result/cdn2_colo28.ns16525.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       76, 21470614 req, miss ratio 0.1249, byte miss ratio 0.1249
result/cdn2_colo28.ns16525.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      228, 21470614 req, miss ratio 0.0063, byte miss ratio 0.0063
result/cdn2_colo28.ns16525.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      762, 21470614 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_colo28.ns16525.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1525, 21470614 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns16525.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3051, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst TwoQ cache size        7, 21470614 req, miss ratio 0.5286, byte miss ratio 0.5286
