result/tencentBlock.ns21298.oracleGeneral.zst LeCaR cache size      150, 1586158 req, miss ratio 0.4656, byte miss ratio 0.4656
result/tencentBlock.ns21298.oracleGeneral.zst LeCaR cache size      451, 1586158 req, miss ratio 0.4125, byte miss ratio 0.4125
result/tencentBlock.ns21298.oracleGeneral.zst LeCaR cache size     1505, 1586158 req, miss ratio 0.4026, byte miss ratio 0.4026
result/tencentBlock.ns21298.oracleGeneral.zst LeCaR cache size     4515, 1586158 req, miss ratio 0.3992, byte miss ratio 0.3992
result/tencentBlock.ns21298.oracleGeneral.zst LeCaR cache size    15052, 1586158 req, miss ratio 0.3735, byte miss ratio 0.3735
result/tencentBlock.ns21298.oracleGeneral.zst LeCaR cache size    30104, 1586158 req, miss ratio 0.3176, byte miss ratio 0.3176
result/tencentBlock.ns21298.oracleGeneral.zst LeCaR cache size    60209, 1586158 req, miss ratio 0.2189, byte miss ratio 0.2189
result/tencentBlock.ns21298.oracleGeneral.zst LeCaR cache size   120419, 1586158 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns21298.oracleGeneral.zst Clock cache size      150, 1586158 req, miss ratio 0.4754, byte miss ratio 0.4754
result/tencentBlock.ns21298.oracleGeneral.zst Clock cache size      451, 1586158 req, miss ratio 0.4138, byte miss ratio 0.4138
result/tencentBlock.ns21298.oracleGeneral.zst Clock cache size     1505, 1586158 req, miss ratio 0.4030, byte miss ratio 0.4030
result/tencentBlock.ns21298.oracleGeneral.zst Clock cache size     4515, 1586158 req, miss ratio 0.3994, byte miss ratio 0.3994
result/tencentBlock.ns21298.oracleGeneral.zst Clock cache size    15052, 1586158 req, miss ratio 0.3978, byte miss ratio 0.3978
result/tencentBlock.ns21298.oracleGeneral.zst Clock cache size    30104, 1586158 req, miss ratio 0.3357, byte miss ratio 0.3357
result/tencentBlock.ns21298.oracleGeneral.zst Clock cache size    60209, 1586158 req, miss ratio 0.2790, byte miss ratio 0.2790
result/tencentBlock.ns21298.oracleGeneral.zst Clock cache size   120419, 1586158 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns21298.oracleGeneral.zst clock2 cache size      150, 1586158 req, miss ratio 0.4778, byte miss ratio 0.4778
result/tencentBlock.ns21298.oracleGeneral.zst clock2 cache size      451, 1586158 req, miss ratio 0.4144, byte miss ratio 0.4144
result/tencentBlock.ns21298.oracleGeneral.zst clock2 cache size     1505, 1586158 req, miss ratio 0.4028, byte miss ratio 0.4028
result/tencentBlock.ns21298.oracleGeneral.zst clock2 cache size     4515, 1586158 req, miss ratio 0.3994, byte miss ratio 0.3994
result/tencentBlock.ns21298.oracleGeneral.zst clock2 cache size    15052, 1586158 req, miss ratio 0.3977, byte miss ratio 0.3977
result/tencentBlock.ns21298.oracleGeneral.zst clock2 cache size    30104, 1586158 req, miss ratio 0.3405, byte miss ratio 0.3405
result/tencentBlock.ns21298.oracleGeneral.zst clock2 cache size    60209, 1586158 req, miss ratio 0.2868, byte miss ratio 0.2868
result/tencentBlock.ns21298.oracleGeneral.zst clock2 cache size   120419, 1586158 req, miss ratio 0.1143, byte miss ratio 0.1143
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-1 cache size      150, 1586158 req, miss ratio 0.4290, byte miss ratio 0.4290
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-1 cache size      451, 1586158 req, miss ratio 0.4090, byte miss ratio 0.4090
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-1 cache size     1505, 1586158 req, miss ratio 0.4002, byte miss ratio 0.4002
