result/tencentBlock.ns16918.oracleGeneral.zst clock2 cache size  2050379, 56997689 req, miss ratio 0.0457, byte miss ratio 0.0457
result/tencentBlock.ns16918.oracleGeneral.zst LeCaR cache size     2562, 56997689 req, miss ratio 0.7593, byte miss ratio 0.7593
result/tencentBlock.ns16918.oracleGeneral.zst LeCaR cache size     7688, 56997689 req, miss ratio 0.6411, byte miss ratio 0.6411
result/tencentBlock.ns16918.oracleGeneral.zst LeCaR cache size    25629, 56997689 req, miss ratio 0.5412, byte miss ratio 0.5412
result/tencentBlock.ns16918.oracleGeneral.zst LeCaR cache size    76889, 56997689 req, miss ratio 0.4271, byte miss ratio 0.4271
result/tencentBlock.ns16918.oracleGeneral.zst LeCaR cache size   256297, 56997689 req, miss ratio 0.2194, byte miss ratio 0.2194
result/tencentBlock.ns16918.oracleGeneral.zst LeCaR cache size   512594, 56997689 req, miss ratio 0.1388, byte miss ratio 0.1388
result/tencentBlock.ns16918.oracleGeneral.zst LeCaR cache size  1025189, 56997689 req, miss ratio 0.0652, byte miss ratio 0.0652
result/tencentBlock.ns16918.oracleGeneral.zst LeCaR cache size  2050379, 56997689 req, miss ratio 0.0455, byte miss ratio 0.0455
result/tencentBlock.ns16918.oracleGeneral.zst LRU cache size     2562, 56997689 req, miss ratio 0.7631, byte miss ratio 0.7631
result/tencentBlock.ns16918.oracleGeneral.zst LRU cache size     7688, 56997689 req, miss ratio 0.6434, byte miss ratio 0.6434
result/tencentBlock.ns16918.oracleGeneral.zst LRU cache size    25629, 56997689 req, miss ratio 0.5455, byte miss ratio 0.5455
result/tencentBlock.ns16918.oracleGeneral.zst LRU cache size    76889, 56997689 req, miss ratio 0.4304, byte miss ratio 0.4304
result/tencentBlock.ns16918.oracleGeneral.zst LRU cache size   256297, 56997689 req, miss ratio 0.2233, byte miss ratio 0.2233
result/tencentBlock.ns16918.oracleGeneral.zst LRU cache size   512594, 56997689 req, miss ratio 0.1381, byte miss ratio 0.1381
result/tencentBlock.ns16918.oracleGeneral.zst LRU cache size  1025189, 56997689 req, miss ratio 0.0633, byte miss ratio 0.0633
result/tencentBlock.ns16918.oracleGeneral.zst LRU cache size  2050379, 56997689 req, miss ratio 0.0454, byte miss ratio 0.0454
