result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-1 cache size     2246, 56981299 req, miss ratio 0.7790, byte miss ratio 0.7790
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-1 cache size     6739, 56981299 req, miss ratio 0.6734, byte miss ratio 0.6734
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-1 cache size    22463, 56981299 req, miss ratio 0.5418, byte miss ratio 0.5418
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-1 cache size    67390, 56981299 req, miss ratio 0.4112, byte miss ratio 0.4112
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-1 cache size   224635, 56981299 req, miss ratio 0.2143, byte miss ratio 0.2143
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-1 cache size   449271, 56981299 req, miss ratio 0.1245, byte miss ratio 0.1245
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-1 cache size   898542, 56981299 req, miss ratio 0.0577, byte miss ratio 0.0577
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-1 cache size  1797084, 56981299 req, miss ratio 0.0405, byte miss ratio 0.0405
result/tencentBlock.ns6814.oracleGeneral.zst LeCaR cache size     2246, 56981299 req, miss ratio 0.7785, byte miss ratio 0.7785
result/tencentBlock.ns6814.oracleGeneral.zst LeCaR cache size     6739, 56981299 req, miss ratio 0.6553, byte miss ratio 0.6553
result/tencentBlock.ns6814.oracleGeneral.zst LeCaR cache size    22463, 56981299 req, miss ratio 0.5469, byte miss ratio 0.5469
result/tencentBlock.ns6814.oracleGeneral.zst LeCaR cache size    67390, 56981299 req, miss ratio 0.4312, byte miss ratio 0.4312
result/tencentBlock.ns6814.oracleGeneral.zst LeCaR cache size   224635, 56981299 req, miss ratio 0.2115, byte miss ratio 0.2115
result/tencentBlock.ns6814.oracleGeneral.zst LeCaR cache size   449271, 56981299 req, miss ratio 0.1283, byte miss ratio 0.1283
result/tencentBlock.ns6814.oracleGeneral.zst LeCaR cache size   898542, 56981299 req, miss ratio 0.0556, byte miss ratio 0.0556
result/tencentBlock.ns6814.oracleGeneral.zst LeCaR cache size  1797084, 56981299 req, miss ratio 0.0399, byte miss ratio 0.0399
result/tencentBlock.ns6814.oracleGeneral.zst Clock cache size     2246, 56981299 req, miss ratio 0.7800, byte miss ratio 0.7800
result/tencentBlock.ns6814.oracleGeneral.zst Clock cache size     6739, 56981299 req, miss ratio 0.6571, byte miss ratio 0.6571
result/tencentBlock.ns6814.oracleGeneral.zst Clock cache size    22463, 56981299 req, miss ratio 0.5492, byte miss ratio 0.5492
result/tencentBlock.ns6814.oracleGeneral.zst Clock cache size    67390, 56981299 req, miss ratio 0.4370, byte miss ratio 0.4370
result/tencentBlock.ns6814.oracleGeneral.zst Clock cache size   224635, 56981299 req, miss ratio 0.2194, byte miss ratio 0.2194
result/tencentBlock.ns6814.oracleGeneral.zst Clock cache size   449271, 56981299 req, miss ratio 0.1308, byte miss ratio 0.1308
result/tencentBlock.ns6814.oracleGeneral.zst Clock cache size   898542, 56981299 req, miss ratio 0.0604, byte miss ratio 0.0604
result/tencentBlock.ns6814.oracleGeneral.zst Clock cache size  1797084, 56981299 req, miss ratio 0.0405, byte miss ratio 0.0405
result/tencentBlock.ns6814.oracleGeneral.zst Cacheus cache size     2246, 56981299 req, miss ratio 0.7709, byte miss ratio 0.7709
result/tencentBlock.ns6814.oracleGeneral.zst Cacheus cache size     6739, 56981299 req, miss ratio 0.6492, byte miss ratio 0.6492
result/tencentBlock.ns6814.oracleGeneral.zst Cacheus cache size    22463, 56981299 req, miss ratio 0.5365, byte miss ratio 0.5365
result/tencentBlock.ns6814.oracleGeneral.zst Cacheus cache size    67390, 56981299 req, miss ratio 0.4307, byte miss ratio 0.4307
result/tencentBlock.ns6814.oracleGeneral.zst Cacheus cache size   224635, 56981299 req, miss ratio 0.2165, byte miss ratio 0.2165
result/tencentBlock.ns6814.oracleGeneral.zst Cacheus cache size   449271, 56981299 req, miss ratio 0.1244, byte miss ratio 0.1244
result/tencentBlock.ns6814.oracleGeneral.zst Cacheus cache size   898542, 56981299 req, miss ratio 0.0572, byte miss ratio 0.0572
result/tencentBlock.ns6814.oracleGeneral.zst Cacheus cache size  1797084, 56981299 req, miss ratio 0.0400, byte miss ratio 0.0400
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-d-1 cache size     2246, 56981299 req, miss ratio 0.7723, byte miss ratio 0.7723
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-d-1 cache size     6739, 56981299 req, miss ratio 0.6503, byte miss ratio 0.6503
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-d-1 cache size    22463, 56981299 req, miss ratio 0.5313, byte miss ratio 0.5313
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-d-1 cache size    67390, 56981299 req, miss ratio 0.4124, byte miss ratio 0.4124
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-d-1 cache size   224635, 56981299 req, miss ratio 0.2179, byte miss ratio 0.2179
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-d-1 cache size   449271, 56981299 req, miss ratio 0.1269, byte miss ratio 0.1269
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-d-1 cache size   898542, 56981299 req, miss ratio 0.0594, byte miss ratio 0.0594
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-d-1 cache size  1797084, 56981299 req, miss ratio 0.0406, byte miss ratio 0.0406
result/tencentBlock.ns6814.oracleGeneral.zst LRB cache size     2246, 56981299 req, miss ratio 0.7821, byte miss ratio 0.7821
result/tencentBlock.ns6814.oracleGeneral.zst LRB cache size     6739, 56981299 req, miss ratio 0.6725, byte miss ratio 0.6725
result/tencentBlock.ns6814.oracleGeneral.zst LRB cache size    22463, 56981299 req, miss ratio 0.5506, byte miss ratio 0.5506
