result/io_traces.ns25.oracleGeneral.zst clock2 cache size    13057, 10200000 req, miss ratio 0.7063, byte miss ratio 0.7063
result/io_traces.ns25.oracleGeneral.zst clock2 cache size    43526, 10200000 req, miss ratio 0.6877, byte miss ratio 0.6877
result/io_traces.ns25.oracleGeneral.zst clock2 cache size   130578, 10200000 req, miss ratio 0.6484, byte miss ratio 0.6484
result/io_traces.ns25.oracleGeneral.zst clock2 cache size   435262, 10200000 req, miss ratio 0.5879, byte miss ratio 0.5879
result/io_traces.ns25.oracleGeneral.zst clock2 cache size   870524, 10200000 req, miss ratio 0.5746, byte miss ratio 0.5746
result/io_traces.ns25.oracleGeneral.zst clock2 cache size  1741049, 10200000 req, miss ratio 0.5048, byte miss ratio 0.5048
result/io_traces.ns25.oracleGeneral.zst clock2 cache size  3482098, 10200000 req, miss ratio 0.4375, byte miss ratio 0.4375
result/io_traces.ns25.oracleGeneral.zst ARC cache size     4352, 10200000 req, miss ratio 0.7067, byte miss ratio 0.7067
result/io_traces.ns25.oracleGeneral.zst ARC cache size    13057, 10200000 req, miss ratio 0.7040, byte miss ratio 0.7040
result/io_traces.ns25.oracleGeneral.zst ARC cache size    43526, 10200000 req, miss ratio 0.6803, byte miss ratio 0.6803
result/io_traces.ns25.oracleGeneral.zst ARC cache size   130578, 10200000 req, miss ratio 0.6102, byte miss ratio 0.6102
result/io_traces.ns25.oracleGeneral.zst ARC cache size   435262, 10200000 req, miss ratio 0.5739, byte miss ratio 0.5739
result/io_traces.ns25.oracleGeneral.zst ARC cache size   870524, 10200000 req, miss ratio 0.5568, byte miss ratio 0.5568
result/io_traces.ns25.oracleGeneral.zst ARC cache size  1741049, 10200000 req, miss ratio 0.5086, byte miss ratio 0.5086
result/io_traces.ns25.oracleGeneral.zst ARC cache size  3482098, 10200000 req, miss ratio 0.4375, byte miss ratio 0.4375
result/io_traces.ns25.oracleGeneral.zst FIFO cache size     4352, 10200000 req, miss ratio 0.7095, byte miss ratio 0.7095
result/io_traces.ns25.oracleGeneral.zst FIFO cache size    13057, 10200000 req, miss ratio 0.7071, byte miss ratio 0.7071
result/io_traces.ns25.oracleGeneral.zst FIFO cache size    43526, 10200000 req, miss ratio 0.6886, byte miss ratio 0.6886
result/io_traces.ns25.oracleGeneral.zst FIFO cache size   130578, 10200000 req, miss ratio 0.6585, byte miss ratio 0.6585
result/io_traces.ns25.oracleGeneral.zst FIFO cache size   435262, 10200000 req, miss ratio 0.6210, byte miss ratio 0.6210
result/io_traces.ns25.oracleGeneral.zst FIFO cache size   870524, 10200000 req, miss ratio 0.6060, byte miss ratio 0.6060
