result/tencentBlock.ns16764.oracleGeneral.zst ARC cache size   122700, 2182987 req, miss ratio 0.0826, byte miss ratio 0.0826
result/tencentBlock.ns16764.oracleGeneral.zst LHD cache size      153, 2182987 req, miss ratio 0.5033, byte miss ratio 0.5033
result/tencentBlock.ns16764.oracleGeneral.zst LHD cache size      460, 2182987 req, miss ratio 0.4359, byte miss ratio 0.4359
result/tencentBlock.ns16764.oracleGeneral.zst LHD cache size     1533, 2182987 req, miss ratio 0.3753, byte miss ratio 0.3753
result/tencentBlock.ns16764.oracleGeneral.zst LHD cache size     4601, 2182987 req, miss ratio 0.3532, byte miss ratio 0.3532
result/tencentBlock.ns16764.oracleGeneral.zst LHD cache size    15337, 2182987 req, miss ratio 0.2813, byte miss ratio 0.2813
result/tencentBlock.ns16764.oracleGeneral.zst LHD cache size    30675, 2182987 req, miss ratio 0.2363, byte miss ratio 0.2363
result/tencentBlock.ns16764.oracleGeneral.zst LHD cache size    61350, 2182987 req, miss ratio 0.1585, byte miss ratio 0.1585
result/tencentBlock.ns16764.oracleGeneral.zst LHD cache size   122700, 2182987 req, miss ratio 0.0809, byte miss ratio 0.0809
result/tencentBlock.ns16764.oracleGeneral.zst LIRS cache size      153, 2182987 req, miss ratio 0.5061, byte miss ratio 0.5061
result/tencentBlock.ns16764.oracleGeneral.zst LIRS cache size      460, 2182987 req, miss ratio 0.4355, byte miss ratio 0.4355
result/tencentBlock.ns16764.oracleGeneral.zst LIRS cache size     1533, 2182987 req, miss ratio 0.3787, byte miss ratio 0.3787
result/tencentBlock.ns16764.oracleGeneral.zst LIRS cache size     4601, 2182987 req, miss ratio 0.3317, byte miss ratio 0.3317
result/tencentBlock.ns16764.oracleGeneral.zst LIRS cache size    15337, 2182987 req, miss ratio 0.2727, byte miss ratio 0.2727
result/tencentBlock.ns16764.oracleGeneral.zst LIRS cache size    30675, 2182987 req, miss ratio 0.2316, byte miss ratio 0.2316
result/tencentBlock.ns16764.oracleGeneral.zst LIRS cache size    61350, 2182987 req, miss ratio 0.1745, byte miss ratio 0.1745
result/tencentBlock.ns16764.oracleGeneral.zst LIRS cache size   122700, 2182987 req, miss ratio 0.0810, byte miss ratio 0.0810
result/tencentBlock.ns16764.oracleGeneral.zst Clock cache size      153, 2182987 req, miss ratio 0.5091, byte miss ratio 0.5091
result/tencentBlock.ns16764.oracleGeneral.zst Clock cache size      460, 2182987 req, miss ratio 0.4387, byte miss ratio 0.4387
result/tencentBlock.ns16764.oracleGeneral.zst Clock cache size     1533, 2182987 req, miss ratio 0.3802, byte miss ratio 0.3802
result/tencentBlock.ns16764.oracleGeneral.zst Clock cache size     4601, 2182987 req, miss ratio 0.3569, byte miss ratio 0.3569
result/tencentBlock.ns16764.oracleGeneral.zst Clock cache size    15337, 2182987 req, miss ratio 0.2915, byte miss ratio 0.2915
result/tencentBlock.ns16764.oracleGeneral.zst Clock cache size    30675, 2182987 req, miss ratio 0.2532, byte miss ratio 0.2532
result/tencentBlock.ns16764.oracleGeneral.zst Clock cache size    61350, 2182987 req, miss ratio 0.2068, byte miss ratio 0.2068
result/tencentBlock.ns16764.oracleGeneral.zst Clock cache size   122700, 2182987 req, miss ratio 0.0892, byte miss ratio 0.0892
result/tencentBlock.ns16764.oracleGeneral.zst LRU cache size      153, 2182987 req, miss ratio 0.5209, byte miss ratio 0.5209
result/tencentBlock.ns16764.oracleGeneral.zst LRU cache size      460, 2182987 req, miss ratio 0.4392, byte miss ratio 0.4392
result/tencentBlock.ns16764.oracleGeneral.zst LRU cache size     1533, 2182987 req, miss ratio 0.3833, byte miss ratio 0.3833
result/tencentBlock.ns16764.oracleGeneral.zst LRU cache size     4601, 2182987 req, miss ratio 0.3581, byte miss ratio 0.3581
result/tencentBlock.ns16764.oracleGeneral.zst LRU cache size    15337, 2182987 req, miss ratio 0.2925, byte miss ratio 0.2925
result/tencentBlock.ns16764.oracleGeneral.zst LRU cache size    30675, 2182987 req, miss ratio 0.2495, byte miss ratio 0.2495
result/tencentBlock.ns16764.oracleGeneral.zst LRU cache size    61350, 2182987 req, miss ratio 0.1548, byte miss ratio 0.1548
result/tencentBlock.ns16764.oracleGeneral.zst LRU cache size   122700, 2182987 req, miss ratio 0.0815, byte miss ratio 0.0815
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-d-1 cache size      153, 2182987 req, miss ratio 0.4777, byte miss ratio 0.4777
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-d-1 cache size      460, 2182987 req, miss ratio 0.3974, byte miss ratio 0.3974
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-d-1 cache size     1533, 2182987 req, miss ratio 0.3652, byte miss ratio 0.3652
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-d-1 cache size     4601, 2182987 req, miss ratio 0.3209, byte miss ratio 0.3209
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-d-1 cache size    15337, 2182987 req, miss ratio 0.2703, byte miss ratio 0.2703
