result/cdn2_colo28.ns387.oracleGeneral.zst Clock cache size   422745, 3131344 req, miss ratio 0.1689, byte miss ratio 0.1689
result/cdn2_colo28.ns387.oracleGeneral.zst clock2 cache size      528, 3131344 req, miss ratio 0.5764, byte miss ratio 0.5764
result/cdn2_colo28.ns387.oracleGeneral.zst clock2 cache size     1585, 3131344 req, miss ratio 0.5609, byte miss ratio 0.5609
result/cdn2_colo28.ns387.oracleGeneral.zst clock2 cache size     5284, 3131344 req, miss ratio 0.5472, byte miss ratio 0.5472
result/cdn2_colo28.ns387.oracleGeneral.zst clock2 cache size    15852, 3131344 req, miss ratio 0.5313, byte miss ratio 0.5313
result/cdn2_colo28.ns387.oracleGeneral.zst clock2 cache size    52843, 3131344 req, miss ratio 0.2564, byte miss ratio 0.2564
result/cdn2_colo28.ns387.oracleGeneral.zst clock2 cache size   105686, 3131344 req, miss ratio 0.1879, byte miss ratio 0.1879
result/cdn2_colo28.ns387.oracleGeneral.zst clock2 cache size   211372, 3131344 req, miss ratio 0.1717, byte miss ratio 0.1717
result/cdn2_colo28.ns387.oracleGeneral.zst clock2 cache size   422745, 3131344 req, miss ratio 0.1689, byte miss ratio 0.1689
result/cdn2_colo28.ns387.oracleGeneral.zst Cacheus cache size      528, 3131344 req, miss ratio 0.5822, byte miss ratio 0.5822
result/cdn2_colo28.ns387.oracleGeneral.zst Cacheus cache size     1585, 3131344 req, miss ratio 0.5597, byte miss ratio 0.5597
result/cdn2_colo28.ns387.oracleGeneral.zst Cacheus cache size     5284, 3131344 req, miss ratio 0.5471, byte miss ratio 0.5471
result/cdn2_colo28.ns387.oracleGeneral.zst Cacheus cache size    15852, 3131344 req, miss ratio 0.5420, byte miss ratio 0.5420
result/cdn2_colo28.ns387.oracleGeneral.zst Cacheus cache size    52843, 3131344 req, miss ratio 0.2466, byte miss ratio 0.2466
result/cdn2_colo28.ns387.oracleGeneral.zst Cacheus cache size   105686, 3131344 req, miss ratio 0.1899, byte miss ratio 0.1899
result/cdn2_colo28.ns387.oracleGeneral.zst Cacheus cache size   211372, 3131344 req, miss ratio 0.1722, byte miss ratio 0.1722
result/cdn2_colo28.ns387.oracleGeneral.zst Cacheus cache size   422745, 3131344 req, miss ratio 0.1692, byte miss ratio 0.1692
result/cdn2_colo28.ns387.oracleGeneral.zst FIFO cache size      528, 3131344 req, miss ratio 0.5891, byte miss ratio 0.5891
result/cdn2_colo28.ns387.oracleGeneral.zst FIFO cache size     1585, 3131344 req, miss ratio 0.5692, byte miss ratio 0.5692
result/cdn2_colo28.ns387.oracleGeneral.zst FIFO cache size     5284, 3131344 req, miss ratio 0.5525, byte miss ratio 0.5525
result/cdn2_colo28.ns387.oracleGeneral.zst FIFO cache size    15852, 3131344 req, miss ratio 0.5365, byte miss ratio 0.5365
result/cdn2_colo28.ns387.oracleGeneral.zst FIFO cache size    52843, 3131344 req, miss ratio 0.3509, byte miss ratio 0.3509
result/cdn2_colo28.ns387.oracleGeneral.zst FIFO cache size   105686, 3131344 req, miss ratio 0.2505, byte miss ratio 0.2505
result/cdn2_colo28.ns387.oracleGeneral.zst FIFO cache size   211372, 3131344 req, miss ratio 0.1982, byte miss ratio 0.1982
result/cdn2_colo28.ns387.oracleGeneral.zst FIFO cache size   422745, 3131344 req, miss ratio 0.1767, byte miss ratio 0.1767
