result/tencentBlock.ns19952.oracleGeneral.zst ARC cache size      451, 4595492 req, miss ratio 0.4843, byte miss ratio 0.4843
result/tencentBlock.ns19952.oracleGeneral.zst ARC cache size     1353, 4595492 req, miss ratio 0.4205, byte miss ratio 0.4205
result/tencentBlock.ns19952.oracleGeneral.zst ARC cache size     4510, 4595492 req, miss ratio 0.3532, byte miss ratio 0.3532
result/tencentBlock.ns19952.oracleGeneral.zst ARC cache size    13531, 4595492 req, miss ratio 0.3302, byte miss ratio 0.3302
result/tencentBlock.ns19952.oracleGeneral.zst ARC cache size    45105, 4595492 req, miss ratio 0.2782, byte miss ratio 0.2782
result/tencentBlock.ns19952.oracleGeneral.zst ARC cache size    90210, 4595492 req, miss ratio 0.2345, byte miss ratio 0.2345
result/tencentBlock.ns19952.oracleGeneral.zst ARC cache size   180420, 4595492 req, miss ratio 0.1256, byte miss ratio 0.1256
result/tencentBlock.ns19952.oracleGeneral.zst ARC cache size   360840, 4595492 req, miss ratio 0.1013, byte miss ratio 0.1013
result/tencentBlock.ns19952.oracleGeneral.zst Clock cache size      451, 4595492 req, miss ratio 0.5035, byte miss ratio 0.5035
result/tencentBlock.ns19952.oracleGeneral.zst Clock cache size     1353, 4595492 req, miss ratio 0.4430, byte miss ratio 0.4430
result/tencentBlock.ns19952.oracleGeneral.zst Clock cache size     4510, 4595492 req, miss ratio 0.3709, byte miss ratio 0.3709
result/tencentBlock.ns19952.oracleGeneral.zst Clock cache size    13531, 4595492 req, miss ratio 0.3329, byte miss ratio 0.3329
result/tencentBlock.ns19952.oracleGeneral.zst Clock cache size    45105, 4595492 req, miss ratio 0.2826, byte miss ratio 0.2826
result/tencentBlock.ns19952.oracleGeneral.zst Clock cache size    90210, 4595492 req, miss ratio 0.2234, byte miss ratio 0.2234
result/tencentBlock.ns19952.oracleGeneral.zst Clock cache size   180420, 4595492 req, miss ratio 0.1346, byte miss ratio 0.1346
result/tencentBlock.ns19952.oracleGeneral.zst Clock cache size   360840, 4595492 req, miss ratio 0.1014, byte miss ratio 0.1014
result/tencentBlock.ns19952.oracleGeneral.zst LHD cache size      451, 4595492 req, miss ratio 0.4993, byte miss ratio 0.4993
result/tencentBlock.ns19952.oracleGeneral.zst LHD cache size     1353, 4595492 req, miss ratio 0.4348, byte miss ratio 0.4348
result/tencentBlock.ns19952.oracleGeneral.zst LHD cache size     4510, 4595492 req, miss ratio 0.3587, byte miss ratio 0.3587
result/tencentBlock.ns19952.oracleGeneral.zst LHD cache size    13531, 4595492 req, miss ratio 0.3288, byte miss ratio 0.3288
result/tencentBlock.ns19952.oracleGeneral.zst LHD cache size    45105, 4595492 req, miss ratio 0.2665, byte miss ratio 0.2665
result/tencentBlock.ns19952.oracleGeneral.zst LHD cache size    90210, 4595492 req, miss ratio 0.1902, byte miss ratio 0.1902
result/tencentBlock.ns19952.oracleGeneral.zst LHD cache size   180420, 4595492 req, miss ratio 0.1191, byte miss ratio 0.1191
result/tencentBlock.ns19952.oracleGeneral.zst LHD cache size   360840, 4595492 req, miss ratio 0.1001, byte miss ratio 0.1001
result/tencentBlock.ns19952.oracleGeneral.zst Cacheus cache size      451, 4595492 req, miss ratio 0.4849, byte miss ratio 0.4849
result/tencentBlock.ns19952.oracleGeneral.zst Cacheus cache size     1353, 4595492 req, miss ratio 0.4254, byte miss ratio 0.4254
result/tencentBlock.ns19952.oracleGeneral.zst Cacheus cache size     4510, 4595492 req, miss ratio 0.3559, byte miss ratio 0.3559
result/tencentBlock.ns19952.oracleGeneral.zst Cacheus cache size    13531, 4595492 req, miss ratio 0.3327, byte miss ratio 0.3327
result/tencentBlock.ns19952.oracleGeneral.zst Cacheus cache size    45105, 4595492 req, miss ratio 0.2802, byte miss ratio 0.2802
result/tencentBlock.ns19952.oracleGeneral.zst Cacheus cache size    90210, 4595492 req, miss ratio 0.2446, byte miss ratio 0.2446
result/tencentBlock.ns19952.oracleGeneral.zst Cacheus cache size   180420, 4595492 req, miss ratio 0.1373, byte miss ratio 0.1373
result/tencentBlock.ns19952.oracleGeneral.zst Cacheus cache size   360840, 4595492 req, miss ratio 0.1005, byte miss ratio 0.1005
result/tencentBlock.ns19952.oracleGeneral.zst FIFO cache size      451, 4595492 req, miss ratio 0.5942, byte miss ratio 0.5942
result/tencentBlock.ns19952.oracleGeneral.zst FIFO cache size     1353, 4595492 req, miss ratio 0.4843, byte miss ratio 0.4843
result/tencentBlock.ns19952.oracleGeneral.zst FIFO cache size     4510, 4595492 req, miss ratio 0.4046, byte miss ratio 0.4046
result/tencentBlock.ns19952.oracleGeneral.zst FIFO cache size    13531, 4595492 req, miss ratio 0.3517, byte miss ratio 0.3517
result/tencentBlock.ns19952.oracleGeneral.zst FIFO cache size    45105, 4595492 req, miss ratio 0.2820, byte miss ratio 0.2820
result/tencentBlock.ns19952.oracleGeneral.zst FIFO cache size    90210, 4595492 req, miss ratio 0.2350, byte miss ratio 0.2350
result/tencentBlock.ns19952.oracleGeneral.zst FIFO cache size   180420, 4595492 req, miss ratio 0.1562, byte miss ratio 0.1562
result/tencentBlock.ns19952.oracleGeneral.zst FIFO cache size   360840, 4595492 req, miss ratio 0.1153, byte miss ratio 0.1153
result/tencentBlock.ns19952.oracleGeneral.zst LIRS cache size      451, 4595492 req, miss ratio 0.5337, byte miss ratio 0.5337
result/tencentBlock.ns19952.oracleGeneral.zst LIRS cache size     1353, 4595492 req, miss ratio 0.4392, byte miss ratio 0.4392
result/tencentBlock.ns19952.oracleGeneral.zst LIRS cache size     4510, 4595492 req, miss ratio 0.3607, byte miss ratio 0.3607
result/tencentBlock.ns19952.oracleGeneral.zst LIRS cache size    13531, 4595492 req, miss ratio 0.3388, byte miss ratio 0.3388
result/tencentBlock.ns19952.oracleGeneral.zst LIRS cache size    45105, 4595492 req, miss ratio 0.2971, byte miss ratio 0.2971
result/tencentBlock.ns19952.oracleGeneral.zst LIRS cache size    90210, 4595492 req, miss ratio 0.2182, byte miss ratio 0.2182
result/tencentBlock.ns19952.oracleGeneral.zst LIRS cache size   180420, 4595492 req, miss ratio 0.1324, byte miss ratio 0.1324
result/tencentBlock.ns19952.oracleGeneral.zst LIRS cache size   360840, 4595492 req, miss ratio 0.1020, byte miss ratio 0.1020
result/tencentBlock.ns19952.oracleGeneral.zst clock2 cache size      451, 4595492 req, miss ratio 0.5049, byte miss ratio 0.5049
result/tencentBlock.ns19952.oracleGeneral.zst clock2 cache size     1353, 4595492 req, miss ratio 0.4472, byte miss ratio 0.4472
result/tencentBlock.ns19952.oracleGeneral.zst clock2 cache size     4510, 4595492 req, miss ratio 0.3666, byte miss ratio 0.3666
result/tencentBlock.ns19952.oracleGeneral.zst clock2 cache size    13531, 4595492 req, miss ratio 0.3337, byte miss ratio 0.3337
result/tencentBlock.ns19952.oracleGeneral.zst clock2 cache size    45105, 4595492 req, miss ratio 0.2945, byte miss ratio 0.2945
result/tencentBlock.ns19952.oracleGeneral.zst clock2 cache size    90210, 4595492 req, miss ratio 0.2442, byte miss ratio 0.2442
result/tencentBlock.ns19952.oracleGeneral.zst clock2 cache size   180420, 4595492 req, miss ratio 0.1453, byte miss ratio 0.1453
result/tencentBlock.ns19952.oracleGeneral.zst clock2 cache size   360840, 4595492 req, miss ratio 0.0997, byte miss ratio 0.0997
result/tencentBlock.ns19952.oracleGeneral.zst S3FIFO-1 cache size      451, 4595492 req, miss ratio 0.4940, byte miss ratio 0.4940
result/tencentBlock.ns19952.oracleGeneral.zst S3FIFO-1 cache size     1353, 4595492 req, miss ratio 0.4062, byte miss ratio 0.4062
result/tencentBlock.ns19952.oracleGeneral.zst S3FIFO-1 cache size     4510, 4595492 req, miss ratio 0.3504, byte miss ratio 0.3504
result/tencentBlock.ns19952.oracleGeneral.zst S3FIFO-1 cache size    13531, 4595492 req, miss ratio 0.3365, byte miss ratio 0.3365
result/tencentBlock.ns19952.oracleGeneral.zst S3FIFO-1 cache size    45105, 4595492 req, miss ratio 0.2871, byte miss ratio 0.2871
result/tencentBlock.ns19952.oracleGeneral.zst S3FIFO-1 cache size    90210, 4595492 req, miss ratio 0.2207, byte miss ratio 0.2207
result/tencentBlock.ns19952.oracleGeneral.zst S3FIFO-1 cache size   180420, 4595492 req, miss ratio 0.1269, byte miss ratio 0.1269
result/tencentBlock.ns19952.oracleGeneral.zst S3FIFO-1 cache size   360840, 4595492 req, miss ratio 0.1009, byte miss ratio 0.1009
result/tencentBlock.ns19952.oracleGeneral.zst LRU cache size      451, 4595492 req, miss ratio 0.5077, byte miss ratio 0.5077
result/tencentBlock.ns19952.oracleGeneral.zst LRU cache size     1353, 4595492 req, miss ratio 0.4427, byte miss ratio 0.4427
result/tencentBlock.ns19952.oracleGeneral.zst LRU cache size     4510, 4595492 req, miss ratio 0.3736, byte miss ratio 0.3736
result/tencentBlock.ns19952.oracleGeneral.zst LRU cache size    13531, 4595492 req, miss ratio 0.3317, byte miss ratio 0.3317
result/tencentBlock.ns19952.oracleGeneral.zst LRU cache size    45105, 4595492 req, miss ratio 0.2715, byte miss ratio 0.2715
result/tencentBlock.ns19952.oracleGeneral.zst LRU cache size    90210, 4595492 req, miss ratio 0.2185, byte miss ratio 0.2185
result/tencentBlock.ns19952.oracleGeneral.zst LRU cache size   180420, 4595492 req, miss ratio 0.1258, byte miss ratio 0.1258
result/tencentBlock.ns19952.oracleGeneral.zst LRU cache size   360840, 4595492 req, miss ratio 0.1001, byte miss ratio 0.1001
result/tencentBlock.ns19952.oracleGeneral.zst LeCaR cache size      451, 4595492 req, miss ratio 0.4979, byte miss ratio 0.4979
result/tencentBlock.ns19952.oracleGeneral.zst LeCaR cache size     1353, 4595492 req, miss ratio 0.4421, byte miss ratio 0.4421
result/tencentBlock.ns19952.oracleGeneral.zst LeCaR cache size     4510, 4595492 req, miss ratio 0.3621, byte miss ratio 0.3621
result/tencentBlock.ns19952.oracleGeneral.zst LeCaR cache size    13531, 4595492 req, miss ratio 0.3301, byte miss ratio 0.3301
result/tencentBlock.ns19952.oracleGeneral.zst LeCaR cache size    45105, 4595492 req, miss ratio 0.2713, byte miss ratio 0.2713
