result/tweetypie_cache.1.oracleGeneral.sample10.zst FIFO cache size   244984, 1315498620 req, miss ratio 0.1173, byte miss ratio 0.1173
result/tweetypie_cache.1.oracleGeneral.sample10.zst FIFO cache size   734953, 1315498620 req, miss ratio 0.0861, byte miss ratio 0.0861
result/tweetypie_cache.1.oracleGeneral.sample10.zst FIFO cache size  2449845, 1315498620 req, miss ratio 0.0571, byte miss ratio 0.0571
result/tweetypie_cache.1.oracleGeneral.sample10.zst FIFO cache size  4899691, 1315498620 req, miss ratio 0.0432, byte miss ratio 0.0432
result/tweetypie_cache.1.oracleGeneral.sample10.zst FIFO cache size  9799383, 1315498620 req, miss ratio 0.0302, byte miss ratio 0.0302
result/tweetypie_cache.1.oracleGeneral.sample10.zst FIFO cache size 19598767, 1315498620 req, miss ratio 0.0209, byte miss ratio 0.0209
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    24498, 1315498620 req, miss ratio 0.1804, byte miss ratio 0.1804
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    73495, 1315498620 req, miss ratio 0.1334, byte miss ratio 0.1334
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   244984, 1315498620 req, miss ratio 0.0938, byte miss ratio 0.0938
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   734953, 1315498620 req, miss ratio 0.0695, byte miss ratio 0.0695
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  2449845, 1315498620 req, miss ratio 0.0443, byte miss ratio 0.0443
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  4899691, 1315498620 req, miss ratio 0.0343, byte miss ratio 0.0343
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  9799383, 1315498620 req, miss ratio 0.0252, byte miss ratio 0.0252
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size 19598767, 1315498620 req, miss ratio 0.0192, byte miss ratio 0.0192
result/tweetypie_cache.1.oracleGeneral.sample10.zst Clock cache size    24498, 1315498620 req, miss ratio 0.2006, byte miss ratio 0.2006
result/tweetypie_cache.1.oracleGeneral.sample10.zst Clock cache size    73495, 1315498620 req, miss ratio 0.1480, byte miss ratio 0.1480
result/tweetypie_cache.1.oracleGeneral.sample10.zst Clock cache size   244984, 1315498620 req, miss ratio 0.1044, byte miss ratio 0.1044
result/tweetypie_cache.1.oracleGeneral.sample10.zst Clock cache size   734953, 1315498620 req, miss ratio 0.0757, byte miss ratio 0.0757
result/tweetypie_cache.1.oracleGeneral.sample10.zst Clock cache size  2449845, 1315498620 req, miss ratio 0.0496, byte miss ratio 0.0496
result/tweetypie_cache.1.oracleGeneral.sample10.zst Clock cache size  4899691, 1315498620 req, miss ratio 0.0374, byte miss ratio 0.0374
result/tweetypie_cache.1.oracleGeneral.sample10.zst Clock cache size  9799383, 1315498620 req, miss ratio 0.0266, byte miss ratio 0.0266
result/tweetypie_cache.1.oracleGeneral.sample10.zst Clock cache size 19598767, 1315498620 req, miss ratio 0.0192, byte miss ratio 0.0192
result/tweetypie_cache.1.oracleGeneral.sample10.zst LHD cache size    24498, 1315498620 req, miss ratio 0.1744, byte miss ratio 0.1744
result/tweetypie_cache.1.oracleGeneral.sample10.zst LHD cache size    73495, 1315498620 req, miss ratio 0.1293, byte miss ratio 0.1293
result/tweetypie_cache.1.oracleGeneral.sample10.zst LHD cache size   244984, 1315498620 req, miss ratio 0.0938, byte miss ratio 0.0938
result/tweetypie_cache.1.oracleGeneral.sample10.zst LHD cache size   734953, 1315498620 req, miss ratio 0.0697, byte miss ratio 0.0697
result/tweetypie_cache.1.oracleGeneral.sample10.zst LHD cache size  2449845, 1315498620 req, miss ratio 0.0528, byte miss ratio 0.0528
result/tweetypie_cache.1.oracleGeneral.sample10.zst LHD cache size  4899691, 1315498620 req, miss ratio 0.0377, byte miss ratio 0.0377
result/tweetypie_cache.1.oracleGeneral.sample10.zst LHD cache size  9799383, 1315498620 req, miss ratio 0.0262, byte miss ratio 0.0262
result/tweetypie_cache.1.oracleGeneral.sample10.zst LHD cache size 19598767, 1315498620 req, miss ratio 0.0194, byte miss ratio 0.0194
result/tweetypie_cache.1.oracleGeneral.sample10.zst LeCaR cache size    24498, 1315498620 req, miss ratio 0.1942, byte miss ratio 0.1942
result/tweetypie_cache.1.oracleGeneral.sample10.zst LeCaR cache size    73495, 1315498620 req, miss ratio 0.1434, byte miss ratio 0.1434
result/tweetypie_cache.1.oracleGeneral.sample10.zst LeCaR cache size   244984, 1315498620 req, miss ratio 0.1007, byte miss ratio 0.1007
result/tweetypie_cache.1.oracleGeneral.sample10.zst LeCaR cache size   734953, 1315498620 req, miss ratio 0.0734, byte miss ratio 0.0734
result/tweetypie_cache.1.oracleGeneral.sample10.zst LeCaR cache size  2449845, 1315498620 req, miss ratio 0.0471, byte miss ratio 0.0471
result/tweetypie_cache.1.oracleGeneral.sample10.zst LeCaR cache size  4899691, 1315498620 req, miss ratio 0.0361, byte miss ratio 0.0361
result/tweetypie_cache.1.oracleGeneral.sample10.zst LeCaR cache size  9799383, 1315498620 req, miss ratio 0.0256, byte miss ratio 0.0256
result/tweetypie_cache.1.oracleGeneral.sample10.zst LeCaR cache size 19598767, 1315498620 req, miss ratio 0.0190, byte miss ratio 0.0190
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    24498, 1315498620 req, miss ratio 0.1809, byte miss ratio 0.1809
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    73495, 1315498620 req, miss ratio 0.1347, byte miss ratio 0.1347
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   244984, 1315498620 req, miss ratio 0.0941, byte miss ratio 0.0941
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   734953, 1315498620 req, miss ratio 0.0689, byte miss ratio 0.0689
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  2449845, 1315498620 req, miss ratio 0.0441, byte miss ratio 0.0441
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  4899691, 1315498620 req, miss ratio 0.0362, byte miss ratio 0.0362
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  9799383, 1315498620 req, miss ratio 0.0296, byte miss ratio 0.0296
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 19598767, 1315498620 req, miss ratio 0.0226, byte miss ratio 0.0226
result/tweetypie_cache.1.oracleGeneral.sample10.zst LRB cache size    24498, 1315498620 req, miss ratio 0.1672, byte miss ratio 0.1672
result/tweetypie_cache.1.oracleGeneral.sample10.zst LRB cache size    73495, 1315498620 req, miss ratio 0.1235, byte miss ratio 0.1235
result/tweetypie_cache.1.oracleGeneral.sample10.zst LRB cache size   244984, 1315498620 req, miss ratio 0.0856, byte miss ratio 0.0856
result/tweetypie_cache.1.oracleGeneral.sample10.zst LRB cache size   734953, 1315498620 req, miss ratio 0.0608, byte miss ratio 0.0608
result/tweetypie_cache.1.oracleGeneral.sample10.zst LRB cache size  2449845, 1315498620 req, miss ratio 0.0448, byte miss ratio 0.0448
result/tweetypie_cache.1.oracleGeneral.sample10.zst LRB cache size  4899691, 1315498620 req, miss ratio 0.0369, byte miss ratio 0.0369
result/tweetypie_cache.1.oracleGeneral.sample10.zst LRB cache size  9799383, 1315498620 req, miss ratio 0.0256, byte miss ratio 0.0256
result/tweetypie_cache.1.oracleGeneral.sample10.zst LRB cache size 19598767, 1315498620 req, miss ratio 0.0190, byte miss ratio 0.0190
result/tweetypie_cache.1.oracleGeneral.sample10.zst TwoQ cache size    24498, 1315498620 req, miss ratio 0.1699, byte miss ratio 0.1699
result/tweetypie_cache.1.oracleGeneral.sample10.zst TwoQ cache size    73495, 1315498620 req, miss ratio 0.1255, byte miss ratio 0.1255
result/tweetypie_cache.1.oracleGeneral.sample10.zst TwoQ cache size   244984, 1315498620 req, miss ratio 0.0922, byte miss ratio 0.0922
result/tweetypie_cache.1.oracleGeneral.sample10.zst TwoQ cache size   734953, 1315498620 req, miss ratio 0.0647, byte miss ratio 0.0647
result/tweetypie_cache.1.oracleGeneral.sample10.zst TwoQ cache size  2449845, 1315498620 req, miss ratio 0.0438, byte miss ratio 0.0438
result/tweetypie_cache.1.oracleGeneral.sample10.zst TwoQ cache size  4899691, 1315498620 req, miss ratio 0.0347, byte miss ratio 0.0347
result/tweetypie_cache.1.oracleGeneral.sample10.zst TwoQ cache size  9799383, 1315498620 req, miss ratio 0.0271, byte miss ratio 0.0271
result/tweetypie_cache.1.oracleGeneral.sample10.zst TwoQ cache size 19598767, 1315498620 req, miss ratio 0.0209, byte miss ratio 0.0209
result/tweetypie_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    24498, 1315498620 req, miss ratio 0.1908, byte miss ratio 0.1908
result/tweetypie_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    73495, 1315498620 req, miss ratio 0.1414, byte miss ratio 0.1414
result/tweetypie_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   244984, 1315498620 req, miss ratio 0.0991, byte miss ratio 0.0991
result/tweetypie_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   734953, 1315498620 req, miss ratio 0.0715, byte miss ratio 0.0715
result/tweetypie_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  2449845, 1315498620 req, miss ratio 0.0455, byte miss ratio 0.0455
result/tweetypie_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  4899691, 1315498620 req, miss ratio 0.0348, byte miss ratio 0.0348
result/tweetypie_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  9799383, 1315498620 req, miss ratio 0.0251, byte miss ratio 0.0251
result/tweetypie_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 19598767, 1315498620 req, miss ratio 0.0190, byte miss ratio 0.0190
result/tweetypie_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    24498, 1315498620 req, miss ratio 0.2062, byte miss ratio 0.2062
result/tweetypie_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    73495, 1315498620 req, miss ratio 0.1523, byte miss ratio 0.1523
result/tweetypie_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   244984, 1315498620 req, miss ratio 0.1068, byte miss ratio 0.1068
result/tweetypie_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   734953, 1315498620 req, miss ratio 0.0753, byte miss ratio 0.0753
result/tweetypie_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  2449845, 1315498620 req, miss ratio 0.0482, byte miss ratio 0.0482
result/tweetypie_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  4899691, 1315498620 req, miss ratio 0.0364, byte miss ratio 0.0364
result/tweetypie_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  9799383, 1315498620 req, miss ratio 0.0264, byte miss ratio 0.0264
result/tweetypie_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 19598767, 1315498620 req, miss ratio 0.0201, byte miss ratio 0.0201
result/tweetypie_cache.1.oracleGeneral.sample10.zst B-LRU cache size    24498, 1315498620 req, miss ratio 0.2098, byte miss ratio 0.2098
result/tweetypie_cache.1.oracleGeneral.sample10.zst B-LRU cache size    73495, 1315498620 req, miss ratio 0.1574, byte miss ratio 0.1574
result/tweetypie_cache.1.oracleGeneral.sample10.zst B-LRU cache size   244984, 1315498620 req, miss ratio 0.1134, byte miss ratio 0.1134
result/tweetypie_cache.1.oracleGeneral.sample10.zst B-LRU cache size   734953, 1315498620 req, miss ratio 0.0865, byte miss ratio 0.0865
result/tweetypie_cache.1.oracleGeneral.sample10.zst B-LRU cache size  2449845, 1315498620 req, miss ratio 0.0604, byte miss ratio 0.0604
result/tweetypie_cache.1.oracleGeneral.sample10.zst B-LRU cache size  4899691, 1315498620 req, miss ratio 0.0495, byte miss ratio 0.0495
result/tweetypie_cache.1.oracleGeneral.sample10.zst B-LRU cache size  9799383, 1315498620 req, miss ratio 0.0395, byte miss ratio 0.0395
result/tweetypie_cache.1.oracleGeneral.sample10.zst B-LRU cache size 19598767, 1315498620 req, miss ratio 0.0348, byte miss ratio 0.0348
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    24498, 1315498620 req, miss ratio 0.1729, byte miss ratio 0.1729
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    73495, 1315498620 req, miss ratio 0.1287, byte miss ratio 0.1287
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   244984, 1315498620 req, miss ratio 0.0912, byte miss ratio 0.0912
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   734953, 1315498620 req, miss ratio 0.0673, byte miss ratio 0.0673
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  2449845, 1315498620 req, miss ratio 0.0421, byte miss ratio 0.0421
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  4899691, 1315498620 req, miss ratio 0.0328, byte miss ratio 0.0328
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  9799383, 1315498620 req, miss ratio 0.0243, byte miss ratio 0.0243
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 19598767, 1315498620 req, miss ratio 0.0191, byte miss ratio 0.0191
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    24498, 1315498620 req, miss ratio 0.1743, byte miss ratio 0.1743
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    73495, 1315498620 req, miss ratio 0.1301, byte miss ratio 0.1301
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   244984, 1315498620 req, miss ratio 0.0916, byte miss ratio 0.0916
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   734953, 1315498620 req, miss ratio 0.0659, byte miss ratio 0.0659
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  2449845, 1315498620 req, miss ratio 0.0420, byte miss ratio 0.0420
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  4899691, 1315498620 req, miss ratio 0.0349, byte miss ratio 0.0349
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  9799383, 1315498620 req, miss ratio 0.0283, byte miss ratio 0.0283
result/tweetypie_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 19598767, 1315498620 req, miss ratio 0.0191, byte miss ratio 0.0191
result/tweetypie_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    24498, 1315498620 req, miss ratio 0.1711, byte miss ratio 0.1711
result/tweetypie_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    73495, 1315498620 req, miss ratio 0.1271, byte miss ratio 0.1271
result/tweetypie_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   244984, 1315498620 req, miss ratio 0.1330, byte miss ratio 0.1330
result/tweetypie_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   734953, 1315498620 req, miss ratio 0.0662, byte miss ratio 0.0662
result/tweetypie_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  2449845, 1315498620 req, miss ratio 0.0442, byte miss ratio 0.0442
result/tweetypie_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  4899691, 1315498620 req, miss ratio 0.0432, byte miss ratio 0.0432
result/tweetypie_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  9799383, 1315498620 req, miss ratio 0.0268, byte miss ratio 0.0268
result/tweetypie_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 19598767, 1315498620 req, miss ratio 0.0198, byte miss ratio 0.0198
result/tweetypie_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    24498, 1315498620 req, miss ratio 0.1672, byte miss ratio 0.1672
result/tweetypie_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    73495, 1315498620 req, miss ratio 0.1249, byte miss ratio 0.1249
result/tweetypie_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   244984, 1315498620 req, miss ratio 0.0909, byte miss ratio 0.0909
result/tweetypie_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   734953, 1315498620 req, miss ratio 0.0656, byte miss ratio 0.0656
result/tweetypie_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  2449845, 1315498620 req, miss ratio 0.0441, byte miss ratio 0.0441
result/tweetypie_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  4899691, 1315498620 req, miss ratio 0.0346, byte miss ratio 0.0346
result/tweetypie_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  9799383, 1315498620 req, miss ratio 0.0268, byte miss ratio 0.0268
result/tweetypie_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 19598767, 1315498620 req, miss ratio 0.0199, byte miss ratio 0.0199
