result/cdn1_sjc.ns330.oracleGeneral.bin.zst Cacheus cache size      175, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst Cacheus cache size      351, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst Cacheus cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst Cacheus cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst clock2 cache size        5, 11295584 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn1_sjc.ns330.oracleGeneral.bin.zst clock2 cache size       17, 11295584 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_sjc.ns330.oracleGeneral.bin.zst clock2 cache size       52, 11295584 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn1_sjc.ns330.oracleGeneral.bin.zst clock2 cache size      175, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst clock2 cache size      351, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst clock2 cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst clock2 cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LIRS cache size        5, 11295584 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LIRS cache size       17, 11295584 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LIRS cache size       52, 11295584 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LIRS cache size      175, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LIRS cache size      351, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LIRS cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LIRS cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
