result/cdn2_colo28.ns1315.oracleGeneral.zst LRU cache size   411012, 2335244 req, miss ratio 0.4942, byte miss ratio 0.4942
result/cdn2_colo28.ns1315.oracleGeneral.zst LRU cache size   822024, 2335244 req, miss ratio 0.4433, byte miss ratio 0.4433
result/cdn2_colo28.ns1315.oracleGeneral.zst clock2 cache size     1027, 2335244 req, miss ratio 0.8366, byte miss ratio 0.8366
result/cdn2_colo28.ns1315.oracleGeneral.zst clock2 cache size     3082, 2335244 req, miss ratio 0.8038, byte miss ratio 0.8038
result/cdn2_colo28.ns1315.oracleGeneral.zst clock2 cache size    10275, 2335244 req, miss ratio 0.7504, byte miss ratio 0.7504
result/cdn2_colo28.ns1315.oracleGeneral.zst clock2 cache size    30825, 2335244 req, miss ratio 0.6852, byte miss ratio 0.6852
result/cdn2_colo28.ns1315.oracleGeneral.zst clock2 cache size   102753, 2335244 req, miss ratio 0.5968, byte miss ratio 0.5968
result/cdn2_colo28.ns1315.oracleGeneral.zst clock2 cache size   205506, 2335244 req, miss ratio 0.5394, byte miss ratio 0.5394
result/cdn2_colo28.ns1315.oracleGeneral.zst clock2 cache size   411012, 2335244 req, miss ratio 0.4881, byte miss ratio 0.4881
result/cdn2_colo28.ns1315.oracleGeneral.zst clock2 cache size   822024, 2335244 req, miss ratio 0.4433, byte miss ratio 0.4433
result/cdn2_colo28.ns1315.oracleGeneral.zst LHD cache size     1027, 2335244 req, miss ratio 0.8368, byte miss ratio 0.8368
result/cdn2_colo28.ns1315.oracleGeneral.zst LHD cache size     3082, 2335244 req, miss ratio 0.7987, byte miss ratio 0.7987
result/cdn2_colo28.ns1315.oracleGeneral.zst LHD cache size    10275, 2335244 req, miss ratio 0.7420, byte miss ratio 0.7420
result/cdn2_colo28.ns1315.oracleGeneral.zst LHD cache size    30825, 2335244 req, miss ratio 0.6790, byte miss ratio 0.6790
result/cdn2_colo28.ns1315.oracleGeneral.zst LHD cache size   102753, 2335244 req, miss ratio 0.6040, byte miss ratio 0.6040
result/cdn2_colo28.ns1315.oracleGeneral.zst LHD cache size   205506, 2335244 req, miss ratio 0.5439, byte miss ratio 0.5439
