result/cdn1_nyc.ns211.oracleGeneral.bin.zst ARC cache size      345, 1007266 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn1_nyc.ns211.oracleGeneral.bin.zst ARC cache size      691, 1007266 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn1_nyc.ns211.oracleGeneral.bin.zst FIFO cache size        8, 1007266 req, miss ratio 0.0613, byte miss ratio 0.0613
result/cdn1_nyc.ns211.oracleGeneral.bin.zst FIFO cache size       25, 1007266 req, miss ratio 0.0442, byte miss ratio 0.0442
result/cdn1_nyc.ns211.oracleGeneral.bin.zst FIFO cache size       86, 1007266 req, miss ratio 0.0278, byte miss ratio 0.0278
result/cdn1_nyc.ns211.oracleGeneral.bin.zst FIFO cache size      172, 1007266 req, miss ratio 0.0160, byte miss ratio 0.0160
result/cdn1_nyc.ns211.oracleGeneral.bin.zst FIFO cache size      345, 1007266 req, miss ratio 0.0048, byte miss ratio 0.0048
result/cdn1_nyc.ns211.oracleGeneral.bin.zst FIFO cache size      691, 1007266 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn1_nyc.ns211.oracleGeneral.bin.zst clock2 cache size        8, 1007266 req, miss ratio 0.0401, byte miss ratio 0.0401
result/cdn1_nyc.ns211.oracleGeneral.bin.zst clock2 cache size       25, 1007266 req, miss ratio 0.0378, byte miss ratio 0.0378
result/cdn1_nyc.ns211.oracleGeneral.bin.zst clock2 cache size       86, 1007266 req, miss ratio 0.0257, byte miss ratio 0.0257
result/cdn1_nyc.ns211.oracleGeneral.bin.zst clock2 cache size      172, 1007266 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cdn1_nyc.ns211.oracleGeneral.bin.zst clock2 cache size      345, 1007266 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn1_nyc.ns211.oracleGeneral.bin.zst clock2 cache size      691, 1007266 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-d-1 cache size        8, 1007266 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-d-1 cache size       25, 1007266 req, miss ratio 0.0342, byte miss ratio 0.0342
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-d-1 cache size       86, 1007266 req, miss ratio 0.0219, byte miss ratio 0.0219
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-d-1 cache size      172, 1007266 req, miss ratio 0.0100, byte miss ratio 0.0100
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-d-1 cache size      345, 1007266 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-d-1 cache size      691, 1007266 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LRB cache size        8, 1007266 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LRB cache size       25, 1007266 req, miss ratio 0.0343, byte miss ratio 0.0343
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LRB cache size       86, 1007266 req, miss ratio 0.0204, byte miss ratio 0.0204
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LRB cache size      172, 1007266 req, miss ratio 0.0095, byte miss ratio 0.0095
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LRB cache size      345, 1007266 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LRB cache size      691, 1007266 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn1_nyc.ns211.oracleGeneral.bin.zst B-LRU cache size        8, 1007266 req, miss ratio 0.0457, byte miss ratio 0.0457
result/cdn1_nyc.ns211.oracleGeneral.bin.zst B-LRU cache size       25, 1007266 req, miss ratio 0.0381, byte miss ratio 0.0381
result/cdn1_nyc.ns211.oracleGeneral.bin.zst B-LRU cache size       86, 1007266 req, miss ratio 0.0265, byte miss ratio 0.0265
result/cdn1_nyc.ns211.oracleGeneral.bin.zst B-LRU cache size      172, 1007266 req, miss ratio 0.0127, byte miss ratio 0.0127
result/cdn1_nyc.ns211.oracleGeneral.bin.zst B-LRU cache size      345, 1007266 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn1_nyc.ns211.oracleGeneral.bin.zst B-LRU cache size      691, 1007266 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size        8, 1007266 req, miss ratio 0.0388, byte miss ratio 0.0388
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       25, 1007266 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       86, 1007266 req, miss ratio 0.0218, byte miss ratio 0.0218
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      172, 1007266 req, miss ratio 0.0102, byte miss ratio 0.0102
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      345, 1007266 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      691, 1007266 req, miss ratio 0.0009, byte miss ratio 0.0009
