result/tencentBlock.ns5473.oracleGeneral.zst ARC cache size     5003, 37307337 req, miss ratio 0.4670, byte miss ratio 0.4670
result/tencentBlock.ns5473.oracleGeneral.zst ARC cache size    15011, 37307337 req, miss ratio 0.4071, byte miss ratio 0.4071
result/tencentBlock.ns5473.oracleGeneral.zst ARC cache size    50038, 37307337 req, miss ratio 0.2616, byte miss ratio 0.2616
result/tencentBlock.ns5473.oracleGeneral.zst ARC cache size   150114, 37307337 req, miss ratio 0.2093, byte miss ratio 0.2093
result/tencentBlock.ns5473.oracleGeneral.zst ARC cache size   500382, 37307337 req, miss ratio 0.1832, byte miss ratio 0.1832
result/tencentBlock.ns5473.oracleGeneral.zst ARC cache size  1000765, 37307337 req, miss ratio 0.1572, byte miss ratio 0.1572
result/tencentBlock.ns5473.oracleGeneral.zst ARC cache size  2001530, 37307337 req, miss ratio 0.1432, byte miss ratio 0.1432
result/tencentBlock.ns5473.oracleGeneral.zst ARC cache size  4003061, 37307337 req, miss ratio 0.1343, byte miss ratio 0.1343
result/tencentBlock.ns5473.oracleGeneral.zst LRU cache size     5003, 37307337 req, miss ratio 0.4672, byte miss ratio 0.4672
result/tencentBlock.ns5473.oracleGeneral.zst LRU cache size    15011, 37307337 req, miss ratio 0.4153, byte miss ratio 0.4153
result/tencentBlock.ns5473.oracleGeneral.zst LRU cache size    50038, 37307337 req, miss ratio 0.3096, byte miss ratio 0.3096
result/tencentBlock.ns5473.oracleGeneral.zst LRU cache size   150114, 37307337 req, miss ratio 0.2133, byte miss ratio 0.2133
result/tencentBlock.ns5473.oracleGeneral.zst LRU cache size   500382, 37307337 req, miss ratio 0.1931, byte miss ratio 0.1931
result/tencentBlock.ns5473.oracleGeneral.zst LRU cache size  1000765, 37307337 req, miss ratio 0.1557, byte miss ratio 0.1557
result/tencentBlock.ns5473.oracleGeneral.zst LRU cache size  2001530, 37307337 req, miss ratio 0.1390, byte miss ratio 0.1390
result/tencentBlock.ns5473.oracleGeneral.zst LRU cache size  4003061, 37307337 req, miss ratio 0.1342, byte miss ratio 0.1342
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-1 cache size     5003, 37307337 req, miss ratio 0.4561, byte miss ratio 0.4561
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-1 cache size    15011, 37307337 req, miss ratio 0.4043, byte miss ratio 0.4043
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-1 cache size    50038, 37307337 req, miss ratio 0.2358, byte miss ratio 0.2358
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-1 cache size   150114, 37307337 req, miss ratio 0.2099, byte miss ratio 0.2099
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-1 cache size   500382, 37307337 req, miss ratio 0.1868, byte miss ratio 0.1868
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-1 cache size  1000765, 37307337 req, miss ratio 0.1598, byte miss ratio 0.1598
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-1 cache size  2001530, 37307337 req, miss ratio 0.1438, byte miss ratio 0.1438
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-1 cache size  4003061, 37307337 req, miss ratio 0.1343, byte miss ratio 0.1343
result/tencentBlock.ns5473.oracleGeneral.zst Clock cache size     5003, 37307337 req, miss ratio 0.4700, byte miss ratio 0.4700
result/tencentBlock.ns5473.oracleGeneral.zst Clock cache size    15011, 37307337 req, miss ratio 0.4166, byte miss ratio 0.4166
result/tencentBlock.ns5473.oracleGeneral.zst Clock cache size    50038, 37307337 req, miss ratio 0.3095, byte miss ratio 0.3095
result/tencentBlock.ns5473.oracleGeneral.zst Clock cache size   150114, 37307337 req, miss ratio 0.2121, byte miss ratio 0.2121
result/tencentBlock.ns5473.oracleGeneral.zst Clock cache size   500382, 37307337 req, miss ratio 0.1908, byte miss ratio 0.1908
result/tencentBlock.ns5473.oracleGeneral.zst Clock cache size  1000765, 37307337 req, miss ratio 0.1584, byte miss ratio 0.1584
result/tencentBlock.ns5473.oracleGeneral.zst Clock cache size  2001530, 37307337 req, miss ratio 0.1390, byte miss ratio 0.1390
result/tencentBlock.ns5473.oracleGeneral.zst Clock cache size  4003061, 37307337 req, miss ratio 0.1343, byte miss ratio 0.1343
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-d-1 cache size     5003, 37307337 req, miss ratio 0.4545, byte miss ratio 0.4545
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-d-1 cache size    15011, 37307337 req, miss ratio 0.4054, byte miss ratio 0.4054
