result/tencentBlock.ns12533.oracleGeneral.zst clock2 cache size      229, 2130813 req, miss ratio 0.6023, byte miss ratio 0.6023
result/tencentBlock.ns12533.oracleGeneral.zst clock2 cache size      687, 2130813 req, miss ratio 0.4667, byte miss ratio 0.4667
result/tencentBlock.ns12533.oracleGeneral.zst clock2 cache size     2292, 2130813 req, miss ratio 0.2774, byte miss ratio 0.2774
result/tencentBlock.ns12533.oracleGeneral.zst clock2 cache size     6876, 2130813 req, miss ratio 0.2405, byte miss ratio 0.2405
result/tencentBlock.ns12533.oracleGeneral.zst clock2 cache size    22922, 2130813 req, miss ratio 0.1846, byte miss ratio 0.1846
result/tencentBlock.ns12533.oracleGeneral.zst clock2 cache size    45845, 2130813 req, miss ratio 0.1533, byte miss ratio 0.1533
result/tencentBlock.ns12533.oracleGeneral.zst clock2 cache size    91690, 2130813 req, miss ratio 0.1230, byte miss ratio 0.1230
result/tencentBlock.ns12533.oracleGeneral.zst clock2 cache size   183381, 2130813 req, miss ratio 0.1077, byte miss ratio 0.1077
result/tencentBlock.ns12533.oracleGeneral.zst LIRS cache size      229, 2130813 req, miss ratio 0.5695, byte miss ratio 0.5695
result/tencentBlock.ns12533.oracleGeneral.zst LIRS cache size      687, 2130813 req, miss ratio 0.4495, byte miss ratio 0.4495
result/tencentBlock.ns12533.oracleGeneral.zst LIRS cache size     2292, 2130813 req, miss ratio 0.2861, byte miss ratio 0.2861
result/tencentBlock.ns12533.oracleGeneral.zst LIRS cache size     6876, 2130813 req, miss ratio 0.2402, byte miss ratio 0.2402
result/tencentBlock.ns12533.oracleGeneral.zst LIRS cache size    22922, 2130813 req, miss ratio 0.1931, byte miss ratio 0.1931
result/tencentBlock.ns12533.oracleGeneral.zst LIRS cache size    45845, 2130813 req, miss ratio 0.1605, byte miss ratio 0.1605
result/tencentBlock.ns12533.oracleGeneral.zst LIRS cache size    91690, 2130813 req, miss ratio 0.1305, byte miss ratio 0.1305
result/tencentBlock.ns12533.oracleGeneral.zst LIRS cache size   183381, 2130813 req, miss ratio 0.1111, byte miss ratio 0.1111
result/tencentBlock.ns12533.oracleGeneral.zst Cacheus cache size      229, 2130813 req, miss ratio 0.5609, byte miss ratio 0.5609
