result/tencentBlock.ns22280.oracleGeneral.zst Cacheus cache size      111, 1344578 req, miss ratio 0.4538, byte miss ratio 0.4538
result/tencentBlock.ns22280.oracleGeneral.zst Cacheus cache size      335, 1344578 req, miss ratio 0.4294, byte miss ratio 0.4294
result/tencentBlock.ns22280.oracleGeneral.zst Cacheus cache size     1119, 1344578 req, miss ratio 0.4271, byte miss ratio 0.4271
result/tencentBlock.ns22280.oracleGeneral.zst Cacheus cache size     3358, 1344578 req, miss ratio 0.4252, byte miss ratio 0.4252
result/tencentBlock.ns22280.oracleGeneral.zst Cacheus cache size    11194, 1344578 req, miss ratio 0.4186, byte miss ratio 0.4186
result/tencentBlock.ns22280.oracleGeneral.zst Cacheus cache size    22388, 1344578 req, miss ratio 0.3484, byte miss ratio 0.3484
result/tencentBlock.ns22280.oracleGeneral.zst Cacheus cache size    44777, 1344578 req, miss ratio 0.3249, byte miss ratio 0.3249
result/tencentBlock.ns22280.oracleGeneral.zst Cacheus cache size    89554, 1344578 req, miss ratio 0.0884, byte miss ratio 0.0884
result/tencentBlock.ns22280.oracleGeneral.zst S3FIFO-1 cache size      111, 1344578 req, miss ratio 0.4433, byte miss ratio 0.4433
result/tencentBlock.ns22280.oracleGeneral.zst S3FIFO-1 cache size      335, 1344578 req, miss ratio 0.4296, byte miss ratio 0.4296
result/tencentBlock.ns22280.oracleGeneral.zst S3FIFO-1 cache size     1119, 1344578 req, miss ratio 0.4273, byte miss ratio 0.4273
result/tencentBlock.ns22280.oracleGeneral.zst S3FIFO-1 cache size     3358, 1344578 req, miss ratio 0.4218, byte miss ratio 0.4218
result/tencentBlock.ns22280.oracleGeneral.zst S3FIFO-1 cache size    11194, 1344578 req, miss ratio 0.4186, byte miss ratio 0.4186
result/tencentBlock.ns22280.oracleGeneral.zst S3FIFO-1 cache size    22388, 1344578 req, miss ratio 0.3467, byte miss ratio 0.3467
result/tencentBlock.ns22280.oracleGeneral.zst S3FIFO-1 cache size    44777, 1344578 req, miss ratio 0.3061, byte miss ratio 0.3061
result/tencentBlock.ns22280.oracleGeneral.zst S3FIFO-1 cache size    89554, 1344578 req, miss ratio 0.0907, byte miss ratio 0.0907
result/tencentBlock.ns22280.oracleGeneral.zst ARC cache size      111, 1344578 req, miss ratio 0.4394, byte miss ratio 0.4394
result/tencentBlock.ns22280.oracleGeneral.zst ARC cache size      335, 1344578 req, miss ratio 0.4291, byte miss ratio 0.4291
result/tencentBlock.ns22280.oracleGeneral.zst ARC cache size     1119, 1344578 req, miss ratio 0.4275, byte miss ratio 0.4275
result/tencentBlock.ns22280.oracleGeneral.zst ARC cache size     3358, 1344578 req, miss ratio 0.4206, byte miss ratio 0.4206
result/tencentBlock.ns22280.oracleGeneral.zst ARC cache size    11194, 1344578 req, miss ratio 0.4188, byte miss ratio 0.4188
result/tencentBlock.ns22280.oracleGeneral.zst ARC cache size    22388, 1344578 req, miss ratio 0.3707, byte miss ratio 0.3707
result/tencentBlock.ns22280.oracleGeneral.zst ARC cache size    44777, 1344578 req, miss ratio 0.3121, byte miss ratio 0.3121
result/tencentBlock.ns22280.oracleGeneral.zst ARC cache size    89554, 1344578 req, miss ratio 0.0894, byte miss ratio 0.0894
result/tencentBlock.ns22280.oracleGeneral.zst Clock cache size      111, 1344578 req, miss ratio 0.4773, byte miss ratio 0.4773
result/tencentBlock.ns22280.oracleGeneral.zst Clock cache size      335, 1344578 req, miss ratio 0.4388, byte miss ratio 0.4388
result/tencentBlock.ns22280.oracleGeneral.zst Clock cache size     1119, 1344578 req, miss ratio 0.4294, byte miss ratio 0.4294
result/tencentBlock.ns22280.oracleGeneral.zst Clock cache size     3358, 1344578 req, miss ratio 0.4264, byte miss ratio 0.4264
