result/cdn2_allcolo.ns1180.oracleGeneral.zst LRU cache size    76282, 4271180 req, miss ratio 0.0706, byte miss ratio 0.0706
result/cdn2_allcolo.ns1180.oracleGeneral.zst LRU cache size   152564, 4271180 req, miss ratio 0.0462, byte miss ratio 0.0462
result/cdn2_allcolo.ns1180.oracleGeneral.zst LeCaR cache size      190, 4271180 req, miss ratio 0.8629, byte miss ratio 0.8629
result/cdn2_allcolo.ns1180.oracleGeneral.zst LeCaR cache size      572, 4271180 req, miss ratio 0.7559, byte miss ratio 0.7559
result/cdn2_allcolo.ns1180.oracleGeneral.zst LeCaR cache size     1907, 4271180 req, miss ratio 0.5918, byte miss ratio 0.5918
result/cdn2_allcolo.ns1180.oracleGeneral.zst LeCaR cache size     5721, 4271180 req, miss ratio 0.4112, byte miss ratio 0.4112
result/cdn2_allcolo.ns1180.oracleGeneral.zst LeCaR cache size    19070, 4271180 req, miss ratio 0.2089, byte miss ratio 0.2089
result/cdn2_allcolo.ns1180.oracleGeneral.zst LeCaR cache size    38141, 4271180 req, miss ratio 0.1211, byte miss ratio 0.1211
result/cdn2_allcolo.ns1180.oracleGeneral.zst LeCaR cache size    76282, 4271180 req, miss ratio 0.0680, byte miss ratio 0.0680
result/cdn2_allcolo.ns1180.oracleGeneral.zst LeCaR cache size   152564, 4271180 req, miss ratio 0.0462, byte miss ratio 0.0462
result/cdn2_allcolo.ns1180.oracleGeneral.zst Clock cache size      190, 4271180 req, miss ratio 0.8595, byte miss ratio 0.8595
result/cdn2_allcolo.ns1180.oracleGeneral.zst Clock cache size      572, 4271180 req, miss ratio 0.7479, byte miss ratio 0.7479
result/cdn2_allcolo.ns1180.oracleGeneral.zst Clock cache size     1907, 4271180 req, miss ratio 0.5818, byte miss ratio 0.5818
result/cdn2_allcolo.ns1180.oracleGeneral.zst Clock cache size     5721, 4271180 req, miss ratio 0.4033, byte miss ratio 0.4033
result/cdn2_allcolo.ns1180.oracleGeneral.zst Clock cache size    19070, 4271180 req, miss ratio 0.2107, byte miss ratio 0.2107
result/cdn2_allcolo.ns1180.oracleGeneral.zst Clock cache size    38141, 4271180 req, miss ratio 0.1249, byte miss ratio 0.1249
result/cdn2_allcolo.ns1180.oracleGeneral.zst Clock cache size    76282, 4271180 req, miss ratio 0.0686, byte miss ratio 0.0686
result/cdn2_allcolo.ns1180.oracleGeneral.zst Clock cache size   152564, 4271180 req, miss ratio 0.0460, byte miss ratio 0.0460
result/cdn2_allcolo.ns1180.oracleGeneral.zst LIRS cache size      190, 4271180 req, miss ratio 0.7745, byte miss ratio 0.7745
result/cdn2_allcolo.ns1180.oracleGeneral.zst LIRS cache size      572, 4271180 req, miss ratio 0.6575, byte miss ratio 0.6575
result/cdn2_allcolo.ns1180.oracleGeneral.zst LIRS cache size     1907, 4271180 req, miss ratio 0.5035, byte miss ratio 0.5035
result/cdn2_allcolo.ns1180.oracleGeneral.zst LIRS cache size     5721, 4271180 req, miss ratio 0.3494, byte miss ratio 0.3494
result/cdn2_allcolo.ns1180.oracleGeneral.zst LIRS cache size    19070, 4271180 req, miss ratio 0.1850, byte miss ratio 0.1850
result/cdn2_allcolo.ns1180.oracleGeneral.zst LIRS cache size    38141, 4271180 req, miss ratio 0.1109, byte miss ratio 0.1109
result/cdn2_allcolo.ns1180.oracleGeneral.zst LIRS cache size    76282, 4271180 req, miss ratio 0.0655, byte miss ratio 0.0655
result/cdn2_allcolo.ns1180.oracleGeneral.zst LIRS cache size   152564, 4271180 req, miss ratio 0.0466, byte miss ratio 0.0466
result/cdn2_allcolo.ns1180.oracleGeneral.zst LHD cache size      190, 4271180 req, miss ratio 0.8216, byte miss ratio 0.8216
result/cdn2_allcolo.ns1180.oracleGeneral.zst LHD cache size      572, 4271180 req, miss ratio 0.7439, byte miss ratio 0.7439
result/cdn2_allcolo.ns1180.oracleGeneral.zst LHD cache size     1907, 4271180 req, miss ratio 0.5482, byte miss ratio 0.5482
result/cdn2_allcolo.ns1180.oracleGeneral.zst LHD cache size     5721, 4271180 req, miss ratio 0.3750, byte miss ratio 0.3750
result/cdn2_allcolo.ns1180.oracleGeneral.zst LHD cache size    19070, 4271180 req, miss ratio 0.1969, byte miss ratio 0.1969
result/cdn2_allcolo.ns1180.oracleGeneral.zst LHD cache size    38141, 4271180 req, miss ratio 0.1182, byte miss ratio 0.1182
result/cdn2_allcolo.ns1180.oracleGeneral.zst LHD cache size    76282, 4271180 req, miss ratio 0.0683, byte miss ratio 0.0683
result/cdn2_allcolo.ns1180.oracleGeneral.zst LHD cache size   152564, 4271180 req, miss ratio 0.0466, byte miss ratio 0.0466
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO-d-1 cache size      190, 4271180 req, miss ratio 0.7606, byte miss ratio 0.7606
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO-d-1 cache size      572, 4271180 req, miss ratio 0.6431, byte miss ratio 0.6431
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO-d-1 cache size     1907, 4271180 req, miss ratio 0.4926, byte miss ratio 0.4926
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO-d-1 cache size     5721, 4271180 req, miss ratio 0.3402, byte miss ratio 0.3402
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO-d-1 cache size    19070, 4271180 req, miss ratio 0.1790, byte miss ratio 0.1790
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO-d-1 cache size    38141, 4271180 req, miss ratio 0.1089, byte miss ratio 0.1089
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO-d-1 cache size    76282, 4271180 req, miss ratio 0.0646, byte miss ratio 0.0646
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO-d-1 cache size   152564, 4271180 req, miss ratio 0.0460, byte miss ratio 0.0460
result/cdn2_allcolo.ns1180.oracleGeneral.zst LRB cache size      190, 4271180 req, miss ratio 0.7538, byte miss ratio 0.7538
result/cdn2_allcolo.ns1180.oracleGeneral.zst LRB cache size      572, 4271180 req, miss ratio 0.6337, byte miss ratio 0.6337
result/cdn2_allcolo.ns1180.oracleGeneral.zst LRB cache size     1907, 4271180 req, miss ratio 0.4824, byte miss ratio 0.4824
result/cdn2_allcolo.ns1180.oracleGeneral.zst LRB cache size     5721, 4271180 req, miss ratio 0.3283, byte miss ratio 0.3283
result/cdn2_allcolo.ns1180.oracleGeneral.zst LRB cache size    19070, 4271180 req, miss ratio 0.1759, byte miss ratio 0.1759
result/cdn2_allcolo.ns1180.oracleGeneral.zst LRB cache size    38141, 4271180 req, miss ratio 0.1147, byte miss ratio 0.1147
result/cdn2_allcolo.ns1180.oracleGeneral.zst LRB cache size    76282, 4271180 req, miss ratio 0.0702, byte miss ratio 0.0702
result/cdn2_allcolo.ns1180.oracleGeneral.zst LRB cache size   152564, 4271180 req, miss ratio 0.0461, byte miss ratio 0.0461
result/cdn2_allcolo.ns1180.oracleGeneral.zst B-LRU cache size      190, 4271180 req, miss ratio 0.8647, byte miss ratio 0.8647
result/cdn2_allcolo.ns1180.oracleGeneral.zst B-LRU cache size      572, 4271180 req, miss ratio 0.7553, byte miss ratio 0.7553
result/cdn2_allcolo.ns1180.oracleGeneral.zst B-LRU cache size     1907, 4271180 req, miss ratio 0.5888, byte miss ratio 0.5888
result/cdn2_allcolo.ns1180.oracleGeneral.zst B-LRU cache size     5721, 4271180 req, miss ratio 0.4072, byte miss ratio 0.4072
result/cdn2_allcolo.ns1180.oracleGeneral.zst B-LRU cache size    19070, 4271180 req, miss ratio 0.2110, byte miss ratio 0.2110
result/cdn2_allcolo.ns1180.oracleGeneral.zst B-LRU cache size    38141, 4271180 req, miss ratio 0.1267, byte miss ratio 0.1267
result/cdn2_allcolo.ns1180.oracleGeneral.zst B-LRU cache size    76282, 4271180 req, miss ratio 0.0800, byte miss ratio 0.0800
result/cdn2_allcolo.ns1180.oracleGeneral.zst B-LRU cache size   152564, 4271180 req, miss ratio 0.0729, byte miss ratio 0.0729
result/cdn2_allcolo.ns1180.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      190, 4271180 req, miss ratio 0.8543, byte miss ratio 0.8543
result/cdn2_allcolo.ns1180.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      572, 4271180 req, miss ratio 0.7360, byte miss ratio 0.7360
result/cdn2_allcolo.ns1180.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1907, 4271180 req, miss ratio 0.5705, byte miss ratio 0.5705
result/cdn2_allcolo.ns1180.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5721, 4271180 req, miss ratio 0.3959, byte miss ratio 0.3959
result/cdn2_allcolo.ns1180.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    19070, 4271180 req, miss ratio 0.2102, byte miss ratio 0.2102
result/cdn2_allcolo.ns1180.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    38141, 4271180 req, miss ratio 0.1281, byte miss ratio 0.1281
result/cdn2_allcolo.ns1180.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    76282, 4271180 req, miss ratio 0.0721, byte miss ratio 0.0721
result/cdn2_allcolo.ns1180.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   152564, 4271180 req, miss ratio 0.0509, byte miss ratio 0.0509
result/cdn2_allcolo.ns1180.oracleGeneral.zst S4LRU(25:25:25:25) cache size      190, 4271180 req, miss ratio 0.7746, byte miss ratio 0.7746
result/cdn2_allcolo.ns1180.oracleGeneral.zst S4LRU(25:25:25:25) cache size      572, 4271180 req, miss ratio 0.6586, byte miss ratio 0.6586
result/cdn2_allcolo.ns1180.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1907, 4271180 req, miss ratio 0.5060, byte miss ratio 0.5060
result/cdn2_allcolo.ns1180.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5721, 4271180 req, miss ratio 0.3491, byte miss ratio 0.3491
result/cdn2_allcolo.ns1180.oracleGeneral.zst S4LRU(25:25:25:25) cache size    19070, 4271180 req, miss ratio 0.1835, byte miss ratio 0.1835
result/cdn2_allcolo.ns1180.oracleGeneral.zst S4LRU(25:25:25:25) cache size    38141, 4271180 req, miss ratio 0.1109, byte miss ratio 0.1109
result/cdn2_allcolo.ns1180.oracleGeneral.zst S4LRU(25:25:25:25) cache size    76282, 4271180 req, miss ratio 0.0654, byte miss ratio 0.0654
result/cdn2_allcolo.ns1180.oracleGeneral.zst S4LRU(25:25:25:25) cache size   152564, 4271180 req, miss ratio 0.0460, byte miss ratio 0.0460
result/cdn2_allcolo.ns1180.oracleGeneral.zst TwoQ cache size      190, 4271180 req, miss ratio 0.7734, byte miss ratio 0.7734
result/cdn2_allcolo.ns1180.oracleGeneral.zst TwoQ cache size      572, 4271180 req, miss ratio 0.6593, byte miss ratio 0.6593
result/cdn2_allcolo.ns1180.oracleGeneral.zst TwoQ cache size     1907, 4271180 req, miss ratio 0.5106, byte miss ratio 0.5106
result/cdn2_allcolo.ns1180.oracleGeneral.zst TwoQ cache size     5721, 4271180 req, miss ratio 0.3584, byte miss ratio 0.3584
result/cdn2_allcolo.ns1180.oracleGeneral.zst TwoQ cache size    19070, 4271180 req, miss ratio 0.1955, byte miss ratio 0.1955
result/cdn2_allcolo.ns1180.oracleGeneral.zst TwoQ cache size    38141, 4271180 req, miss ratio 0.1223, byte miss ratio 0.1223
result/cdn2_allcolo.ns1180.oracleGeneral.zst TwoQ cache size    76282, 4271180 req, miss ratio 0.0759, byte miss ratio 0.0759
result/cdn2_allcolo.ns1180.oracleGeneral.zst TwoQ cache size   152564, 4271180 req, miss ratio 0.0542, byte miss ratio 0.0542
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO-d cache size      190, 4271180 req, miss ratio 0.8085, byte miss ratio 0.8085
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO-d cache size      572, 4271180 req, miss ratio 0.6812, byte miss ratio 0.6812
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO-d cache size     1907, 4271180 req, miss ratio 0.5182, byte miss ratio 0.5182
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO-d cache size     5721, 4271180 req, miss ratio 0.3525, byte miss ratio 0.3525
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO-d cache size    19070, 4271180 req, miss ratio 0.1836, byte miss ratio 0.1836
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO-d cache size    38141, 4271180 req, miss ratio 0.1109, byte miss ratio 0.1109
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO-d cache size    76282, 4271180 req, miss ratio 0.0660, byte miss ratio 0.0660
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO-d cache size   152564, 4271180 req, miss ratio 0.0465, byte miss ratio 0.0465
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO cache size      190, 4271180 req, miss ratio 0.7563, byte miss ratio 0.7563
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO cache size      572, 4271180 req, miss ratio 0.6393, byte miss ratio 0.6393
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO cache size     1907, 4271180 req, miss ratio 0.4896, byte miss ratio 0.4896
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO cache size     5721, 4271180 req, miss ratio 0.3380, byte miss ratio 0.3380
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO cache size    19070, 4271180 req, miss ratio 0.1785, byte miss ratio 0.1785
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO cache size    38141, 4271180 req, miss ratio 0.1094, byte miss ratio 0.1094
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO cache size    76282, 4271180 req, miss ratio 0.0659, byte miss ratio 0.0659
result/cdn2_allcolo.ns1180.oracleGeneral.zst S3FIFO cache size   152564, 4271180 req, miss ratio 0.0465, byte miss ratio 0.0465
result/cdn2_allcolo.ns1180.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      190, 4271180 req, miss ratio 0.7655, byte miss ratio 0.7655
result/cdn2_allcolo.ns1180.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      572, 4271180 req, miss ratio 0.6464, byte miss ratio 0.6464
result/cdn2_allcolo.ns1180.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1907, 4271180 req, miss ratio 0.4930, byte miss ratio 0.4930
result/cdn2_allcolo.ns1180.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5721, 4271180 req, miss ratio 0.3394, byte miss ratio 0.3394
result/cdn2_allcolo.ns1180.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    19070, 4271180 req, miss ratio 0.2322, byte miss ratio 0.2322
result/cdn2_allcolo.ns1180.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    38141, 4271180 req, miss ratio 0.1422, byte miss ratio 0.1422
result/cdn2_allcolo.ns1180.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    76282, 4271180 req, miss ratio 0.0741, byte miss ratio 0.0741
result/cdn2_allcolo.ns1180.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   152564, 4271180 req, miss ratio 0.0481, byte miss ratio 0.0481
result/cdn2_allcolo.ns1180.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      190, 4271180 req, miss ratio 0.7638, byte miss ratio 0.7638
result/cdn2_allcolo.ns1180.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      572, 4271180 req, miss ratio 0.6501, byte miss ratio 0.6501
result/cdn2_allcolo.ns1180.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1907, 4271180 req, miss ratio 0.4968, byte miss ratio 0.4968
result/cdn2_allcolo.ns1180.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5721, 4271180 req, miss ratio 0.3434, byte miss ratio 0.3434
result/cdn2_allcolo.ns1180.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    19070, 4271180 req, miss ratio 0.1827, byte miss ratio 0.1827
result/cdn2_allcolo.ns1180.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    38141, 4271180 req, miss ratio 0.1135, byte miss ratio 0.1135
result/cdn2_allcolo.ns1180.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    76282, 4271180 req, miss ratio 0.0704, byte miss ratio 0.0704
result/cdn2_allcolo.ns1180.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   152564, 4271180 req, miss ratio 0.0492, byte miss ratio 0.0492
