result/tencentBlock.ns3466.oracleGeneral.zst clock2 cache size      230, 1388852 req, miss ratio 0.4795, byte miss ratio 0.4795
result/tencentBlock.ns3466.oracleGeneral.zst clock2 cache size      691, 1388852 req, miss ratio 0.4731, byte miss ratio 0.4731
result/tencentBlock.ns3466.oracleGeneral.zst clock2 cache size     2304, 1388852 req, miss ratio 0.4714, byte miss ratio 0.4714
result/tencentBlock.ns3466.oracleGeneral.zst clock2 cache size     6914, 1388852 req, miss ratio 0.4703, byte miss ratio 0.4703
result/tencentBlock.ns3466.oracleGeneral.zst clock2 cache size    23049, 1388852 req, miss ratio 0.4648, byte miss ratio 0.4648
result/tencentBlock.ns3466.oracleGeneral.zst clock2 cache size    46099, 1388852 req, miss ratio 0.4031, byte miss ratio 0.4031
result/tencentBlock.ns3466.oracleGeneral.zst clock2 cache size    92198, 1388852 req, miss ratio 0.2481, byte miss ratio 0.2481
result/tencentBlock.ns3466.oracleGeneral.zst clock2 cache size   184396, 1388852 req, miss ratio 0.1674, byte miss ratio 0.1674
result/tencentBlock.ns3466.oracleGeneral.zst Clock cache size      230, 1388852 req, miss ratio 0.4807, byte miss ratio 0.4807
result/tencentBlock.ns3466.oracleGeneral.zst Clock cache size      691, 1388852 req, miss ratio 0.4734, byte miss ratio 0.4734
result/tencentBlock.ns3466.oracleGeneral.zst Clock cache size     2304, 1388852 req, miss ratio 0.4713, byte miss ratio 0.4713
result/tencentBlock.ns3466.oracleGeneral.zst Clock cache size     6914, 1388852 req, miss ratio 0.4704, byte miss ratio 0.4704
result/tencentBlock.ns3466.oracleGeneral.zst Clock cache size    23049, 1388852 req, miss ratio 0.4308, byte miss ratio 0.4308
result/tencentBlock.ns3466.oracleGeneral.zst Clock cache size    46099, 1388852 req, miss ratio 0.3899, byte miss ratio 0.3899
result/tencentBlock.ns3466.oracleGeneral.zst Clock cache size    92198, 1388852 req, miss ratio 0.2310, byte miss ratio 0.2310
result/tencentBlock.ns3466.oracleGeneral.zst Clock cache size   184396, 1388852 req, miss ratio 0.1676, byte miss ratio 0.1676
