result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LeCaR cache size     2455, 152732993 req, miss ratio 0.2488, byte miss ratio 0.2488
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LeCaR cache size     8186, 152732993 req, miss ratio 0.1382, byte miss ratio 0.1382
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LeCaR cache size    24558, 152732993 req, miss ratio 0.0785, byte miss ratio 0.0785
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LeCaR cache size    81862, 152732993 req, miss ratio 0.0374, byte miss ratio 0.0374
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LeCaR cache size   163725, 152732993 req, miss ratio 0.0225, byte miss ratio 0.0225
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LeCaR cache size   327450, 152732993 req, miss ratio 0.0105, byte miss ratio 0.0105
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LeCaR cache size   654900, 152732993 req, miss ratio 0.0055, byte miss ratio 0.0055
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LRU cache size      818, 152732993 req, miss ratio 0.3223, byte miss ratio 0.3223
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LRU cache size     2455, 152732993 req, miss ratio 0.2470, byte miss ratio 0.2470
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LRU cache size     8186, 152732993 req, miss ratio 0.1367, byte miss ratio 0.1367
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LRU cache size    24558, 152732993 req, miss ratio 0.0779, byte miss ratio 0.0779
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LRU cache size    81862, 152732993 req, miss ratio 0.0374, byte miss ratio 0.0374
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LRU cache size   163725, 152732993 req, miss ratio 0.0227, byte miss ratio 0.0227
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LRU cache size   327450, 152732993 req, miss ratio 0.0111, byte miss ratio 0.0111
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LRU cache size   654900, 152732993 req, miss ratio 0.0055, byte miss ratio 0.0055
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LHD cache size      818, 152732993 req, miss ratio 0.3188, byte miss ratio 0.3188
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LHD cache size     2455, 152732993 req, miss ratio 0.2276, byte miss ratio 0.2276
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LHD cache size     8186, 152732993 req, miss ratio 0.1359, byte miss ratio 0.1359
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LHD cache size    24558, 152732993 req, miss ratio 0.0775, byte miss ratio 0.0775
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LHD cache size    81862, 152732993 req, miss ratio 0.0372, byte miss ratio 0.0372
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LHD cache size   163725, 152732993 req, miss ratio 0.0226, byte miss ratio 0.0226
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LHD cache size   327450, 152732993 req, miss ratio 0.0109, byte miss ratio 0.0109
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LHD cache size   654900, 152732993 req, miss ratio 0.0056, byte miss ratio 0.0056
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst Cacheus cache size      818, 152732993 req, miss ratio 0.3292, byte miss ratio 0.3292
