result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO-d-1 cache size   523589, 24163184 req, miss ratio 0.7224, byte miss ratio 0.7224
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO-d-1 cache size  1745297, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO-d-1 cache size  3490595, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO-d-1 cache size  6981190, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO-d-1 cache size 13962380, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst LRB cache size    17452, 24163184 req, miss ratio 0.7272, byte miss ratio 0.7272
result/cdn2_colo28.ns70.oracleGeneral.zst LRB cache size    52358, 24163184 req, miss ratio 0.7240, byte miss ratio 0.7240
result/cdn2_colo28.ns70.oracleGeneral.zst LRB cache size   174529, 24163184 req, miss ratio 0.7229, byte miss ratio 0.7229
result/cdn2_colo28.ns70.oracleGeneral.zst LRB cache size   523589, 24163184 req, miss ratio 0.7225, byte miss ratio 0.7225
result/cdn2_colo28.ns70.oracleGeneral.zst LRB cache size  1745297, 24163184 req, miss ratio 0.7224, byte miss ratio 0.7224
result/cdn2_colo28.ns70.oracleGeneral.zst LRB cache size  3490595, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst LRB cache size  6981190, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst LRB cache size 13962380, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst S4LRU(25:25:25:25) cache size    17452, 24163184 req, miss ratio 0.7229, byte miss ratio 0.7229
result/cdn2_colo28.ns70.oracleGeneral.zst S4LRU(25:25:25:25) cache size    52358, 24163184 req, miss ratio 0.7227, byte miss ratio 0.7227
result/cdn2_colo28.ns70.oracleGeneral.zst S4LRU(25:25:25:25) cache size   174529, 24163184 req, miss ratio 0.7225, byte miss ratio 0.7225
result/cdn2_colo28.ns70.oracleGeneral.zst S4LRU(25:25:25:25) cache size   523589, 24163184 req, miss ratio 0.7224, byte miss ratio 0.7224
result/cdn2_colo28.ns70.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1745297, 24163184 req, miss ratio 0.7224, byte miss ratio 0.7224
result/cdn2_colo28.ns70.oracleGeneral.zst S4LRU(25:25:25:25) cache size  3490595, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
