result/tencentBlock.ns5268.oracleGeneral.zst LRU cache size      168, 4867334 req, miss ratio 0.4908, byte miss ratio 0.4908
result/tencentBlock.ns5268.oracleGeneral.zst LRU cache size      505, 4867334 req, miss ratio 0.3739, byte miss ratio 0.3739
result/tencentBlock.ns5268.oracleGeneral.zst LRU cache size     1685, 4867334 req, miss ratio 0.3097, byte miss ratio 0.3097
result/tencentBlock.ns5268.oracleGeneral.zst LRU cache size     5056, 4867334 req, miss ratio 0.2558, byte miss ratio 0.2558
result/tencentBlock.ns5268.oracleGeneral.zst LRU cache size    16854, 4867334 req, miss ratio 0.1460, byte miss ratio 0.1460
result/tencentBlock.ns5268.oracleGeneral.zst LRU cache size    33709, 4867334 req, miss ratio 0.1236, byte miss ratio 0.1236
result/tencentBlock.ns5268.oracleGeneral.zst LRU cache size    67418, 4867334 req, miss ratio 0.0748, byte miss ratio 0.0748
result/tencentBlock.ns5268.oracleGeneral.zst LRU cache size   134836, 4867334 req, miss ratio 0.0351, byte miss ratio 0.0351
result/tencentBlock.ns5268.oracleGeneral.zst LIRS cache size      168, 4867334 req, miss ratio 0.4181, byte miss ratio 0.4181
result/tencentBlock.ns5268.oracleGeneral.zst LIRS cache size      505, 4867334 req, miss ratio 0.3297, byte miss ratio 0.3297
result/tencentBlock.ns5268.oracleGeneral.zst LIRS cache size     1685, 4867334 req, miss ratio 0.2641, byte miss ratio 0.2641
result/tencentBlock.ns5268.oracleGeneral.zst LIRS cache size     5056, 4867334 req, miss ratio 0.1840, byte miss ratio 0.1840
result/tencentBlock.ns5268.oracleGeneral.zst LIRS cache size    16854, 4867334 req, miss ratio 0.1344, byte miss ratio 0.1344
result/tencentBlock.ns5268.oracleGeneral.zst LIRS cache size    33709, 4867334 req, miss ratio 0.1159, byte miss ratio 0.1159
result/tencentBlock.ns5268.oracleGeneral.zst LIRS cache size    67418, 4867334 req, miss ratio 0.0679, byte miss ratio 0.0679
result/tencentBlock.ns5268.oracleGeneral.zst LIRS cache size   134836, 4867334 req, miss ratio 0.0356, byte miss ratio 0.0356
result/tencentBlock.ns5268.oracleGeneral.zst LeCaR cache size      168, 4867334 req, miss ratio 0.4668, byte miss ratio 0.4668
result/tencentBlock.ns5268.oracleGeneral.zst LeCaR cache size      505, 4867334 req, miss ratio 0.3522, byte miss ratio 0.3522
result/tencentBlock.ns5268.oracleGeneral.zst LeCaR cache size     1685, 4867334 req, miss ratio 0.2986, byte miss ratio 0.2986
result/tencentBlock.ns5268.oracleGeneral.zst LeCaR cache size     5056, 4867334 req, miss ratio 0.2499, byte miss ratio 0.2499
result/tencentBlock.ns5268.oracleGeneral.zst LeCaR cache size    16854, 4867334 req, miss ratio 0.1409, byte miss ratio 0.1409
