result/cdn2_allcolo.ns3273.oracleGeneral.zst FIFO cache size   303685, 2345499 req, miss ratio 0.3242, byte miss ratio 0.3242
result/cdn2_allcolo.ns3273.oracleGeneral.zst FIFO cache size   607370, 2345499 req, miss ratio 0.3239, byte miss ratio 0.3239
result/cdn2_allcolo.ns3273.oracleGeneral.zst Cacheus cache size      759, 2345499 req, miss ratio 0.3305, byte miss ratio 0.3305
result/cdn2_allcolo.ns3273.oracleGeneral.zst Cacheus cache size     2277, 2345499 req, miss ratio 0.3283, byte miss ratio 0.3283
result/cdn2_allcolo.ns3273.oracleGeneral.zst Cacheus cache size     7592, 2345499 req, miss ratio 0.3266, byte miss ratio 0.3266
result/cdn2_allcolo.ns3273.oracleGeneral.zst Cacheus cache size    22776, 2345499 req, miss ratio 0.3256, byte miss ratio 0.3256
result/cdn2_allcolo.ns3273.oracleGeneral.zst Cacheus cache size    75921, 2345499 req, miss ratio 0.3249, byte miss ratio 0.3249
result/cdn2_allcolo.ns3273.oracleGeneral.zst Cacheus cache size   151842, 2345499 req, miss ratio 0.3240, byte miss ratio 0.3240
result/cdn2_allcolo.ns3273.oracleGeneral.zst Cacheus cache size   303685, 2345499 req, miss ratio 0.3238, byte miss ratio 0.3238
result/cdn2_allcolo.ns3273.oracleGeneral.zst Cacheus cache size   607370, 2345499 req, miss ratio 0.3237, byte miss ratio 0.3237
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-1 cache size      759, 2345499 req, miss ratio 0.3307, byte miss ratio 0.3307
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-1 cache size     2277, 2345499 req, miss ratio 0.3282, byte miss ratio 0.3282
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-1 cache size     7592, 2345499 req, miss ratio 0.3263, byte miss ratio 0.3263
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-1 cache size    22776, 2345499 req, miss ratio 0.3255, byte miss ratio 0.3255
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-1 cache size    75921, 2345499 req, miss ratio 0.3245, byte miss ratio 0.3245
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-1 cache size   151842, 2345499 req, miss ratio 0.3238, byte miss ratio 0.3238
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-1 cache size   303685, 2345499 req, miss ratio 0.3238, byte miss ratio 0.3238
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-1 cache size   607370, 2345499 req, miss ratio 0.3237, byte miss ratio 0.3237
result/cdn2_allcolo.ns3273.oracleGeneral.zst clock2 cache size      759, 2345499 req, miss ratio 0.3332, byte miss ratio 0.3332
