result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst Cacheus cache size  7118689, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst Cacheus cache size 14237378, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst Cacheus cache size 28474757, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst Cacheus cache size 56949514, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    71186, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   213560, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   711868, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  2135606, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  7118689, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 14237378, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 28474757, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 56949514, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst LRB cache size    71186, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst LRB cache size   213560, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst LRB cache size   711868, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst LRB cache size  2135606, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst LRB cache size  7118689, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst LRB cache size 14237378, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst LRB cache size 28474757, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst LRB cache size 56949514, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    71186, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   213560, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   711868, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  2135606, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  7118689, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 14237378, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 28474757, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 56949514, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst TwoQ cache size    71186, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst TwoQ cache size   213560, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst TwoQ cache size   711868, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst TwoQ cache size  2135606, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst TwoQ cache size  7118689, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst TwoQ cache size 14237378, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst TwoQ cache size 28474757, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst TwoQ cache size 56949514, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst B-LRU cache size    71186, 72962354 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst B-LRU cache size   213560, 72962354 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst B-LRU cache size   711868, 72962354 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst B-LRU cache size  2135606, 72962354 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst B-LRU cache size  7118689, 72962354 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst B-LRU cache size 14237378, 72962354 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst B-LRU cache size 28474757, 72962354 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst B-LRU cache size 56949514, 72962354 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    71186, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
