result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-1 cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns493.oracleGeneral.zst clock2 cache size       27, 1880174 req, miss ratio 0.0774, byte miss ratio 0.0774
result/cdn2_allcolo.ns493.oracleGeneral.zst clock2 cache size       81, 1880174 req, miss ratio 0.0385, byte miss ratio 0.0385
result/cdn2_allcolo.ns493.oracleGeneral.zst clock2 cache size      271, 1880174 req, miss ratio 0.0231, byte miss ratio 0.0231
result/cdn2_allcolo.ns493.oracleGeneral.zst clock2 cache size      815, 1880174 req, miss ratio 0.0185, byte miss ratio 0.0185
result/cdn2_allcolo.ns493.oracleGeneral.zst clock2 cache size     2718, 1880174 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn2_allcolo.ns493.oracleGeneral.zst clock2 cache size     5437, 1880174 req, miss ratio 0.0153, byte miss ratio 0.0153
result/cdn2_allcolo.ns493.oracleGeneral.zst clock2 cache size    10874, 1880174 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns493.oracleGeneral.zst clock2 cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns493.oracleGeneral.zst ARC cache size       27, 1880174 req, miss ratio 0.0799, byte miss ratio 0.0799
result/cdn2_allcolo.ns493.oracleGeneral.zst ARC cache size       81, 1880174 req, miss ratio 0.0395, byte miss ratio 0.0395
result/cdn2_allcolo.ns493.oracleGeneral.zst ARC cache size      271, 1880174 req, miss ratio 0.0232, byte miss ratio 0.0232
result/cdn2_allcolo.ns493.oracleGeneral.zst ARC cache size      815, 1880174 req, miss ratio 0.0185, byte miss ratio 0.0185
result/cdn2_allcolo.ns493.oracleGeneral.zst ARC cache size     2718, 1880174 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_allcolo.ns493.oracleGeneral.zst ARC cache size     5437, 1880174 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_allcolo.ns493.oracleGeneral.zst ARC cache size    10874, 1880174 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns493.oracleGeneral.zst ARC cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns493.oracleGeneral.zst Clock cache size       27, 1880174 req, miss ratio 0.0862, byte miss ratio 0.0862
result/cdn2_allcolo.ns493.oracleGeneral.zst Clock cache size       81, 1880174 req, miss ratio 0.0424, byte miss ratio 0.0424
result/cdn2_allcolo.ns493.oracleGeneral.zst Clock cache size      271, 1880174 req, miss ratio 0.0248, byte miss ratio 0.0248
result/cdn2_allcolo.ns493.oracleGeneral.zst Clock cache size      815, 1880174 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn2_allcolo.ns493.oracleGeneral.zst Clock cache size     2718, 1880174 req, miss ratio 0.0166, byte miss ratio 0.0166
result/cdn2_allcolo.ns493.oracleGeneral.zst Clock cache size     5437, 1880174 req, miss ratio 0.0156, byte miss ratio 0.0156
result/cdn2_allcolo.ns493.oracleGeneral.zst Clock cache size    10874, 1880174 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn2_allcolo.ns493.oracleGeneral.zst Clock cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns493.oracleGeneral.zst Cacheus cache size       27, 1880174 req, miss ratio 0.0836, byte miss ratio 0.0836
result/cdn2_allcolo.ns493.oracleGeneral.zst Cacheus cache size       81, 1880174 req, miss ratio 0.0409, byte miss ratio 0.0409
result/cdn2_allcolo.ns493.oracleGeneral.zst Cacheus cache size      271, 1880174 req, miss ratio 0.0239, byte miss ratio 0.0239
result/cdn2_allcolo.ns493.oracleGeneral.zst Cacheus cache size      815, 1880174 req, miss ratio 0.0187, byte miss ratio 0.0187
result/cdn2_allcolo.ns493.oracleGeneral.zst Cacheus cache size     2718, 1880174 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_allcolo.ns493.oracleGeneral.zst Cacheus cache size     5437, 1880174 req, miss ratio 0.0152, byte miss ratio 0.0152
result/cdn2_allcolo.ns493.oracleGeneral.zst Cacheus cache size    10874, 1880174 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn2_allcolo.ns493.oracleGeneral.zst Cacheus cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-d-1 cache size       27, 1880174 req, miss ratio 0.0722, byte miss ratio 0.0722
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-d-1 cache size       81, 1880174 req, miss ratio 0.0358, byte miss ratio 0.0358
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-d-1 cache size      271, 1880174 req, miss ratio 0.0216, byte miss ratio 0.0216
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-d-1 cache size      815, 1880174 req, miss ratio 0.0178, byte miss ratio 0.0178
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-d-1 cache size     2718, 1880174 req, miss ratio 0.0159, byte miss ratio 0.0159
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-d-1 cache size     5437, 1880174 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-d-1 cache size    10874, 1880174 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-d-1 cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns493.oracleGeneral.zst LRB cache size       27, 1880174 req, miss ratio 0.0711, byte miss ratio 0.0711
result/cdn2_allcolo.ns493.oracleGeneral.zst LRB cache size       81, 1880174 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn2_allcolo.ns493.oracleGeneral.zst LRB cache size      271, 1880174 req, miss ratio 0.0216, byte miss ratio 0.0216
result/cdn2_allcolo.ns493.oracleGeneral.zst LRB cache size      815, 1880174 req, miss ratio 0.0178, byte miss ratio 0.0178
result/cdn2_allcolo.ns493.oracleGeneral.zst LRB cache size     2718, 1880174 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn2_allcolo.ns493.oracleGeneral.zst LRB cache size     5437, 1880174 req, miss ratio 0.0152, byte miss ratio 0.0152
result/cdn2_allcolo.ns493.oracleGeneral.zst LRB cache size    10874, 1880174 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns493.oracleGeneral.zst LRB cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns493.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       27, 1880174 req, miss ratio 0.1137, byte miss ratio 0.1137
result/cdn2_allcolo.ns493.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       81, 1880174 req, miss ratio 0.0566, byte miss ratio 0.0566
result/cdn2_allcolo.ns493.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      271, 1880174 req, miss ratio 0.0251, byte miss ratio 0.0251
result/cdn2_allcolo.ns493.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      815, 1880174 req, miss ratio 0.0191, byte miss ratio 0.0191
result/cdn2_allcolo.ns493.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2718, 1880174 req, miss ratio 0.0164, byte miss ratio 0.0164
result/cdn2_allcolo.ns493.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5437, 1880174 req, miss ratio 0.0155, byte miss ratio 0.0155
result/cdn2_allcolo.ns493.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10874, 1880174 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn2_allcolo.ns493.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns493.oracleGeneral.zst S4LRU(25:25:25:25) cache size       27, 1880174 req, miss ratio 0.0816, byte miss ratio 0.0816
result/cdn2_allcolo.ns493.oracleGeneral.zst S4LRU(25:25:25:25) cache size       81, 1880174 req, miss ratio 0.0377, byte miss ratio 0.0377
result/cdn2_allcolo.ns493.oracleGeneral.zst S4LRU(25:25:25:25) cache size      271, 1880174 req, miss ratio 0.0223, byte miss ratio 0.0223
result/cdn2_allcolo.ns493.oracleGeneral.zst S4LRU(25:25:25:25) cache size      815, 1880174 req, miss ratio 0.0179, byte miss ratio 0.0179
result/cdn2_allcolo.ns493.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2718, 1880174 req, miss ratio 0.0159, byte miss ratio 0.0159
result/cdn2_allcolo.ns493.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5437, 1880174 req, miss ratio 0.0150, byte miss ratio 0.0150
result/cdn2_allcolo.ns493.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10874, 1880174 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns493.oracleGeneral.zst S4LRU(25:25:25:25) cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns493.oracleGeneral.zst B-LRU cache size       27, 1880174 req, miss ratio 0.0888, byte miss ratio 0.0888
result/cdn2_allcolo.ns493.oracleGeneral.zst B-LRU cache size       81, 1880174 req, miss ratio 0.0479, byte miss ratio 0.0479
result/cdn2_allcolo.ns493.oracleGeneral.zst B-LRU cache size      271, 1880174 req, miss ratio 0.0315, byte miss ratio 0.0315
result/cdn2_allcolo.ns493.oracleGeneral.zst B-LRU cache size      815, 1880174 req, miss ratio 0.0267, byte miss ratio 0.0267
result/cdn2_allcolo.ns493.oracleGeneral.zst B-LRU cache size     2718, 1880174 req, miss ratio 0.0246, byte miss ratio 0.0246
result/cdn2_allcolo.ns493.oracleGeneral.zst B-LRU cache size     5437, 1880174 req, miss ratio 0.0236, byte miss ratio 0.0236
result/cdn2_allcolo.ns493.oracleGeneral.zst B-LRU cache size    10874, 1880174 req, miss ratio 0.0234, byte miss ratio 0.0234
result/cdn2_allcolo.ns493.oracleGeneral.zst B-LRU cache size    21748, 1880174 req, miss ratio 0.0233, byte miss ratio 0.0233
result/cdn2_allcolo.ns493.oracleGeneral.zst TwoQ cache size       27, 1880174 req, miss ratio 0.0724, byte miss ratio 0.0724
result/cdn2_allcolo.ns493.oracleGeneral.zst TwoQ cache size       81, 1880174 req, miss ratio 0.0348, byte miss ratio 0.0348
result/cdn2_allcolo.ns493.oracleGeneral.zst TwoQ cache size      271, 1880174 req, miss ratio 0.0208, byte miss ratio 0.0208
result/cdn2_allcolo.ns493.oracleGeneral.zst TwoQ cache size      815, 1880174 req, miss ratio 0.0173, byte miss ratio 0.0173
result/cdn2_allcolo.ns493.oracleGeneral.zst TwoQ cache size     2718, 1880174 req, miss ratio 0.0163, byte miss ratio 0.0163
result/cdn2_allcolo.ns493.oracleGeneral.zst TwoQ cache size     5437, 1880174 req, miss ratio 0.0156, byte miss ratio 0.0156
result/cdn2_allcolo.ns493.oracleGeneral.zst TwoQ cache size    10874, 1880174 req, miss ratio 0.0152, byte miss ratio 0.0152
result/cdn2_allcolo.ns493.oracleGeneral.zst TwoQ cache size    21748, 1880174 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-d cache size       27, 1880174 req, miss ratio 0.0678, byte miss ratio 0.0678
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-d cache size       81, 1880174 req, miss ratio 0.0328, byte miss ratio 0.0328
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-d cache size      271, 1880174 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-d cache size      815, 1880174 req, miss ratio 0.0169, byte miss ratio 0.0169
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-d cache size     2718, 1880174 req, miss ratio 0.0157, byte miss ratio 0.0157
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-d cache size     5437, 1880174 req, miss ratio 0.0150, byte miss ratio 0.0150
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-d cache size    10874, 1880174 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-d cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO cache size       27, 1880174 req, miss ratio 0.0679, byte miss ratio 0.0679
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO cache size       81, 1880174 req, miss ratio 0.0329, byte miss ratio 0.0329
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO cache size      271, 1880174 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO cache size      815, 1880174 req, miss ratio 0.0169, byte miss ratio 0.0169
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO cache size     2718, 1880174 req, miss ratio 0.0157, byte miss ratio 0.0157
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO cache size     5437, 1880174 req, miss ratio 0.0150, byte miss ratio 0.0150
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO cache size    10874, 1880174 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns493.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       27, 1880174 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns493.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       81, 1880174 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns493.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      271, 1880174 req, miss ratio 0.0208, byte miss ratio 0.0208
result/cdn2_allcolo.ns493.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      815, 1880174 req, miss ratio 0.0173, byte miss ratio 0.0173
result/cdn2_allcolo.ns493.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2718, 1880174 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_allcolo.ns493.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5437, 1880174 req, miss ratio 0.0155, byte miss ratio 0.0155
