result/cdn2_allcolo.ns431.oracleGeneral.zst LRU cache size   507279, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst LIRS cache size      634, 21901362 req, miss ratio 0.0733, byte miss ratio 0.0733
result/cdn2_allcolo.ns431.oracleGeneral.zst LIRS cache size     1902, 21901362 req, miss ratio 0.0552, byte miss ratio 0.0552
result/cdn2_allcolo.ns431.oracleGeneral.zst LIRS cache size     6340, 21901362 req, miss ratio 0.0431, byte miss ratio 0.0431
result/cdn2_allcolo.ns431.oracleGeneral.zst LIRS cache size    19022, 21901362 req, miss ratio 0.0402, byte miss ratio 0.0402
result/cdn2_allcolo.ns431.oracleGeneral.zst LIRS cache size    63409, 21901362 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_allcolo.ns431.oracleGeneral.zst LIRS cache size   126819, 21901362 req, miss ratio 0.0343, byte miss ratio 0.0343
result/cdn2_allcolo.ns431.oracleGeneral.zst LIRS cache size   253639, 21901362 req, miss ratio 0.0311, byte miss ratio 0.0311
result/cdn2_allcolo.ns431.oracleGeneral.zst LIRS cache size   507279, 21901362 req, miss ratio 0.0292, byte miss ratio 0.0292
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-1 cache size      634, 21901362 req, miss ratio 0.0698, byte miss ratio 0.0698
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-1 cache size     1902, 21901362 req, miss ratio 0.0518, byte miss ratio 0.0518
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-1 cache size     6340, 21901362 req, miss ratio 0.0386, byte miss ratio 0.0386
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-1 cache size    19022, 21901362 req, miss ratio 0.0329, byte miss ratio 0.0329
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-1 cache size    63409, 21901362 req, miss ratio 0.0294, byte miss ratio 0.0294
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-1 cache size   126819, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-1 cache size   253639, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-1 cache size   507279, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst Clock cache size      634, 21901362 req, miss ratio 0.0705, byte miss ratio 0.0705
result/cdn2_allcolo.ns431.oracleGeneral.zst Clock cache size     1902, 21901362 req, miss ratio 0.0508, byte miss ratio 0.0508
result/cdn2_allcolo.ns431.oracleGeneral.zst Clock cache size     6340, 21901362 req, miss ratio 0.0328, byte miss ratio 0.0328
result/cdn2_allcolo.ns431.oracleGeneral.zst Clock cache size    19022, 21901362 req, miss ratio 0.0292, byte miss ratio 0.0292
result/cdn2_allcolo.ns431.oracleGeneral.zst Clock cache size    63409, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst Clock cache size   126819, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst Clock cache size   253639, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst Clock cache size   507279, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst LeCaR cache size      634, 21901362 req, miss ratio 0.0706, byte miss ratio 0.0706
result/cdn2_allcolo.ns431.oracleGeneral.zst LeCaR cache size     1902, 21901362 req, miss ratio 0.0507, byte miss ratio 0.0507
result/cdn2_allcolo.ns431.oracleGeneral.zst LeCaR cache size     6340, 21901362 req, miss ratio 0.0322, byte miss ratio 0.0322
result/cdn2_allcolo.ns431.oracleGeneral.zst LeCaR cache size    19022, 21901362 req, miss ratio 0.0292, byte miss ratio 0.0292
result/cdn2_allcolo.ns431.oracleGeneral.zst LeCaR cache size    63409, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst LeCaR cache size   126819, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst LeCaR cache size   253639, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst LeCaR cache size   507279, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-d-1 cache size      634, 21901362 req, miss ratio 0.0682, byte miss ratio 0.0682
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-d-1 cache size     1902, 21901362 req, miss ratio 0.0506, byte miss ratio 0.0506
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-d-1 cache size     6340, 21901362 req, miss ratio 0.0346, byte miss ratio 0.0346
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-d-1 cache size    19022, 21901362 req, miss ratio 0.0305, byte miss ratio 0.0305
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-d-1 cache size    63409, 21901362 req, miss ratio 0.0292, byte miss ratio 0.0292
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-d-1 cache size   126819, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-d-1 cache size   253639, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-d-1 cache size   507279, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst LRB cache size      634, 21901362 req, miss ratio 0.0682, byte miss ratio 0.0682
result/cdn2_allcolo.ns431.oracleGeneral.zst LRB cache size     1902, 21901362 req, miss ratio 0.0498, byte miss ratio 0.0498
result/cdn2_allcolo.ns431.oracleGeneral.zst LRB cache size     6340, 21901362 req, miss ratio 0.0323, byte miss ratio 0.0323
result/cdn2_allcolo.ns431.oracleGeneral.zst LRB cache size    19022, 21901362 req, miss ratio 0.0293, byte miss ratio 0.0293
result/cdn2_allcolo.ns431.oracleGeneral.zst LRB cache size    63409, 21901362 req, miss ratio 0.0291, byte miss ratio 0.0291
result/cdn2_allcolo.ns431.oracleGeneral.zst LRB cache size   126819, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst LRB cache size   253639, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst LRB cache size   507279, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst S4LRU(25:25:25:25) cache size      634, 21901362 req, miss ratio 0.0700, byte miss ratio 0.0700
result/cdn2_allcolo.ns431.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1902, 21901362 req, miss ratio 0.0534, byte miss ratio 0.0534
result/cdn2_allcolo.ns431.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6340, 21901362 req, miss ratio 0.0380, byte miss ratio 0.0380
result/cdn2_allcolo.ns431.oracleGeneral.zst S4LRU(25:25:25:25) cache size    19022, 21901362 req, miss ratio 0.0304, byte miss ratio 0.0304
result/cdn2_allcolo.ns431.oracleGeneral.zst S4LRU(25:25:25:25) cache size    63409, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst S4LRU(25:25:25:25) cache size   126819, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst S4LRU(25:25:25:25) cache size   253639, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst S4LRU(25:25:25:25) cache size   507279, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
