result/user_activity_cache.1.oracleGeneral.sample10.zst Clock cache size   143048, 28647511 req, miss ratio 0.0367, byte miss ratio 0.0367
result/user_activity_cache.1.oracleGeneral.sample10.zst Clock cache size   286097, 28647511 req, miss ratio 0.0278, byte miss ratio 0.0278
result/user_activity_cache.1.oracleGeneral.sample10.zst Clock cache size   572194, 28647511 req, miss ratio 0.0253, byte miss ratio 0.0253
result/user_activity_cache.1.oracleGeneral.sample10.zst clock2 cache size      715, 28647511 req, miss ratio 0.3801, byte miss ratio 0.3801
result/user_activity_cache.1.oracleGeneral.sample10.zst clock2 cache size     2145, 28647511 req, miss ratio 0.2110, byte miss ratio 0.2110
result/user_activity_cache.1.oracleGeneral.sample10.zst clock2 cache size     7152, 28647511 req, miss ratio 0.1290, byte miss ratio 0.1290
result/user_activity_cache.1.oracleGeneral.sample10.zst clock2 cache size    21457, 28647511 req, miss ratio 0.0794, byte miss ratio 0.0794
result/user_activity_cache.1.oracleGeneral.sample10.zst clock2 cache size    71524, 28647511 req, miss ratio 0.0466, byte miss ratio 0.0466
result/user_activity_cache.1.oracleGeneral.sample10.zst clock2 cache size   143048, 28647511 req, miss ratio 0.0350, byte miss ratio 0.0350
result/user_activity_cache.1.oracleGeneral.sample10.zst clock2 cache size   286097, 28647511 req, miss ratio 0.0270, byte miss ratio 0.0270
result/user_activity_cache.1.oracleGeneral.sample10.zst clock2 cache size   572194, 28647511 req, miss ratio 0.0251, byte miss ratio 0.0251
result/user_activity_cache.1.oracleGeneral.sample10.zst LRU cache size      715, 28647511 req, miss ratio 0.3969, byte miss ratio 0.3969
result/user_activity_cache.1.oracleGeneral.sample10.zst LRU cache size     2145, 28647511 req, miss ratio 0.2173, byte miss ratio 0.2173
result/user_activity_cache.1.oracleGeneral.sample10.zst LRU cache size     7152, 28647511 req, miss ratio 0.1328, byte miss ratio 0.1328
result/user_activity_cache.1.oracleGeneral.sample10.zst LRU cache size    21457, 28647511 req, miss ratio 0.0819, byte miss ratio 0.0819
result/user_activity_cache.1.oracleGeneral.sample10.zst LRU cache size    71524, 28647511 req, miss ratio 0.0477, byte miss ratio 0.0477
result/user_activity_cache.1.oracleGeneral.sample10.zst LRU cache size   143048, 28647511 req, miss ratio 0.0344, byte miss ratio 0.0344
result/user_activity_cache.1.oracleGeneral.sample10.zst LRU cache size   286097, 28647511 req, miss ratio 0.0271, byte miss ratio 0.0271
result/user_activity_cache.1.oracleGeneral.sample10.zst LRU cache size   572194, 28647511 req, miss ratio 0.0251, byte miss ratio 0.0251
result/user_activity_cache.1.oracleGeneral.sample10.zst LHD cache size      715, 28647511 req, miss ratio 0.3426, byte miss ratio 0.3426
result/user_activity_cache.1.oracleGeneral.sample10.zst LHD cache size     2145, 28647511 req, miss ratio 0.2059, byte miss ratio 0.2059
result/user_activity_cache.1.oracleGeneral.sample10.zst LHD cache size     7152, 28647511 req, miss ratio 0.1235, byte miss ratio 0.1235
result/user_activity_cache.1.oracleGeneral.sample10.zst LHD cache size    21457, 28647511 req, miss ratio 0.0760, byte miss ratio 0.0760
result/user_activity_cache.1.oracleGeneral.sample10.zst LHD cache size    71524, 28647511 req, miss ratio 0.0461, byte miss ratio 0.0461
result/user_activity_cache.1.oracleGeneral.sample10.zst LHD cache size   143048, 28647511 req, miss ratio 0.0338, byte miss ratio 0.0338
result/user_activity_cache.1.oracleGeneral.sample10.zst LHD cache size   286097, 28647511 req, miss ratio 0.0272, byte miss ratio 0.0272
result/user_activity_cache.1.oracleGeneral.sample10.zst LHD cache size   572194, 28647511 req, miss ratio 0.0251, byte miss ratio 0.0251
result/user_activity_cache.1.oracleGeneral.sample10.zst LIRS cache size      715, 28647511 req, miss ratio 0.3187, byte miss ratio 0.3187
result/user_activity_cache.1.oracleGeneral.sample10.zst LIRS cache size     2145, 28647511 req, miss ratio 0.2097, byte miss ratio 0.2097
result/user_activity_cache.1.oracleGeneral.sample10.zst LIRS cache size     7152, 28647511 req, miss ratio 0.1307, byte miss ratio 0.1307
result/user_activity_cache.1.oracleGeneral.sample10.zst LIRS cache size    21457, 28647511 req, miss ratio 0.0812, byte miss ratio 0.0812
result/user_activity_cache.1.oracleGeneral.sample10.zst LIRS cache size    71524, 28647511 req, miss ratio 0.0484, byte miss ratio 0.0484
result/user_activity_cache.1.oracleGeneral.sample10.zst LIRS cache size   143048, 28647511 req, miss ratio 0.0355, byte miss ratio 0.0355
result/user_activity_cache.1.oracleGeneral.sample10.zst LIRS cache size   286097, 28647511 req, miss ratio 0.0274, byte miss ratio 0.0274
result/user_activity_cache.1.oracleGeneral.sample10.zst LIRS cache size   572194, 28647511 req, miss ratio 0.0251, byte miss ratio 0.0251
result/user_activity_cache.1.oracleGeneral.sample10.zst FIFO cache size      715, 28647511 req, miss ratio 0.4323, byte miss ratio 0.4323
result/user_activity_cache.1.oracleGeneral.sample10.zst FIFO cache size     2145, 28647511 req, miss ratio 0.2716, byte miss ratio 0.2716
result/user_activity_cache.1.oracleGeneral.sample10.zst FIFO cache size     7152, 28647511 req, miss ratio 0.1604, byte miss ratio 0.1604
result/user_activity_cache.1.oracleGeneral.sample10.zst FIFO cache size    21457, 28647511 req, miss ratio 0.0987, byte miss ratio 0.0987
result/user_activity_cache.1.oracleGeneral.sample10.zst FIFO cache size    71524, 28647511 req, miss ratio 0.0572, byte miss ratio 0.0572
result/user_activity_cache.1.oracleGeneral.sample10.zst FIFO cache size   143048, 28647511 req, miss ratio 0.0413, byte miss ratio 0.0413
result/user_activity_cache.1.oracleGeneral.sample10.zst FIFO cache size   286097, 28647511 req, miss ratio 0.0313, byte miss ratio 0.0313
result/user_activity_cache.1.oracleGeneral.sample10.zst FIFO cache size   572194, 28647511 req, miss ratio 0.0268, byte miss ratio 0.0268
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size      715, 28647511 req, miss ratio 0.3192, byte miss ratio 0.3192
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size     2145, 28647511 req, miss ratio 0.1954, byte miss ratio 0.1954
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size     7152, 28647511 req, miss ratio 0.1219, byte miss ratio 0.1219
