result/tencentBlock.ns17519.oracleGeneral.zst FIFO cache size      417, 3751540 req, miss ratio 0.5751, byte miss ratio 0.5751
result/tencentBlock.ns17519.oracleGeneral.zst FIFO cache size     1253, 3751540 req, miss ratio 0.4373, byte miss ratio 0.4373
result/tencentBlock.ns17519.oracleGeneral.zst FIFO cache size     4179, 3751540 req, miss ratio 0.3258, byte miss ratio 0.3258
result/tencentBlock.ns17519.oracleGeneral.zst FIFO cache size    12537, 3751540 req, miss ratio 0.2639, byte miss ratio 0.2639
result/tencentBlock.ns17519.oracleGeneral.zst FIFO cache size    41791, 3751540 req, miss ratio 0.1841, byte miss ratio 0.1841
result/tencentBlock.ns17519.oracleGeneral.zst FIFO cache size    83583, 3751540 req, miss ratio 0.1474, byte miss ratio 0.1474
result/tencentBlock.ns17519.oracleGeneral.zst FIFO cache size   167166, 3751540 req, miss ratio 0.1267, byte miss ratio 0.1267
result/tencentBlock.ns17519.oracleGeneral.zst FIFO cache size   334332, 3751540 req, miss ratio 0.1171, byte miss ratio 0.1171
result/tencentBlock.ns17519.oracleGeneral.zst S3FIFO-1 cache size      417, 3751540 req, miss ratio 0.5123, byte miss ratio 0.5123
result/tencentBlock.ns17519.oracleGeneral.zst S3FIFO-1 cache size     1253, 3751540 req, miss ratio 0.3310, byte miss ratio 0.3310
result/tencentBlock.ns17519.oracleGeneral.zst S3FIFO-1 cache size     4179, 3751540 req, miss ratio 0.2706, byte miss ratio 0.2706
result/tencentBlock.ns17519.oracleGeneral.zst S3FIFO-1 cache size    12537, 3751540 req, miss ratio 0.2360, byte miss ratio 0.2360
result/tencentBlock.ns17519.oracleGeneral.zst S3FIFO-1 cache size    41791, 3751540 req, miss ratio 0.1858, byte miss ratio 0.1858
result/tencentBlock.ns17519.oracleGeneral.zst S3FIFO-1 cache size    83583, 3751540 req, miss ratio 0.1398, byte miss ratio 0.1398
result/tencentBlock.ns17519.oracleGeneral.zst S3FIFO-1 cache size   167166, 3751540 req, miss ratio 0.1187, byte miss ratio 0.1187
result/tencentBlock.ns17519.oracleGeneral.zst S3FIFO-1 cache size   334332, 3751540 req, miss ratio 0.1116, byte miss ratio 0.1116
result/tencentBlock.ns17519.oracleGeneral.zst clock2 cache size      417, 3751540 req, miss ratio 0.5106, byte miss ratio 0.5106
result/tencentBlock.ns17519.oracleGeneral.zst clock2 cache size     1253, 3751540 req, miss ratio 0.4055, byte miss ratio 0.4055
result/tencentBlock.ns17519.oracleGeneral.zst clock2 cache size     4179, 3751540 req, miss ratio 0.2726, byte miss ratio 0.2726
result/tencentBlock.ns17519.oracleGeneral.zst clock2 cache size    12537, 3751540 req, miss ratio 0.2516, byte miss ratio 0.2516
