result/tencentBlock.ns12799.oracleGeneral.zst LRU cache size      615, 4609626 req, miss ratio 0.6465, byte miss ratio 0.6465
result/tencentBlock.ns12799.oracleGeneral.zst LRU cache size     1846, 4609626 req, miss ratio 0.5202, byte miss ratio 0.5202
result/tencentBlock.ns12799.oracleGeneral.zst LRU cache size     6153, 4609626 req, miss ratio 0.4113, byte miss ratio 0.4113
result/tencentBlock.ns12799.oracleGeneral.zst LRU cache size    18461, 4609626 req, miss ratio 0.3586, byte miss ratio 0.3586
result/tencentBlock.ns12799.oracleGeneral.zst LRU cache size    61539, 4609626 req, miss ratio 0.2644, byte miss ratio 0.2644
result/tencentBlock.ns12799.oracleGeneral.zst LRU cache size   123078, 4609626 req, miss ratio 0.2077, byte miss ratio 0.2077
result/tencentBlock.ns12799.oracleGeneral.zst LRU cache size   246156, 4609626 req, miss ratio 0.1476, byte miss ratio 0.1476
result/tencentBlock.ns12799.oracleGeneral.zst LRU cache size   492312, 4609626 req, miss ratio 0.1346, byte miss ratio 0.1346
result/tencentBlock.ns12799.oracleGeneral.zst clock2 cache size      615, 4609626 req, miss ratio 0.6419, byte miss ratio 0.6419
result/tencentBlock.ns12799.oracleGeneral.zst clock2 cache size     1846, 4609626 req, miss ratio 0.4951, byte miss ratio 0.4951
result/tencentBlock.ns12799.oracleGeneral.zst clock2 cache size     6153, 4609626 req, miss ratio 0.4037, byte miss ratio 0.4037
result/tencentBlock.ns12799.oracleGeneral.zst clock2 cache size    18461, 4609626 req, miss ratio 0.3595, byte miss ratio 0.3595
result/tencentBlock.ns12799.oracleGeneral.zst clock2 cache size    61539, 4609626 req, miss ratio 0.2683, byte miss ratio 0.2683
result/tencentBlock.ns12799.oracleGeneral.zst clock2 cache size   123078, 4609626 req, miss ratio 0.2262, byte miss ratio 0.2262
result/tencentBlock.ns12799.oracleGeneral.zst clock2 cache size   246156, 4609626 req, miss ratio 0.1508, byte miss ratio 0.1508
result/tencentBlock.ns12799.oracleGeneral.zst clock2 cache size   492312, 4609626 req, miss ratio 0.1346, byte miss ratio 0.1346
result/tencentBlock.ns12799.oracleGeneral.zst ARC cache size      615, 4609626 req, miss ratio 0.6165, byte miss ratio 0.6165
result/tencentBlock.ns12799.oracleGeneral.zst ARC cache size     1846, 4609626 req, miss ratio 0.4391, byte miss ratio 0.4391
result/tencentBlock.ns12799.oracleGeneral.zst ARC cache size     6153, 4609626 req, miss ratio 0.3971, byte miss ratio 0.3971
result/tencentBlock.ns12799.oracleGeneral.zst ARC cache size    18461, 4609626 req, miss ratio 0.3261, byte miss ratio 0.3261
result/tencentBlock.ns12799.oracleGeneral.zst ARC cache size    61539, 4609626 req, miss ratio 0.2655, byte miss ratio 0.2655
result/tencentBlock.ns12799.oracleGeneral.zst ARC cache size   123078, 4609626 req, miss ratio 0.2074, byte miss ratio 0.2074
result/tencentBlock.ns12799.oracleGeneral.zst ARC cache size   246156, 4609626 req, miss ratio 0.1451, byte miss ratio 0.1451
result/tencentBlock.ns12799.oracleGeneral.zst ARC cache size   492312, 4609626 req, miss ratio 0.1346, byte miss ratio 0.1346
result/tencentBlock.ns12799.oracleGeneral.zst LIRS cache size      615, 4609626 req, miss ratio 0.6294, byte miss ratio 0.6294
result/tencentBlock.ns12799.oracleGeneral.zst LIRS cache size     1846, 4609626 req, miss ratio 0.4554, byte miss ratio 0.4554
result/tencentBlock.ns12799.oracleGeneral.zst LIRS cache size     6153, 4609626 req, miss ratio 0.4069, byte miss ratio 0.4069
result/tencentBlock.ns12799.oracleGeneral.zst LIRS cache size    18461, 4609626 req, miss ratio 0.3272, byte miss ratio 0.3272
result/tencentBlock.ns12799.oracleGeneral.zst LIRS cache size    61539, 4609626 req, miss ratio 0.2682, byte miss ratio 0.2682
result/tencentBlock.ns12799.oracleGeneral.zst LIRS cache size   123078, 4609626 req, miss ratio 0.2143, byte miss ratio 0.2143
result/tencentBlock.ns12799.oracleGeneral.zst LIRS cache size   246156, 4609626 req, miss ratio 0.1586, byte miss ratio 0.1586
result/tencentBlock.ns12799.oracleGeneral.zst LIRS cache size   492312, 4609626 req, miss ratio 0.1382, byte miss ratio 0.1382
result/tencentBlock.ns12799.oracleGeneral.zst LeCaR cache size      615, 4609626 req, miss ratio 0.6434, byte miss ratio 0.6434
result/tencentBlock.ns12799.oracleGeneral.zst LeCaR cache size     1846, 4609626 req, miss ratio 0.4911, byte miss ratio 0.4911
result/tencentBlock.ns12799.oracleGeneral.zst LeCaR cache size     6153, 4609626 req, miss ratio 0.4065, byte miss ratio 0.4065
result/tencentBlock.ns12799.oracleGeneral.zst LeCaR cache size    18461, 4609626 req, miss ratio 0.3550, byte miss ratio 0.3550
result/tencentBlock.ns12799.oracleGeneral.zst LeCaR cache size    61539, 4609626 req, miss ratio 0.2628, byte miss ratio 0.2628
result/tencentBlock.ns12799.oracleGeneral.zst LeCaR cache size   123078, 4609626 req, miss ratio 0.2101, byte miss ratio 0.2101
result/tencentBlock.ns12799.oracleGeneral.zst LeCaR cache size   246156, 4609626 req, miss ratio 0.1447, byte miss ratio 0.1447
result/tencentBlock.ns12799.oracleGeneral.zst LeCaR cache size   492312, 4609626 req, miss ratio 0.1347, byte miss ratio 0.1347
result/tencentBlock.ns12799.oracleGeneral.zst Cacheus cache size      615, 4609626 req, miss ratio 0.6195, byte miss ratio 0.6195
result/tencentBlock.ns12799.oracleGeneral.zst Cacheus cache size     1846, 4609626 req, miss ratio 0.4665, byte miss ratio 0.4665
result/tencentBlock.ns12799.oracleGeneral.zst Cacheus cache size     6153, 4609626 req, miss ratio 0.3992, byte miss ratio 0.3992
result/tencentBlock.ns12799.oracleGeneral.zst Cacheus cache size    18461, 4609626 req, miss ratio 0.3340, byte miss ratio 0.3340
result/tencentBlock.ns12799.oracleGeneral.zst Cacheus cache size    61539, 4609626 req, miss ratio 0.2625, byte miss ratio 0.2625
result/tencentBlock.ns12799.oracleGeneral.zst Cacheus cache size   123078, 4609626 req, miss ratio 0.2105, byte miss ratio 0.2105
result/tencentBlock.ns12799.oracleGeneral.zst Cacheus cache size   246156, 4609626 req, miss ratio 0.1519, byte miss ratio 0.1519
result/tencentBlock.ns12799.oracleGeneral.zst Cacheus cache size   492312, 4609626 req, miss ratio 0.1454, byte miss ratio 0.1454
result/tencentBlock.ns12799.oracleGeneral.zst S3FIFO-1 cache size      615, 4609626 req, miss ratio 0.6174, byte miss ratio 0.6174
result/tencentBlock.ns12799.oracleGeneral.zst S3FIFO-1 cache size     1846, 4609626 req, miss ratio 0.4253, byte miss ratio 0.4253
result/tencentBlock.ns12799.oracleGeneral.zst S3FIFO-1 cache size     6153, 4609626 req, miss ratio 0.3972, byte miss ratio 0.3972
result/tencentBlock.ns12799.oracleGeneral.zst S3FIFO-1 cache size    18461, 4609626 req, miss ratio 0.3259, byte miss ratio 0.3259
result/tencentBlock.ns12799.oracleGeneral.zst S3FIFO-1 cache size    61539, 4609626 req, miss ratio 0.2704, byte miss ratio 0.2704
result/tencentBlock.ns12799.oracleGeneral.zst S3FIFO-1 cache size   123078, 4609626 req, miss ratio 0.2055, byte miss ratio 0.2055
result/tencentBlock.ns12799.oracleGeneral.zst S3FIFO-1 cache size   246156, 4609626 req, miss ratio 0.1463, byte miss ratio 0.1463
result/tencentBlock.ns12799.oracleGeneral.zst S3FIFO-1 cache size   492312, 4609626 req, miss ratio 0.1346, byte miss ratio 0.1346
result/tencentBlock.ns12799.oracleGeneral.zst LHD cache size      615, 4609626 req, miss ratio 0.6444, byte miss ratio 0.6444
result/tencentBlock.ns12799.oracleGeneral.zst LHD cache size     1846, 4609626 req, miss ratio 0.4685, byte miss ratio 0.4685
result/tencentBlock.ns12799.oracleGeneral.zst LHD cache size     6153, 4609626 req, miss ratio 0.4031, byte miss ratio 0.4031
result/tencentBlock.ns12799.oracleGeneral.zst LHD cache size    18461, 4609626 req, miss ratio 0.3366, byte miss ratio 0.3366
result/tencentBlock.ns12799.oracleGeneral.zst LHD cache size    61539, 4609626 req, miss ratio 0.2571, byte miss ratio 0.2571
result/tencentBlock.ns12799.oracleGeneral.zst LHD cache size   123078, 4609626 req, miss ratio 0.1932, byte miss ratio 0.1932
result/tencentBlock.ns12799.oracleGeneral.zst LHD cache size   246156, 4609626 req, miss ratio 0.1471, byte miss ratio 0.1471
result/tencentBlock.ns12799.oracleGeneral.zst LHD cache size   492312, 4609626 req, miss ratio 0.1349, byte miss ratio 0.1349
result/tencentBlock.ns12799.oracleGeneral.zst FIFO cache size      615, 4609626 req, miss ratio 0.7017, byte miss ratio 0.7017
result/tencentBlock.ns12799.oracleGeneral.zst FIFO cache size     1846, 4609626 req, miss ratio 0.5662, byte miss ratio 0.5662
result/tencentBlock.ns12799.oracleGeneral.zst FIFO cache size     6153, 4609626 req, miss ratio 0.4555, byte miss ratio 0.4555
result/tencentBlock.ns12799.oracleGeneral.zst FIFO cache size    18461, 4609626 req, miss ratio 0.3801, byte miss ratio 0.3801
result/tencentBlock.ns12799.oracleGeneral.zst FIFO cache size    61539, 4609626 req, miss ratio 0.2869, byte miss ratio 0.2869
result/tencentBlock.ns12799.oracleGeneral.zst FIFO cache size   123078, 4609626 req, miss ratio 0.2218, byte miss ratio 0.2218
result/tencentBlock.ns12799.oracleGeneral.zst FIFO cache size   246156, 4609626 req, miss ratio 0.1727, byte miss ratio 0.1727
result/tencentBlock.ns12799.oracleGeneral.zst FIFO cache size   492312, 4609626 req, miss ratio 0.1435, byte miss ratio 0.1435
result/tencentBlock.ns12799.oracleGeneral.zst Clock cache size      615, 4609626 req, miss ratio 0.6436, byte miss ratio 0.6436
result/tencentBlock.ns12799.oracleGeneral.zst Clock cache size     1846, 4609626 req, miss ratio 0.5098, byte miss ratio 0.5098
result/tencentBlock.ns12799.oracleGeneral.zst Clock cache size     6153, 4609626 req, miss ratio 0.4085, byte miss ratio 0.4085
result/tencentBlock.ns12799.oracleGeneral.zst Clock cache size    18461, 4609626 req, miss ratio 0.3593, byte miss ratio 0.3593
result/tencentBlock.ns12799.oracleGeneral.zst Clock cache size    61539, 4609626 req, miss ratio 0.2656, byte miss ratio 0.2656
result/tencentBlock.ns12799.oracleGeneral.zst Clock cache size   123078, 4609626 req, miss ratio 0.2196, byte miss ratio 0.2196
result/tencentBlock.ns12799.oracleGeneral.zst Clock cache size   246156, 4609626 req, miss ratio 0.1512, byte miss ratio 0.1512
result/tencentBlock.ns12799.oracleGeneral.zst Clock cache size   492312, 4609626 req, miss ratio 0.1346, byte miss ratio 0.1346
result/tencentBlock.ns12799.oracleGeneral.zst S3FIFO-d-1 cache size      615, 4609626 req, miss ratio 0.6183, byte miss ratio 0.6183
result/tencentBlock.ns12799.oracleGeneral.zst S3FIFO-d-1 cache size     1846, 4609626 req, miss ratio 0.4248, byte miss ratio 0.4248
result/tencentBlock.ns12799.oracleGeneral.zst S3FIFO-d-1 cache size     6153, 4609626 req, miss ratio 0.3971, byte miss ratio 0.3971
result/tencentBlock.ns12799.oracleGeneral.zst S3FIFO-d-1 cache size    18461, 4609626 req, miss ratio 0.3255, byte miss ratio 0.3255
result/tencentBlock.ns12799.oracleGeneral.zst S3FIFO-d-1 cache size    61539, 4609626 req, miss ratio 0.2669, byte miss ratio 0.2669
result/tencentBlock.ns12799.oracleGeneral.zst S3FIFO-d-1 cache size   123078, 4609626 req, miss ratio 0.2054, byte miss ratio 0.2054
result/tencentBlock.ns12799.oracleGeneral.zst S3FIFO-d-1 cache size   246156, 4609626 req, miss ratio 0.1462, byte miss ratio 0.1462
result/tencentBlock.ns12799.oracleGeneral.zst S3FIFO-d-1 cache size   492312, 4609626 req, miss ratio 0.1346, byte miss ratio 0.1346
result/tencentBlock.ns12799.oracleGeneral.zst LRB cache size      615, 4609626 req, miss ratio 0.6186, byte miss ratio 0.6186
result/tencentBlock.ns12799.oracleGeneral.zst LRB cache size     1846, 4609626 req, miss ratio 0.4577, byte miss ratio 0.4577
result/tencentBlock.ns12799.oracleGeneral.zst LRB cache size     6153, 4609626 req, miss ratio 0.3929, byte miss ratio 0.3929
result/tencentBlock.ns12799.oracleGeneral.zst LRB cache size    18461, 4609626 req, miss ratio 0.3376, byte miss ratio 0.3376
result/tencentBlock.ns12799.oracleGeneral.zst LRB cache size    61539, 4609626 req, miss ratio 0.2546, byte miss ratio 0.2546
result/tencentBlock.ns12799.oracleGeneral.zst LRB cache size   123078, 4609626 req, miss ratio 0.1887, byte miss ratio 0.1887
result/tencentBlock.ns12799.oracleGeneral.zst LRB cache size   246156, 4609626 req, miss ratio 0.1479, byte miss ratio 0.1479
result/tencentBlock.ns12799.oracleGeneral.zst LRB cache size   492312, 4609626 req, miss ratio 0.1346, byte miss ratio 0.1346
result/tencentBlock.ns12799.oracleGeneral.zst S4LRU(25:25:25:25) cache size      615, 4609626 req, miss ratio 0.6623, byte miss ratio 0.6623
result/tencentBlock.ns12799.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1846, 4609626 req, miss ratio 0.4379, byte miss ratio 0.4379
result/tencentBlock.ns12799.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6153, 4609626 req, miss ratio 0.4035, byte miss ratio 0.4035
result/tencentBlock.ns12799.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18461, 4609626 req, miss ratio 0.3552, byte miss ratio 0.3552
result/tencentBlock.ns12799.oracleGeneral.zst S4LRU(25:25:25:25) cache size    61539, 4609626 req, miss ratio 0.2740, byte miss ratio 0.2740
result/tencentBlock.ns12799.oracleGeneral.zst S4LRU(25:25:25:25) cache size   123078, 4609626 req, miss ratio 0.2183, byte miss ratio 0.2183
result/tencentBlock.ns12799.oracleGeneral.zst S4LRU(25:25:25:25) cache size   246156, 4609626 req, miss ratio 0.1472, byte miss ratio 0.1472
result/tencentBlock.ns12799.oracleGeneral.zst S4LRU(25:25:25:25) cache size   492312, 4609626 req, miss ratio 0.1346, byte miss ratio 0.1346
result/tencentBlock.ns12799.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      615, 4609626 req, miss ratio 0.6631, byte miss ratio 0.6631
result/tencentBlock.ns12799.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1846, 4609626 req, miss ratio 0.5184, byte miss ratio 0.5184
result/tencentBlock.ns12799.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6153, 4609626 req, miss ratio 0.4192, byte miss ratio 0.4192
result/tencentBlock.ns12799.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18461, 4609626 req, miss ratio 0.3677, byte miss ratio 0.3677
result/tencentBlock.ns12799.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    61539, 4609626 req, miss ratio 0.2888, byte miss ratio 0.2888
result/tencentBlock.ns12799.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   123078, 4609626 req, miss ratio 0.2344, byte miss ratio 0.2344
result/tencentBlock.ns12799.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   246156, 4609626 req, miss ratio 0.1666, byte miss ratio 0.1666
