result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LRU cache size  1129000, 507257408 req, miss ratio 0.0217, byte miss ratio 0.0217
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LRU cache size  2258000, 507257408 req, miss ratio 0.0142, byte miss ratio 0.0142
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LRU cache size  4516001, 507257408 req, miss ratio 0.0113, byte miss ratio 0.0113
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst Cacheus cache size     5645, 507257408 req, miss ratio 0.2713, byte miss ratio 0.2713
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst Cacheus cache size    16935, 507257408 req, miss ratio 0.1830, byte miss ratio 0.1830
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst Cacheus cache size    56450, 507257408 req, miss ratio 0.1069, byte miss ratio 0.1069
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst Cacheus cache size   169350, 507257408 req, miss ratio 0.0632, byte miss ratio 0.0632
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst Cacheus cache size   564500, 507257408 req, miss ratio 0.0319, byte miss ratio 0.0319
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst Cacheus cache size  1129000, 507257408 req, miss ratio 0.0227, byte miss ratio 0.0227
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst Cacheus cache size  2258000, 507257408 req, miss ratio 0.0152, byte miss ratio 0.0152
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst Cacheus cache size  4516001, 507257408 req, miss ratio 0.0113, byte miss ratio 0.0113
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst FIFO cache size     5645, 507257408 req, miss ratio 0.3295, byte miss ratio 0.3295
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst FIFO cache size    16935, 507257408 req, miss ratio 0.2276, byte miss ratio 0.2276
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst FIFO cache size    56450, 507257408 req, miss ratio 0.1370, byte miss ratio 0.1370
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst FIFO cache size   169350, 507257408 req, miss ratio 0.0792, byte miss ratio 0.0792
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst FIFO cache size   564500, 507257408 req, miss ratio 0.0402, byte miss ratio 0.0402
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst FIFO cache size  1129000, 507257408 req, miss ratio 0.0269, byte miss ratio 0.0269
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst FIFO cache size  2258000, 507257408 req, miss ratio 0.0173, byte miss ratio 0.0173
