result/tencentBlock.ns11027.oracleGeneral.zst Clock cache size      110, 4040279 req, miss ratio 0.6792, byte miss ratio 0.6792
result/tencentBlock.ns11027.oracleGeneral.zst Clock cache size      330, 4040279 req, miss ratio 0.5056, byte miss ratio 0.5056
result/tencentBlock.ns11027.oracleGeneral.zst Clock cache size     1102, 4040279 req, miss ratio 0.4499, byte miss ratio 0.4499
result/tencentBlock.ns11027.oracleGeneral.zst Clock cache size     3306, 4040279 req, miss ratio 0.3963, byte miss ratio 0.3963
result/tencentBlock.ns11027.oracleGeneral.zst Clock cache size    11021, 4040279 req, miss ratio 0.2633, byte miss ratio 0.2633
result/tencentBlock.ns11027.oracleGeneral.zst Clock cache size    22043, 4040279 req, miss ratio 0.0571, byte miss ratio 0.0571
result/tencentBlock.ns11027.oracleGeneral.zst Clock cache size    44087, 4040279 req, miss ratio 0.0397, byte miss ratio 0.0397
result/tencentBlock.ns11027.oracleGeneral.zst Clock cache size    88174, 4040279 req, miss ratio 0.0283, byte miss ratio 0.0283
result/tencentBlock.ns11027.oracleGeneral.zst LeCaR cache size      110, 4040279 req, miss ratio 0.6691, byte miss ratio 0.6691
result/tencentBlock.ns11027.oracleGeneral.zst LeCaR cache size      330, 4040279 req, miss ratio 0.4963, byte miss ratio 0.4963
result/tencentBlock.ns11027.oracleGeneral.zst LeCaR cache size     1102, 4040279 req, miss ratio 0.4456, byte miss ratio 0.4456
result/tencentBlock.ns11027.oracleGeneral.zst LeCaR cache size     3306, 4040279 req, miss ratio 0.3900, byte miss ratio 0.3900
result/tencentBlock.ns11027.oracleGeneral.zst LeCaR cache size    11021, 4040279 req, miss ratio 0.1474, byte miss ratio 0.1474
result/tencentBlock.ns11027.oracleGeneral.zst LeCaR cache size    22043, 4040279 req, miss ratio 0.0540, byte miss ratio 0.0540
result/tencentBlock.ns11027.oracleGeneral.zst LeCaR cache size    44087, 4040279 req, miss ratio 0.0385, byte miss ratio 0.0385
result/tencentBlock.ns11027.oracleGeneral.zst LeCaR cache size    88174, 4040279 req, miss ratio 0.0282, byte miss ratio 0.0282
result/tencentBlock.ns11027.oracleGeneral.zst FIFO cache size      110, 4040279 req, miss ratio 0.7162, byte miss ratio 0.7162
result/tencentBlock.ns11027.oracleGeneral.zst FIFO cache size      330, 4040279 req, miss ratio 0.5521, byte miss ratio 0.5521
result/tencentBlock.ns11027.oracleGeneral.zst FIFO cache size     1102, 4040279 req, miss ratio 0.4653, byte miss ratio 0.4653
result/tencentBlock.ns11027.oracleGeneral.zst FIFO cache size     3306, 4040279 req, miss ratio 0.4008, byte miss ratio 0.4008
result/tencentBlock.ns11027.oracleGeneral.zst FIFO cache size    11021, 4040279 req, miss ratio 0.2619, byte miss ratio 0.2619
result/tencentBlock.ns11027.oracleGeneral.zst FIFO cache size    22043, 4040279 req, miss ratio 0.0872, byte miss ratio 0.0872
result/tencentBlock.ns11027.oracleGeneral.zst FIFO cache size    44087, 4040279 req, miss ratio 0.0478, byte miss ratio 0.0478
result/tencentBlock.ns11027.oracleGeneral.zst FIFO cache size    88174, 4040279 req, miss ratio 0.0290, byte miss ratio 0.0290
result/tencentBlock.ns11027.oracleGeneral.zst LIRS cache size      110, 4040279 req, miss ratio 0.5856, byte miss ratio 0.5856
result/tencentBlock.ns11027.oracleGeneral.zst LIRS cache size      330, 4040279 req, miss ratio 0.4816, byte miss ratio 0.4816
result/tencentBlock.ns11027.oracleGeneral.zst LIRS cache size     1102, 4040279 req, miss ratio 0.4360, byte miss ratio 0.4360
result/tencentBlock.ns11027.oracleGeneral.zst LIRS cache size     3306, 4040279 req, miss ratio 0.3541, byte miss ratio 0.3541
result/tencentBlock.ns11027.oracleGeneral.zst LIRS cache size    11021, 4040279 req, miss ratio 0.1496, byte miss ratio 0.1496
result/tencentBlock.ns11027.oracleGeneral.zst LIRS cache size    22043, 4040279 req, miss ratio 0.0536, byte miss ratio 0.0536
result/tencentBlock.ns11027.oracleGeneral.zst LIRS cache size    44087, 4040279 req, miss ratio 0.0381, byte miss ratio 0.0381
result/tencentBlock.ns11027.oracleGeneral.zst LIRS cache size    88174, 4040279 req, miss ratio 0.0284, byte miss ratio 0.0284
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-1 cache size      110, 4040279 req, miss ratio 0.6077, byte miss ratio 0.6077
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-1 cache size      330, 4040279 req, miss ratio 0.4815, byte miss ratio 0.4815
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-1 cache size     1102, 4040279 req, miss ratio 0.4328, byte miss ratio 0.4328
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-1 cache size     3306, 4040279 req, miss ratio 0.3589, byte miss ratio 0.3589
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-1 cache size    11021, 4040279 req, miss ratio 0.1755, byte miss ratio 0.1755
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-1 cache size    22043, 4040279 req, miss ratio 0.0550, byte miss ratio 0.0550
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-1 cache size    44087, 4040279 req, miss ratio 0.0396, byte miss ratio 0.0396
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-1 cache size    88174, 4040279 req, miss ratio 0.0283, byte miss ratio 0.0283
result/tencentBlock.ns11027.oracleGeneral.zst LRU cache size      110, 4040279 req, miss ratio 0.6883, byte miss ratio 0.6883
result/tencentBlock.ns11027.oracleGeneral.zst LRU cache size      330, 4040279 req, miss ratio 0.5114, byte miss ratio 0.5114
result/tencentBlock.ns11027.oracleGeneral.zst LRU cache size     1102, 4040279 req, miss ratio 0.4505, byte miss ratio 0.4505
result/tencentBlock.ns11027.oracleGeneral.zst LRU cache size     3306, 4040279 req, miss ratio 0.3952, byte miss ratio 0.3952
result/tencentBlock.ns11027.oracleGeneral.zst LRU cache size    11021, 4040279 req, miss ratio 0.2581, byte miss ratio 0.2581
result/tencentBlock.ns11027.oracleGeneral.zst LRU cache size    22043, 4040279 req, miss ratio 0.0571, byte miss ratio 0.0571
result/tencentBlock.ns11027.oracleGeneral.zst LRU cache size    44087, 4040279 req, miss ratio 0.0394, byte miss ratio 0.0394
result/tencentBlock.ns11027.oracleGeneral.zst LRU cache size    88174, 4040279 req, miss ratio 0.0282, byte miss ratio 0.0282
result/tencentBlock.ns11027.oracleGeneral.zst clock2 cache size      110, 4040279 req, miss ratio 0.6792, byte miss ratio 0.6792
result/tencentBlock.ns11027.oracleGeneral.zst clock2 cache size      330, 4040279 req, miss ratio 0.5026, byte miss ratio 0.5026
result/tencentBlock.ns11027.oracleGeneral.zst clock2 cache size     1102, 4040279 req, miss ratio 0.4494, byte miss ratio 0.4494
result/tencentBlock.ns11027.oracleGeneral.zst clock2 cache size     3306, 4040279 req, miss ratio 0.3959, byte miss ratio 0.3959
result/tencentBlock.ns11027.oracleGeneral.zst clock2 cache size    11021, 4040279 req, miss ratio 0.2700, byte miss ratio 0.2700
result/tencentBlock.ns11027.oracleGeneral.zst clock2 cache size    22043, 4040279 req, miss ratio 0.0554, byte miss ratio 0.0554
result/tencentBlock.ns11027.oracleGeneral.zst clock2 cache size    44087, 4040279 req, miss ratio 0.0405, byte miss ratio 0.0405
result/tencentBlock.ns11027.oracleGeneral.zst clock2 cache size    88174, 4040279 req, miss ratio 0.0283, byte miss ratio 0.0283
result/tencentBlock.ns11027.oracleGeneral.zst LHD cache size      110, 4040279 req, miss ratio 0.6222, byte miss ratio 0.6222
result/tencentBlock.ns11027.oracleGeneral.zst LHD cache size      330, 4040279 req, miss ratio 0.4899, byte miss ratio 0.4899
result/tencentBlock.ns11027.oracleGeneral.zst LHD cache size     1102, 4040279 req, miss ratio 0.4440, byte miss ratio 0.4440
result/tencentBlock.ns11027.oracleGeneral.zst LHD cache size     3306, 4040279 req, miss ratio 0.3955, byte miss ratio 0.3955
result/tencentBlock.ns11027.oracleGeneral.zst LHD cache size    11021, 4040279 req, miss ratio 0.1670, byte miss ratio 0.1670
result/tencentBlock.ns11027.oracleGeneral.zst LHD cache size    22043, 4040279 req, miss ratio 0.0560, byte miss ratio 0.0560
result/tencentBlock.ns11027.oracleGeneral.zst LHD cache size    44087, 4040279 req, miss ratio 0.0421, byte miss ratio 0.0421
result/tencentBlock.ns11027.oracleGeneral.zst LHD cache size    88174, 4040279 req, miss ratio 0.0284, byte miss ratio 0.0284
result/tencentBlock.ns11027.oracleGeneral.zst ARC cache size      110, 4040279 req, miss ratio 0.6088, byte miss ratio 0.6088
result/tencentBlock.ns11027.oracleGeneral.zst ARC cache size      330, 4040279 req, miss ratio 0.4835, byte miss ratio 0.4835
result/tencentBlock.ns11027.oracleGeneral.zst ARC cache size     1102, 4040279 req, miss ratio 0.4333, byte miss ratio 0.4333
result/tencentBlock.ns11027.oracleGeneral.zst ARC cache size     3306, 4040279 req, miss ratio 0.3542, byte miss ratio 0.3542
result/tencentBlock.ns11027.oracleGeneral.zst ARC cache size    11021, 4040279 req, miss ratio 0.2086, byte miss ratio 0.2086
result/tencentBlock.ns11027.oracleGeneral.zst ARC cache size    22043, 4040279 req, miss ratio 0.0538, byte miss ratio 0.0538
result/tencentBlock.ns11027.oracleGeneral.zst ARC cache size    44087, 4040279 req, miss ratio 0.0379, byte miss ratio 0.0379
result/tencentBlock.ns11027.oracleGeneral.zst ARC cache size    88174, 4040279 req, miss ratio 0.0283, byte miss ratio 0.0283
result/tencentBlock.ns11027.oracleGeneral.zst Cacheus cache size      110, 4040279 req, miss ratio 0.5990, byte miss ratio 0.5990
result/tencentBlock.ns11027.oracleGeneral.zst Cacheus cache size      330, 4040279 req, miss ratio 0.4981, byte miss ratio 0.4981
result/tencentBlock.ns11027.oracleGeneral.zst Cacheus cache size     1102, 4040279 req, miss ratio 0.4352, byte miss ratio 0.4352
result/tencentBlock.ns11027.oracleGeneral.zst Cacheus cache size     3306, 4040279 req, miss ratio 0.3782, byte miss ratio 0.3782
result/tencentBlock.ns11027.oracleGeneral.zst Cacheus cache size    11021, 4040279 req, miss ratio 0.2592, byte miss ratio 0.2592
result/tencentBlock.ns11027.oracleGeneral.zst Cacheus cache size    22043, 4040279 req, miss ratio 0.0538, byte miss ratio 0.0538
result/tencentBlock.ns11027.oracleGeneral.zst Cacheus cache size    44087, 4040279 req, miss ratio 0.0383, byte miss ratio 0.0383
result/tencentBlock.ns11027.oracleGeneral.zst Cacheus cache size    88174, 4040279 req, miss ratio 0.0287, byte miss ratio 0.0287
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-d-1 cache size      110, 4040279 req, miss ratio 0.5991, byte miss ratio 0.5991
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-d-1 cache size      330, 4040279 req, miss ratio 0.4851, byte miss ratio 0.4851
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-d-1 cache size     1102, 4040279 req, miss ratio 0.4328, byte miss ratio 0.4328
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-d-1 cache size     3306, 4040279 req, miss ratio 0.3565, byte miss ratio 0.3565
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-d-1 cache size    11021, 4040279 req, miss ratio 0.1762, byte miss ratio 0.1762
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-d-1 cache size    22043, 4040279 req, miss ratio 0.0551, byte miss ratio 0.0551
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-d-1 cache size    44087, 4040279 req, miss ratio 0.0396, byte miss ratio 0.0396
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-d-1 cache size    88174, 4040279 req, miss ratio 0.0283, byte miss ratio 0.0283
result/tencentBlock.ns11027.oracleGeneral.zst LRB cache size      110, 4040279 req, miss ratio 0.6433, byte miss ratio 0.6433
result/tencentBlock.ns11027.oracleGeneral.zst LRB cache size      330, 4040279 req, miss ratio 0.4866, byte miss ratio 0.4866
result/tencentBlock.ns11027.oracleGeneral.zst LRB cache size     1102, 4040279 req, miss ratio 0.4152, byte miss ratio 0.4152
result/tencentBlock.ns11027.oracleGeneral.zst LRB cache size     3306, 4040279 req, miss ratio 0.3408, byte miss ratio 0.3408
result/tencentBlock.ns11027.oracleGeneral.zst LRB cache size    11021, 4040279 req, miss ratio 0.1135, byte miss ratio 0.1135
result/tencentBlock.ns11027.oracleGeneral.zst LRB cache size    22043, 4040279 req, miss ratio 0.0570, byte miss ratio 0.0570
result/tencentBlock.ns11027.oracleGeneral.zst LRB cache size    44087, 4040279 req, miss ratio 0.0404, byte miss ratio 0.0404
result/tencentBlock.ns11027.oracleGeneral.zst LRB cache size    88174, 4040279 req, miss ratio 0.0284, byte miss ratio 0.0284
result/tencentBlock.ns11027.oracleGeneral.zst S4LRU(25:25:25:25) cache size      110, 4040279 req, miss ratio 0.6371, byte miss ratio 0.6371
result/tencentBlock.ns11027.oracleGeneral.zst S4LRU(25:25:25:25) cache size      330, 4040279 req, miss ratio 0.4872, byte miss ratio 0.4872
result/tencentBlock.ns11027.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1102, 4040279 req, miss ratio 0.4426, byte miss ratio 0.4426
result/tencentBlock.ns11027.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3306, 4040279 req, miss ratio 0.4185, byte miss ratio 0.4185
result/tencentBlock.ns11027.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11021, 4040279 req, miss ratio 0.2254, byte miss ratio 0.2254
result/tencentBlock.ns11027.oracleGeneral.zst S4LRU(25:25:25:25) cache size    22043, 4040279 req, miss ratio 0.0633, byte miss ratio 0.0633
result/tencentBlock.ns11027.oracleGeneral.zst S4LRU(25:25:25:25) cache size    44087, 4040279 req, miss ratio 0.0397, byte miss ratio 0.0397
result/tencentBlock.ns11027.oracleGeneral.zst S4LRU(25:25:25:25) cache size    88174, 4040279 req, miss ratio 0.0284, byte miss ratio 0.0284
result/tencentBlock.ns11027.oracleGeneral.zst B-LRU cache size      110, 4040279 req, miss ratio 0.6846, byte miss ratio 0.6846
result/tencentBlock.ns11027.oracleGeneral.zst B-LRU cache size      330, 4040279 req, miss ratio 0.5135, byte miss ratio 0.5135
result/tencentBlock.ns11027.oracleGeneral.zst B-LRU cache size     1102, 4040279 req, miss ratio 0.4549, byte miss ratio 0.4549
result/tencentBlock.ns11027.oracleGeneral.zst B-LRU cache size     3306, 4040279 req, miss ratio 0.4016, byte miss ratio 0.4016
result/tencentBlock.ns11027.oracleGeneral.zst B-LRU cache size    11021, 4040279 req, miss ratio 0.2670, byte miss ratio 0.2670
result/tencentBlock.ns11027.oracleGeneral.zst B-LRU cache size    22043, 4040279 req, miss ratio 0.0625, byte miss ratio 0.0625
result/tencentBlock.ns11027.oracleGeneral.zst B-LRU cache size    44087, 4040279 req, miss ratio 0.0491, byte miss ratio 0.0491
result/tencentBlock.ns11027.oracleGeneral.zst B-LRU cache size    88174, 4040279 req, miss ratio 0.0460, byte miss ratio 0.0460
result/tencentBlock.ns11027.oracleGeneral.zst TwoQ cache size      110, 4040279 req, miss ratio 0.6140, byte miss ratio 0.6140
result/tencentBlock.ns11027.oracleGeneral.zst TwoQ cache size      330, 4040279 req, miss ratio 0.4868, byte miss ratio 0.4868
result/tencentBlock.ns11027.oracleGeneral.zst TwoQ cache size     1102, 4040279 req, miss ratio 0.4349, byte miss ratio 0.4349
result/tencentBlock.ns11027.oracleGeneral.zst TwoQ cache size     3306, 4040279 req, miss ratio 0.3662, byte miss ratio 0.3662
result/tencentBlock.ns11027.oracleGeneral.zst TwoQ cache size    11021, 4040279 req, miss ratio 0.1889, byte miss ratio 0.1889
result/tencentBlock.ns11027.oracleGeneral.zst TwoQ cache size    22043, 4040279 req, miss ratio 0.0573, byte miss ratio 0.0573
result/tencentBlock.ns11027.oracleGeneral.zst TwoQ cache size    44087, 4040279 req, miss ratio 0.0445, byte miss ratio 0.0445
result/tencentBlock.ns11027.oracleGeneral.zst TwoQ cache size    88174, 4040279 req, miss ratio 0.0290, byte miss ratio 0.0290
result/tencentBlock.ns11027.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      110, 4040279 req, miss ratio 0.6988, byte miss ratio 0.6988
result/tencentBlock.ns11027.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      330, 4040279 req, miss ratio 0.5224, byte miss ratio 0.5224
result/tencentBlock.ns11027.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1102, 4040279 req, miss ratio 0.4517, byte miss ratio 0.4517
result/tencentBlock.ns11027.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3306, 4040279 req, miss ratio 0.4025, byte miss ratio 0.4025
result/tencentBlock.ns11027.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11021, 4040279 req, miss ratio 0.2092, byte miss ratio 0.2092
result/tencentBlock.ns11027.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    22043, 4040279 req, miss ratio 0.0812, byte miss ratio 0.0812
result/tencentBlock.ns11027.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    44087, 4040279 req, miss ratio 0.0499, byte miss ratio 0.0499
result/tencentBlock.ns11027.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    88174, 4040279 req, miss ratio 0.0296, byte miss ratio 0.0296
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO cache size      110, 4040279 req, miss ratio 0.6083, byte miss ratio 0.6083
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO cache size      330, 4040279 req, miss ratio 0.4816, byte miss ratio 0.4816
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO cache size     1102, 4040279 req, miss ratio 0.4333, byte miss ratio 0.4333
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO cache size     3306, 4040279 req, miss ratio 0.3563, byte miss ratio 0.3563
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO cache size    11021, 4040279 req, miss ratio 0.1944, byte miss ratio 0.1944
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO cache size    22043, 4040279 req, miss ratio 0.0547, byte miss ratio 0.0547
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO cache size    44087, 4040279 req, miss ratio 0.0406, byte miss ratio 0.0406
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO cache size    88174, 4040279 req, miss ratio 0.0294, byte miss ratio 0.0294
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-d cache size      110, 4040279 req, miss ratio 0.6763, byte miss ratio 0.6763
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-d cache size      330, 4040279 req, miss ratio 0.5001, byte miss ratio 0.5001
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-d cache size     1102, 4040279 req, miss ratio 0.4330, byte miss ratio 0.4330
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-d cache size     3306, 4040279 req, miss ratio 0.3577, byte miss ratio 0.3577
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-d cache size    11021, 4040279 req, miss ratio 0.2196, byte miss ratio 0.2196
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-d cache size    22043, 4040279 req, miss ratio 0.0548, byte miss ratio 0.0548
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-d cache size    44087, 4040279 req, miss ratio 0.0406, byte miss ratio 0.0406
result/tencentBlock.ns11027.oracleGeneral.zst S3FIFO-d cache size    88174, 4040279 req, miss ratio 0.0294, byte miss ratio 0.0294
result/tencentBlock.ns11027.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      110, 4040279 req, miss ratio 0.6143, byte miss ratio 0.6143
result/tencentBlock.ns11027.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      330, 4040279 req, miss ratio 0.5094, byte miss ratio 0.5094
result/tencentBlock.ns11027.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1102, 4040279 req, miss ratio 0.4426, byte miss ratio 0.4426
result/tencentBlock.ns11027.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3306, 4040279 req, miss ratio 0.3701, byte miss ratio 0.3701
result/tencentBlock.ns11027.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11021, 4040279 req, miss ratio 0.1182, byte miss ratio 0.1182
result/tencentBlock.ns11027.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    22043, 4040279 req, miss ratio 0.0578, byte miss ratio 0.0578
result/tencentBlock.ns11027.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    44087, 4040279 req, miss ratio 0.0398, byte miss ratio 0.0398
result/tencentBlock.ns11027.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    88174, 4040279 req, miss ratio 0.0292, byte miss ratio 0.0292
result/tencentBlock.ns11027.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      110, 4040279 req, miss ratio 0.6053, byte miss ratio 0.6053
result/tencentBlock.ns11027.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      330, 4040279 req, miss ratio 0.4816, byte miss ratio 0.4816
result/tencentBlock.ns11027.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1102, 4040279 req, miss ratio 0.4281, byte miss ratio 0.4281
result/tencentBlock.ns11027.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3306, 4040279 req, miss ratio 0.3701, byte miss ratio 0.3701
result/tencentBlock.ns11027.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11021, 4040279 req, miss ratio 0.1196, byte miss ratio 0.1196
result/tencentBlock.ns11027.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    22043, 4040279 req, miss ratio 0.0580, byte miss ratio 0.0580
result/tencentBlock.ns11027.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    44087, 4040279 req, miss ratio 0.0417, byte miss ratio 0.0417
result/tencentBlock.ns11027.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    88174, 4040279 req, miss ratio 0.0287, byte miss ratio 0.0287
