result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO-1 cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO-1 cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst ARC cache size        6, 7557016 req, miss ratio 0.5446, byte miss ratio 0.5446
result/cdn2_allcolo.ns703.oracleGeneral.zst ARC cache size       22, 7557016 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns703.oracleGeneral.zst ARC cache size       67, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst ARC cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst ARC cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst ARC cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst ARC cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst Clock cache size        6, 7557016 req, miss ratio 0.5565, byte miss ratio 0.5565
result/cdn2_allcolo.ns703.oracleGeneral.zst Clock cache size       22, 7557016 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns703.oracleGeneral.zst Clock cache size       67, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst Clock cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst Clock cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst Clock cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst Clock cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LRU cache size        6, 7557016 req, miss ratio 0.5757, byte miss ratio 0.5757
result/cdn2_allcolo.ns703.oracleGeneral.zst LRU cache size       22, 7557016 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns703.oracleGeneral.zst LRU cache size       67, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LRU cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LRU cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LRU cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
