result/cdn2_allcolo.ns256.oracleGeneral.zst Cacheus cache size   237661, 21236651 req, miss ratio 0.0317, byte miss ratio 0.0317
result/cdn2_allcolo.ns256.oracleGeneral.zst Cacheus cache size   475322, 21236651 req, miss ratio 0.0285, byte miss ratio 0.0285
result/cdn2_allcolo.ns256.oracleGeneral.zst clock2 cache size      594, 21236651 req, miss ratio 0.6744, byte miss ratio 0.6744
result/cdn2_allcolo.ns256.oracleGeneral.zst clock2 cache size     1782, 21236651 req, miss ratio 0.5077, byte miss ratio 0.5077
result/cdn2_allcolo.ns256.oracleGeneral.zst clock2 cache size     5941, 21236651 req, miss ratio 0.2969, byte miss ratio 0.2969
result/cdn2_allcolo.ns256.oracleGeneral.zst clock2 cache size    17824, 21236651 req, miss ratio 0.1461, byte miss ratio 0.1461
result/cdn2_allcolo.ns256.oracleGeneral.zst clock2 cache size    59415, 21236651 req, miss ratio 0.0603, byte miss ratio 0.0603
result/cdn2_allcolo.ns256.oracleGeneral.zst clock2 cache size   118830, 21236651 req, miss ratio 0.0440, byte miss ratio 0.0440
result/cdn2_allcolo.ns256.oracleGeneral.zst clock2 cache size   237661, 21236651 req, miss ratio 0.0326, byte miss ratio 0.0326
result/cdn2_allcolo.ns256.oracleGeneral.zst clock2 cache size   475322, 21236651 req, miss ratio 0.0282, byte miss ratio 0.0282
result/cdn2_allcolo.ns256.oracleGeneral.zst LRU cache size      594, 21236651 req, miss ratio 0.6822, byte miss ratio 0.6822
result/cdn2_allcolo.ns256.oracleGeneral.zst LRU cache size     1782, 21236651 req, miss ratio 0.5264, byte miss ratio 0.5264
result/cdn2_allcolo.ns256.oracleGeneral.zst LRU cache size     5941, 21236651 req, miss ratio 0.3175, byte miss ratio 0.3175
result/cdn2_allcolo.ns256.oracleGeneral.zst LRU cache size    17824, 21236651 req, miss ratio 0.1576, byte miss ratio 0.1576
result/cdn2_allcolo.ns256.oracleGeneral.zst LRU cache size    59415, 21236651 req, miss ratio 0.0625, byte miss ratio 0.0625
result/cdn2_allcolo.ns256.oracleGeneral.zst LRU cache size   118830, 21236651 req, miss ratio 0.0458, byte miss ratio 0.0458
result/cdn2_allcolo.ns256.oracleGeneral.zst LRU cache size   237661, 21236651 req, miss ratio 0.0322, byte miss ratio 0.0322
result/cdn2_allcolo.ns256.oracleGeneral.zst LRU cache size   475322, 21236651 req, miss ratio 0.0282, byte miss ratio 0.0282
result/cdn2_allcolo.ns256.oracleGeneral.zst LHD cache size      594, 21236651 req, miss ratio 0.6841, byte miss ratio 0.6841
result/cdn2_allcolo.ns256.oracleGeneral.zst LHD cache size     1782, 21236651 req, miss ratio 0.5106, byte miss ratio 0.5106
result/cdn2_allcolo.ns256.oracleGeneral.zst LHD cache size     5941, 21236651 req, miss ratio 0.2967, byte miss ratio 0.2967
result/cdn2_allcolo.ns256.oracleGeneral.zst LHD cache size    17824, 21236651 req, miss ratio 0.1424, byte miss ratio 0.1424
result/cdn2_allcolo.ns256.oracleGeneral.zst LHD cache size    59415, 21236651 req, miss ratio 0.0583, byte miss ratio 0.0583
result/cdn2_allcolo.ns256.oracleGeneral.zst LHD cache size   118830, 21236651 req, miss ratio 0.0421, byte miss ratio 0.0421
result/cdn2_allcolo.ns256.oracleGeneral.zst LHD cache size   237661, 21236651 req, miss ratio 0.0322, byte miss ratio 0.0322
result/cdn2_allcolo.ns256.oracleGeneral.zst LHD cache size   475322, 21236651 req, miss ratio 0.0283, byte miss ratio 0.0283
result/cdn2_allcolo.ns256.oracleGeneral.zst LIRS cache size      594, 21236651 req, miss ratio 0.7167, byte miss ratio 0.7167
