result/tencentBlock.ns12963.oracleGeneral.zst Clock cache size       69, 15000762 req, miss ratio 0.8675, byte miss ratio 0.8675
result/tencentBlock.ns12963.oracleGeneral.zst Clock cache size      207, 15000762 req, miss ratio 0.6779, byte miss ratio 0.6779
result/tencentBlock.ns12963.oracleGeneral.zst Clock cache size      690, 15000762 req, miss ratio 0.4585, byte miss ratio 0.4585
result/tencentBlock.ns12963.oracleGeneral.zst Clock cache size     2072, 15000762 req, miss ratio 0.1150, byte miss ratio 0.1150
result/tencentBlock.ns12963.oracleGeneral.zst Clock cache size     6908, 15000762 req, miss ratio 0.0901, byte miss ratio 0.0901
result/tencentBlock.ns12963.oracleGeneral.zst Clock cache size    13817, 15000762 req, miss ratio 0.0619, byte miss ratio 0.0619
result/tencentBlock.ns12963.oracleGeneral.zst Clock cache size    27635, 15000762 req, miss ratio 0.0281, byte miss ratio 0.0281
result/tencentBlock.ns12963.oracleGeneral.zst Clock cache size    55271, 15000762 req, miss ratio 0.0107, byte miss ratio 0.0107
result/tencentBlock.ns12963.oracleGeneral.zst clock2 cache size       69, 15000762 req, miss ratio 0.8535, byte miss ratio 0.8535
result/tencentBlock.ns12963.oracleGeneral.zst clock2 cache size      207, 15000762 req, miss ratio 0.6660, byte miss ratio 0.6660
result/tencentBlock.ns12963.oracleGeneral.zst clock2 cache size      690, 15000762 req, miss ratio 0.4503, byte miss ratio 0.4503
result/tencentBlock.ns12963.oracleGeneral.zst clock2 cache size     2072, 15000762 req, miss ratio 0.1132, byte miss ratio 0.1132
result/tencentBlock.ns12963.oracleGeneral.zst clock2 cache size     6908, 15000762 req, miss ratio 0.0905, byte miss ratio 0.0905
result/tencentBlock.ns12963.oracleGeneral.zst clock2 cache size    13817, 15000762 req, miss ratio 0.0620, byte miss ratio 0.0620
result/tencentBlock.ns12963.oracleGeneral.zst clock2 cache size    27635, 15000762 req, miss ratio 0.0250, byte miss ratio 0.0250
result/tencentBlock.ns12963.oracleGeneral.zst clock2 cache size    55271, 15000762 req, miss ratio 0.0109, byte miss ratio 0.0109
result/tencentBlock.ns12963.oracleGeneral.zst LeCaR cache size       69, 15000762 req, miss ratio 0.8172, byte miss ratio 0.8172
result/tencentBlock.ns12963.oracleGeneral.zst LeCaR cache size      207, 15000762 req, miss ratio 0.6317, byte miss ratio 0.6317
result/tencentBlock.ns12963.oracleGeneral.zst LeCaR cache size      690, 15000762 req, miss ratio 0.4553, byte miss ratio 0.4553
result/tencentBlock.ns12963.oracleGeneral.zst LeCaR cache size     2072, 15000762 req, miss ratio 0.1147, byte miss ratio 0.1147
result/tencentBlock.ns12963.oracleGeneral.zst LeCaR cache size     6908, 15000762 req, miss ratio 0.0903, byte miss ratio 0.0903
result/tencentBlock.ns12963.oracleGeneral.zst LeCaR cache size    13817, 15000762 req, miss ratio 0.0619, byte miss ratio 0.0619
result/tencentBlock.ns12963.oracleGeneral.zst LeCaR cache size    27635, 15000762 req, miss ratio 0.0233, byte miss ratio 0.0233
result/tencentBlock.ns12963.oracleGeneral.zst LeCaR cache size    55271, 15000762 req, miss ratio 0.0115, byte miss ratio 0.0115
result/tencentBlock.ns12963.oracleGeneral.zst FIFO cache size       69, 15000762 req, miss ratio 0.8953, byte miss ratio 0.8953
result/tencentBlock.ns12963.oracleGeneral.zst FIFO cache size      207, 15000762 req, miss ratio 0.7536, byte miss ratio 0.7536
result/tencentBlock.ns12963.oracleGeneral.zst FIFO cache size      690, 15000762 req, miss ratio 0.5525, byte miss ratio 0.5525
result/tencentBlock.ns12963.oracleGeneral.zst FIFO cache size     2072, 15000762 req, miss ratio 0.1846, byte miss ratio 0.1846
result/tencentBlock.ns12963.oracleGeneral.zst FIFO cache size     6908, 15000762 req, miss ratio 0.1053, byte miss ratio 0.1053
result/tencentBlock.ns12963.oracleGeneral.zst FIFO cache size    13817, 15000762 req, miss ratio 0.0737, byte miss ratio 0.0737
result/tencentBlock.ns12963.oracleGeneral.zst FIFO cache size    27635, 15000762 req, miss ratio 0.0466, byte miss ratio 0.0466
result/tencentBlock.ns12963.oracleGeneral.zst FIFO cache size    55271, 15000762 req, miss ratio 0.0125, byte miss ratio 0.0125
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO-d-1 cache size       69, 15000762 req, miss ratio 0.6514, byte miss ratio 0.6514
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO-d-1 cache size      207, 15000762 req, miss ratio 0.4716, byte miss ratio 0.4716
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO-d-1 cache size      690, 15000762 req, miss ratio 0.2903, byte miss ratio 0.2903
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO-d-1 cache size     2072, 15000762 req, miss ratio 0.1095, byte miss ratio 0.1095
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO-d-1 cache size     6908, 15000762 req, miss ratio 0.0850, byte miss ratio 0.0850
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO-d-1 cache size    13817, 15000762 req, miss ratio 0.0513, byte miss ratio 0.0513
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO-d-1 cache size    27635, 15000762 req, miss ratio 0.0245, byte miss ratio 0.0245
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO-d-1 cache size    55271, 15000762 req, miss ratio 0.0099, byte miss ratio 0.0099
result/tencentBlock.ns12963.oracleGeneral.zst LRB cache size       69, 15000762 req, miss ratio 0.6675, byte miss ratio 0.6675
result/tencentBlock.ns12963.oracleGeneral.zst LRB cache size      207, 15000762 req, miss ratio 0.5039, byte miss ratio 0.5039
result/tencentBlock.ns12963.oracleGeneral.zst LRB cache size      690, 15000762 req, miss ratio 0.2245, byte miss ratio 0.2245
result/tencentBlock.ns12963.oracleGeneral.zst LRB cache size     2072, 15000762 req, miss ratio 0.1123, byte miss ratio 0.1123
result/tencentBlock.ns12963.oracleGeneral.zst LRB cache size     6908, 15000762 req, miss ratio 0.0840, byte miss ratio 0.0840
result/tencentBlock.ns12963.oracleGeneral.zst LRB cache size    13817, 15000762 req, miss ratio 0.0474, byte miss ratio 0.0474
result/tencentBlock.ns12963.oracleGeneral.zst LRB cache size    27635, 15000762 req, miss ratio 0.0210, byte miss ratio 0.0210
result/tencentBlock.ns12963.oracleGeneral.zst LRB cache size    55271, 15000762 req, miss ratio 0.0081, byte miss ratio 0.0081
result/tencentBlock.ns12963.oracleGeneral.zst S4LRU(25:25:25:25) cache size       69, 15000762 req, miss ratio 0.7488, byte miss ratio 0.7488
result/tencentBlock.ns12963.oracleGeneral.zst S4LRU(25:25:25:25) cache size      207, 15000762 req, miss ratio 0.5339, byte miss ratio 0.5339
