result/tencentBlock.ns2100.oracleGeneral.zst LeCaR cache size      132, 2496042 req, miss ratio 0.4518, byte miss ratio 0.4518
result/tencentBlock.ns2100.oracleGeneral.zst LeCaR cache size      396, 2496042 req, miss ratio 0.4136, byte miss ratio 0.4136
result/tencentBlock.ns2100.oracleGeneral.zst LeCaR cache size     1320, 2496042 req, miss ratio 0.3765, byte miss ratio 0.3765
result/tencentBlock.ns2100.oracleGeneral.zst LeCaR cache size     3961, 2496042 req, miss ratio 0.3398, byte miss ratio 0.3398
result/tencentBlock.ns2100.oracleGeneral.zst LeCaR cache size    13205, 2496042 req, miss ratio 0.2793, byte miss ratio 0.2793
result/tencentBlock.ns2100.oracleGeneral.zst LeCaR cache size    26410, 2496042 req, miss ratio 0.1136, byte miss ratio 0.1136
result/tencentBlock.ns2100.oracleGeneral.zst LeCaR cache size    52821, 2496042 req, miss ratio 0.0712, byte miss ratio 0.0712
result/tencentBlock.ns2100.oracleGeneral.zst LeCaR cache size   105642, 2496042 req, miss ratio 0.0541, byte miss ratio 0.0541
result/tencentBlock.ns2100.oracleGeneral.zst clock2 cache size      132, 2496042 req, miss ratio 0.4533, byte miss ratio 0.4533
result/tencentBlock.ns2100.oracleGeneral.zst clock2 cache size      396, 2496042 req, miss ratio 0.4126, byte miss ratio 0.4126
result/tencentBlock.ns2100.oracleGeneral.zst clock2 cache size     1320, 2496042 req, miss ratio 0.3830, byte miss ratio 0.3830
result/tencentBlock.ns2100.oracleGeneral.zst clock2 cache size     3961, 2496042 req, miss ratio 0.3484, byte miss ratio 0.3484
result/tencentBlock.ns2100.oracleGeneral.zst clock2 cache size    13205, 2496042 req, miss ratio 0.2957, byte miss ratio 0.2957
result/tencentBlock.ns2100.oracleGeneral.zst clock2 cache size    26410, 2496042 req, miss ratio 0.1181, byte miss ratio 0.1181
result/tencentBlock.ns2100.oracleGeneral.zst clock2 cache size    52821, 2496042 req, miss ratio 0.0715, byte miss ratio 0.0715
result/tencentBlock.ns2100.oracleGeneral.zst clock2 cache size   105642, 2496042 req, miss ratio 0.0540, byte miss ratio 0.0540
result/tencentBlock.ns2100.oracleGeneral.zst LRU cache size      132, 2496042 req, miss ratio 0.4607, byte miss ratio 0.4607
result/tencentBlock.ns2100.oracleGeneral.zst LRU cache size      396, 2496042 req, miss ratio 0.4180, byte miss ratio 0.4180
result/tencentBlock.ns2100.oracleGeneral.zst LRU cache size     1320, 2496042 req, miss ratio 0.3880, byte miss ratio 0.3880
result/tencentBlock.ns2100.oracleGeneral.zst LRU cache size     3961, 2496042 req, miss ratio 0.3522, byte miss ratio 0.3522
result/tencentBlock.ns2100.oracleGeneral.zst LRU cache size    13205, 2496042 req, miss ratio 0.3040, byte miss ratio 0.3040
result/tencentBlock.ns2100.oracleGeneral.zst LRU cache size    26410, 2496042 req, miss ratio 0.1263, byte miss ratio 0.1263
result/tencentBlock.ns2100.oracleGeneral.zst LRU cache size    52821, 2496042 req, miss ratio 0.0714, byte miss ratio 0.0714
result/tencentBlock.ns2100.oracleGeneral.zst LRU cache size   105642, 2496042 req, miss ratio 0.0541, byte miss ratio 0.0541
result/tencentBlock.ns2100.oracleGeneral.zst S3FIFO-1 cache size      132, 2496042 req, miss ratio 0.4387, byte miss ratio 0.4387
result/tencentBlock.ns2100.oracleGeneral.zst S3FIFO-1 cache size      396, 2496042 req, miss ratio 0.4002, byte miss ratio 0.4002
result/tencentBlock.ns2100.oracleGeneral.zst S3FIFO-1 cache size     1320, 2496042 req, miss ratio 0.3529, byte miss ratio 0.3529
result/tencentBlock.ns2100.oracleGeneral.zst S3FIFO-1 cache size     3961, 2496042 req, miss ratio 0.3146, byte miss ratio 0.3146
result/tencentBlock.ns2100.oracleGeneral.zst S3FIFO-1 cache size    13205, 2496042 req, miss ratio 0.1942, byte miss ratio 0.1942
result/tencentBlock.ns2100.oracleGeneral.zst S3FIFO-1 cache size    26410, 2496042 req, miss ratio 0.1070, byte miss ratio 0.1070
result/tencentBlock.ns2100.oracleGeneral.zst S3FIFO-1 cache size    52821, 2496042 req, miss ratio 0.0698, byte miss ratio 0.0698
result/tencentBlock.ns2100.oracleGeneral.zst S3FIFO-1 cache size   105642, 2496042 req, miss ratio 0.0540, byte miss ratio 0.0540
result/tencentBlock.ns2100.oracleGeneral.zst ARC cache size      132, 2496042 req, miss ratio 0.4373, byte miss ratio 0.4373
result/tencentBlock.ns2100.oracleGeneral.zst ARC cache size      396, 2496042 req, miss ratio 0.4005, byte miss ratio 0.4005
result/tencentBlock.ns2100.oracleGeneral.zst ARC cache size     1320, 2496042 req, miss ratio 0.3544, byte miss ratio 0.3544
result/tencentBlock.ns2100.oracleGeneral.zst ARC cache size     3961, 2496042 req, miss ratio 0.3152, byte miss ratio 0.3152
result/tencentBlock.ns2100.oracleGeneral.zst ARC cache size    13205, 2496042 req, miss ratio 0.2134, byte miss ratio 0.2134
result/tencentBlock.ns2100.oracleGeneral.zst ARC cache size    26410, 2496042 req, miss ratio 0.1100, byte miss ratio 0.1100
result/tencentBlock.ns2100.oracleGeneral.zst ARC cache size    52821, 2496042 req, miss ratio 0.0688, byte miss ratio 0.0688
result/tencentBlock.ns2100.oracleGeneral.zst ARC cache size   105642, 2496042 req, miss ratio 0.0540, byte miss ratio 0.0540
result/tencentBlock.ns2100.oracleGeneral.zst LHD cache size      132, 2496042 req, miss ratio 0.4501, byte miss ratio 0.4501
result/tencentBlock.ns2100.oracleGeneral.zst LHD cache size      396, 2496042 req, miss ratio 0.4121, byte miss ratio 0.4121
result/tencentBlock.ns2100.oracleGeneral.zst LHD cache size     1320, 2496042 req, miss ratio 0.3772, byte miss ratio 0.3772
result/tencentBlock.ns2100.oracleGeneral.zst LHD cache size     3961, 2496042 req, miss ratio 0.3370, byte miss ratio 0.3370
result/tencentBlock.ns2100.oracleGeneral.zst LHD cache size    13205, 2496042 req, miss ratio 0.2012, byte miss ratio 0.2012
result/tencentBlock.ns2100.oracleGeneral.zst LHD cache size    26410, 2496042 req, miss ratio 0.1222, byte miss ratio 0.1222
result/tencentBlock.ns2100.oracleGeneral.zst LHD cache size    52821, 2496042 req, miss ratio 0.0739, byte miss ratio 0.0739
result/tencentBlock.ns2100.oracleGeneral.zst LHD cache size   105642, 2496042 req, miss ratio 0.0548, byte miss ratio 0.0548
result/tencentBlock.ns2100.oracleGeneral.zst LIRS cache size      132, 2496042 req, miss ratio 0.4485, byte miss ratio 0.4485
result/tencentBlock.ns2100.oracleGeneral.zst LIRS cache size      396, 2496042 req, miss ratio 0.4112, byte miss ratio 0.4112
result/tencentBlock.ns2100.oracleGeneral.zst LIRS cache size     1320, 2496042 req, miss ratio 0.3570, byte miss ratio 0.3570
result/tencentBlock.ns2100.oracleGeneral.zst LIRS cache size     3961, 2496042 req, miss ratio 0.3161, byte miss ratio 0.3161
result/tencentBlock.ns2100.oracleGeneral.zst LIRS cache size    13205, 2496042 req, miss ratio 0.1568, byte miss ratio 0.1568
result/tencentBlock.ns2100.oracleGeneral.zst LIRS cache size    26410, 2496042 req, miss ratio 0.1056, byte miss ratio 0.1056
result/tencentBlock.ns2100.oracleGeneral.zst LIRS cache size    52821, 2496042 req, miss ratio 0.0723, byte miss ratio 0.0723
result/tencentBlock.ns2100.oracleGeneral.zst LIRS cache size   105642, 2496042 req, miss ratio 0.0565, byte miss ratio 0.0565
result/tencentBlock.ns2100.oracleGeneral.zst Cacheus cache size      132, 2496042 req, miss ratio 0.4411, byte miss ratio 0.4411
result/tencentBlock.ns2100.oracleGeneral.zst Cacheus cache size      396, 2496042 req, miss ratio 0.4011, byte miss ratio 0.4011
result/tencentBlock.ns2100.oracleGeneral.zst Cacheus cache size     1320, 2496042 req, miss ratio 0.3637, byte miss ratio 0.3637
result/tencentBlock.ns2100.oracleGeneral.zst Cacheus cache size     3961, 2496042 req, miss ratio 0.3265, byte miss ratio 0.3265
result/tencentBlock.ns2100.oracleGeneral.zst Cacheus cache size    13205, 2496042 req, miss ratio 0.2756, byte miss ratio 0.2756
result/tencentBlock.ns2100.oracleGeneral.zst Cacheus cache size    26410, 2496042 req, miss ratio 0.1120, byte miss ratio 0.1120
result/tencentBlock.ns2100.oracleGeneral.zst Cacheus cache size    52821, 2496042 req, miss ratio 0.0694, byte miss ratio 0.0694
result/tencentBlock.ns2100.oracleGeneral.zst Cacheus cache size   105642, 2496042 req, miss ratio 0.0546, byte miss ratio 0.0546
result/tencentBlock.ns2100.oracleGeneral.zst FIFO cache size      132, 2496042 req, miss ratio 0.5067, byte miss ratio 0.5067
result/tencentBlock.ns2100.oracleGeneral.zst FIFO cache size      396, 2496042 req, miss ratio 0.4360, byte miss ratio 0.4360
result/tencentBlock.ns2100.oracleGeneral.zst FIFO cache size     1320, 2496042 req, miss ratio 0.3994, byte miss ratio 0.3994
result/tencentBlock.ns2100.oracleGeneral.zst FIFO cache size     3961, 2496042 req, miss ratio 0.3611, byte miss ratio 0.3611
result/tencentBlock.ns2100.oracleGeneral.zst FIFO cache size    13205, 2496042 req, miss ratio 0.3187, byte miss ratio 0.3187
result/tencentBlock.ns2100.oracleGeneral.zst FIFO cache size    26410, 2496042 req, miss ratio 0.1601, byte miss ratio 0.1601
result/tencentBlock.ns2100.oracleGeneral.zst FIFO cache size    52821, 2496042 req, miss ratio 0.0915, byte miss ratio 0.0915
result/tencentBlock.ns2100.oracleGeneral.zst FIFO cache size   105642, 2496042 req, miss ratio 0.0628, byte miss ratio 0.0628
result/tencentBlock.ns2100.oracleGeneral.zst Clock cache size      132, 2496042 req, miss ratio 0.4571, byte miss ratio 0.4571
result/tencentBlock.ns2100.oracleGeneral.zst Clock cache size      396, 2496042 req, miss ratio 0.4157, byte miss ratio 0.4157
result/tencentBlock.ns2100.oracleGeneral.zst Clock cache size     1320, 2496042 req, miss ratio 0.3845, byte miss ratio 0.3845
result/tencentBlock.ns2100.oracleGeneral.zst Clock cache size     3961, 2496042 req, miss ratio 0.3517, byte miss ratio 0.3517
result/tencentBlock.ns2100.oracleGeneral.zst Clock cache size    13205, 2496042 req, miss ratio 0.2988, byte miss ratio 0.2988
result/tencentBlock.ns2100.oracleGeneral.zst Clock cache size    26410, 2496042 req, miss ratio 0.1258, byte miss ratio 0.1258
result/tencentBlock.ns2100.oracleGeneral.zst Clock cache size    52821, 2496042 req, miss ratio 0.0709, byte miss ratio 0.0709
result/tencentBlock.ns2100.oracleGeneral.zst Clock cache size   105642, 2496042 req, miss ratio 0.0540, byte miss ratio 0.0540
result/tencentBlock.ns2100.oracleGeneral.zst S3FIFO-d-1 cache size      132, 2496042 req, miss ratio 0.4370, byte miss ratio 0.4370
result/tencentBlock.ns2100.oracleGeneral.zst S3FIFO-d-1 cache size      396, 2496042 req, miss ratio 0.3986, byte miss ratio 0.3986
result/tencentBlock.ns2100.oracleGeneral.zst S3FIFO-d-1 cache size     1320, 2496042 req, miss ratio 0.3529, byte miss ratio 0.3529
result/tencentBlock.ns2100.oracleGeneral.zst S3FIFO-d-1 cache size     3961, 2496042 req, miss ratio 0.3131, byte miss ratio 0.3131
result/tencentBlock.ns2100.oracleGeneral.zst S3FIFO-d-1 cache size    13205, 2496042 req, miss ratio 0.1874, byte miss ratio 0.1874
result/tencentBlock.ns2100.oracleGeneral.zst S3FIFO-d-1 cache size    26410, 2496042 req, miss ratio 0.1066, byte miss ratio 0.1066
result/tencentBlock.ns2100.oracleGeneral.zst S3FIFO-d-1 cache size    52821, 2496042 req, miss ratio 0.0697, byte miss ratio 0.0697
result/tencentBlock.ns2100.oracleGeneral.zst S3FIFO-d-1 cache size   105642, 2496042 req, miss ratio 0.0540, byte miss ratio 0.0540
result/tencentBlock.ns2100.oracleGeneral.zst LRB cache size      132, 2496042 req, miss ratio 0.4826, byte miss ratio 0.4826
result/tencentBlock.ns2100.oracleGeneral.zst LRB cache size      396, 2496042 req, miss ratio 0.4105, byte miss ratio 0.4105
result/tencentBlock.ns2100.oracleGeneral.zst LRB cache size     1320, 2496042 req, miss ratio 0.3569, byte miss ratio 0.3569
result/tencentBlock.ns2100.oracleGeneral.zst LRB cache size     3961, 2496042 req, miss ratio 0.3086, byte miss ratio 0.3086
result/tencentBlock.ns2100.oracleGeneral.zst LRB cache size    13205, 2496042 req, miss ratio 0.1633, byte miss ratio 0.1633
result/tencentBlock.ns2100.oracleGeneral.zst LRB cache size    26410, 2496042 req, miss ratio 0.1201, byte miss ratio 0.1201
result/tencentBlock.ns2100.oracleGeneral.zst LRB cache size    52821, 2496042 req, miss ratio 0.0809, byte miss ratio 0.0809
result/tencentBlock.ns2100.oracleGeneral.zst LRB cache size   105642, 2496042 req, miss ratio 0.0566, byte miss ratio 0.0566
result/tencentBlock.ns2100.oracleGeneral.zst S4LRU(25:25:25:25) cache size      132, 2496042 req, miss ratio 0.4420, byte miss ratio 0.4420
result/tencentBlock.ns2100.oracleGeneral.zst S4LRU(25:25:25:25) cache size      396, 2496042 req, miss ratio 0.4033, byte miss ratio 0.4033
result/tencentBlock.ns2100.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1320, 2496042 req, miss ratio 0.3686, byte miss ratio 0.3686
result/tencentBlock.ns2100.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3961, 2496042 req, miss ratio 0.3369, byte miss ratio 0.3369
