result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-1 cache size    59354, 22199791 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_colo28.ns34.oracleGeneral.zst LeCaR cache size       74, 22199791 req, miss ratio 0.4521, byte miss ratio 0.4521
result/cdn2_colo28.ns34.oracleGeneral.zst LeCaR cache size      222, 22199791 req, miss ratio 0.4071, byte miss ratio 0.4071
result/cdn2_colo28.ns34.oracleGeneral.zst LeCaR cache size      741, 22199791 req, miss ratio 0.3338, byte miss ratio 0.3338
result/cdn2_colo28.ns34.oracleGeneral.zst LeCaR cache size     2225, 22199791 req, miss ratio 0.2328, byte miss ratio 0.2328
result/cdn2_colo28.ns34.oracleGeneral.zst LeCaR cache size     7419, 22199791 req, miss ratio 0.0861, byte miss ratio 0.0861
result/cdn2_colo28.ns34.oracleGeneral.zst LeCaR cache size    14838, 22199791 req, miss ratio 0.0279, byte miss ratio 0.0279
result/cdn2_colo28.ns34.oracleGeneral.zst LeCaR cache size    29677, 22199791 req, miss ratio 0.0092, byte miss ratio 0.0092
result/cdn2_colo28.ns34.oracleGeneral.zst LeCaR cache size    59354, 22199791 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_colo28.ns34.oracleGeneral.zst Cacheus cache size       74, 22199791 req, miss ratio 0.4492, byte miss ratio 0.4492
result/cdn2_colo28.ns34.oracleGeneral.zst Cacheus cache size      222, 22199791 req, miss ratio 0.4003, byte miss ratio 0.4003
result/cdn2_colo28.ns34.oracleGeneral.zst Cacheus cache size      741, 22199791 req, miss ratio 0.3303, byte miss ratio 0.3303
result/cdn2_colo28.ns34.oracleGeneral.zst Cacheus cache size     2225, 22199791 req, miss ratio 0.2304, byte miss ratio 0.2304
result/cdn2_colo28.ns34.oracleGeneral.zst Cacheus cache size     7419, 22199791 req, miss ratio 0.0861, byte miss ratio 0.0861
result/cdn2_colo28.ns34.oracleGeneral.zst Cacheus cache size    14838, 22199791 req, miss ratio 0.0222, byte miss ratio 0.0222
result/cdn2_colo28.ns34.oracleGeneral.zst Cacheus cache size    29677, 22199791 req, miss ratio 0.0091, byte miss ratio 0.0091
result/cdn2_colo28.ns34.oracleGeneral.zst Cacheus cache size    59354, 22199791 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_colo28.ns34.oracleGeneral.zst FIFO cache size       74, 22199791 req, miss ratio 0.4551, byte miss ratio 0.4551
result/cdn2_colo28.ns34.oracleGeneral.zst FIFO cache size      222, 22199791 req, miss ratio 0.4150, byte miss ratio 0.4150
result/cdn2_colo28.ns34.oracleGeneral.zst FIFO cache size      741, 22199791 req, miss ratio 0.3474, byte miss ratio 0.3474
result/cdn2_colo28.ns34.oracleGeneral.zst FIFO cache size     2225, 22199791 req, miss ratio 0.2533, byte miss ratio 0.2533
result/cdn2_colo28.ns34.oracleGeneral.zst FIFO cache size     7419, 22199791 req, miss ratio 0.1148, byte miss ratio 0.1148
result/cdn2_colo28.ns34.oracleGeneral.zst FIFO cache size    14838, 22199791 req, miss ratio 0.0483, byte miss ratio 0.0483
result/cdn2_colo28.ns34.oracleGeneral.zst FIFO cache size    29677, 22199791 req, miss ratio 0.0160, byte miss ratio 0.0160
result/cdn2_colo28.ns34.oracleGeneral.zst FIFO cache size    59354, 22199791 req, miss ratio 0.0048, byte miss ratio 0.0048
result/cdn2_colo28.ns34.oracleGeneral.zst clock2 cache size       74, 22199791 req, miss ratio 0.4456, byte miss ratio 0.4456
result/cdn2_colo28.ns34.oracleGeneral.zst clock2 cache size      222, 22199791 req, miss ratio 0.3971, byte miss ratio 0.3971
result/cdn2_colo28.ns34.oracleGeneral.zst clock2 cache size      741, 22199791 req, miss ratio 0.3233, byte miss ratio 0.3233
result/cdn2_colo28.ns34.oracleGeneral.zst clock2 cache size     2225, 22199791 req, miss ratio 0.2226, byte miss ratio 0.2226
result/cdn2_colo28.ns34.oracleGeneral.zst clock2 cache size     7419, 22199791 req, miss ratio 0.0808, byte miss ratio 0.0808
result/cdn2_colo28.ns34.oracleGeneral.zst clock2 cache size    14838, 22199791 req, miss ratio 0.0265, byte miss ratio 0.0265
result/cdn2_colo28.ns34.oracleGeneral.zst clock2 cache size    29677, 22199791 req, miss ratio 0.0091, byte miss ratio 0.0091
result/cdn2_colo28.ns34.oracleGeneral.zst clock2 cache size    59354, 22199791 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-d-1 cache size       74, 22199791 req, miss ratio 0.4442, byte miss ratio 0.4442
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-d-1 cache size      222, 22199791 req, miss ratio 0.3923, byte miss ratio 0.3923
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-d-1 cache size      741, 22199791 req, miss ratio 0.3171, byte miss ratio 0.3171
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-d-1 cache size     2225, 22199791 req, miss ratio 0.2130, byte miss ratio 0.2130
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-d-1 cache size     7419, 22199791 req, miss ratio 0.0732, byte miss ratio 0.0732
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-d-1 cache size    14838, 22199791 req, miss ratio 0.0237, byte miss ratio 0.0237
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-d-1 cache size    29677, 22199791 req, miss ratio 0.0084, byte miss ratio 0.0084
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-d-1 cache size    59354, 22199791 req, miss ratio 0.0038, byte miss ratio 0.0038
