result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   168154, 13334390 req, miss ratio 0.0358, byte miss ratio 0.0358
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   336308, 13334390 req, miss ratio 0.0318, byte miss ratio 0.0318
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst Clock cache size      420, 13334390 req, miss ratio 0.2583, byte miss ratio 0.2583
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst Clock cache size     1261, 13334390 req, miss ratio 0.1845, byte miss ratio 0.1845
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst Clock cache size     4203, 13334390 req, miss ratio 0.1309, byte miss ratio 0.1309
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst Clock cache size    12611, 13334390 req, miss ratio 0.0973, byte miss ratio 0.0973
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst Clock cache size    42038, 13334390 req, miss ratio 0.0682, byte miss ratio 0.0682
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst Clock cache size    84077, 13334390 req, miss ratio 0.0512, byte miss ratio 0.0512
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst Clock cache size   168154, 13334390 req, miss ratio 0.0374, byte miss ratio 0.0374
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst Clock cache size   336308, 13334390 req, miss ratio 0.0318, byte miss ratio 0.0318
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LHD cache size      420, 13334390 req, miss ratio 0.2518, byte miss ratio 0.2518
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LHD cache size     1261, 13334390 req, miss ratio 0.1785, byte miss ratio 0.1785
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LHD cache size     4203, 13334390 req, miss ratio 0.1270, byte miss ratio 0.1270
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LHD cache size    12611, 13334390 req, miss ratio 0.0944, byte miss ratio 0.0944
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LHD cache size    42038, 13334390 req, miss ratio 0.0644, byte miss ratio 0.0644
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LHD cache size    84077, 13334390 req, miss ratio 0.0493, byte miss ratio 0.0493
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LHD cache size   168154, 13334390 req, miss ratio 0.0374, byte miss ratio 0.0374
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LHD cache size   336308, 13334390 req, miss ratio 0.0319, byte miss ratio 0.0319
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst clock2 cache size      420, 13334390 req, miss ratio 0.2490, byte miss ratio 0.2490
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst clock2 cache size     1261, 13334390 req, miss ratio 0.1786, byte miss ratio 0.1786
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst clock2 cache size     4203, 13334390 req, miss ratio 0.1275, byte miss ratio 0.1275
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst clock2 cache size    12611, 13334390 req, miss ratio 0.0949, byte miss ratio 0.0949
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst clock2 cache size    42038, 13334390 req, miss ratio 0.0652, byte miss ratio 0.0652
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst clock2 cache size    84077, 13334390 req, miss ratio 0.0488, byte miss ratio 0.0488
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst clock2 cache size   168154, 13334390 req, miss ratio 0.0366, byte miss ratio 0.0366
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst clock2 cache size   336308, 13334390 req, miss ratio 0.0318, byte miss ratio 0.0318
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LIRS cache size      420, 13334390 req, miss ratio 0.2237, byte miss ratio 0.2237
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LIRS cache size     1261, 13334390 req, miss ratio 0.1686, byte miss ratio 0.1686
