result/tencentBlock.ns19922.oracleGeneral.zst ARC cache size      392, 1163355 req, miss ratio 0.5899, byte miss ratio 0.5899
result/tencentBlock.ns19922.oracleGeneral.zst ARC cache size     1177, 1163355 req, miss ratio 0.5443, byte miss ratio 0.5443
result/tencentBlock.ns19922.oracleGeneral.zst ARC cache size     3925, 1163355 req, miss ratio 0.4944, byte miss ratio 0.4944
result/tencentBlock.ns19922.oracleGeneral.zst ARC cache size    11775, 1163355 req, miss ratio 0.4737, byte miss ratio 0.4737
result/tencentBlock.ns19922.oracleGeneral.zst ARC cache size    39252, 1163355 req, miss ratio 0.4175, byte miss ratio 0.4175
result/tencentBlock.ns19922.oracleGeneral.zst ARC cache size    78504, 1163355 req, miss ratio 0.3970, byte miss ratio 0.3970
result/tencentBlock.ns19922.oracleGeneral.zst ARC cache size   157009, 1163355 req, miss ratio 0.3738, byte miss ratio 0.3738
result/tencentBlock.ns19922.oracleGeneral.zst ARC cache size   314019, 1163355 req, miss ratio 0.3445, byte miss ratio 0.3445
result/tencentBlock.ns19922.oracleGeneral.zst LRU cache size      392, 1163355 req, miss ratio 0.5994, byte miss ratio 0.5994
result/tencentBlock.ns19922.oracleGeneral.zst LRU cache size     1177, 1163355 req, miss ratio 0.5675, byte miss ratio 0.5675
result/tencentBlock.ns19922.oracleGeneral.zst LRU cache size     3925, 1163355 req, miss ratio 0.5178, byte miss ratio 0.5178
result/tencentBlock.ns19922.oracleGeneral.zst LRU cache size    11775, 1163355 req, miss ratio 0.4879, byte miss ratio 0.4879
result/tencentBlock.ns19922.oracleGeneral.zst LRU cache size    39252, 1163355 req, miss ratio 0.4308, byte miss ratio 0.4308
result/tencentBlock.ns19922.oracleGeneral.zst LRU cache size    78504, 1163355 req, miss ratio 0.4143, byte miss ratio 0.4143
result/tencentBlock.ns19922.oracleGeneral.zst LRU cache size   157009, 1163355 req, miss ratio 0.3800, byte miss ratio 0.3800
result/tencentBlock.ns19922.oracleGeneral.zst LRU cache size   314019, 1163355 req, miss ratio 0.3499, byte miss ratio 0.3499
result/tencentBlock.ns19922.oracleGeneral.zst S3FIFO-1 cache size      392, 1163355 req, miss ratio 0.5927, byte miss ratio 0.5927
result/tencentBlock.ns19922.oracleGeneral.zst S3FIFO-1 cache size     1177, 1163355 req, miss ratio 0.5355, byte miss ratio 0.5355
result/tencentBlock.ns19922.oracleGeneral.zst S3FIFO-1 cache size     3925, 1163355 req, miss ratio 0.4931, byte miss ratio 0.4931
result/tencentBlock.ns19922.oracleGeneral.zst S3FIFO-1 cache size    11775, 1163355 req, miss ratio 0.4693, byte miss ratio 0.4693
result/tencentBlock.ns19922.oracleGeneral.zst S3FIFO-1 cache size    39252, 1163355 req, miss ratio 0.4189, byte miss ratio 0.4189
result/tencentBlock.ns19922.oracleGeneral.zst S3FIFO-1 cache size    78504, 1163355 req, miss ratio 0.3984, byte miss ratio 0.3984
result/tencentBlock.ns19922.oracleGeneral.zst S3FIFO-1 cache size   157009, 1163355 req, miss ratio 0.3738, byte miss ratio 0.3738
result/tencentBlock.ns19922.oracleGeneral.zst S3FIFO-1 cache size   314019, 1163355 req, miss ratio 0.3445, byte miss ratio 0.3445
result/tencentBlock.ns19922.oracleGeneral.zst LHD cache size      392, 1163355 req, miss ratio 0.5975, byte miss ratio 0.5975
result/tencentBlock.ns19922.oracleGeneral.zst LHD cache size     1177, 1163355 req, miss ratio 0.5633, byte miss ratio 0.5633
result/tencentBlock.ns19922.oracleGeneral.zst LHD cache size     3925, 1163355 req, miss ratio 0.5111, byte miss ratio 0.5111
