result/tencentBlock.ns14769.oracleGeneral.zst clock2 cache size      247, 1489775 req, miss ratio 0.4972, byte miss ratio 0.4972
result/tencentBlock.ns14769.oracleGeneral.zst clock2 cache size      741, 1489775 req, miss ratio 0.4910, byte miss ratio 0.4910
result/tencentBlock.ns14769.oracleGeneral.zst clock2 cache size     2473, 1489775 req, miss ratio 0.4876, byte miss ratio 0.4876
result/tencentBlock.ns14769.oracleGeneral.zst clock2 cache size     7419, 1489775 req, miss ratio 0.4856, byte miss ratio 0.4856
result/tencentBlock.ns14769.oracleGeneral.zst clock2 cache size    24731, 1489775 req, miss ratio 0.4246, byte miss ratio 0.4246
result/tencentBlock.ns14769.oracleGeneral.zst clock2 cache size    49462, 1489775 req, miss ratio 0.3808, byte miss ratio 0.3808
result/tencentBlock.ns14769.oracleGeneral.zst clock2 cache size    98925, 1489775 req, miss ratio 0.2759, byte miss ratio 0.2759
result/tencentBlock.ns14769.oracleGeneral.zst clock2 cache size   197851, 1489775 req, miss ratio 0.1677, byte miss ratio 0.1677
result/tencentBlock.ns14769.oracleGeneral.zst Cacheus cache size      247, 1489775 req, miss ratio 0.4935, byte miss ratio 0.4935
result/tencentBlock.ns14769.oracleGeneral.zst Cacheus cache size      741, 1489775 req, miss ratio 0.4895, byte miss ratio 0.4895
result/tencentBlock.ns14769.oracleGeneral.zst Cacheus cache size     2473, 1489775 req, miss ratio 0.4876, byte miss ratio 0.4876
result/tencentBlock.ns14769.oracleGeneral.zst Cacheus cache size     7419, 1489775 req, miss ratio 0.4858, byte miss ratio 0.4858
result/tencentBlock.ns14769.oracleGeneral.zst Cacheus cache size    24731, 1489775 req, miss ratio 0.4174, byte miss ratio 0.4174
result/tencentBlock.ns14769.oracleGeneral.zst Cacheus cache size    49462, 1489775 req, miss ratio 0.3769, byte miss ratio 0.3769
result/tencentBlock.ns14769.oracleGeneral.zst Cacheus cache size    98925, 1489775 req, miss ratio 0.2136, byte miss ratio 0.2136
result/tencentBlock.ns14769.oracleGeneral.zst Cacheus cache size   197851, 1489775 req, miss ratio 0.1673, byte miss ratio 0.1673
result/tencentBlock.ns14769.oracleGeneral.zst LHD cache size      247, 1489775 req, miss ratio 0.5003, byte miss ratio 0.5003
result/tencentBlock.ns14769.oracleGeneral.zst LHD cache size      741, 1489775 req, miss ratio 0.4916, byte miss ratio 0.4916
result/tencentBlock.ns14769.oracleGeneral.zst LHD cache size     2473, 1489775 req, miss ratio 0.4874, byte miss ratio 0.4874
result/tencentBlock.ns14769.oracleGeneral.zst LHD cache size     7419, 1489775 req, miss ratio 0.4810, byte miss ratio 0.4810
result/tencentBlock.ns14769.oracleGeneral.zst LHD cache size    24731, 1489775 req, miss ratio 0.4052, byte miss ratio 0.4052
result/tencentBlock.ns14769.oracleGeneral.zst LHD cache size    49462, 1489775 req, miss ratio 0.3428, byte miss ratio 0.3428
result/tencentBlock.ns14769.oracleGeneral.zst LHD cache size    98925, 1489775 req, miss ratio 0.2152, byte miss ratio 0.2152
result/tencentBlock.ns14769.oracleGeneral.zst LHD cache size   197851, 1489775 req, miss ratio 0.1683, byte miss ratio 0.1683
result/tencentBlock.ns14769.oracleGeneral.zst S3FIFO-1 cache size      247, 1489775 req, miss ratio 0.4944, byte miss ratio 0.4944
result/tencentBlock.ns14769.oracleGeneral.zst S3FIFO-1 cache size      741, 1489775 req, miss ratio 0.4891, byte miss ratio 0.4891
result/tencentBlock.ns14769.oracleGeneral.zst S3FIFO-1 cache size     2473, 1489775 req, miss ratio 0.4877, byte miss ratio 0.4877
result/tencentBlock.ns14769.oracleGeneral.zst S3FIFO-1 cache size     7419, 1489775 req, miss ratio 0.4867, byte miss ratio 0.4867
result/tencentBlock.ns14769.oracleGeneral.zst S3FIFO-1 cache size    24731, 1489775 req, miss ratio 0.3990, byte miss ratio 0.3990
result/tencentBlock.ns14769.oracleGeneral.zst S3FIFO-1 cache size    49462, 1489775 req, miss ratio 0.3478, byte miss ratio 0.3478
result/tencentBlock.ns14769.oracleGeneral.zst S3FIFO-1 cache size    98925, 1489775 req, miss ratio 0.2174, byte miss ratio 0.2174
result/tencentBlock.ns14769.oracleGeneral.zst S3FIFO-1 cache size   197851, 1489775 req, miss ratio 0.1686, byte miss ratio 0.1686
result/tencentBlock.ns14769.oracleGeneral.zst LIRS cache size      247, 1489775 req, miss ratio 0.5777, byte miss ratio 0.5777
result/tencentBlock.ns14769.oracleGeneral.zst LIRS cache size      741, 1489775 req, miss ratio 0.5168, byte miss ratio 0.5168
result/tencentBlock.ns14769.oracleGeneral.zst LIRS cache size     2473, 1489775 req, miss ratio 0.4909, byte miss ratio 0.4909
result/tencentBlock.ns14769.oracleGeneral.zst LIRS cache size     7419, 1489775 req, miss ratio 0.4774, byte miss ratio 0.4774
result/tencentBlock.ns14769.oracleGeneral.zst LIRS cache size    24731, 1489775 req, miss ratio 0.4005, byte miss ratio 0.4005
result/tencentBlock.ns14769.oracleGeneral.zst LIRS cache size    49462, 1489775 req, miss ratio 0.3228, byte miss ratio 0.3228
result/tencentBlock.ns14769.oracleGeneral.zst LIRS cache size    98925, 1489775 req, miss ratio 0.2134, byte miss ratio 0.2134
result/tencentBlock.ns14769.oracleGeneral.zst LIRS cache size   197851, 1489775 req, miss ratio 0.1689, byte miss ratio 0.1689
result/tencentBlock.ns14769.oracleGeneral.zst FIFO cache size      247, 1489775 req, miss ratio 0.5472, byte miss ratio 0.5472
result/tencentBlock.ns14769.oracleGeneral.zst FIFO cache size      741, 1489775 req, miss ratio 0.5107, byte miss ratio 0.5107
result/tencentBlock.ns14769.oracleGeneral.zst FIFO cache size     2473, 1489775 req, miss ratio 0.4941, byte miss ratio 0.4941
result/tencentBlock.ns14769.oracleGeneral.zst FIFO cache size     7419, 1489775 req, miss ratio 0.4868, byte miss ratio 0.4868
result/tencentBlock.ns14769.oracleGeneral.zst FIFO cache size    24731, 1489775 req, miss ratio 0.4357, byte miss ratio 0.4357
result/tencentBlock.ns14769.oracleGeneral.zst FIFO cache size    49462, 1489775 req, miss ratio 0.3846, byte miss ratio 0.3846
result/tencentBlock.ns14769.oracleGeneral.zst FIFO cache size    98925, 1489775 req, miss ratio 0.2568, byte miss ratio 0.2568
result/tencentBlock.ns14769.oracleGeneral.zst FIFO cache size   197851, 1489775 req, miss ratio 0.1896, byte miss ratio 0.1896
result/tencentBlock.ns14769.oracleGeneral.zst Clock cache size      247, 1489775 req, miss ratio 0.4988, byte miss ratio 0.4988
result/tencentBlock.ns14769.oracleGeneral.zst Clock cache size      741, 1489775 req, miss ratio 0.4915, byte miss ratio 0.4915
result/tencentBlock.ns14769.oracleGeneral.zst Clock cache size     2473, 1489775 req, miss ratio 0.4875, byte miss ratio 0.4875
result/tencentBlock.ns14769.oracleGeneral.zst Clock cache size     7419, 1489775 req, miss ratio 0.4849, byte miss ratio 0.4849
result/tencentBlock.ns14769.oracleGeneral.zst Clock cache size    24731, 1489775 req, miss ratio 0.4138, byte miss ratio 0.4138
