result/cdn2_allcolo.ns1597.oracleGeneral.zst LRU cache size   132148, 2226245 req, miss ratio 0.1596, byte miss ratio 0.1596
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRU cache size   264297, 2226245 req, miss ratio 0.1492, byte miss ratio 0.1492
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO cache size      330, 2226245 req, miss ratio 0.4977, byte miss ratio 0.4977
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO cache size      991, 2226245 req, miss ratio 0.4169, byte miss ratio 0.4169
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO cache size     3303, 2226245 req, miss ratio 0.3419, byte miss ratio 0.3419
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO cache size     9911, 2226245 req, miss ratio 0.2810, byte miss ratio 0.2810
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO cache size    33037, 2226245 req, miss ratio 0.2247, byte miss ratio 0.2247
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO cache size    66074, 2226245 req, miss ratio 0.1966, byte miss ratio 0.1966
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO cache size   132148, 2226245 req, miss ratio 0.1725, byte miss ratio 0.1725
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO cache size   264297, 2226245 req, miss ratio 0.1552, byte miss ratio 0.1552
result/cdn2_allcolo.ns1597.oracleGeneral.zst LeCaR cache size      330, 2226245 req, miss ratio 0.4548, byte miss ratio 0.4548
result/cdn2_allcolo.ns1597.oracleGeneral.zst LeCaR cache size      991, 2226245 req, miss ratio 0.3754, byte miss ratio 0.3754
result/cdn2_allcolo.ns1597.oracleGeneral.zst LeCaR cache size     3303, 2226245 req, miss ratio 0.3047, byte miss ratio 0.3047
result/cdn2_allcolo.ns1597.oracleGeneral.zst LeCaR cache size     9911, 2226245 req, miss ratio 0.2492, byte miss ratio 0.2492
result/cdn2_allcolo.ns1597.oracleGeneral.zst LeCaR cache size    33037, 2226245 req, miss ratio 0.1972, byte miss ratio 0.1972
result/cdn2_allcolo.ns1597.oracleGeneral.zst LeCaR cache size    66074, 2226245 req, miss ratio 0.1753, byte miss ratio 0.1753
result/cdn2_allcolo.ns1597.oracleGeneral.zst LeCaR cache size   132148, 2226245 req, miss ratio 0.1587, byte miss ratio 0.1587
result/cdn2_allcolo.ns1597.oracleGeneral.zst LeCaR cache size   264297, 2226245 req, miss ratio 0.1492, byte miss ratio 0.1492
result/cdn2_allcolo.ns1597.oracleGeneral.zst ARC cache size      330, 2226245 req, miss ratio 0.4512, byte miss ratio 0.4512
result/cdn2_allcolo.ns1597.oracleGeneral.zst ARC cache size      991, 2226245 req, miss ratio 0.3733, byte miss ratio 0.3733
result/cdn2_allcolo.ns1597.oracleGeneral.zst ARC cache size     3303, 2226245 req, miss ratio 0.2988, byte miss ratio 0.2988
result/cdn2_allcolo.ns1597.oracleGeneral.zst ARC cache size     9911, 2226245 req, miss ratio 0.2423, byte miss ratio 0.2423
result/cdn2_allcolo.ns1597.oracleGeneral.zst ARC cache size    33037, 2226245 req, miss ratio 0.1905, byte miss ratio 0.1905
result/cdn2_allcolo.ns1597.oracleGeneral.zst ARC cache size    66074, 2226245 req, miss ratio 0.1696, byte miss ratio 0.1696
result/cdn2_allcolo.ns1597.oracleGeneral.zst ARC cache size   132148, 2226245 req, miss ratio 0.1563, byte miss ratio 0.1563
result/cdn2_allcolo.ns1597.oracleGeneral.zst ARC cache size   264297, 2226245 req, miss ratio 0.1491, byte miss ratio 0.1491
result/cdn2_allcolo.ns1597.oracleGeneral.zst clock2 cache size      330, 2226245 req, miss ratio 0.4477, byte miss ratio 0.4477
result/cdn2_allcolo.ns1597.oracleGeneral.zst clock2 cache size      991, 2226245 req, miss ratio 0.3715, byte miss ratio 0.3715
result/cdn2_allcolo.ns1597.oracleGeneral.zst clock2 cache size     3303, 2226245 req, miss ratio 0.3025, byte miss ratio 0.3025
result/cdn2_allcolo.ns1597.oracleGeneral.zst clock2 cache size     9911, 2226245 req, miss ratio 0.2471, byte miss ratio 0.2471
result/cdn2_allcolo.ns1597.oracleGeneral.zst clock2 cache size    33037, 2226245 req, miss ratio 0.1965, byte miss ratio 0.1965
result/cdn2_allcolo.ns1597.oracleGeneral.zst clock2 cache size    66074, 2226245 req, miss ratio 0.1737, byte miss ratio 0.1737
result/cdn2_allcolo.ns1597.oracleGeneral.zst clock2 cache size   132148, 2226245 req, miss ratio 0.1575, byte miss ratio 0.1575
result/cdn2_allcolo.ns1597.oracleGeneral.zst clock2 cache size   264297, 2226245 req, miss ratio 0.1491, byte miss ratio 0.1491
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-d-1 cache size      330, 2226245 req, miss ratio 0.4299, byte miss ratio 0.4299
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-d-1 cache size      991, 2226245 req, miss ratio 0.3514, byte miss ratio 0.3514
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-d-1 cache size     3303, 2226245 req, miss ratio 0.2816, byte miss ratio 0.2816
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-d-1 cache size     9911, 2226245 req, miss ratio 0.2299, byte miss ratio 0.2299
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-d-1 cache size    33037, 2226245 req, miss ratio 0.1857, byte miss ratio 0.1857
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-d-1 cache size    66074, 2226245 req, miss ratio 0.1685, byte miss ratio 0.1685
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-d-1 cache size   132148, 2226245 req, miss ratio 0.1563, byte miss ratio 0.1563
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-d-1 cache size   264297, 2226245 req, miss ratio 0.1491, byte miss ratio 0.1491
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRB cache size      330, 2226245 req, miss ratio 0.4425, byte miss ratio 0.4425
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRB cache size      991, 2226245 req, miss ratio 0.3493, byte miss ratio 0.3493
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRB cache size     3303, 2226245 req, miss ratio 0.2732, byte miss ratio 0.2732
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRB cache size     9911, 2226245 req, miss ratio 0.2224, byte miss ratio 0.2224
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRB cache size    33037, 2226245 req, miss ratio 0.1854, byte miss ratio 0.1854
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRB cache size    66074, 2226245 req, miss ratio 0.1712, byte miss ratio 0.1712
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRB cache size   132148, 2226245 req, miss ratio 0.1585, byte miss ratio 0.1585
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRB cache size   264297, 2226245 req, miss ratio 0.1492, byte miss ratio 0.1492
result/cdn2_allcolo.ns1597.oracleGeneral.zst TwoQ cache size      330, 2226245 req, miss ratio 0.4150, byte miss ratio 0.4150
result/cdn2_allcolo.ns1597.oracleGeneral.zst TwoQ cache size      991, 2226245 req, miss ratio 0.3350, byte miss ratio 0.3350
result/cdn2_allcolo.ns1597.oracleGeneral.zst TwoQ cache size     3303, 2226245 req, miss ratio 0.2706, byte miss ratio 0.2706
result/cdn2_allcolo.ns1597.oracleGeneral.zst TwoQ cache size     9911, 2226245 req, miss ratio 0.2233, byte miss ratio 0.2233
result/cdn2_allcolo.ns1597.oracleGeneral.zst TwoQ cache size    33037, 2226245 req, miss ratio 0.1920, byte miss ratio 0.1920
result/cdn2_allcolo.ns1597.oracleGeneral.zst TwoQ cache size    66074, 2226245 req, miss ratio 0.1787, byte miss ratio 0.1787
result/cdn2_allcolo.ns1597.oracleGeneral.zst TwoQ cache size   132148, 2226245 req, miss ratio 0.1674, byte miss ratio 0.1674
result/cdn2_allcolo.ns1597.oracleGeneral.zst TwoQ cache size   264297, 2226245 req, miss ratio 0.1552, byte miss ratio 0.1552
result/cdn2_allcolo.ns1597.oracleGeneral.zst B-LRU cache size      330, 2226245 req, miss ratio 0.4839, byte miss ratio 0.4839
result/cdn2_allcolo.ns1597.oracleGeneral.zst B-LRU cache size      991, 2226245 req, miss ratio 0.4081, byte miss ratio 0.4081
result/cdn2_allcolo.ns1597.oracleGeneral.zst B-LRU cache size     3303, 2226245 req, miss ratio 0.3367, byte miss ratio 0.3367
result/cdn2_allcolo.ns1597.oracleGeneral.zst B-LRU cache size     9911, 2226245 req, miss ratio 0.2798, byte miss ratio 0.2798
result/cdn2_allcolo.ns1597.oracleGeneral.zst B-LRU cache size    33037, 2226245 req, miss ratio 0.2327, byte miss ratio 0.2327
result/cdn2_allcolo.ns1597.oracleGeneral.zst B-LRU cache size    66074, 2226245 req, miss ratio 0.2154, byte miss ratio 0.2154
result/cdn2_allcolo.ns1597.oracleGeneral.zst B-LRU cache size   132148, 2226245 req, miss ratio 0.2098, byte miss ratio 0.2098
result/cdn2_allcolo.ns1597.oracleGeneral.zst B-LRU cache size   264297, 2226245 req, miss ratio 0.2098, byte miss ratio 0.2098
result/cdn2_allcolo.ns1597.oracleGeneral.zst S4LRU(25:25:25:25) cache size      330, 2226245 req, miss ratio 0.4289, byte miss ratio 0.4289
result/cdn2_allcolo.ns1597.oracleGeneral.zst S4LRU(25:25:25:25) cache size      991, 2226245 req, miss ratio 0.3529, byte miss ratio 0.3529
